date,TX,TN,TM
1980-01-01,117.7,-291.0,-86.3
1980-02-01,413.3,-94.5,159.8
1980-03-01,437.9,-59.4,189.1
1980-04-01,582.4,14.900000000000002,298.0
1980-05-01,850.0,266.9,552.0
1980-06-01,1016.2,451.2,733.4
1980-07-01,1134.0,535.8,834.7
1980-08-01,1297.3,666.8,982.4
1980-09-01,1184.8,476.5,830.7
1980-10-01,714.0,180.7,447.2
1980-11-01,368.5,-51.4,158.3
1980-12-01,113.3,-341.9,-112.4
1981-01-01,57.3,-358.7,-150.3
1981-02-01,134.5,-346.6,-106.0
1981-03-01,513.8,64.0,289.0
1981-04-01,756.9,182.7,469.9
1981-05-01,799.4,300.4,550.3
1981-06-01,1058.0,472.4,765.2
1981-07-01,1081.9,513.5,797.7
1981-08-01,1201.0,554.7,877.6
1981-09-01,961.7,482.0,722.1
1981-10-01,674.4,222.2,448.3
1981-11-01,430.0,-25.8,202.5
1981-12-01,167.6,-152.9,7.4
1982-01-01,262.5,-63.4,100.0
1982-02-01,271.6,-124.7,73.39999999999999
1982-03-01,348.9,-83.8,132.7
1982-04-01,621.5,48.1,335.1
1982-05-01,816.0,269.8,543.0
1982-06-01,1016.8,520.1,768.3
1982-07-01,1119.0,588.7,853.7
1982-08-01,971.7,513.6,742.7
1982-09-01,934.7,446.1,690.5
1982-10-01,593.8,218.0,405.9
1982-11-01,418.7,66.9,243.0
1982-12-01,207.9,-65.4,71.1
1983-01-01,231.5,-113.0,59.4
1983-02-01,79.7,-249.6,-85.2
1983-03-01,417.6,-25.0,196.5
1983-04-01,531.7,110.5,321.5
1983-05-01,614.8,228.2,420.09999999999997
1983-06-01,975.9,466.4,720.9
1983-07-01,1190.9,606.5,898.9
1983-08-01,986.2,510.6,748.4
1983-09-01,854.9,387.1,621.3
1983-10-01,606.9,195.5,401.2
1983-11-01,341.8,17.900000000000002,180.0
1983-12-01,211.4,-118.4,47.2
1984-01-01,227.3,-230.3,-1.9000000000000004
1984-02-01,184.0,-348.5,-82.0
1984-03-01,478.3,-258.1,110.5
1984-04-01,893.7,26.0,459.8
1984-05-01,771.6,265.4,516.7
1984-06-01,1196.4,512.1,854.0
1984-07-01,1431.8,642.3,1037.1
1984-08-01,1299.2,646.3,972.2
1984-09-01,988.0,443.5,715.8
1984-10-01,846.0,284.2,564.7
1984-11-01,607.5,158.4,382.7
1984-12-01,292.4,-111.8,93.7
1985-01-01,-115.4,-631.6,-374.0
1985-02-01,326.1,-269.3,27.900000000000002
1985-03-01,414.6,-158.1,127.7
1985-04-01,906.5,161.8,531.4
1985-05-01,921.7,360.4,641.4
1985-06-01,1136.1,503.9,820.3
1985-07-01,1459.1,731.3,1095.3
1985-08-01,1336.0,614.1,975.1
1985-09-01,1335.5,546.2,941.5
1985-10-01,995.8000000000001,307.2,651.5
1985-11-01,261.4,-116.2,72.0
1985-12-01,433.6,-131.3,154.3
1986-01-01,196.4,-338.1,-70.7
1986-02-01,42.4,-535.7,-245.7
1986-03-01,645.5,-115.3,264.7
1986-04-01,694.2,88.7,390.6
1986-05-01,1252.4,534.1,892.4
1986-06-01,1380.6,623.8,1002.2
1986-07-01,1615.5,775.6,1195.7
1986-08-01,1515.6,748.2,1131.9
1986-09-01,1390.2,643.7,1015.8
1986-10-01,1122.1,452.09999999999997,787.3
1986-11-01,645.9,30.599999999999998,338.8
1986-12-01,298.9,-221.5,37.800000000000004
1987-01-01,-71.3,-683.1,-376.4
1987-02-01,328.7,-244.5,40.8
1987-03-01,455.9,-260.7,97.2
1987-04-01,1212.7,204.6,707.6
1987-05-01,1030.3,304.3,667.6
1987-06-01,1295.8,606.0,950.8
1987-07-01,1596.5,877.9,1236.9
1987-08-01,1685.2,864.1,1274.6
1987-09-01,1630.2,791.5,1209.8
1987-10-01,1086.3,511.1,798.6
1987-11-01,581.5,91.0,336.3
1987-12-01,562.8,-9.4,272.7
1988-01-01,544.6,-75.9,234.9
1988-02-01,392.6,-372.7,10.300000000000002
1988-03-01,553.3,-168.0,192.6
1988-04-01,1219.8,297.9,758.9
1988-05-01,1314.6,585.2,950.2
1988-06-01,1500.2,688.5,1094.2
1988-07-01,1771.0,852.2,1312.0
1988-08-01,1746.4,868.3,1307.3
1988-09-01,1372.7,617.2,995.0
1988-10-01,1106.1,513.7,809.9
1988-11-01,501.4,-17.900000000000002,232.5
1988-12-01,361.0,-207.1,76.5
1989-01-01,518.4,-322.5,98.4
1989-02-01,655.9,-134.7,261.3
1989-03-01,1113.2,66.6,590.0
1989-04-01,882.6,171.4,526.5
1989-05-01,1505.1,535.2,1020.3
1989-06-01,1593.3,653.8,1123.6
1989-07-01,1775.1,919.6,1347.4
1989-08-01,1827.8,895.3,1361.4
1989-09-01,1446.0,683.5,1064.5
1989-10-01,1208.4,346.8,776.8
1989-11-01,595.4,-5.499999999999998,289.7
1989-12-01,543.7,-117.5,214.2
1990-01-01,469.1,-320.9,74.8
1990-02-01,938.3,46.8,492.4
1990-03-01,1068.1,25.2,547.1
1990-04-01,936.2,117.3,523.7
1990-05-01,1500.3,610.6,1055.1
1990-06-01,1469.7,720.5,1094.8
1990-07-01,1798.8,888.9,1344.0
1990-08-01,1839.1,903.3,1371.4
1990-09-01,1450.4,578.8,1014.2
1990-10-01,1151.9,522.4,835.1
1990-11-01,470.8,37.6,254.3
1990-12-01,95.0,-431.9,-170.0
1991-01-01,356.3,-270.0,42.5
1991-02-01,408.8,-514.2,-52.4
1991-03-01,1010.4,202.9,605.0
1991-04-01,1028.8,89.5,560.7
1991-05-01,1130.3,286.5,708.3
1991-06-01,1451.2,698.2,1075.0
1991-07-01,1893.9,953.6,1423.1
1991-08-01,1982.0,950.3,1465.7
1991-09-01,1693.5,844.8,1269.1
1991-10-01,915.3,297.5,605.5
1991-11-01,543.1,45.699999999999996,279.2
1991-12-01,223.2,-383.7,-79.7
1992-01-01,260.8,-476.5,-108.3
1992-02-01,618.3,-332.8,143.1
1992-03-01,956.2,28.2,492.7
1992-04-01,1288.7,254.0,769.7
1992-05-01,1671.2,684.3,1178.0
1992-06-01,1645.4,861.9,1253.7
1992-07-01,2010.4,1078.3,1544.3
1992-08-01,2357.0,1205.6,1780.9
1992-09-01,1776.2,822.7,1298.9
1992-10-01,1006.1,436.7,723.4
1992-11-01,1041.3,272.7,657.3
1992-12-01,489.7,-205.5,143.9
1993-01-01,776.5,-229.2,274.8
1993-02-01,502.1,-630.1,-60.800000000000004
1993-03-01,1029.4,-240.6,391.7
1993-04-01,1521.7,333.3,930.1
1993-05-01,1993.4,807.1,1397.8
1993-06-01,2238.2,1073.0,1656.6
1993-07-01,2301.8,1162.9,1728.2
1993-08-01,2643.7,1327.4,1983.1
1993-09-01,1848.4,893.2,1364.9
1993-10-01,1278.0,524.3,900.0
1993-11-01,635.1,-52.4,282.8
1993-12-01,608.6,-171.8,211.1
1994-01-01,504.1,-302.8,100.3
1994-02-01,773.5,-248.6,261.1
1994-03-01,1679.0,344.5,1012.7
1994-04-01,1196.1,139.5,668.1
1994-05-01,2079.5,937.9,1506.4
1994-06-01,2555.9,1145.2,1855.0
1994-07-01,3296.4,1731.5,2512.0
1994-08-01,3110.1,1614.9,2366.8
1994-09-01,2111.1,1063.6,1588.2
1994-10-01,1721.7,630.9,1177.8
1994-11-01,1286.7,430.1,859.4
1994-12-01,688.7,-90.2,298.4
1995-01-01,219.9,-713.5,-245.2
1995-02-01,980.3,-121.7,428.8
1995-03-01,935.7,-407.6,263.4
1995-04-01,1827.0,292.7,1059.5
1995-05-01,2294.8,780.4,1533.8
1995-06-01,2530.9,1086.5,1807.1
1995-07-01,3443.2,1832.1,2640.0
1995-08-01,3038.7,1577.5,2301.6
1995-09-01,2171.9,938.4,1559.0
1995-10-01,2374.1,1022.0,1697.9
1995-11-01,1035.3,-33.4,498.6
1995-12-01,476.1,-364.4,55.5
1996-01-01,714.0,-191.9,261.8
1996-02-01,294.8,-791.7,-249.1
1996-03-01,1130.2,-378.5,375.2
1996-04-01,1831.8,359.7,1094.2
1996-05-01,2148.7,855.4,1469.1
1996-06-01,2779.3,1365.4,2071.1
1996-07-01,2843.2,1413.1,2128.1
1996-08-01,2752.6,1437.0,2093.3
1996-09-01,2037.8,729.1,1381.2
1996-10-01,1720.3,599.3,1160.3
1996-11-01,924.6,-13.0,461.8
1996-12-01,480.4,-288.5,96.1
1997-01-01,429.6,-443.2,-6.500000000000002
1997-02-01,1187.3,-174.4,506.1
1997-03-01,1748.2,78.2,913.3
1997-04-01,1826.5,105.5,967.5
1997-05-01,2348.2,882.6,1612.9
1997-06-01,2482.0,1248.4,1863.9
1997-07-01,2740.6,1385.5,2059.4
1997-08-01,3259.9,1723.9,2490.0
1997-09-01,2736.3,1273.8,2003.2
1997-10-01,1707.0,608.4,1159.0
1997-11-01,1053.0,91.9,572.5
1997-12-01,516.1,-261.7,127.3
1998-01-01,595.2,-404.5,96.60000000000001
1998-02-01,1304.7,-242.0,531.0
1998-03-01,1292.3,-147.5,571.2
1998-04-01,1460.4,191.3,821.4
1998-05-01,2440.3,880.5,1658.4
1998-06-01,2720.3,1288.3,2004.7
1998-07-01,3000.2,1544.0,2269.0
1998-08-01,3026.8,1545.3,2285.9
1998-09-01,2176.0,1067.0,1621.6
1998-10-01,1554.5,589.0,1070.9
1998-11-01,527.5,-337.5,98.60000000000001
1998-12-01,451.3,-542.6,-47.4
1999-01-01,613.5,-382.0,116.39999999999999
1999-02-01,209.1,-785.9,-287.4
1999-03-01,1222.8,-78.3,572.3
1999-04-01,1492.9,256.7,873.1
1999-05-01,2428.6,1182.8,1799.5
1999-06-01,2509.3,1134.9,1820.0
1999-07-01,3008.5,1588.4,2295.8
1999-08-01,2824.7,1587.0,2206.7
1999-09-01,2591.5,1359.4,1975.0
1999-10-01,1747.2,721.3,1234.5
1999-11-01,604.9,-179.7,212.4
1999-12-01,480.2,-489.1,-5.7
2000-01-01,329.0,-665.9,-169.2
2000-02-01,871.3,-242.2,314.3
2000-03-01,1233.0,-93.0,570.6
2000-04-01,1777.2,362.5,1070.9
2000-05-01,2401.6,1001.5,1700.2
2000-06-01,2900.3,1388.8,2144.3
2000-07-01,2577.7,1295.6,1935.5
2000-08-01,2997.0,1542.4,2261.0
2000-09-01,2542.3,1120.4,1830.6
2000-10-01,1672.8,674.4,1172.2
2000-11-01,939.7,122.2,534.8
2000-12-01,812.5,-64.0,371.9
2001-01-01,497.59999999999997,-381.1,56.89999999999999
2001-02-01,832.9,-365.7,233.8
2001-03-01,1325.5,280.7,803.6
2001-04-01,1274.0,91.0,681.0
2001-05-01,2372.7,1070.0,1721.0
2001-06-01,2479.4,1084.3,1781.7
