# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97105002
# NOM_USUEL= BASSE-TERRE GUILLARD
# LATITUDE (°) = 15.996
# LONGITUDE(°)= -61.721
# ALTITUDE (m) = 92
# NUM_SERIE= MRR097105002
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196501 201612
# Date(s) de rupture(s) d'homogénéité : 197512
#     Periode homogénéisée  196501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;93.2;1
196502;24.1;1
196503;39.9;1
196504;87.8;1
196505;147.8;1
196506;101.5;1
196507;299.1;1
196508;227.3;1
196509;215.3;1
196510;200;1
196511;130.4;1
196512;86.5;1
196601;16.1;1
196602;59.9;1
196603;74.5;1
196604;26.1;1
196605;234.6;1
196606;81.1;1
196607;407.9;1
196608;262.7;1
196609;295.1;1
196610;143.9;1
196611;143.6;1
196612;60.2;1
196701;162.1;1
196702;51.1;1
196703;140.3;1
196704;29.7;1
196705;93;1
196706;95.9;1
196707;213.6;1
196708;290.4;1
196709;114.6;1
196710;132.6;1
196711;83;1
196712;29.1;1
196801;97.7;1
196802;10.8;1
196803;9.9;1
196804;78.8;1
196805;176.4;1
196806;128.4;1
196807;143.6;1
196808;219.1;1
196809;205.1;1
196810;99.4;1
196811;182.3;1
196812;222;1
196901;43.9;1
196902;9;1
196903;20.3;1
196904;91.8;1
196905;295.5;1
196906;260.3;1
196907;318.2;1
196908;212.3;1
196909;173.4;1
196910;97.2;1
196911;183.7;1
196912;121.5;1
197001;136.5;1
197002;53.7;1
197003;20.5;1
197004;20.5;1
197005;112.2;1
197006;390.8;1
197007;404.7;1
197008;229.3;1
197009;173;1
197010;356.8;1
197011;94.4;1
197012;177.2;1
197101;95.6;1
197102;149.9;1
197103;28.1;1
197104;63;1
197105;164.6;1
197106;61.2;1
197107;156.5;1
197108;323.9;1
197109;80.5;1
197110;114.9;1
197111;14.4;1
197112;103.2;1
197201;170.2;1
197202;124.6;1
197203;21;1
197204;101.2;1
197205;66.4;1
197206;80.7;1
197207;97.2;1
197208;231.7;1
197209;262.4;1
197210;202.1;1
197211;184.9;1
197212;112.5;1
197301;37.6;1
197302;64.4;1
197303;41.2;1
197304;14.1;1
197305;38.4;1
197306;115.6;1
197307;87.3;1
197308;226.6;1
197309;115.7;1
197310;122.9;1
197311;92;1
197312;54.9;1
197401;342.2;1
197402;59.8;1
197403;164.4;1
197404;91.5;1
197405;40.6;1
197406;106.7;1
197407;88.3;1
197408;131.4;1
