# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97107002
# NOM_USUEL= CAPESTERRE-B-EAU NEUFCHATEAU
# LATITUDE (°) = 16.079
# LONGITUDE(°)= -61.6
# ALTITUDE (m) = 253
# NUM_SERIE= MRR097107002
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196501 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;201.4;1
196502;78.8;1
196503;92.7;1
196504;304.8;1
196505;268.2;1
196506;158.2;1
196507;398.6;1
196508;285.8;1
196509;447.4;1
196510;395.7;1
196511;313;1
196512;431.5;1
196601;117.5;1
196602;342.9;1
196603;183.4;1
196604;162.8;1
196605;536.8;1
196606;309;1
196607;647;1
196608;348.4;1
196609;559.1;1
196610;516.2;1
196611;400.9;1
196612;299.3;1
196701;189.1;1
196702;105.5;1
196703;378.1;1
196704;188.2;1
196705;191.3;1
196706;137.6;1
196707;233.2;1
196708;212;1
196709;315.6;1
196710;405.2;1
196711;255.2;1
196712;135.4;1
196801;216.2;1
196802;85;1
196803;132.5;1
196804;440.7;1
196805;383.6;1
196806;482.4;1
196807;169.9;1
196808;226.8;1
196809;257.8;1
196810;176;1
196811;267.7;1
196812;410.6;1
196901;149;1
196902;137.8;1
196903;71.7;1
196904;417.2;1
196905;480.3;1
196906;270.8;1
196907;340.2;1
196908;218.9;1
196909;413.3;1
196910;391.5;1
196911;636.3;1
196912;295.9;1
197001;254.9;1
197002;102.3;1
197003;90.2;1
197004;133.2;1
197005;333.6;1
197006;440.7;1
197007;650.4;1
197008;382.1;1
197009;248.7;1
197010;566.6;1
197011;411.5;1
197012;532.8;1
197101;301.1;1
197102;309.7;1
197103;109.2;1
197104;134;1
197105;388.2;1
197106;92.3;1
197107;181.9;1
197108;263.1;1
197109;189.6;1
197110;266.9;1
197111;209.3;1
197112;252.8;1
197201;273.4;1
197202;226.2;1
197203;217.9;1
197204;350.4;1
197205;325;1
197206;334.5;1
197207;474.6;1
197208;338.1;1
197209;432.5;1
197210;543.9;1
197211;398.3;1
197212;229.7;1
197301;140.8;1
197302;186;1
197303;211.9;1
197304;91.1;1
197305;48.9;1
197306;317.1;1
197307;169.9;1
197308;350;1
197309;467.9;1
197310;319.4;1
197311;225;1
197312;165.4;1
197401;428.6;1
197402;262.8;1
197403;280;1
197404;228.4;1
197405;200.7;1
197406;118.6;1
197407;154.6;1
197408;320.3;1
197409;474.1;1
197410;533.1;1
197411;288.7;1
197412;251.3;1
197501;189.8;1
197502;146.8;1
197503;174.5;1
197504;68.2;1
197505;268;1
197506;121.3;1
197507;162.4;1
197508;198.8;1
197509;268;1
197510;541.4;1
197511;541.2;1
197512;524.3;1
197601;203.2;1
197602;209.1;1
197603;208.4;1
197604;120.6;1
197605;171.3;1
197606;134;1
197607;203.1;1
197608;204.4;1
197609;329.7;1
197610;649.4;1
197611;391.2;1
197612;345.5;1
197701;102.5;1
197702;88.6;1
197703;58;1
197704;296.1;1
197705;351.7;1
197706;94.6;1
197707;136.6;1
197708;465.8;1
