# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97111001
# NOM_USUEL= DESHAIES GENDARMERIE
# LATITUDE (°) = 16.311
# LONGITUDE(°)= -61.791
# ALTITUDE (m) = 42
# NUM_SERIE= MRR097111001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196501 201612
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 201612  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;123.6;1
196502;2.9;1
196503;27.6;1
196504;97.5;1
196505;55.3;1
196506;132;1
196507;265.5;1
196508;153.5;1
196509;186.5;1
196510;100;1
196511;86;1
196512;40;1
196601;18;1
196602;145;1
196603;61;1
196604;113.9;1
196605;266;1
196606;98.5;1
196607;424.7;1
196608;163;1
196609;311.1;1
196610;178.1;1
196611;72.6;1
196612;72.1;1
196701;84;1
196702;21.6;1
196703;145.3;1
196704;77;1
196705;93.3;1
196706;150;1
196707;129.3;1
196708;154;1
196709;102.7;1
196710;138;1
196711;87.3;1
196712;37.9;1
196801;55.6;1
196802;31.1;1
196803;45.6;1
196804;196.6;1
196805;152;1
196806;261.8;1
196807;102.3;1
196808;203.5;1
196809;135.6;1
196810;79.1;1
196811;121.5;1
196812;113.8;1
196901;79.4;1
196902;9.9;1
196903;38.2;1
196904;88.5;1
196905;184.2;1
196906;97.7;1
196907;203.7;1
196908;278.7;1
196909;189.9;1
196910;51.2;1
196911;155.5;1
196912;127.9;1
197001;80.4;1
197002;62.2;1
197003;98.2;1
197004;75.9;1
197005;133.1;1
197006;267.8;1
197007;291.1;1
197008;191.5;1
197009;178.2;1
197010;282.4;1
197011;106.7;1
197012;265.7;1
197101;148;1
197102;78.6;1
197103;57.1;1
197104;36.5;1
197105;87.2;1
197106;53.5;1
197107;144.6;1
197108;191.2;1
197109;105;1
197110;211.8;1
197111;65.5;1
197112;119.2;1
197201;100.4;1
197202;44;1
197203;139.3;1
197204;193.2;1
197205;62.8;1
197206;75.8;1
197207;128.7;1
197208;186.6;1
197209;188.7;1
197210;237.2;1
197211;107.9;1
197212;141.2;1
197301;132.4;1
197302;61.1;1
197303;34.6;1
197304;42.4;1
197305;45.8;1
197306;122.7;1
197307;105.5;1
197308;194;1
197309;146.6;1
197310;142.7;1
197311;94.9;1
197312;120.5;1
197401;190.1;1
197402;92.2;1
197403;114.7;1
197404;48.1;1
197405;65.2;1
197406;28;1
197407;49.4;1
197408;272.4;1
197409;154.6;1
197410;144.3;1
197411;160.6;1
197412;58.5;1
197501;113.6;1
197502;61;1
197503;122.5;1
197504;110.9;1
197505;88.2;1
197506;42.5;1
197507;199.9;1
197508;233.6;1
197509;187.7;1
197510;181.1;1
197511;111.9;1
197512;138;1
197601;102.5;1
197602;86.1;1
197603;46.9;1
197604;137;1
197605;38.3;1
197606;197;1
197607;92;1
197608;125.8;1
197609;282.5;1
197610;257.5;1
197611;150.1;1
197612;151.5;1
197701;38.6;1
197702;16.5;1
197703;17.5;1
197704;106.2;1
197705;27.4;1
197706;53.8;1
197707;84.5;1
197708;264.1;1
197709;151.9;1
197710;160.8;1
197711;237.1;1
197712;39.3;1
197801;59.7;1
197802;35.4;1
197803;61.9;1
