# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97207002
# NOM_USUEL= DUCOS
# LATITUDE (°) = 14.542
# LONGITUDE(°)= -60.977
# ALTITUDE (m) = 40
# NUM_SERIE= MRR097207002
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;187.8;1
196202;103.2;1
196203;50.9;1
196204;83.2;1
196205;85.9;1
196206;306.2;1
196207;134.6;1
196208;333.8;1
196209;248.3;1
196210;109.3;1
196211;112.6;1
196212;150.1;1
196301;148.7;1
196302;85.3;1
196303;68.7;1
196304;80.5;1
196305;182.7;1
196306;170.8;1
196307;231.7;1
196308;125.2;1
196309;306.8;1
196310;253.7;1
196311;111.3;1
196312;57.3;1
196401;56.6;1
196402;71.4;1
196403;107.8;1
196404;137.1;1
196405;100.4;1
196406;270.3;1
196407;172.1;1
196408;267.3;1
196409;250.4;1
196410;153.9;1
196411;129.5;1
196412;140.2;1
196501;150.1;1
196502;48.8;1
196503;95.3;1
196504;113.4;1
196505;98.6;1
196506;149.4;1
196507;217.2;1
196508;169.2;1
196509;235.3;1
196510;235.7;1
196511;114;1
196512;121.7;1
196601;19.8;1
196602;194;1
196603;94.1;1
196604;155.3;1
196605;270;1
196606;176.6;1
196607;371.9;1
196608;227.1;1
196609;239.5;1
196610;286.7;1
196611;401;1
196612;116.2;1
196701;226.8;1
196702;116.2;1
196703;117.4;1
196704;89.8;1
196705;104.7;1
196706;69.2;1
196707;134.8;1
196708;236.8;1
196709;455.7;1
196710;196.5;1
196711;196.4;1
196712;137.8;1
196801;92.7;1
196802;31.1;1
196803;128.2;1
196804;73.8;1
196805;162.9;1
196806;218.5;1
196807;85.8;1
196808;306.4;1
196809;236.1;1
196810;225.9;1
196811;79.6;1
196812;137.7;1
196901;149.2;1
196902;15.6;1
196903;12.7;1
196904;49.6;1
196905;119.7;1
196906;317.1;1
196907;265.6;1
196908;284.2;1
196909;348.8;1
196910;193.2;1
196911;154.2;1
196912;261.1;1
197001;72.2;1
197002;41.7;1
197003;26;1
197004;44.3;1
197005;30;1
197006;274.3;1
197007;342.8;1
197008;258.2;1
197009;192.9;1
197010;360.9;1
197011;335.6;1
197012;331.1;1
197101;147.2;1
197102;95.8;1
197103;72.9;1
197104;72;1
197105;45.1;1
197106;41.9;1
197107;102.9;1
197108;301.4;1
197109;206.1;1
197110;130.4;1
197111;76.9;1
197112;323;1
197201;156.2;1
197202;178.1;1
197203;84.5;1
197204;87.8;1
197205;66.6;1
197206;89.5;1
197207;164.5;1
197208;99.1;1
197209;230.4;1
197210;227.7;1
197211;114;1
197212;101;1
197301;56.3;1
197302;39.8;1
197303;22.3;1
197304;41.4;1
197305;36.2;1
197306;147.7;1
197307;42.8;1
197308;142.6;1
197309;153.8;1
197310;194.3;1
197311;70.9;1
197312;93;1
