# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97210001
# NOM_USUEL= FRANCOIS-CHOPOT
# LATITUDE (°) = 14.63
# LONGITUDE(°)= -60.92
# ALTITUDE (m) = 53
# NUM_SERIE= MRR097210001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 195001 201312
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  195001 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;128.7;1
195002;36.6;1
195003;107.5;1
195004;55.5;1
195005;60.2;1
195006;258.6;1
195007;106.3;1
195008;227.9;1
195009;243.3;1
195010;271.6;1
195011;178.3;1
195012;258.6;1
195101;95.6;1
195102;150;1
195103;47.2;1
195104;173.6;1
195105;152.3;1
195106;169.5;1
195107;163;1
195108;328.3;1
195109;347.2;1
195110;101.6;1
195111;272.8;1
195112;330.6;1
195201;69.7;1
195202;47.2;1
195203;75.6;1
195204;63.8;1
195205;100.4;1
195206;61.4;1
195207;249.2;1
195208;122.8;1
195209;475.9;1
195210;210.2;1
195211;272.8;1
195212;125.2;1
195301;108;1
195302;68.5;1
195303;48.4;1
195304;167.7;1
195305;192.5;1
195306;131.1;1
195307;253.9;1
195308;250.3;1
195309;211.4;1
195310;170;1
195311;340.1;1
195312;166.5;1
195401;69.1;1
195402;30.7;1
195403;59;1
195404;128.7;1
195405;122.8;1
195406;191.3;1
195407;152.5;1
195408;277.5;1
195409;324.4;1
195410;383.8;1
195411;120.4;1
195412;146.4;1
195501;119.3;1
195502;127.5;1
195503;48.4;1
195504;43.1;1
195505;76.8;1
195506;307;1
195507;220.8;1
195508;147.6;1
195509;303.5;1
195510;248;1
195511;338.9;1
195512;105.1;1
195601;236.2;1
195602;113.4;1
195603;28.3;1
195604;163;1
195605;77.9;1
195606;226.7;1
195607;122.8;1
195608;197.2;1
195609;185.4;1
195610;229.1;1
195611;186.6;1
195612;124;1
195701;132.3;1
195702;56.7;1
195703;33.1;1
195704;62.6;1
195705;68.5;1
195706;192.5;1
195707;147.6;1
195708;249.2;1
195709;181.9;1
195710;356.6;1
195711;204.3;1
195712;194.8;1
195801;66.1;1
195802;4.7;1
195803;22.9;1
195804;113.4;1
195805;434.6;1
195806;314.1;1
195807;281;1
195808;213.7;1
195809;477.1;1
195810;292.9;1
195811;173.6;1
195812;213.7;1
195901;68.5;1
195902;79.1;1
195903;62;1
195904;120;1
195905;168.6;1
195906;102.2;1
195907;150.7;1
195908;91.4;1
195909;223.9;1
195910;139.3;1
195911;52;1
195912;81.5;1
196001;39.6;1
196002;66.1;1
196003;67.3;1
196004;90.3;1
196005;78.5;1
196006;82.1;1
196007;510.7;1
196008;214.9;1
196009;260;1
196010;312.9;1
196011;178.3;1
196012;204.3;1
196101;105.7;1
196102;110.2;1
196103;82.1;1
196104;41.3;1
196105;100.4;1
196106;124;1
196107;284;1
196108;262;1
196109;89.7;1
196110;219.6;1
196111;236.8;1
196112;125.8;1
196201;122.2;1
196202;80.3;1
196203;33.7;1
196204;145.2;1
196205;57.9;1
196206;214.3;1
196207;185.4;1
196208;328.9;1
196209;158.8;1
196210;78.5;1
196211;91.5;1
196212;60.8;1
196301;120.4;1
196302;102.1;1
196303;37.8;1
