# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97210004
# NOM_USUEL= FRANCOIS-SIMON
# LATITUDE (°) = 14.587
# LONGITUDE(°)= -60.87
# ALTITUDE (m) = 6
# NUM_SERIE= MRR097210004
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 196401 201312
# Date(s) de rupture(s) d'homogénéité : 196912 197712 200712
#     Periode homogénéisée  196401 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196401;54.3;1
196402;55.1;1
196403;83;1
196404;88.7;1
196405;54.2;1
196406;189.2;1
196407;240.7;1
196408;250.3;1
196409;120;1
196410;262.3;1
196411;95.4;1
196412;92.2;1
196501;130;1
196502;17;1
196503;59.6;1
196504;124.8;1
196505;76.4;1
196506;103.1;1
196507;179;1
196508;90.2;1
196509;120.7;1
196510;129.1;1
196511;85.1;1
196512;180.2;1
196601;37;1
196602;88;1
196603;68.5;1
196604;134;1
196605;214.2;1
196606;91.5;1
196607;273.2;1
196608;190.6;1
196609;144;1
196610;107.7;1
196611;668.7;1
196612;135.6;1
196701;147.8;1
196702;94;1
196703;127.3;1
196704;241.2;1
196705;58.6;1
196706;63.2;1
196707;135.9;1
196708;192.5;1
196709;585.9;1
196710;346.4;1
196711;219.1;1
196712;54.8;1
196801;89.9;1
196802;34;1
196803;180.4;1
196804;81.3;1
196805;148.8;1
196806;159.8;1
196807;80.2;1
196808;182.7;1
196809;244.3;1
196810;161.7;1
196811;167;1
196812;140;1
196901;168.9;1
196902;35.4;1
196903;10.5;1
196904;84.8;1
196905;99.8;1
196906;203.1;1
196907;266.1;1
196908;115.9;1
196909;368.5;1
196910;234;1
196911;183.1;1
196912;352.5;1
197001;18.8;1
197002;33.8;1
197003;42.3;1
197004;40.2;1
197005;55.4;1
197006;299.4;1
197007;345.3;1
197008;177;1
197009;116.2;1
197010;333.6;1
197011;268.6;1
197012;264.9;1
197101;78.4;1
197102;46.3;1
197103;32;1
197104;53.6;1
197105;39.7;1
197106;22.8;1
197107;72.3;1
197108;188.6;1
197109;202.5;1
197110;177.5;1
197111;121.7;1
197112;357.5;1
197201;121.2;1
197202;166.8;1
197203;151.5;1
197204;104.6;1
197205;81.3;1
197206;144.3;1
197207;203.6;1
197208;88;1
197209;272.6;1
197210;216.8;1
197211;60.1;1
197212;117.9;1
197301;58.2;1
197302;33.3;1
197303;21.8;1
197304;89.6;1
197305;76.6;1
197306;144.9;1
197307;21.7;1
197308;84.9;1
197309;154.9;1
197310;60.1;1
197311;24.9;1
197312;74.2;1
197401;93.8;1
197402;53.3;1
197403;65.3;1
197404;31.3;1
197405;129.2;1
197406;36;1
197407;64.6;1
197408;46.3;1
197409;319.8;1
197410;240.1;1
197411;104.2;1
197412;75.5;1
197501;79.5;1
197502;41.3;1
197503;14.3;1
197504;19.5;1
197505;50.3;1
197506;27.7;1
197507;37.5;1
197508;113.7;1
197509;113.4;1
197510;418.8;1
197511;304.1;1
197512;180.1;1
197601;123.4;1
197602;81.3;1
197603;39.5;1
197604;27.9;1
197605;5.3;1
197606;34.7;1
197607;82.6;1
197608;203.1;1
197609;128.1;1
197610;200.5;1
197611;210.5;1
197612;260.1;1
197701;49.8;1
197702;24.5;1
197703;14.2;1
197704;68.8;1
197705;53;1
197706;64.1;1
197707;90.6;1
197708;230.8;1
197709;145.4;1
197710;494.6;1
197711;196.7;1
197712;45.5;1
197801;45.9;1
197802;46.4;1
197803;81.7;1
197804;85.1;1
197805;62.2;1
197806;142;1
197807;156;1
197808;162.7;1
197809;146.6;1
197810;146.2;1
197811;173.4;1
197812;44.4;1
197901;18.9;1
197902;29.4;1
197903;135.2;1
197904;17.1;1
197905;86.5;1
197906;167.9;1
197907;187.1;1
197908;353.6;1
197909;158.1;1
197910;350.9;1
197911;236;1
197912;81.7;1
198001;54.6;1
198002;78.7;1
198003;40;1
198004;228.5;1
198005;76.9;1
198006;62.1;1
198007;128.6;1
198008;322.5;1
198009;230.6;1
198010;209.6;1
198011;72.7;1
198012;247.3;1
198101;78.5;1
198102;107.9;1
198103;66.4;1
198104;453.4;1
198105;324.9;1
198106;120.4;1
198107;396.2;1
198108;207.1;1
198109;73.5;1
198110;170.9;1
198111;169.1;1
198112;184.7;1
198201;136.4;1
198202;88.3;1
198203;44.9;1
198204;105.6;1
198205;155.8;1
198206;38;1
198207;165.4;1
198208;226.7;1
198209;185.6;1
198210;208.1;1
198211;437.5;1
198212;161.3;1
198301;67.7;1
198302;16.6;1
198303;52.1;1
198304;20.6;1
198305;137.9;1
198306;85.6;1
198307;150.2;1
198308;258.3;1
198309;304;1
198310;151.8;1
198311;62.5;1
198312;95.5;1
198401;52;1
198402;47.4;1
198403;146.6;1
198404;64.1;1
198405;31.7;1
198406;97.1;1
198407;169.2;1
198408;125;1
198409;74.6;1
198410;250.8;1
198411;601.3;1
198412;87.5;1
198501;129.7;1
198502;20.6;1
198503;60.3;1
198504;177.1;1
198505;68.6;1
198506;33.8;1
198507;144.6;1
198508;161.1;1
198509;230.4;1
198510;294.7;1
198511;277.3;1
198512;94.5;1
198601;106.8;1
198602;15;1
198603;61.3;1
198604;41.6;1
198605;241;1
198606;105.5;1
198607;41.7;1
198608;228;1
198609;161.2;1
198610;104.5;1
198611;395.3;1
198612;70.7;1
198701;51.5;1
198702;25.8;1
198703;20.6;1
198704;7.4;1
198705;379.2;1
198706;177.4;1
198707;148;1
198708;190.7;1
198709;229.4;1
198710;274.7;1
198711;429.2;1
198712;37.8;1
198801;80.8;1
198802;47.3;1
198803;30.5;1
198804;51.4;1
198805;28.3;1
198806;155.7;1
198807;194.7;1
198808;315.2;1
198809;439.4;1
198810;338.6;1
198811;215;1
198812;88.7;1
198901;49.5;1
198902;69.9;1
198903;147.2;1
198904;163.3;1
198905;17.9;1
198906;76.5;1
198907;151.7;1
198908;315.4;1
198909;370.1;1
198910;235.2;1
198911;127.8;1
198912;123.7;1
199001;147;1
199002;35.9;1
199003;82.2;1
199004;90.3;1
199005;111.2;1
199006;174.3;1
199007;178.1;1
199008;227.7;1
199009;234.8;1
199010;574;1
199011;181.6;1
199012;108.5;1
199101;113.6;1
199102;51.3;1
199103;79.8;1
199104;154.3;1
199105;126;1
199106;54.9;1
199107;152.2;1
199108;86.1;1
199109;195.9;1
199110;85.5;1
199111;493.7;1
199112;155.1;1
199201;17.8;1
199202;23.9;1
199203;24.1;1
199204;95.5;1
199205;390;1
199206;235.2;1
199207;112.8;1
199208;123.6;1
199209;159.3;1
199210;18.2;1
199211;508.5;1
199212;55.9;1
199301;163.8;1
199302;152.5;1
199303;51.5;1
199304;41.2;1
199305;358;1
199306;97.1;1
199307;146.4;1
199308;213.8;1
199309;239.6;1
199310;101.7;1
199311;86.5;1
199312;30.4;1
199401;37.2;1
199402;17.4;1
199403;37.8;1
199404;38.6;1
199405;105.6;1
199406;128.2;1
199407;20.8;1
199408;181.2;1
199409;318;1
199410;124.3;1
199411;52.5;1
199412;174.6;1
199501;127.4;1
199502;18.3;1
199503;68.7;1
199504;158.9;1
199505;22.6;1
199506;37.8;1
199507;98.4;1
199508;607.7;1
199509;407.3;1
199510;218.2;1
199511;156.7;1
199512;120;1
199601;110;1
199602;28.1;1
199603;54.4;1
199604;67.4;1
199605;44.7;1
199606;185.8;1
199607;263.5;1
199608;198.2;1
199609;313.1;1
199610;461.5;1
199611;467.4;1
199612;58.2;1
199701;76.6;1
199702;25.8;1
199703;33.9;1
199704;65.4;1
199705;92.2;1
199706;90.6;1
199707;160.7;1
199708;203.4;1
199709;175.8;1
199710;139.1;1
199711;142.4;1
199712;77;1
199801;120.4;1
199802;10.4;1
199803;20;1
199804;44.2;1
199805;177.1;1
199806;252.7;1
199807;324.9;1
199808;177.7;1
199809;223.3;1
199810;324.2;1
199811;67.7;1
199812;358.4;1
199901;66.1;1
199902;24.7;1
199903;16.8;1
199904;200;1
199905;17.3;1
199906;195;1
199907;159.9;1
199908;167.5;1
199909;154;1
199910;117;1
199911;427.6;1
199912;61.4;1
200001;75.8;1
200002;188.1;1
200003;92.3;1
200004;34.8;1
200005;50.6;1
200006;89;1
200007;123.5;1
200008;223;1
200009;144.9;1
200010;195.7;1
200011;275;1
200012;62.7;1
200101;42.5;1
200102;62.1;1
200103;15.5;1
200104;45.6;1
200105;16.8;1
200106;66.4;1
200107;182.1;1
200108;103.6;1
