# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97211003
# NOM_USUEL= GRANDRIVIERE
# LATITUDE (°) = 14.875
# LONGITUDE(°)= -61.181
# ALTITUDE (m) = 4
# NUM_SERIE= MRR097211003
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;207.9;1
196202;91.3;1
196203;23;1
196204;125.3;1
196205;52.1;1
196206;245;1
196207;283.3;1
196208;431.1;1
196209;372.5;1
196210;205.1;1
196211;101.4;1
196212;129.2;1
196301;100.3;1
196302;90.4;1
196303;97;1
196304;105.9;1
196305;263.3;1
196306;153.5;1
196307;390.9;1
196308;174.4;1
196309;460.7;1
196310;130.2;1
196311;488.5;1
196312;74.5;1
196401;96.3;1
196402;56;1
196403;116.9;1
196404;273;1
196405;86;1
196406;324.9;1
196407;468.7;1
196408;358.2;1
196409;345.9;1
196410;362.9;1
196411;124.6;1
196412;143.3;1
196501;350.8;1
196502;41.7;1
196503;47.4;1
196504;105.2;1
196505;34;1
196506;159.3;1
196507;242.4;1
196508;276.4;1
196509;212.4;1
196510;214.4;1
196511;176.8;1
196512;356.8;1
196601;57.3;1
196602;302.3;1
196603;108.4;1
196604;271.7;1
196605;446.2;1
196606;121.5;1
196607;708.5;1
196608;325.4;1
196609;329.3;1
196610;106.1;1
196611;680.3;1
196612;163;1
196701;163.2;1
196702;179.1;1
196703;295.3;1
196704;127.4;1
196705;79.3;1
196706;72.8;1
196707;185.1;1
196708;233.5;1
196709;613;1
196710;359.5;1
196711;166;1
196712;109.9;1
196801;109.6;1
196802;14.9;1
196803;140.9;1
196804;237.8;1
196805;103.1;1
196806;345.9;1
196807;127.4;1
196808;238.6;1
196809;258.9;1
196810;231.8;1
196811;119.4;1
196812;301.9;1
196901;75.3;1
196902;22.8;1
196903;50.1;1
196904;241.2;1
196905;125.9;1
196906;359.1;1
196907;305.8;1
196908;339.1;1
196909;261.2;1
196910;291.8;1
196911;571.4;1
196912;280.4;1
197001;52.5;1
197002;83.9;1
197003;58.2;1
197004;72.5;1
197005;254;1
197006;314.9;1
