# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97213002
# NOM_USUEL= LAMENTIN-QUARRE
# LATITUDE (°) = 14.633
# LONGITUDE(°)= -60.992
# ALTITUDE (m) = 19
# NUM_SERIE= MRR097213002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196301 201312
# Date(s) de rupture(s) d'homogénéité : 199412
#     Periode homogénéisée  196301 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196301;183.1;1
196302;94.6;1
196303;59.7;1
196304;104.3;1
196305;192.7;1
196306;146.6;1
196307;346.6;1
196308;183.1;1
196309;539.2;1
196310;219.8;1
196311;111.8;1
196312;104.5;1
196401;105;1
196402;97.7;1
196403;124.5;1
196404;149.8;1
196405;210.5;1
196406;263.4;1
196407;315.6;1
196408;340.1;1
196409;268.8;1
196410;234.4;1
196411;164.6;1
196412;168.9;1
196501;198;1
196502;53.3;1
196503;61.3;1
196504;133.9;1
196505;122.5;1
196506;148.7;1
196507;235.6;1
196508;243.8;1
196509;273;1
196510;270.7;1
196511;152.9;1
196512;176.3;1
196601;18.9;1
196602;255.7;1
196603;176.1;1
196604;146.8;1
196605;339.9;1
196606;200.4;1
196607;540.9;1
196608;202.1;1
196609;302.9;1
196610;244.4;1
196611;487.4;1
196612;205.3;1
196701;345.5;1
196702;156.6;1
196703;184.2;1
196704;129.8;1
196705;125.9;1
196706;65.1;1
196707;187;1
196708;271.2;1
196709;572.1;1
196710;223.5;1
196711;212;1
196712;126.1;1
196801;110.4;1
196802;23.4;1
196803;95.6;1
196804;236.5;1
196805;247.7;1
196806;232.5;1
196807;140.2;1
196808;276.2;1
196809;206.3;1
196810;200.5;1
196811;140.4;1
196812;207.2;1
196901;152.5;1
196902;51.1;1
196903;10.1;1
196904;50.6;1
196905;133.7;1
196906;345.6;1
196907;394.4;1
196908;288;1
196909;334;1
196910;286.3;1
196911;276.2;1
196912;256.7;1
197001;41.2;1
197002;41.3;1
197003;73;1
197004;31;1
197005;150.1;1
197006;262.1;1
197007;383.6;1
197008;351.4;1
197009;126.4;1
197010;290.1;1
197011;270;1
197012;345;1
197101;164.3;1
197102;184.1;1
197103;68.8;1
197104;54;1
197105;123.2;1
197106;27;1
197107;136;1
197108;381.7;1
197109;287.8;1
197110;166.3;1
197111;73.6;1
197112;298.8;1
197201;158.4;1
197202;224.9;1
197203;100.8;1
197204;129.7;1
197205;69.7;1
197206;98.8;1
197207;222;1
197208;137.5;1
197209;252.4;1
197210;266.2;1
197211;227.2;1
197212;287.4;1
197301;56.3;1
197302;59.4;1
197303;32;1
197304;64.5;1
197305;63.8;1
197306;176.8;1
197307;67.4;1
197308;177.2;1
197309;287.7;1
197310;181.3;1
197311;41.8;1
197312;66.4;1
197401;137.3;1
197402;133.5;1
197403;186.1;1
197404;76;1
197405;105.4;1
197406;122.2;1
197407;90.2;1
197408;94.6;1
197409;288.9;1
197410;247.8;1
197411;183.3;1
197412;76.6;1
197501;190.8;1
197502;125.7;1
197503;60.5;1
197504;47.5;1
197505;60.5;1
197506;64.8;1
197507;51.4;1
197508;184.4;1
197509;263.9;1
197510;549.1;1
197511;218.5;1
197512;241.8;1
197601;153.5;1
197602;160;1
197603;55.3;1
197604;31.7;1
197605;41.5;1
197606;128.6;1
197607;153.9;1
197608;211.7;1
197609;157;1
197610;376.6;1
197611;314.1;1
197612;315.3;1
197701;58;1
197702;48.3;1
197703;35.9;1
197704;134.3;1
197705;71.3;1
197706;88.5;1
197707;82.1;1
197708;333.2;1
197709;215.6;1
197710;410.6;1
197711;272.4;1
197712;86.3;1
197801;166.2;1
197802;46.4;1
197803;181.1;1
197804;60.3;1
197805;98.1;1
197806;207;1
197807;226;1
197808;365.2;1
197809;224.5;1
197810;297.3;1
197811;314.8;1
197812;101.7;1
197901;34.7;1
197902;50.6;1
197903;116.8;1
197904;41.4;1
197905;165.9;1
197906;337.8;1
197907;335.9;1
197908;396.7;1
197909;281.5;1
197910;359.6;1
197911;328.8;1
197912;136;1
198001;111.2;1
198002;84.1;1
198003;67.4;1
198004;309.3;1
198005;66.1;1
198006;123.6;1
198007;239.9;1
198008;480.2;1
198009;291.4;1
198010;254.3;1
198011;222.6;1
198012;229.7;1
198101;132.5;1
198102;145.3;1
198103;51.1;1
198104;576.5;1
198105;277.7;1
198106;173.3;1
198107;321.8;1
198108;294.4;1
198109;75.1;1
198110;189.2;1
198111;190.4;1
198112;384.1;1
198201;180.1;1
198202;167.3;1
198203;88.5;1
198204;121.4;1
198205;104.7;1
198206;69;1
198207;221.5;1
198208;304.4;1
198209;311.3;1
198210;317.9;1
198211;363.2;1
198212;195.9;1
198301;146.4;1
198302;72;1
198303;86.7;1
198304;25.9;1
198305;277.6;1
198306;146.7;1
198307;254.1;1
198308;278.4;1
198309;336.9;1
198310;200.2;1
198311;119.3;1
198312;108.6;1
198401;92.8;1
198402;46.9;1
198403;136;1
198404;77.8;1
198405;90.3;1
198406;150.3;1
198407;294.1;1
198408;152.2;1
198409;211.3;1
198410;389.5;1
198411;574;1
198412;98.6;1
198501;79.1;1
198502;67.9;1
198503;112.1;1
198504;120.3;1
198505;82.5;1
198506;57.3;1
198507;170.2;1
198508;230.5;1
198509;222;1
198510;415;1
198511;296.1;1
198512;134.3;1
198601;160.4;1
198602;26.1;1
198603;101.1;1
198604;100.5;1
198605;174.4;1
198606;179.5;1
198607;81.9;1
198608;240.9;1
198609;290.8;1
198610;209;1
198611;571.5;1
198612;152.9;1
198701;57.6;1
198702;13;1
198703;33.4;1
198704;10.4;1
198705;334.1;1
198706;174.1;1
198707;219.6;1
198708;280.3;1
198709;229.7;1
198710;280.2;1
198711;574.7;1
198712;121.8;1
198801;92.1;1
198802;85.4;1
198803;58.2;1
198804;101.2;1
198805;81.8;1
198806;324.8;1
198807;185.3;1
198808;602.1;1
198809;367.9;1
198810;438.9;1
198811;310.3;1
198812;196.2;1
198901;109.9;1
198902;236.7;1
198903;173.5;1
198904;132.4;1
198905;39;1
198906;125.2;1
198907;277.5;1
198908;424.4;1
198909;282.8;1
198910;243.2;1
198911;180.6;1
198912;176.1;1
199001;192;1
199002;78.7;1
199003;96.4;1
199004;167.3;1
199005;148.1;1
199006;241.6;1
199007;211.1;1
199008;232.8;1
199009;264.4;1
199010;889.5;1
199011;240.4;1
199012;113;1
199101;137.6;1
199102;78.5;1
199103;90;1
199104;149.4;1
199105;107.8;1
199106;170.6;1
199107;147.8;1
199108;127.6;1
199109;206.4;1
199110;105.9;1
199111;558.4;1
199112;183.7;1
199201;80.9;1
199202;103.9;1
199203;58.1;1
199204;130.1;1
199205;142.2;1
199206;270.1;1
199207;163.4;1
199208;206.5;1
199209;458.2;1
199210;161.9;1
199211;650.3;1
199212;134.3;1
199301;198.8;1
199302;127.7;1
199303;112.8;1
199304;95.5;1
199305;247.6;1
199306;139;1
199307;238.2;1
199308;265.9;1
199309;489.6;1
199310;194;1
199311;279.6;1
199312;125.2;1
199401;97.4;1
199402;99.4;1
199403;86.5;1
199404;87.5;1
199405;115.5;1
199406;167.1;1
199407;62.8;1
199408;273.8;1
199409;381.2;1
199410;175.6;1
199411;130.8;1
199412;155.6;1
199501;115.2;1
199502;108.9;1
199503;160.4;1
199504;171.1;1
199505;48.2;1
199506;86.2;1
199507;272.3;1
199508;745.1;1
199509;362.3;1
199510;376.9;1
199511;276.2;1
199512;186.3;1
199601;167.8;1
199602;71.2;1
199603;152.4;1
199604;106.7;1
199605;103.1;1
199606;245;1
199607;296.1;1
199608;296.7;1
199609;334.1;1
199610;428.1;1
199611;404.2;1
199612;248.2;1
199701;162.2;1
199702;90.4;1
199703;62.7;1
199704;39.2;1
199705;216.1;1
199706;186.7;1
199707;258.5;1
199708;205.6;1
199709;267.5;1
199710;180.7;1
199711;227;1
199712;128;1
199801;164.1;1
199802;23.7;1
199803;43.3;1
199804;61.4;1
199805;206.4;1
199806;288.3;1
199807;298.4;1
199808;314.6;1
199809;247.3;1
199810;393.9;1
199811;297.4;1
199812;421.3;1
199901;169.5;1
199902;62.6;1
199903;51.1;1
199904;195;1
199905;61.2;1
199906;185.3;1
199907;277.1;1
199908;199.1;1
199909;118.3;1
199910;207.2;1
199911;358;1
199912;120.7;1
200001;203.2;1
200002;175.1;1
200003;145;1
200004;65;1
200005;95.7;1
200006;152.6;1
200007;201.5;1
200008;232.1;1
200009;258.4;1
200010;280;1
200011;322.2;1
200012;120.4;1
200101;54.5;1
200102;71.1;1
200103;40;1
200104;80;1
200105;45;1
200106;80;1
200107;249.7;1
200108;182.5;1
200109;132.5;1
200110;416.2;1
200111;121.7;1
200112;324.8;1
200201;157.8;1
200202;59.3;1
200203;72.4;1
200204;258.8;1
200205;173.1;1
200206;119.4;1
200207;143.4;1
200208;183.3;1
200209;156.9;1
200210;330.4;1
200211;177.9;1
200212;61.4;1
200301;76.3;1
200302;66.5;1
200303;79.5;1
200304;70.7;1
