# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97218002
# NOM_USUEL= MORNE-ROUGE-CHAMP
# LATITUDE (°) = 14.755
# LONGITUDE(°)= -61.11
# ALTITUDE (m) = 350
# NUM_SERIE= MRR097218002
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;589.6;1
196202;306;1
196203;120.2;1
196204;291.3;1
196205;183.1;1
196206;462.3;1
196207;543.8;1
196208;538.2;1
196209;505.4;1
196210;308.3;1
196211;301.8;1
196212;281.3;1
196301;348.4;1
196302;255.7;1
196303;270.9;1
196304;213.1;1
196305;464.4;1
196306;375.7;1
196307;812.8;1
196308;356.6;1
196309;604.6;1
196310;211;1
196311;418.6;1
196312;194.8;1
196401;219.4;1
196402;164.9;1
196403;339.8;1
196404;573.5;1
196405;150.1;1
196406;576.4;1
196407;725.5;1
196408;662.8;1
196409;445.1;1
196410;391.8;1
196411;249.3;1
196412;340.7;1
196501;442.7;1
196502;190.2;1
196503;152.8;1
196504;231.4;1
196505;116.2;1
196506;294.8;1
196507;610.9;1
196508;324.3;1
196509;443.2;1
196510;509.2;1
196511;333.9;1
196512;262.3;1
196601;109.9;1
196602;498.7;1
196603;301.3;1
196604;316;1
196605;650.6;1
196606;470.8;1
196607;661;1
196608;517.5;1
196609;424.3;1
196610;393.4;1
196611;553.5;1
196612;396.7;1
196701;747.7;1
196702;345.1;1
196703;449.7;1
196704;285.7;1
196705;283.2;1
196706;189.4;1
196707;394.5;1
196708;617.9;1
196709;706;1
196710;402.4;1
196711;371.3;1
196712;432.7;1
196801;337.2;1
196802;62;1
196803;409.5;1
196804;396.1;1
196805;351.5;1
196806;464.5;1
196807;285;1
196808;426.3;1
196809;323.9;1
196810;305.3;1
196811;292.2;1
196812;342.8;1
196901;390;1
196902;61.9;1
196903;46.9;1
196904;352.5;1
196905;286.2;1
196906;628.6;1
196907;687.5;1
196908;629.3;1
196909;441.2;1
196910;405.5;1
196911;664.4;1
196912;334.8;1
197001;163.4;1
197002;175.1;1
197003;212.2;1
197004;83.6;1
197005;310.6;1
197006;619.1;1
197007;584.4;1
197008;860.1;1
197009;336.2;1
197010;586;1
197011;524.7;1
197012;660.3;1
197101;477;1
197102;352.7;1
197103;170.8;1
197104;144.5;1
197105;273;1
197106;142;1
197107;257;1
197108;480.7;1
197109;356.6;1
197110;329.4;1
197111;158.9;1
197112;512.8;1
197201;589.2;1
197202;508.9;1
197203;332.5;1
197204;383.9;1
197205;380.9;1
197206;266.4;1
197207;550.8;1
197208;406;1
197209;533.1;1
197210;362.7;1
197211;342.4;1
197212;433.2;1
197301;214.1;1
197302;129;1
197303;106.2;1
197304;110.7;1
197305;125.4;1
197306;409.5;1
197307;203;1
197308;398.1;1
197309;412.9;1
197310;367.7;1
197311;341.4;1
197312;427.5;1
197401;656.5;1
197402;298;1
197403;619.5;1
197404;329;1
197405;338.7;1
197406;430.1;1
197407;173.8;1
197408;319.3;1
197409;658.9;1
197410;428.3;1
197411;256.1;1
197412;246.4;1
197501;457.9;1
197502;309.9;1
197503;177.6;1
197504;141;1
197505;184.7;1
197506;140.4;1
197507;199.5;1
197508;495.7;1
197509;302.7;1
197510;810.5;1
197511;404.9;1
197512;842.7;1
197601;383.8;1
197602;393.7;1
197603;382.9;1
197604;163.9;1
197605;309.9;1
197606;358.2;1
197607;252.2;1
197608;444.4;1
197609;360.6;1
197610;635.2;1
197611;589.9;1
197612;538.3;1
197701;153.9;1
197702;111.5;1
197703;128.4;1
197704;387.6;1
197705;241.3;1
197706;258.2;1
197707;249.1;1
197708;631.5;1
197709;531.3;1
197710;741;1
197711;502.5;1
197712;248.5;1
197801;366.5;1
197802;111.8;1
197803;276.3;1
197804;246.2;1
197805;354.7;1
197806;303.3;1
197807;441.2;1
197808;552.7;1
197809;434.1;1
197810;464.5;1
197811;600;1
197812;305.7;1
197901;208.9;1
197902;131.7;1
197903;423.6;1
197904;134.5;1
197905;417.9;1
197906;765.9;1
197907;569.6;1
197908;646.8;1
197909;352.5;1
197910;497.8;1
197911;518.1;1
197912;413.5;1
198001;276.4;1
198002;242;1
198003;191.6;1
198004;305.6;1
198005;89.3;1
198006;292.4;1
198007;550;1
198008;724.3;1
198009;465.1;1
198010;453.3;1
198011;469.9;1
198012;491.2;1
198101;289.3;1
198102;447.5;1
198103;101.5;1
198104;1082.1;1
198105;447.1;1
198106;442.1;1
198107;481.9;1
198108;491.1;1
198109;182.3;1
198110;235.1;1
198111;433.6;1
198112;501.2;1
198201;422.2;1
198202;531.9;1
198203;299;1
198204;342.3;1
198205;216.8;1
198206;282.3;1
198207;463;1
198208;509.2;1
198209;630.7;1
198210;350.2;1
198211;737.1;1
198212;590.9;1
198301;244;1
198302;221.3;1
198303;215.1;1
