# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97222002
# NOM_USUEL= ROBERT-PTE FORT
# LATITUDE (°) = 14.68
# LONGITUDE(°)= -60.926
# ALTITUDE (m) = 16
# NUM_SERIE= MRR097222002
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;74.6;1
196202;91.1;1
196203;29.8;1
196204;113.5;1
196205;52.6;1
196206;166;1
196207;162;1
196208;284.4;1
196209;237.2;1
196210;145.8;1
196211;28.7;1
196212;106.1;1
196301;141.9;1
196302;33.5;1
196303;39.9;1
196304;73.3;1
196305;95;1
196306;110.7;1
196307;221.9;1
196308;62.4;1
196309;472.9;1
196310;152.4;1
196311;101.2;1
196312;65.9;1
196401;54.3;1
196402;40.5;1
196403;50.5;1
196404;110;1
196405;157.7;1
196406;260.9;1
196407;290.3;1
196408;231.1;1
196409;165;1
196410;180.6;1
196411;72.7;1
196412;105.1;1
196501;136.2;1
196502;26.9;1
196503;32;1
196504;90.4;1
196505;162.5;1
196506;79.5;1
196507;94.3;1
196508;121.7;1
196509;325.1;1
196510;194.2;1
196511;30.5;1
196512;104.4;1
196601;8.7;1
196602;160.8;1
196603;150.8;1
196604;212;1
196605;159.8;1
196606;211.3;1
196607;202.8;1
196608;186.7;1
196609;136.6;1
196610;143.9;1
196611;738.4;1
196612;27.1;1
196701;114.5;1
196702;114.4;1
196703;131.5;1
196704;51.4;1
196705;30.9;1
196706;101.7;1
196707;96;1
196708;130.4;1
196709;631.8;1
196710;234.2;1
196711;211.8;1
196712;22.4;1
196801;88.5;1
196802;12.7;1
196803;54.1;1
196804;121;1
196805;209;1
196806;225.8;1
196807;98.5;1
196808;200.8;1
196809;172.7;1
196810;167.7;1
196811;91.1;1
196812;155.8;1
196901;159.4;1
196902;41.9;1
196903;13.1;1
196904;46.7;1
196905;69.9;1
196906;206.4;1
196907;236;1
196908;134.6;1
196909;173.9;1
196910;252.9;1
196911;201.7;1
196912;307.2;1
197001;25;1
197002;32.9;1
197003;56.4;1
197004;13.8;1
197005;134;1
197006;222;1
197007;287.2;1
197008;235.8;1
197009;133.3;1
197010;232.5;1
197011;232.1;1
197012;332.4;1
197101;102.8;1
197102;174.9;1
