# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97224001
# NOM_USUEL= ST-JOSEPH RABUCH
# LATITUDE (°) = 14.679
# LONGITUDE(°)= -61.057
# ALTITUDE (m) = 380
# NUM_SERIE= MRR097224001
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201312
# Date(s) de rupture(s) d'homogénéité : 200909
#     Periode homogénéisée  195001 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;487.1;1
195002;155.5;1
195003;147.5;1
195004;171.5;1
195005;280.7;1
195006;413.9;1
195007;201.6;1
195008;499;1
195009;414.1;1
195010;251.9;1
195011;397.1;1
195012;338.5;1
195101;141.6;1
195102;179.1;1
195103;41.7;1
195104;144.7;1
195105;215.5;1
195106;366.7;1
195107;264.6;1
195108;342.6;1
195109;405.1;1
195110;329;1
195111;182;1
195112;333.8;1
195201;159.6;1
195202;99.3;1
195203;174.6;1
195204;175.4;1
195205;185.4;1
195206;284;1
195207;531.5;1
195208;333.3;1
195209;366.8;1
195210;250.4;1
195211;404.5;1
195212;339.2;1
195301;93.1;1
195302;91;1
195303;218;1
195304;134.2;1
195305;279.8;1
195306;280.5;1
195307;380.3;1
195308;335.2;1
195309;261.6;1
195310;250.2;1
195311;384.4;1
195312;351.9;1
195401;195;1
195402;84.3;1
195403;75.8;1
195404;261.1;1
195405;158.8;1
195406;186.8;1
195407;363.6;1
195408;302.3;1
195409;427.4;1
195410;529.9;1
195411;601.5;1
195412;287.9;1
195501;92.5;1
195502;145.5;1
195503;61.7;1
195504;92.5;1
195505;246.1;1
195506;409.1;1
195507;410.2;1
195508;385.7;1
195509;679.5;1
195510;481.1;1
195511;407.7;1
195512;252.9;1
195601;440.2;1
195602;271.6;1
195603;132.5;1
195604;279;1
195605;69.1;1
195606;498.6;1
195607;332.9;1
195608;527.2;1
195609;117.2;1
195610;547.7;1
195611;359.2;1
195612;292.2;1
195701;261.4;1
195702;50.3;1
195703;16.6;1
195704;18.3;1
195705;88.6;1
195706;273.9;1
195707;304.7;1
195708;252.1;1
195709;234.4;1
195710;319.6;1
195711;299;1
195712;211;1
195801;168.1;1
195802;32;1
195803;6.5;1
195804;150.9;1
195805;546;1
195806;511.7;1
195807;471.7;1
195808;301.3;1
195809;678.7;1
195810;401.4;1
195811;368.8;1
195812;416.8;1
195901;184.1;1
195902;188.1;1
195903;188.1;1
195904;245.3;1
195905;299;1
195906;239.6;1
195907;285.9;1
195908;135.5;1
195909;330.5;1
195910;384.2;1
195911;264.1;1
195912;122.4;1
196001;146;1
196002;132.1;1
196003;140.7;1
196004;183;1
196005;145.2;1
196006;177.4;1
196007;432.8;1
196008;309.3;1
196009;242.4;1
196010;407.7;1
196011;201.8;1
196012;267.6;1
196101;268.2;1
196102;203;1
196103;186.4;1
196104;66.3;1
196105;174.4;1
196106;289.9;1
196107;498.6;1
196108;297.3;1
196109;193.8;1
196110;419.1;1
196111;195;1
196112;264.1;1
196201;353.9;1
196202;136.6;1
196203;48.6;1
196204;243;1
196205;106.9;1
196206;348.8;1
196207;363.6;1
196208;356.8;1
196209;460.8;1
196210;155.5;1
196211;215;1
196212;233.3;1
196301;255;1
196302;146.4;1
196303;109.3;1
196304;183.4;1
196305;304.9;1
196306;178.4;1
196307;404.3;1
196308;189.8;1
196309;595.5;1
196310;167.9;1
196311;227.1;1
196312;102.3;1
196401;118.4;1
196402;99.5;1
196403;162.4;1
196404;247.6;1
196405;185.8;1
196406;347.6;1
196407;378.6;1
196408;426;1
196409;322.5;1
196410;288.2;1
196411;183;1
196412;189.8;1
196501;221.8;1
196502;18.3;1
196503;20;1
196504;122.4;1
196505;100.1;1
196506;203;1
196507;301.9;1
196508;210.4;1
196509;356.6;1
196510;250.4;1
196511;235.6;1
196512;200.1;1
196601;41.2;1
196602;352;1
196603;153.7;1
196604;275.1;1
196605;347.9;1
196606;271.7;1
196607;587.3;1
196608;347.2;1
196609;547.5;1
196610;454.2;1
196611;613.4;1
196612;178.4;1
196701;509.1;1
196702;284.7;1
196703;326.6;1
196704;211.1;1
196705;116;1
196706;158.5;1
196707;223.7;1
196708;347.9;1
196709;631.2;1
196710;355.9;1
196711;319;1
196712;160.8;1
196801;168.8;1
196802;63.6;1
196803;134.7;1
196804;85.1;1
196805;279.9;1
196806;387.9;1
196807;277.2;1
196808;352.4;1
196809;336.2;1
196810;289.3;1
196811;360.9;1
196812;281.3;1
196901;205.1;1
196902;32.2;1
196903;22.4;1
196904;132.9;1
196905;149.6;1
196906;520.1;1
196907;638.1;1
196908;365.9;1
196909;434.5;1
196910;301.9;1
196911;425.4;1
196912;234.6;1
197001;85.8;1
197002;49.2;1
197003;101.2;1
197004;64;1
197005;169.2;1
197006;409.4;1
197007;571.8;1
197008;580.9;1
197009;236.7;1
197010;651.8;1
197011;299;1
197012;385.9;1
197101;233.3;1
197102;273;1
197103;75.5;1
197104;98.3;1
197105;189.8;1
197106;44.6;1
197107;201.1;1
197108;461.3;1
197109;248.7;1
197110;299.7;1
197111;136.8;1
197112;472.4;1
197201;350.3;1
197202;330.5;1
197203;193.1;1
197204;165.6;1
197205;175;1
197206;246.1;1
197207;348.1;1
197208;251.8;1
197209;479.4;1
197210;466.7;1
197211;298.2;1
197212;281.9;1
197301;99;1
197302;124.3;1
197303;88.9;1
197304;92.3;1
197305;83.4;1
197306;302.1;1
197307;156.8;1
197308;239.7;1
197309;380.6;1
197310;259.7;1
197311;131.2;1
197312;277.5;1
197401;327.5;1
197402;241.9;1
197403;312.2;1
197404;171.4;1
197405;221;1
197406;222.1;1
197407;165;1
197408;133.3;1
197409;281.1;1
197410;462.9;1
197411;236.6;1
197412;152.9;1
197501;265.7;1
197502;221.4;1
197503;133;1
197504;89.3;1
197505;122.6;1
197506;62.8;1
197507;116.9;1
197508;350.6;1
197509;283.7;1
197510;746.6;1
197511;388.7;1
197512;477.3;1
197601;237.5;1
197602;187.2;1
197603;164.9;1
197604;82.8;1
197605;180.4;1
197606;190.9;1
197607;266;1
197608;259;1
197609;241.4;1
197610;538.6;1
197611;474.1;1
197612;417.8;1
197701;88.3;1
197702;91.3;1
197703;66.4;1
197704;212.1;1
197705;144.7;1
197706;196.3;1
197707;242.9;1
197708;416.6;1
197709;422.6;1
197710;577.2;1
197711;352.9;1
197712;189.1;1
197801;242.1;1
197802;81.8;1
197803;280.8;1
197804;129.7;1
197805;223.8;1
197806;306;1
197807;285.2;1
197808;380.1;1
197809;327.6;1
197810;420.6;1
197811;463.3;1
197812;224.2;1
197901;108.2;1
