# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97228005
# NOM_USUEL= STE-MARIE  MORN ESSE
# LATITUDE (°) = 14.743
# LONGITUDE(°)= -61.017
# ALTITUDE (m) = 218
# NUM_SERIE= MRR097228005
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : 197412 199212
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;315.4;1
196202;213;1
196203;78.5;1
196204;226.1;1
196205;81;1
196206;355.8;1
196207;360.9;1
196208;462;1
196209;317.6;1
196210;276.5;1
196211;313.6;1
196212;155.9;1
196301;219.8;1
196302;144.2;1
196303;108.3;1
196304;124.9;1
196305;334.9;1
196306;133.3;1
196307;404.9;1
196308;237.1;1
196309;585.9;1
196310;223.8;1
196311;301.2;1
196312;125.7;1
196401;167.6;1
196402;124;1
196403;127.1;1
196404;274.4;1
196405;291.4;1
196406;336.7;1
196407;413.9;1
196408;419;1
196409;379.4;1
196410;362.9;1
196411;196.1;1
196412;155.7;1
196501;284.5;1
196502;113.1;1
196503;100.2;1
196504;228.1;1
196505;130.3;1
196506;202.4;1
196507;351.6;1
196508;195;1
196509;253.6;1
196510;375.8;1
196511;277.2;1
196512;238.4;1
196601;4;1
196602;350.7;1
196603;243.5;1
196604;272.2;1
196605;449.1;1
196606;262.9;1
196607;356.9;1
196608;461.9;1
196609;280.9;1
196610;262.8;1
196611;354.5;1
196612;265.4;1
196701;241.5;1
196702;205.4;1
196703;299.8;1
196704;209.8;1
196705;164.6;1
196706;131.2;1
196707;168.5;1
196708;257.2;1
196709;872.4;1
196710;421.9;1
196711;353.9;1
196712;116.4;1
196801;168.5;1
196802;89.2;1
196803;257.6;1
196804;278;1
196805;248.1;1
196806;412;1
196807;176.8;1
196808;355.4;1
196809;277.6;1
196810;266.7;1
196811;321.6;1
196812;356.4;1
196901;173.7;1
196902;58.9;1
196903;43.2;1
196904;194.1;1
196905;168.7;1
196906;556.4;1
196907;446;1
196908;367.5;1
196909;381.2;1
196910;424.4;1
196911;487.3;1
196912;340.5;1
197001;114.1;1
197002;131.1;1
197003;113.8;1
197004;67.8;1
197005;260.1;1
197006;370.5;1
197007;408;1
197008;682.7;1
197009;113.5;1
197010;611.2;1
197011;389.9;1
197012;574.3;1
197101;163.1;1
197102;177.3;1
197103;68.3;1
197104;124.2;1
197105;169.3;1
197106;89.5;1
197107;159.2;1
197108;384.4;1
197109;201.6;1
197110;221.4;1
197111;105;1
197112;306.5;1
197201;314.2;1
197202;329.5;1
197203;285.9;1
197204;229.6;1
197205;224.7;1
197206;134.6;1
197207;324.9;1
197208;255;1
197209;282.9;1
197210;268.6;1
197211;303.4;1
197212;307;1
197301;109.3;1
197302;91;1
197303;109.4;1
197304;75.1;1
197305;75.4;1
197306;287.8;1
197307;133.5;1
197308;180.9;1
197309;418;1
197310;206.6;1
197311;151.4;1
197312;213;1
197401;207.2;1
197402;206.4;1
197403;270.7;1
197404;122.1;1
197405;211.9;1
197406;150.8;1
197407;108.4;1
197408;195.4;1
197409;407.2;1
197410;287.9;1
197411;230.9;1
197412;138.6;1
197501;206.1;1
197502;208.1;1
197503;100.2;1
197504;79.9;1
197505;180.1;1
197506;71.7;1
197507;103.7;1
197508;257.1;1
197509;182.6;1
197510;537.8;1
197511;344.3;1
197512;522.3;1
197601;246.5;1
197602;168.2;1
197603;159.2;1
197604;110.2;1
197605;148.9;1
197606;191.3;1
197607;184.4;1
197608;278.6;1
197609;262.4;1
197610;629.6;1
197611;345;1
197612;372.5;1
197701;122.5;1
197702;49.3;1
197703;44.3;1
197704;195.2;1
197705;216.5;1
197706;133.8;1
197707;115.3;1
197708;416.7;1
197709;362.2;1
197710;453.6;1
197711;287;1
197712;146.9;1
197801;144.2;1
197802;86.1;1
197803;252.4;1
197804;152.3;1
197805;181;1
197806;280.9;1
197807;203.1;1
197808;301.2;1
197809;222.4;1
197810;407.1;1
197811;258.4;1
197812;188.5;1
197901;117.2;1
197902;55.7;1
197903;228.7;1
197904;76.9;1
197905;274;1
197906;374.4;1
197907;359.7;1
197908;373.6;1
197909;338.5;1
197910;523;1
197911;492;1
197912;291.7;1
198001;139.9;1
198002;161;1
198003;81.9;1
198004;274.8;1
198005;142;1
198006;173.2;1
198007;320.9;1
198008;429.4;1
198009;330;1
198010;376.2;1
198011;249.8;1
198012;374.9;1
198101;272.6;1
198102;282.8;1
198103;62.1;1
198104;733.6;1
198105;516.7;1
198106;273.1;1
198107;346.2;1
198108;303.7;1
198109;176.2;1
198110;301.7;1
198111;277;1
198112;458.4;1
198201;289.5;1
198202;252.8;1
198203;135.7;1
198204;170.5;1
198205;244.2;1
198206;134.6;1
198207;309.3;1
198208;382.2;1
198209;499.1;1
198210;488.8;1
198211;611.9;1
198212;614;1
198301;140.6;1
198302;226.6;1
198303;96.3;1
198304;104;1
198305;407.4;1
198306;179.4;1
198307;573.2;1
198308;360.7;1
198309;447.1;1
198310;277.8;1
198311;164;1
198312;139.5;1
198401;164.7;1
198402;115;1
198403;121.4;1
198404;127.7;1
198405;180.2;1
198406;186.4;1
198407;436.3;1
198408;275;1
198409;467.4;1
198410;526.9;1
198411;956.7;1
198412;191.1;1
198501;147.6;1
198502;94.7;1
198503;130.5;1
198504;259.6;1
198505;151.6;1
198506;95.7;1
198507;217.5;1
198508;286.8;1
198509;415.2;1
198510;582.7;1
198511;374.1;1
198512;179;1
198601;208.9;1
198602;80.2;1
198603;165.8;1
198604;129.9;1
198605;249.1;1
198606;116.1;1
198607;125;1
198608;264.8;1
198609;349;1
198610;256.2;1
198611;507;1
198612;214.4;1
198701;169.1;1
198702;53.2;1
198703;89.3;1
198704;80.9;1
198705;302.9;1
198706;374.1;1
198707;419.3;1
198708;309.2;1
198709;290.4;1
198710;397.5;1
198711;835.9;1
198712;183.4;1
198801;136.8;1
198802;144.1;1
198803;140.7;1
198804;108.1;1
198805;98.8;1
198806;229.9;1
198807;309.7;1
198808;719.9;1
198809;424.2;1
198810;444.2;1
198811;461.8;1
198812;249.9;1
198901;218.1;1
198902;328.5;1
198903;247.1;1
198904;283.3;1
198905;100.2;1
198906;178.5;1
198907;386.2;1
198908;398;1
198909;362.3;1
198910;267.9;1
198911;261.9;1
198912;191.5;1
199001;281.8;1
199002;121.7;1
199003;147.7;1
199004;399.1;1
199005;167.2;1
199006;239;1
199007;240.2;1
199008;225;1
199009;372.2;1
199010;1013.1;1
199011;282.1;1
199012;139.5;1
199101;283.8;1
199102;142.5;1
199103;131.7;1
199104;280.3;1
199105;255.8;1
199106;213.6;1
199107;232.4;1
199108;162.3;1
199109;254.6;1
199110;201.1;1
199111;800.6;1
199112;303.5;1
199201;130.4;1
199202;167.5;1
199203;100.7;1
199204;169.9;1
199205;265.5;1
199206;343.7;1
199207;245.8;1
199208;300.6;1
199209;649.5;1
199210;242.8;1
199211;611.9;1
199212;243.6;1
199301;238.6;1
199302;165.9;1
199303;174.5;1
199304;89.6;1
199305;469.2;1
199306;191.8;1
199307;412.6;1
199308;280.7;1
199309;547;1
199310;142;1
199311;480.5;1
199312;231.6;1
199401;151.7;1
199402;121.4;1
199403;81.8;1
199404;72.1;1
199405;157.6;1
199406;151.4;1
199407;75.9;1
199408;367.3;1
199409;456.2;1
199410;314.5;1
199411;265;1
199412;251.1;1
199501;228.8;1
199502;88.3;1
199503;252.6;1
199504;414.5;1
199505;73.5;1
199506;62.8;1
199507;227.1;1
199508;840.5;1
199509;601.9;1
199510;437.3;1
199511;370.4;1
