# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97304001
# NOM_USUEL= ILE ROYALE
# LATITUDE (°) = 5.283
# LONGITUDE(°)= -52.583
# ALTITUDE (m) = 48
# NUM_SERIE= MRR097304001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : 198212
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;153.5;1
195502;168.5;1
195503;677.9;1
195504;288.2;1
195505;821;1
195506;305;1
195507;184.6;1
195508;47.1;1
195509;11.2;1
195510;19.5;1
195511;221.3;1
195512;634.2;1
195601;239.8;1
195602;309.8;1
195603;627.2;1
195604;414.7;1
195605;571.7;1
195606;348.8;1
195607;173.5;1
195608;76.5;1
195609;113.6;1
195610;25.9;1
195611;147.2;1
195612;464.3;1
195701;250.4;1
195702;91.9;1
195703;197.6;1
195704;252.5;1
195705;337.5;1
195706;368.9;1
195707;197.4;1
195708;35.6;1
195709;3;1
195710;8.7;1
195711;90.9;1
195712;240.7;1
195801;83.1;1
195802;184.4;1
195803;168.7;1
195804;757.8;1
195805;230.4;1
195806;218.8;1
195807;149.9;1
195808;123;1
195809;0;1
195810;85;1
195811;14.3;1
195812;237.8;1
195901;227.8;1
195902;181.2;1
195903;112.9;1
195904;454.5;1
195905;244.6;1
195906;881;1
195907;252.2;1
195908;56.8;1
195909;9.1;1
195910;37.5;1
195911;254.5;1
195912;159.4;1
196001;152.4;1
196002;437.5;1
196003;35.2;1
196004;252.7;1
196005;786;1
196006;463.8;1
196007;216.5;1
196008;20.4;1
196009;25.9;1
196010;50.9;1
196011;126.3;1
196012;107.8;1
196101;203.8;1
196102;14.7;1
196103;36.4;1
196104;20.6;1
196105;193.6;1
196106;477.1;1
196107;165;1
196108;14.1;1
196109;51;1
196110;62.7;1
196111;112.3;1
196112;392.7;1
196201;197.8;1
196202;147.5;1
196203;161.3;1
196204;209.6;1
196205;429;1
196206;452.6;1
196207;160.4;1
196208;43.5;1
196209;112.5;1
196210;6.1;1
196211;66.4;1
196212;184.7;1
196301;560.3;1
196302;336.6;1
196303;206;1
196304;95.4;1
196305;479.8;1
196306;399;1
196307;88;1
196308;37.8;1
196309;0;1
196310;9.1;1
196311;54.8;1
196312;158.3;1
196401;69.5;1
196402;13.7;1
196403;133;1
196404;92.4;1
196405;225.3;1
196406;382.8;1
196407;80.6;1
196408;15.2;1
196409;4.9;1
196410;38.8;1
196411;35.7;1
196412;214.5;1
196501;395.3;1
196502;117.2;1
196503;80;1
196504;165.8;1
196505;594.6;1
196506;247.6;1
196507;186.4;1
196508;21.9;1
196509;7.3;1
196510;0.3;1
196511;87.2;1
196512;118.2;1
196601;36.3;1
196602;36.5;1
196603;354.7;1
196604;285.8;1
196605;363;1
196606;198.6;1
196607;259.5;1
196608;78.9;1
196609;87.6;1
196610;0.5;1
196611;51.2;1
196612;294.8;1
196701;197.1;1
196702;84.9;1
196703;102.2;1
196704;262;1
196705;1030.4;1
196706;510.3;1
196707;136.6;1
196708;48.2;1
196709;10.7;1
196710;0;1
196711;54.8;1
196712;297.3;1
196801;314.7;1
196802;246.9;1
196803;260.7;1
196804;223.1;1
196805;266;1
196806;530.8;1
196807;249.3;1
196808;26.9;1
196809;68.1;1
196810;60.2;1
196811;259.4;1
196812;169.5;1
196901;167.6;1
196902;157;1
196903;168.8;1
196904;413;1
196905;646.9;1
196906;233;1
196907;202.3;1
196908;65.8;1
196909;0;1
196910;57;1
196911;12.4;1
196912;12.1;1
197001;305.9;1
197002;394.7;1
197003;657.9;1
197004;479.7;1
197005;302.2;1
197006;336.7;1
197007;241.8;1
197008;34.4;1
197009;14.5;1
197010;98.2;1
197011;94.8;1
197012;275.1;1
197101;337.4;1
197102;341.2;1
197103;542.8;1
197104;169.1;1
197105;298.2;1
197106;423.5;1
197107;353.6;1
197108;70;1
197109;69.5;1
197110;66.3;1
197111;101.9;1
197112;249;1
197201;200.5;1
197202;193.5;1
197203;335.3;1
197204;526.3;1
197205;665.2;1
197206;589;1
