# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97305001
# NOM_USUEL= TONATE
# LATITUDE (°) = 5.015
# LONGITUDE(°)= -52.474
# ALTITUDE (m) = 4
# NUM_SERIE= MRR097305001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;290;1
195902;250;1
195903;200;1
195904;429.8;1
195905;343.7;1
195906;694.2;1
195907;182.5;1
195908;72.5;1
195909;21;1
195910;33.5;1
195911;445.5;1
195912;113.6;1
196001;167.2;1
196002;450;1
196003;116;1
196004;419;1
196005;790;1
196006;292.7;1
196007;234.8;1
196008;40;1
196009;24.5;1
196010;80.5;1
196011;106.5;1
196012;167.2;1
196101;184.5;1
196102;32.3;1
196103;40.1;1
196104;51.9;1
196105;353.4;1
196106;503.1;1
196107;196.6;1
196108;75.1;1
196109;12.4;1
196110;25.1;1
196111;120.4;1
196112;412.4;1
196201;179.1;1
196202;193.4;1
196203;87.8;1
196204;126.6;1
196205;246.9;1
196206;296.2;1
196207;127.5;1
196208;84.4;1
196209;7.2;1
196210;26.2;1
196211;49.5;1
196212;266.7;1
196301;522.7;1
196302;481.8;1
196303;170;1
196304;415;1
196305;373.5;1
196306;428.8;1
196307;120.6;1
196308;53.2;1
196309;8.4;1
196310;12;1
196311;184.5;1
196312;141;1
196401;54.8;1
196402;31.7;1
196403;102;1
196404;94;1
196405;472.9;1
196406;510;1
196407;128.5;1
196408;22;1
196409;0;1
196410;87.6;1
196411;56;1
196412;205;1
196501;450;1
196502;105;1
196503;50;1
196504;229.3;1
196505;637.9;1
196506;248;1
196507;246;1
196508;62;1
196509;24;1
196510;6;1
196511;62;1
196512;124.9;1
196601;64.9;1
196602;128.2;1
196603;469.1;1
196604;227;1
196605;410.5;1
196606;288.1;1
196607;258.3;1
196608;36.5;1
196609;89.8;1
196610;21;1
196611;51;1
196612;243.4;1
196701;292.6;1
196702;212.5;1
196703;87;1
196704;277.5;1
196705;926.6;1
196706;445;1
196707;125;1
196708;51;1
196709;10;1
196710;15;1
196711;63;1
196712;310;1
196801;502;1
196802;310;1
196803;320;1
196804;245;1
196805;380;1
196806;490;1
196807;152;1
196808;70;1
196809;62;1
196810;25;1
196811;340;1
196812;300;1
196901;300;1
196902;281;1
196903;302;1
196904;500;1
196905;661;1
196906;233.2;1
196907;155.5;1
196908;15.5;1
196909;7;1
196910;85;1
196911;60.5;1
196912;56.5;1
197001;489;1
197002;226;1
197003;676;1
197004;542;1
197005;340.5;1
197006;382;1
197007;144.5;1
197008;37.5;1
197009;55;1
197010;56;1
197011;63.5;1
197012;168.2;1
197101;311.5;1
197102;331;1
197103;514.5;1
197104;277.5;1
197105;332;1
197106;497;1
197107;182.5;1
197108;41.5;1
197109;31;1
197110;62;1
197111;106.5;1
197112;191.5;1
197201;216;1
197202;357;1
197203;195;1
197204;528;1
197205;564;1
197206;350;1
197207;136.5;1
197208;156;1
197209;30;1
197210;31;1
197211;130;1
197212;243;1
197301;57;1
197302;133.1;1
197303;173;1
197304;198;1
197305;553.3;1
197306;575.6;1
197307;261.8;1
197308;102;1
197309;39.7;1
197310;169.5;1
197311;235.7;1
197312;287.5;1
197401;719.2;1
197402;335.2;1
197403;414.7;1
197404;311.3;1
197405;123.5;1
197406;364.5;1
197407;138.7;1
197408;76;1
197409;45.8;1
197410;62;1
197411;84;1
197412;345.4;1
197501;248.9;1
197502;249.4;1
197503;182.3;1
197504;183;1
197505;393.1;1
197506;575.3;1
197507;278.8;1
197508;105.9;1
197509;51;1
197510;6.7;1
197511;80.5;1
197512;169;1
197601;814;1
197602;573.5;1
197603;566.1;1
197604;662;1
197605;767.4;1
197606;484.6;1
197607;299.5;1
197608;58.6;1
197609;1;1
197610;0;1
197611;82.2;1
197612;533.7;1
197701;130.5;1
197702;311;1
197703;225.9;1
197704;460.4;1
197705;667.9;1
197706;256;1
197707;208.4;1
197708;134;1
197709;112.7;1
197710;61.7;1
197711;190.1;1
197712;484.4;1
197801;295.8;1
197802;63;1
197803;277.6;1
197804;188.2;1
197805;375.8;1
197806;246.9;1
197807;131.1;1
197808;187;1
197809;45.8;1
197810;54.6;1
197811;101;1
197812;562.1;1
197901;149.4;1
197902;29.9;1
197903;539.7;1
197904;422.7;1
197905;327.4;1
197906;195.9;1
197907;280.9;1
197908;114.3;1
197909;26.1;1
197910;56.2;1
197911;90.8;1
197912;318.5;1
198001;318.2;1
198002;32.5;1
198003;223.2;1
198004;414;1
198005;534.2;1
198006;314.2;1
198007;122.2;1
198008;54.2;1
198009;21;1
198010;58;1
198011;182.6;1
198012;334;1
198101;252.9;1
198102;666.5;1
198103;76.3;1
198104;381.3;1
198105;444.8;1
198106;398;1
198107;190.4;1
198108;91.6;1
198109;40.7;1
198110;100.2;1
198111;43.6;1
198112;350.9;1
198201;296.8;1
198202;250.2;1
198203;480.4;1
198204;436.1;1
198205;619.1;1
198206;298.6;1
198207;194.6;1
198208;55;1
