# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97409230
# NOM_USUEL= LE COLOSSE
# LATITUDE (°) = -20.935
# LONGITUDE(°)= 55.665
# ALTITUDE (m) = 16
# NUM_SERIE= MRR097409230
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;271.9;1
196102;85.7;1
196103;366.1;1
196104;166;1
196105;173.4;1
196106;208.3;1
196107;372.7;1
196108;182.6;1
196109;67.7;1
196110;46.2;1
196111;240;1
196112;763.3;1
196201;207.8;1
196202;400.8;1
196203;403.4;1
196204;426.4;1
196205;132;1
196206;36.5;1
196207;20.2;1
196208;159;1
196209;73;1
196210;233.5;1
196211;456.2;1
196212;292.2;1
196301;262.5;1
196302;313.2;1
196303;145.8;1
196304;251.2;1
196305;199.7;1
196306;283.3;1
196307;167.4;1
196308;9.3;1
196309;14.4;1
196310;146.5;1
196311;291.1;1
196312;112.3;1
196401;338.7;1
196402;671.9;1
196403;126.2;1
196404;122;1
196405;163.8;1
196406;99.3;1
196407;144;1
196408;59.6;1
196409;77.1;1
196410;192.9;1
196411;56.4;1
196412;115.8;1
196501;654.5;1
196502;43.6;1
196503;413.6;1
196504;735.9;1
196505;203.4;1
196506;105.2;1
196507;135.2;1
196508;163.7;1
196509;85.6;1
196510;78.5;1
196511;155.5;1
196512;237.7;1
196601;566.7;1
196602;344.4;1
196603;148.1;1
196604;85.6;1
196605;71.4;1
196606;204;1
196607;123.4;1
196608;50.7;1
196609;17.3;1
196610;54.8;1
196611;42.8;1
196612;178;1
196701;65.9;1
196702;166;1
196703;593.1;1
196704;175.2;1
196705;171.8;1
196706;99.7;1
196707;283.1;1
196708;94.1;1
196709;104.1;1
196710;85.2;1
196711;331.3;1
196712;70.3;1
196801;135;1
196802;409.8;1
196803;501.9;1
196804;195.3;1
196805;247.8;1
196806;28.7;1
196807;84.8;1
196808;149.5;1
196809;61.4;1
196810;30.1;1
196811;155.5;1
196812;350.8;1
196901;176;1
196902;212.9;1
196903;326.4;1
196904;573.6;1
196905;422.1;1
196906;94.6;1
196907;213.2;1
196908;46.6;1
196909;115.2;1
196910;30.2;1
196911;0.4;1
196912;795.7;1
197001;546.6;1
197002;233.8;1
197003;552.9;1
197004;93.7;1
197005;51.4;1
197006;154.1;1
197007;81.2;1
197008;79.5;1
197009;25.7;1
197010;10.3;1
197011;65.4;1
197012;90;1
197101;239.3;1
197102;52.7;1
197103;185.1;1
197104;369;1
197105;134.1;1
197106;15;1
197107;152.3;1
197108;51.1;1
197109;13.8;1
197110;119.5;1
197111;187.3;1
197112;64.3;1
197201;261.8;1
197202;410.8;1
197203;509.7;1
197204;251;1
197205;488.8;1
197206;92.5;1
197207;179.5;1
197208;389.2;1
197209;60;1
197210;70.1;1
197211;213.3;1
197212;90.5;1
197301;541.9;1
197302;446.1;1
197303;533.4;1
197304;150.9;1
197305;108.4;1
197306;167.7;1
197307;106.4;1
197308;247.5;1
197309;46.5;1
197310;24;1
197311;8.8;1
197312;164.8;1
197401;607.7;1
197402;530.9;1
197403;568.1;1
197404;98.6;1
197405;294.2;1
197406;240;1
197407;153.1;1
197408;81.1;1
197409;47.7;1
197410;67.8;1
197411;91.1;1
197412;288.1;1
197501;113.6;1
197502;164.6;1
197503;494.6;1
197504;217.2;1
197505;94.2;1
197506;152.1;1
197507;116.2;1
197508;98.3;1
197509;81.5;1
197510;1.5;1
197511;137;1
197512;262.7;1
197601;394.8;1
197602;493.9;1
197603;258;1
197604;592.4;1
197605;421.2;1
197606;256.3;1
197607;78.6;1
197608;99.9;1
197609;78.9;1
197610;177.7;1
197611;9.2;1
197612;143.5;1
197701;421.1;1
197702;499.8;1
197703;259.8;1
197704;289.5;1
197705;283.5;1
197706;48.1;1
197707;140.3;1
197708;45.2;1
197709;75.9;1
197710;41.4;1
197711;38.9;1
197712;383.4;1
197801;263.6;1
197802;255.1;1
197803;351;1
197804;522.9;1
197805;36;1
197806;257;1
197807;242.9;1
197808;73.4;1
197809;28.2;1
197810;13.4;1
197811;167;1
197812;106.7;1
197901;281.2;1
197902;315.5;1
197903;418.9;1
197904;247.1;1
197905;58.2;1
197906;94;1
197907;113.6;1
197908;328;1
197909;54.5;1
197910;15.4;1
197911;164.8;1
197912;415.2;1
198001;1453.4;1
198002;147.5;1
198003;687.6;1
198004;261;1
198005;337.1;1
198006;75.4;1
198007;116;1
198008;35;1
198009;75.2;1
198010;52.7;1
198011;47.6;1
198012;177.4;1
198101;244.5;1
198102;217;1
198103;287;1
198104;305.2;1
198105;56.2;1
198106;142.4;1
198107;294.1;1
198108;70.8;1
198109;111.9;1
198110;100.3;1
198111;74.2;1
198112;523.3;1
198201;369;1
198202;940.3;1
198203;328.9;1
198204;454;1
198205;225.4;1
198206;301;1
198207;237.5;1
198208;103.9;1
198209;153;1
198210;105.6;1
198211;233.2;1
198212;100.8;1
198301;746.4;1
198302;202.4;1
198303;283.3;1
198304;168.7;1
198305;195.6;1
198306;110.7;1
198307;135;1
198308;97.3;1
198309;19.1;1
198310;108.5;1
198311;130;1
198312;239.9;1
198401;318.4;1
198402;420;1
198403;223;1
198404;350;1
198405;169;1
198406;106.4;1
198407;85.2;1
198408;146.2;1
198409;158.4;1
198410;60.9;1
198411;124.9;1
198412;95.5;1
198501;488;1
198502;637.5;1
198503;447.6;1
198504;270;1
198505;64;1
198506;135;1
198507;104.7;1
198508;166.9;1
198509;159.2;1
198510;196.3;1
198511;107;1
198512;384.5;1
198601;154.5;1
198602;317.1;1
198603;395.2;1
198604;474.6;1
198605;331.8;1
198606;32.4;1
198607;65.5;1
198608;90;1
198609;33.8;1
198610;100.6;1
198611;132.6;1
198612;330;1
198701;570;1
198702;1268.6;1
198703;181.5;1
198704;698.4;1
198705;340;1
198706;383.4;1
198707;228;1
198708;109.4;1
198709;139.4;1
198710;112.6;1
198711;63.9;1
198712;82.2;1
198801;503.3;1
198802;373.1;1
198803;131.4;1
198804;364.3;1
198805;109.7;1
198806;40;1
