# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97410238
# NOM_USUEL= SAINT-BENOIT
# LATITUDE (°) = -21.059
# LONGITUDE(°)= 55.719
# ALTITUDE (m) = 43
# NUM_SERIE= MRR097410238
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : 198907 200412
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;301.6;1
196102;67.9;1
196103;273.7;1
196104;63.2;1
196105;178.8;1
196106;229.3;1
196107;405.6;1
196108;303.2;1
196109;84.9;1
196110;53.9;1
196111;280;1
196112;1093;1
196201;309.9;1
196202;593.7;1
196203;601;1
196204;550.9;1
196205;318.6;1
196206;67.1;1
196207;36.2;1
196208;240.1;1
196209;93.9;1
196210;314.4;1
196211;491.9;1
196212;108.3;1
196301;278.9;1
196302;228.3;1
196303;253.5;1
196304;311.1;1
196305;440.1;1
196306;308.1;1
196307;291;1
196308;8.3;1
196309;30.7;1
196310;226.1;1
196311;415.1;1
196312;138.8;1
196401;366.6;1
196402;602.3;1
196403;256.9;1
196404;160.2;1
196405;217.9;1
196406;229.1;1
196407;239.4;1
196408;81.2;1
196409;101.3;1
196410;133.8;1
196411;64.5;1
196412;156.2;1
196501;779.2;1
196502;104;1
196503;502;1
196504;862;1
196505;277.8;1
196506;155.7;1
196507;229.6;1
196508;244.8;1
196509;198.7;1
196510;157.9;1
196511;151.7;1
196512;188;1
196601;708.3;1
196602;390.1;1
196603;279.3;1
196604;280.1;1
196605;141.7;1
196606;296.5;1
196607;192.5;1
196608;114.2;1
196609;48.3;1
196610;91.8;1
196611;133.1;1
196612;315.1;1
196701;94.5;1
196702;93.2;1
196703;598.9;1
196704;160.4;1
196705;244.1;1
196706;183;1
196707;363.5;1
196708;97.3;1
196709;165.6;1
196710;141.7;1
196711;468.7;1
196712;124.3;1
196801;373.3;1
196802;491.4;1
196803;819.1;1
196804;215.7;1
196805;464.9;1
196806;51.8;1
196807;190.8;1
196808;213.2;1
196809;138.4;1
196810;68.9;1
196811;214.1;1
196812;232.4;1
196901;281.6;1
196902;261.9;1
196903;475.1;1
196904;658.8;1
196905;491.3;1
196906;91.4;1
196907;289.5;1
196908;98.9;1
196909;170.8;1
196910;38.3;1
196911;97.6;1
196912;919.9;1
197001;755.8;1
197002;487.6;1
197003;559.3;1
197004;60.7;1
197005;140.9;1
197006;243.7;1
197007;172.3;1
197008;213.3;1
197009;32.5;1
197010;61.5;1
197011;159.8;1
197012;124;1
197101;246.3;1
197102;62.6;1
197103;235.8;1
197104;713;1
197105;247.5;1
197106;51.3;1
197107;191.3;1
197108;58.4;1
197109;24.9;1
197110;182.1;1
197111;205.6;1
197112;83.1;1
197201;267.6;1
197202;574.9;1
197203;862.1;1
197204;594;1
197205;582.4;1
197206;87.9;1
197207;281;1
197208;472.7;1
197209;82.7;1
197210;171.3;1
197211;400.2;1
197212;164.3;1
197301;851.2;1
197302;452.8;1
197303;517.7;1
197304;247.7;1
197305;176.6;1
197306;207.7;1
197307;182.3;1
197308;357.8;1
197309;126.4;1
197310;39.5;1
197311;14.7;1
197312;196.7;1
197401;685.7;1
197402;828;1
197403;520.1;1
197404;163.1;1
197405;383.1;1
197406;258.3;1
197407;220.7;1
197408;121.6;1
197409;87.5;1
197410;59.6;1
197411;108;1
197412;580.5;1
197501;239.3;1
197502;243.8;1
197503;723.9;1
197504;296.6;1
197505;66.8;1
197506;235.2;1
197507;270.5;1
197508;144.5;1
197509;136.8;1
197510;17.8;1
197511;193.8;1
197512;546.1;1
197601;411.4;1
197602;795.5;1
197603;346.5;1
197604;769.1;1
197605;389.7;1
197606;340.2;1
197607;81.5;1
197608;152.5;1
197609;158.4;1
197610;79.1;1
197611;44.9;1
197612;97.9;1
197701;435.2;1
197702;456.8;1
197703;413.3;1
197704;443;1
197705;322.7;1
197706;91.1;1
197707;190;1
197708;143.8;1
197709;89.5;1
197710;49.2;1
197711;151.1;1
197712;566.7;1
197801;462.7;1
197802;241.2;1
197803;357.5;1
197804;856;1
197805;64.6;1
197806;194.6;1
197807;312.9;1
197808;70.2;1
197809;40.7;1
197810;26;1
197811;146.5;1
197812;108;1
197901;630.7;1
197902;420.4;1
197903;615.4;1
197904;295.7;1
197905;172.2;1
197906;94.6;1
197907;78.7;1
197908;441.1;1
197909;82;1
197910;55.8;1
197911;154.3;1
197912;607.1;1
198001;1830.4;1
198002;254.7;1
198003;988.7;1
198004;366.8;1
198005;483.1;1
198006;124.5;1
198007;146.1;1
198008;44.9;1
198009;131.2;1
198010;86.9;1
198011;54.5;1
198012;208.9;1
198101;276.4;1
198102;309.3;1
198103;496;1
198104;435.9;1
198105;115.6;1
198106;136.4;1
198107;428.4;1
198108;72.9;1
198109;120.4;1
198110;170.9;1
198111;142.3;1
198112;692.7;1
198201;358.9;1
198202;1064.9;1
198203;383.3;1
198204;540.4;1
198205;519.2;1
198206;471.2;1
198207;325.5;1
198208;113.7;1
198209;238.3;1
198210;187;1
198211;357.9;1
198212;191.3;1
198301;812.5;1
198302;283.2;1
198303;407.7;1
198304;143.8;1
198305;311.6;1
198306;142;1
198307;142.9;1
198308;49;1
198309;65.3;1
198310;135.2;1
198311;140.5;1
198312;318.2;1
198401;506.5;1
198402;352;1
198403;319.2;1
198404;530.2;1
198405;157.5;1
198406;188.8;1
198407;97.6;1
198408;247;1
198409;271.7;1
198410;148.2;1
198411;165.1;1
198412;87.9;1
198501;457.6;1
198502;1102.1;1
198503;444.6;1
198504;298.3;1
198505;62.4;1
198506;206.8;1
198507;216.2;1
198508;159.4;1
198509;169.9;1
198510;206.9;1
198511;171.6;1
198512;479.8;1
198601;325.9;1
198602;394.9;1
198603;450.1;1
198604;486.7;1
198605;417.6;1
198606;34.8;1
198607;81.3;1
198608;76.5;1
198609;53.6;1
198610;244.7;1
198611;187;1
198612;672.2;1
198701;413.2;1
198702;1535.1;1
198703;274.1;1
198704;881.1;1
198705;383.4;1
198706;578.1;1
198707;265;1
198708;128;1
198709;126.4;1
198710;103.3;1
198711;115.3;1
198712;94.2;1
198801;448.6;1
198802;468.5;1
198803;265.6;1
198804;462.3;1
198805;120.6;1
198806;66.2;1
198807;140.4;1
198808;87.5;1
198809;12.1;1
198810;127.6;1
198811;187.9;1
198812;284.2;1
198901;611.7;1
198902;223.7;1
198903;905.2;1
198904;269.2;1
198905;147.5;1
198906;205.7;1
198907;330.9;1
198908;239.2;1
198909;259.1;1
198910;142.1;1
198911;106.1;1
198912;583.9;1
199001;387.2;1
199002;599.3;1
199003;72.1;1
199004;697.8;1
199005;137.4;1
199006;182.3;1
199007;107.1;1
199008;198;1
199009;137;1
199010;23.5;1
199011;180.5;1
199012;197.1;1
199101;154;1
199102;328.5;1
199103;396.7;1
199104;584.5;1
199105;185;1
199106;198;1
199107;78.3;1
199108;121.3;1
199109;56.6;1
199110;224.3;1
199111;491.4;1
199112;316.6;1
199201;248.7;1
199202;378.3;1
199203;212.8;1
199204;311.5;1
199205;163.5;1
199206;110.9;1
199207;68.4;1
199208;65;1
199209;108;1
199210;84.3;1
199211;60.2;1
199212;111.7;1
199301;337.6;1
199302;2253.1;1
199303;1439;1
199304;269.7;1
199305;194.5;1
199306;51.8;1
199307;158;1
199308;133.8;1
199309;219.7;1
199310;118.4;1
199311;110.6;1
199312;292.7;1
199401;262.2;1
199402;291.2;1
199403;610.4;1
199404;196.3;1
199405;102.7;1
199406;127;1
199407;163;1
199408;140;1
199409;65.3;1
199410;202.6;1
199411;30.7;1
199412;153.5;1
199501;378.3;1
199502;118.1;1
199503;363.1;1
199504;302.4;1
199505;586.3;1
199506;47.8;1
199507;84.5;1
199508;334.7;1
199509;190.1;1
199510;35.6;1
199511;52.9;1
199512;1309.7;1
199601;723.3;1
199602;245.3;1
199603;250;1
199604;280.8;1
199605;174.3;1
199606;100.2;1
199607;189;1
199608;123.5;1
199609;41.2;1
199610;96;1
199611;29.2;1
199612;373.5;1
199701;493.1;1
199702;415;1
199703;239;1
199704;263.1;1
199705;409.1;1
199706;374.1;1
199707;158.8;1
199708;157.1;1
199709;102.6;1
199710;118.6;1
199711;160;1
199712;89;1
199801;160.9;1
199802;1628.6;1
199803;120.1;1
199804;351.5;1
199805;185;1
199806;142.3;1
199807;347.1;1
199808;98.9;1
199809;132.3;1
199810;108.9;1
199811;167.5;1
199812;190.7;1
199901;257.8;1
199902;304.4;1
199903;840.1;1
199904;360.6;1
199905;72.1;1
199906;48;1
199907;199.4;1
199908;113.7;1
199909;204;1
199910;25.2;1
199911;45.4;1
199912;397.6;1
200001;442;1
200002;582.3;1
200003;336.9;1
200004;185.2;1
200005;130.1;1
200006;92;1
200007;160;1
200008;229;1
200009;37.8;1
200010;79.6;1
200011;216.8;1
200012;93.8;1
200101;447.3;1
200102;401.8;1
200103;372.6;1
200104;458.9;1
200105;111.7;1
200106;74.8;1
200107;152.6;1
200108;45.3;1
200109;16.1;1
200110;133.9;1
200111;64.2;1
200112;435.9;1
200201;407.7;1
200202;154;1
200203;379;1
200204;282.5;1
200205;364;1
200206;185.6;1
200207;305.3;1
200208;191.2;1
200209;120.3;1
200210;66.2;1
200211;244.7;1
200212;462.8;1
200301;363.5;1
200302;574.1;1
200303;329.4;1
200304;607.5;1
200305;552.2;1
200306;100.4;1
200307;75.7;1
200308;97.3;1
200309;223.2;1
200310;100;1
200311;204.4;1
200312;249.3;1
200401;393.4;1
200402;557.3;1
200403;394.9;1
200404;394.9;1
200405;415.1;1
200406;182.8;1
200407;158;1
200408;183.4;1
200409;314.4;1
200410;79.7;1
200411;152.4;1
200412;932.3;1
200501;552.6;1
200502;874.4;1
200503;559.8;1
200504;162.6;1
200505;148.2;1
200506;304;1
200507;77.2;1
200508;219.4;1
200509;274.4;1
200510;111.2;1
200511;406.8;1
200512;140;1
200601;427.2;1
200602;844.2;1
200603;888;1
200604;191.4;1
200605;127.8;1
200606;179.6;1
200607;342.2;1
200608;191.2;1
200609;89.8;1
200610;78.4;1
200611;143.2;1
200612;252;1
200701;781;1
200702;661.8;1
200703;130.4;1
200704;314.6;1
200705;147.8;1
200706;61.2;1
200707;272.6;1
200708;99;1
200709;156.4;1
200710;204;1
200711;40.8;1
200712;148.6;1
200801;632.2;1
200802;511.2;1
200803;678.8;1
200804;82.4;1
200805;246.4;1
200806;324;1
200807;179;1
200808;136.8;1
200809;294.8;1
200810;151;1
200811;179.4;1
200812;363.2;1
200901;257.6;1
200902;206.2;1
200903;572.6;1
200904;713.2;1
200905;380.8;1
200906;242.8;1
200907;125.8;1
200908;139.2;1
200909;152.4;1
200910;151.4;1
200911;293.8;1
200912;194.6;1
201001;623.4;1
201002;402.2;1
201003;817.4;1
201004;278.4;1
201005;427.8;1
201006;281;1
201007;193.4;1
201008;224.4;1
201009;177;1
201010;185;1
201011;171.4;1
201012;97;1
201101;942.6;1
201102;497.2;1
201103;339.2;1
201104;293.8;1
201105;209;1
201106;321;1
201107;178;1
201108;335.6;1
201109;148.8;1
201110;95.6;1
201111;183.2;1
201112;408.4;1
201201;194.2;1
201202;340.6;1
201203;1086.4;1
201204;404;1
201205;333.6;1
201206;113.2;1
201207;221.2;1
201208;61.1;1
201209;131.4;1
201210;73.2;1
201211;180.8;1
201212;275.4;1
201301;726.4;1
201302;449;1
201303;620.6;1
201304;216.4;1
201305;141.6;1
201306;89;1
201307;104.6;1
201308;94.8;1
201309;41.4;1
201310;167;1
201311;238.8;1
201312;170.2;1
201401;642.2;1
201402;211.2;1
201403;305.2;1
201404;240.4;1
201405;342.8;1
201406;43.2;1
201407;134.4;1
201408;113.6;1
201409;79.8;1
201410;106.6;1
201411;70.8;1
201412;218;1
201501;871.7;1
201502;591.8;1
201503;818.6;1
201504;389.2;1
201505;245.2;1
201506;327.8;1
201507;80;1
201508;116.2;1
201509;180.4;1
201510;175.8;1
201511;151.3;1
201512;562.7;1
201601;199.3;1
201602;588.5;1
201603;378.5;1
201604;96.6;1
201605;79.8;1
201606;172.4;1
201607;326.8;1
201608;217.2;1
201609;79.4;1
201610;297.2;1
201611;124.5;1
201612;455.7;1
201701;190;1
201702;347.7;1
201703;520.8;1
201704;351.5;1
201705;342.1;1
201706;298.2;1
201707;186.5;1
201708;278.5;1
201709;110.2;1
201710;82.9;1
201711;293.9;1
201712;39.8;1
201801;716.7;0
201802;243.4;0
201803;865.4;0
201804;654.9;0
201805;234.9;0
201806;140.8;0
201807;175.3;0
201808;47.1;0
201809;273.5;0
201810;234.8;0
201811;358.7;0
201812;97.7;0
201901;409;0
201902;120.2;0
201903;123.7;0
201904;459;0
201905;232.7;0
201906;339.8;0
201907;147.5;0
201908;87.9;0
201909;67.8;0
201910;98.5;0
201911;250.6;0
201912;312.9;0
202001;350.9;0
202002;317.2;0
202003;463;0
202004;319.9;0
202005;165.8;0
202006;127.4;0
202007;94;0
202008;47.9;0
202009;79.1;0
202010;151.3;0
202011;125.6;0
202012;236;0
202101;227.5;0
202102;315.2;0
202103;431.3;0
202104;944.4;0
202105;20.8;0
202106;262.8;0
202107;202.9;0
202108;174.4;0
202109;93.6;0
202110;207.2;0
202111;26;0
202112;559.1;0
202201;615.9;0
202202;306.6;0
202203;457;0
202204;782;0
202205;91;0
202206;160.4;0
202207;146.9;0
202208;189.1;0
202209;139.7;0
202210;57.3;0
202211;32.8;0
202212;238.4;0
