# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97411150
# NOM_USUEL= SAINT-FRANCOIS
# LATITUDE (°) = -20.921
# LONGITUDE(°)= 55.456
# ALTITUDE (m) = 545
# NUM_SERIE= MRR097411150
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;89;1
196102;76.6;1
196103;393.8;1
196104;208.6;1
196105;188.9;1
196106;153;1
196107;171.7;1
196108;60.7;1
196109;55.2;1
196110;60.7;1
196111;145.7;1
196112;876.5;1
196201;84.8;1
196202;382.1;1
196203;526.8;1
196204;128.5;1
196205;74.6;1
196206;12;1
196207;38.6;1
196208;13.9;1
196209;33.5;1
196210;350.1;1
196211;374.4;1
196212;251.7;1
196301;503.2;1
196302;234.7;1
196303;128.6;1
196304;84.2;1
196305;82.4;1
196306;261.9;1
196307;72.7;1
196308;3.4;1
196309;25.5;1
196310;120.5;1
196311;237.2;1
196312;194;1
196401;206.5;1
196402;750;1
196403;93.1;1
196404;34.8;1
196405;5.5;1
196406;59.5;1
196407;70.2;1
196408;4;1
196409;57.5;1
196410;120;1
196411;20;1
196412;60;1
196501;446.6;1
196502;85.5;1
196503;269.2;1
196504;660.8;1
196505;273.4;1
196506;132.2;1
196507;83.3;1
196508;74.4;1
196509;86.5;1
196510;79;1
196511;244;1
196512;115.8;1
196601;644.2;1
196602;117.8;1
196603;142.4;1
196604;88;1
196605;127.5;1
196606;55.3;1
196607;110.5;1
196608;2;1
196609;14;1
196610;75.6;1
196611;35.5;1
196612;447.5;1
196701;61.8;1
196702;150.1;1
196703;464;1
196704;149.1;1
196705;19.1;1
196706;21.5;1
196707;65.4;1
196708;69;1
196709;56.5;1
196710;67;1
196711;243.1;1
196712;246.2;1
196801;378.2;1
196802;329.8;1
196803;746;1
196804;197.1;1
196805;115.3;1
196806;80.9;1
196807;19.7;1
196808;97.6;1
196809;98.7;1
196810;49;1
196811;161.6;1
196812;210.6;1
196901;338.6;1
196902;347.3;1
196903;321.7;1
196904;299.8;1
196905;367;1
196906;101.6;1
196907;79.6;1
196908;48.5;1
196909;205.3;1
196910;35;1
196911;75.8;1
196912;494.2;1
197001;1167.1;1
197002;378.6;1
197003;315;1
197004;89.2;1
197005;5.7;1
197006;38;1
197007;42.4;1
197008;61.7;1
197009;42.5;1
197010;29;1
197011;91.6;1
197012;122;1
197101;725.2;1
197102;175.9;1
197103;84.8;1
197104;189.9;1
197105;105.1;1
197106;12.5;1
197107;40.4;1
197108;8.9;1
197109;11.4;1
197110;69.8;1
197111;257.3;1
197112;68.6;1
197201;137.2;1
197202;550;1
197203;400;1
197204;300;1
197205;150;1
197206;60;1
197207;100;1
197208;437.4;1
197209;33.3;1
197210;62.2;1
197211;134.5;1
197212;215.9;1
197301;854.2;1
197302;321.4;1
197303;433.6;1
197304;48.9;1
197305;55.5;1
197306;81.3;1
197307;52.7;1
197308;215.9;1
197309;53.9;1
197310;37.4;1
197311;38;1
197312;147.2;1
197401;458.6;1
197402;405;1
197403;567.7;1
197404;133;1
197405;248.5;1
197406;174.6;1
197407;34.5;1
197408;43.4;1
197409;75.6;1
197410;86.3;1
197411;45.8;1
197412;319.2;1
197501;203.2;1
197502;295.6;1
197503;454.9;1
197504;50.8;1
197505;34.8;1
197506;85.7;1
197507;111.9;1
197508;30.4;1
197509;21;1
197510;21.5;1
197511;195.5;1
197512;331.2;1
197601;307.2;1
197602;362.4;1
197603;212.3;1
197604;467.9;1
197605;151.5;1
197606;77.2;1
197607;15.1;1
197608;76.5;1
197609;49.1;1
197610;62.3;1
197611;28.2;1
197612;123;1
197701;429.7;1
197702;765.5;1
197703;180.4;1
197704;317.2;1
197705;140.2;1
197706;37.1;1
197707;221.9;1
197708;39.3;1
197709;25.6;1
197710;54.5;1
197711;63.7;1
197712;203.5;1
197801;432.4;1
197802;103;1
197803;146.3;1
197804;576.9;1
197805;18.4;1
197806;99.8;1
197807;146.7;1
197808;25.5;1
197809;34.3;1
197810;17;1
197811;143.6;1
197812;112.1;1
197901;197.1;1
197902;578.3;1
197903;191;1
197904;211.9;1
197905;59.1;1
197906;42.8;1
197907;34.6;1
197908;109;1
197909;46.5;1
197910;32.5;1
197911;207.2;1
197912;494.7;1
198001;2220;1
198002;97.8;1
198003;602.4;1
198004;321.3;1
198005;248.6;1
198006;35.5;1
198007;86;1
198008;5.7;1
198009;32.3;1
198010;40.6;1
198011;54.3;1
198012;195.9;1
198101;323.5;1
198102;162.9;1
198103;389.2;1
198104;229.6;1
198105;25.8;1
198106;109;1
198107;114.6;1
198108;43.3;1
198109;18.4;1
198110;50.2;1
198111;144.5;1
198112;418.3;1
198201;399.3;1
198202;1014.1;1
198203;183.7;1
198204;148.5;1
198205;121.1;1
198206;290;1
198207;93.7;1
198208;79;1
198209;157;1
198210;154.6;1
198211;149.9;1
198212;88.7;1
198301;331.3;1
198302;198.9;1
198303;214.1;1
198304;105.1;1
198305;108.1;1
198306;12.9;1
198307;33;1
198308;25.3;1
198309;18.1;1
198310;115.3;1
198311;203.7;1
198312;242.9;1
198401;699.4;1
198402;305.5;1
198403;75.4;1
198404;379;1
198405;59.1;1
198406;29.7;1
198407;37.6;1
198408;124.8;1
198409;82.3;1
198410;9.1;1
198411;120.7;1
198412;57.7;1
198501;876.9;1
198502;992.1;1
198503;168.5;1
198504;271.9;1
198505;49.1;1
198506;133.7;1
198507;6.6;1
198508;58;1
198509;76.5;1
198510;37.4;1
198511;122.5;1
198512;535.4;1
198601;185.6;1
198602;429.4;1
198603;242.1;1
198604;132.5;1
198605;202.4;1
198606;27.4;1
198607;24.5;1
198608;30.1;1
198609;12.5;1
198610;46.2;1
198611;29.2;1
198612;233.1;1
198701;1059.8;1
198702;1593.6;1
198703;210.6;1
198704;382.4;1
198705;173.4;1
198706;266.9;1
198707;139;1
198708;20.9;1
198709;48.1;1
198710;103.8;1
198711;18.4;1
198712;100.1;1
198801;486.8;1
198802;386.2;1
198803;133.4;1
198804;232;1
198805;34.9;1
198806;10.1;1
198807;26.8;1
198808;24;1
198809;2.7;1
198810;60.5;1
198811;134.6;1
198812;357.5;1
198901;388.9;1
198902;105.3;1
198903;462.6;1
198904;29.9;1
198905;70.2;1
198906;147.3;1
198907;149.7;1
198908;77.6;1
198909;234;1
198910;66.6;1
198911;93.2;1
198912;251.5;1
199001;159.1;1
199002;208.7;1
199003;138.3;1
199004;196.5;1
199005;65.5;1
199006;62.2;1
199007;11;1
199008;40.5;1
199009;74.2;1
199010;36;1
199011;78.9;1
199012;244.3;1
199101;262.7;1
199102;329.8;1
199103;127;1
199104;247.4;1
199105;64.2;1
199106;129;1
199107;42.3;1
199108;12.6;1
199109;26.8;1
199110;114.5;1
199111;132.4;1
199112;115.8;1
199201;316;1
199202;162.3;1
199203;232.5;1
199204;61.9;1
199205;45.2;1
199206;24.7;1
199207;43.3;1
199208;15.7;1
199209;7.7;1
199210;39.1;1
199211;73.9;1
199212;77.3;1
199301;444.8;1
199302;1244.5;1
199303;672.6;1
199304;163.5;1
199305;66.1;1
199306;68.3;1
199307;21.6;1
199308;66.6;1
199309;43.3;1
199310;91.3;1
199311;88.9;1
199312;735.8;1
199401;110.6;1
199402;423;1
199403;613.2;1
199404;58.2;1
199405;39.9;1
199406;14.1;1
199407;28;1
199408;59;1
199409;22;1
199410;130;1
199411;3;1
199412;129;1
199501;119.5;1
199502;98;1
199503;247.5;1
199504;145;1
199505;168;1
199506;17.5;1
199507;13.5;1
199508;88;1
199509;113;1
199510;15;1
199511;72;1
199512;889.5;1
199601;461;1
199602;196.5;1
199603;125;1
199604;228.5;1
199605;38;1
199606;16;1
199607;11.5;1
199608;25;1
199609;5.5;1
199610;37;1
199611;97;1
199612;276;1
199701;395;1
199702;167.5;1
199703;249.5;1
199704;141.5;1
199705;336.5;1
199706;130;1
199707;12;1
199708;81;1
199709;52.5;1
199710;85;1
199711;24.5;1
199712;75;1
199801;79;1
199802;1319.5;1
199803;66.5;1
199804;74;1
199805;90.5;1
199806;21.5;1
199807;93.5;1
199808;16.5;1
199809;96.5;1
199810;42;1
199811;84.5;1
199812;314.5;1
199901;95.5;1
199902;266;1
199903;660.5;1
199904;38.5;1
199905;9.5;1
199906;2;1
199907;22.5;1
199908;29.5;1
199909;147;1
199910;21.5;1
199911;55;1
199912;247.5;1
200001;432.5;1
200002;347.5;1
200003;135.5;1
200004;53.5;1
200005;65.5;1
200006;29.5;1
200007;64;1
200008;118;1
200009;6.5;1
200010;48;1
200011;68.5;1
200012;82;1
200101;388;1
200102;91.5;1
200103;64.5;1
200104;93;1
200105;98.5;1
200106;24.5;1
200107;23.5;1
200108;16.5;1
200109;5;1
200110;81.5;1
200111;14.5;1
200112;228;1
200201;742.6;1
200202;66.5;1
200203;230;1
200204;154.5;1
200205;124;1
200206;49.5;1
200207;177;1
200208;30.4;1
200209;111.1;1
200210;3.5;1
200211;299.4;1
200212;186;1
200301;192.6;1
200302;326.9;1
200303;156.2;1
200304;429.3;1
200305;303.7;1
200306;2.5;1
200307;23.5;1
200308;152.5;1
200309;152.5;1
200310;19.5;1
200311;77;1
200312;290.5;1
200401;163;1
200402;386.5;1
200403;342.5;1
200404;83.5;1
200405;132;1
200406;17.5;1
200407;25;1
200408;5;1
200409;228;1
200410;36.5;1
200411;42;1
200412;607.5;1
200501;435;1
200502;965.5;1
200503;379.6;1
200504;171;1
200505;171.9;1
200506;29.5;1
200507;12;1
200508;21.5;1
200509;98;1
200510;21;1
200511;212.5;1
200512;123.5;1
200601;186.5;1
200602;873.5;1
200603;865;1
200604;145;1
200605;151.5;1
200606;50;1
200607;108.5;1
200608;71.5;1
200609;87.5;1
200610;38.5;1
200611;108.5;1
200612;105.5;1
200701;404.5;1
200702;936.5;1
200703;141;1
200704;29.5;1
200705;153.5;1
200706;46.5;1
200707;136.5;1
200708;54;1
200709;35;1
200710;114.5;1
200711;34;1
200712;286;1
200801;1124.2;1
200802;464.3;1
200803;226.9;1
200804;35.5;1
200805;132;1
200806;112.5;1
200807;8;1
200808;32;1
200809;122;1
200810;31;1
200811;76;1
200812;83;1
200901;627;1
200902;179;1
200903;197;1
200904;384.5;1
200905;122;1
200906;223;1
200907;50;1
200908;104;1
200909;13;1
200910;46.8;1
200911;145;1
200912;203.5;1
201001;424;1
201002;328.5;1
201003;442;1
201004;52;1
201005;234.5;1
201006;136;1
201007;17;1
201008;76.5;1
201009;104.5;1
201010;66.5;1
201011;115;1
201012;31;1
201101;1065.5;1
201102;318.5;1
201103;171.5;1
201104;109;1
201105;258;1
201106;192.5;1
201107;44.9;1
201108;75.5;1
201109;39.2;1
201110;68;1
201111;47;1
201112;231.5;1
201201;186;1
201202;328.5;1
201203;542.6;1
201204;162.9;1
201205;95.5;1
201206;14;1
201207;43;1
201208;8;1
201209;25;1
201210;31.5;1
201211;95.5;1
201212;112.5;1
201301;477.1;1
201302;382.4;1
201303;343.5;1
201304;60.5;1
201305;89.5;1
201306;24;1
201307;16.5;1
201308;19.5;1
201309;19.5;1
201310;65.5;1
201311;418.3;1
201312;127.2;1
201401;630;1
201402;94;1
201403;51.5;1
201404;86;1
201405;86;1
201406;23;1
201407;13;1
201408;56.9;1
201409;83;1
201410;75.5;1
201411;45;1
201412;213.5;1
201501;468;1
201502;376.5;1
201503;744.5;1
201504;120.2;1
201505;196.3;1
201506;167.3;1
201507;19;1
201508;92.5;1
201509;105;1
201510;113.5;1
201511;52;1
201512;356.9;1
201601;198.1;1
201602;472.5;1
201603;200.5;1
201604;22.5;1
201605;50.5;1
201606;22.5;1
201607;73.5;1
201608;121;1
201609;7;1
201610;82;1
201611;98.5;1
201612;132.5;1
201701;41;1
201702;339.5;1
201703;360.5;1
201704;98.5;1
201705;68.5;1
201706;71;1
201707;18.5;1
201708;227;1
201709;123;1
201710;33;1
201711;115.5;1
201712;89.5;1
201801;916;0
201802;207.5;0
201803;764;0
201804;239;0
201805;20;0
201806;126.5;0
201807;21;0
201808;6.5;0
201809;76.5;0
201810;136.5;0
201811;53.5;0
201812;153;0
201901;483.5;0
201902;102.5;0
201903;94;0
201904;168.5;0
201905;33.5;0
201906;112;0
201907;25.5;0
201908;16;0
201909;27.5;0
201910;80.5;0
201911;112.5;0
201912;177;0
202001;277.5;0
202002;157.5;0
202003;156.2;0
202004;46.5;0
202005;32;0
202006;12;0
202007;10;0
202008;20.4;0
202009;26.7;0
202010;63;0
202011;13.2;0
202012;92;0
202101;322.2;0
202102;134.3;0
202103;286.2;0
202104;285.6;0
202105;32.2;0
202106;79;0
202107;70.1;0
202108;42.3;0
202109;22.8;0
202110;139.1;0
202111;116.8;0
202112;148.7;0
202201;685.5;0
202202;385.6;0
202203;133.2;0
202204;392.1;0
202205;41.2;0
202206;45.2;0
202207;16;0
202208;75;0
202209;28.4;0
202210;9.2;0
202211;44.6;0
202212;100.7;0
