# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97418110
# NOM_USUEL= GILLOT-AEROPORT
# LATITUDE (°) = -20.892
# LONGITUDE(°)= 55.529
# ALTITUDE (m) = 8
# NUM_SERIE= MRR097418110
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;148;1
196102;22.7;1
196103;236.3;1
196104;159.3;1
196105;66.6;1
196106;131.7;1
196107;227.8;1
196108;68.8;1
196109;36.8;1
196110;22.5;1
196111;206.1;1
196112;601.7;1
196201;103.3;1
196202;329.1;1
196203;362.1;1
196204;164.9;1
196205;50.5;1
196206;7.8;1
196207;8.3;1
196208;53;1
196209;44.8;1
196210;127.6;1
196211;339.2;1
196212;162.9;1
196301;271.5;1
196302;131;1
196303;71.3;1
196304;65.1;1
196305;61.3;1
196306;206.6;1
196307;79.4;1
196308;5.2;1
196309;6.2;1
196310;43.7;1
196311;56.7;1
196312;115.2;1
196401;179.2;1
196402;525.8;1
196403;89;1
196404;17.7;1
196405;11.3;1
196406;19.6;1
196407;62.9;1
196408;16.1;1
196409;55.7;1
196410;120.6;1
196411;8.9;1
196412;31.1;1
196501;551.1;1
196502;53.8;1
196503;230.6;1
196504;683.8;1
196505;146.6;1
196506;65.7;1
196507;97.4;1
196508;93.3;1
196509;67.7;1
196510;61.3;1
196511;205.7;1
196512;69.6;1
196601;442.9;1
196602;139.9;1
196603;66.9;1
196604;33.9;1
196605;75.3;1
196606;76.2;1
196607;62.9;1
196608;35.2;1
196609;15.4;1
196610;31.2;1
196611;11.9;1
196612;104.5;1
196701;33.5;1
196702;80.9;1
196703;295.2;1
196704;82.5;1
196705;46.1;1
196706;45.1;1
196707;85.8;1
196708;82.4;1
196709;74.3;1
196710;58.8;1
196711;168.7;1
196712;69;1
196801;151.2;1
196802;255.4;1
196803;411.6;1
196804;141;1
196805;181.8;1
196806;34.7;1
196807;69.4;1
196808;76.8;1
196809;35.4;1
196810;12.8;1
196811;151.2;1
196812;212.1;1
196901;119.6;1
196902;174.7;1
196903;187.8;1
196904;255.2;1
196905;207.5;1
196906;71.4;1
196907;78.6;1
196908;16.1;1
196909;133.3;1
196910;9.1;1
196911;15.7;1
196912;318.3;1
197001;689.9;1
197002;208.6;1
197003;246.2;1
197004;55;1
197005;8.8;1
197006;46.3;1
197007;40;1
197008;76.4;1
197009;14.3;1
197010;9;1
197011;48.6;1
197012;66.6;1
197101;388.4;1
197102;46;1
197103;65.7;1
197104;253.5;1
197105;90.9;1
197106;10.5;1
197107;92.6;1
197108;13;1
197109;14;1
197110;94.5;1
197111;95.4;1
197112;61.1;1
197201;155.1;1
197202;469.8;1
197203;298.9;1
197204;226.9;1
197205;213.3;1
197206;44.5;1
197207;83.7;1
197208;359.1;1
197209;30.4;1
197210;55.8;1
197211;104.6;1
197212;81.4;1
197301;416.4;1
197302;214.3;1
197303;250.2;1
197304;28.7;1
197305;19.3;1
197306;110.1;1
197307;49.8;1
197308;159.4;1
197309;43.4;1
197310;13.8;1
197311;6.4;1
197312;108.1;1
197401;356.2;1
197402;339.4;1
197403;476.4;1
197404;97.8;1
197405;189.8;1
197406;115.3;1
197407;88.1;1
197408;29.2;1
197409;86;1
197410;30.8;1
197411;58;1
197412;287.2;1
197501;112.6;1
197502;149.1;1
197503;360.5;1
197504;79.2;1
197505;43.5;1
197506;50.2;1
197507;100.6;1
197508;40;1
197509;30.5;1
197510;16.1;1
197511;111.6;1
197512;214.4;1
197601;230.8;1
197602;433.4;1
197603;154.6;1
197604;534.1;1
