# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98718001
# NOM_USUEL= OMOA
# LATITUDE (°) = -10.517
# LONGITUDE(°)= -138.682
# ALTITUDE (m) = 4
# NUM_SERIE= MRR098718001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 196201 201412
# Date(s) de rupture(s) d'homogénéité : 200512
#     Periode homogénéisée  196201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;41.6;1
196202;15;1
196203;40;1
196204;182.7;1
196205;100.2;1
196206;187.5;1
196207;152.8;1
196208;168.1;1
196209;75.5;1
196210;100.9;1
196211;47.2;1
196212;67.9;1
196301;60.1;1
196302;168.9;1
196303;38.8;1
196304;307;1
196305;204.7;1
196306;231.5;1
196307;161.9;1
196308;181.5;1
196309;164.7;1
196310;106.1;1
196311;243.3;1
196312;140.4;1
196401;118.8;1
196402;44;1
196403;7.4;1
196404;36;1
196405;58.9;1
196406;182.7;1
196407;163.5;1
196408;146.6;1
196409;110.8;1
196410;86.8;1
196411;71.7;1
196412;101.6;1
196501;88.2;1
196502;123.3;1
196503;207.9;1
196504;159.9;1
196505;162.3;1
196506;462.5;1
196507;109.3;1
196508;160.3;1
196509;125.5;1
196510;296.2;1
196511;34.3;1
196512;41.6;1
196601;60.7;1
196602;61.4;1
196603;255.1;1
196604;69.1;1
196605;220.2;1
196606;518.2;1
196607;220.8;1
196608;89.8;1
196609;60.9;1
196610;88.3;1
196611;128.5;1
196612;232.7;1
196701;174.9;1
196702;170.1;1
196703;240;1
196704;144.4;1
196705;118.8;1
196706;177.1;1
196707;213.3;1
196708;37.2;1
196709;101.2;1
196710;68.9;1
196711;59.8;1
196712;95.9;1
196801;76.5;1
196802;65.8;1
196803;45.8;1
196804;31.2;1
196805;87.6;1
196806;231.7;1
196807;276.3;1
196808;286.3;1
196809;153.9;1
196810;139.9;1
196811;60.4;1
196812;87.2;1
196901;74.8;1
196902;30.9;1
196903;84.4;1
196904;54.8;1
196905;116.5;1
196906;87.2;1
196907;138.8;1
196908;117.4;1
196909;58.8;1
196910;74.9;1
196911;118.6;1
196912;142;1
197001;77.6;1
197002;13.4;1
197003;150.4;1
197004;208.9;1
197005;346.4;1
197006;358;1
197007;214.9;1
197008;265.4;1
197009;146.8;1
197010;77.1;1
197011;129.2;1
197012;64;1
197101;164.4;1
197102;254;1
197103;168.1;1
197104;157.2;1
197105;203.9;1
197106;242.8;1
197107;136.1;1
197108;126.6;1
197109;122.1;1
197110;123.8;1
197111;42.6;1
197112;77.4;1
197201;15;1
197202;72.9;1
197203;224.6;1
197204;324.7;1
197205;87.9;1
197206;21.4;1
197207;169.1;1
197208;91.9;1
197209;121.5;1
197210;187.5;1
197211;106.6;1
197212;51.2;1
197301;198.8;1
197302;96;1
197303;90.8;1
197304;76.1;1
197305;35.7;1
197306;147.7;1
197307;153.9;1
197308;203.9;1
197309;91.9;1
197310;60.8;1
197311;47;1
197312;73.9;1
197401;228.5;1
197402;176.5;1
197403;13;1
197404;17.1;1
197405;25.2;1
197406;85.2;1
197407;3.3;1
197408;9;1
197409;67.9;1
197410;57.3;1
197411;155.3;1
197412;73.2;1
197501;195.9;1
197502;61.8;1
197503;34;1
197504;81.7;1
197505;85.8;1
197506;110.2;1
197507;200.8;1
197508;135.5;1
197509;147.5;1
197510;273;1
197511;181.3;1
197512;94.9;1
197601;191.5;1
197602;103.6;1
197603;104.8;1
197604;91.5;1
197605;113.5;1
197606;128.3;1
197607;82.8;1
197608;99.7;1
197609;42.2;1
197610;159.6;1
197611;73.9;1
197612;195.7;1
197701;73.8;1
197702;68.8;1
197703;166.6;1
197704;191.7;1
197705;67.8;1
197706;621.4;1
197707;300.7;1
197708;254.1;1
197709;52.7;1
197710;67.2;1
197711;186.9;1
197712;138.4;1
197801;106.7;1
197802;234.9;1
197803;157.9;1
197804;145.8;1
197805;157.1;1
197806;251;1
197807;412.9;1
197808;195;1
197809;121.5;1
197810;36.2;1
197811;43.3;1
197812;93.2;1
197901;89.9;1
197902;84.7;1
197903;128.6;1
197904;40.9;1
197905;175.7;1
197906;256.9;1
197907;87.3;1
197908;350.5;1
197909;135.9;1
197910;131.5;1
197911;95.7;1
197912;158.3;1
198001;311.4;1
198002;226.7;1
198003;221.9;1
198004;261.1;1
198005;241.1;1
198006;128.7;1
198007;209.1;1
198008;244.4;1
198009;195;1
198010;121.6;1
198011;114.5;1
198012;306.8;1
198101;311.3;1
198102;363.3;1
198103;262.2;1
198104;53.5;1
198105;176.2;1
198106;222.2;1
198107;57;1
198108;204.1;1
198109;243.5;1
198110;91;1
198111;213.2;1
198112;131.5;1
198201;153.5;1
198202;105.6;1
198203;18.8;1
198204;198.8;1
198205;167.5;1
198206;50;1
198207;133.2;1
198208;27.8;1
198209;46.4;1
198210;179.3;1
198211;111.6;1
198212;337.1;1
198301;697.6;1
198302;726.1;1
198303;606.2;1
198304;348.8;1
198305;285.9;1
198306;272.5;1
198307;359.8;1
198308;179.3;1
198309;159.4;1
198310;311.4;1
198311;272.7;1
198312;240.8;1
198401;399.7;1
198402;277.2;1
198403;382.5;1
198404;340.4;1
198405;199.6;1
198406;351.8;1
198407;461.1;1
198408;299.8;1
198409;214.8;1
198410;235.9;1
198411;74.8;1
198412;55;1
198501;149.5;1
198502;306.6;1
198503;258.1;1
198504;324.6;1
198505;278.4;1
198506;251.1;1
198507;190.8;1
198508;376.4;1
198509;166.3;1
198510;59.6;1
198511;132.6;1
198512;103.4;1
198601;128.9;1
198602;96;1
198603;101.9;1
198604;448.7;1
198605;253.7;1
198606;140.9;1
198607;253.8;1
198608;176.5;1
198609;100.1;1
198610;99;1
198611;159.5;1
198612;100.8;1
198701;189;1
198702;43.2;1
198703;118.4;1
198704;85.3;1
198705;210.5;1
198706;278.2;1
198707;75.4;1
198708;163;1
198709;57.6;1
198710;157.6;1
198711;122.4;1
198712;144.9;1
198801;289.4;1
198802;81.1;1
198803;321.1;1
198804;191;1
198805;363.6;1
198806;251;1
198807;178.2;1
198808;349.3;1
198809;129.9;1
198810;38.7;1
198811;59.8;1
198812;238.4;1
198901;129.1;1
198902;119.4;1
198903;255.2;1
198904;354.3;1
198905;259.7;1
198906;161.9;1
198907;115.1;1
198908;227.2;1
198909;65.1;1
198910;110.5;1
198911;112.6;1
198912;228.8;1
199001;207.4;1
199002;126.6;1
199003;231.6;1
199004;51.5;1
199005;294.9;1
