# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98723001
# NOM_USUEL= HIVA-OA
# LATITUDE (°) = -9.806
# LONGITUDE(°)= -139.036
# ALTITUDE (m) = 51
# NUM_SERIE= MRR098723001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196201 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;18.8;1
196202;38.1;1
196203;43.2;1
196204;46.4;1
196205;25.4;1
196206;117.2;1
196207;79.6;1
196208;53;1
196209;28.5;1
196210;27.7;1
196211;28.1;1
196212;54.9;1
196301;31.4;1
196302;133.4;1
196303;43.9;1
196304;197.2;1
196305;54.5;1
196306;274.1;1
196307;292.6;1
196308;138.9;1
196309;118.5;1
196310;48.2;1
196311;202.3;1
196312;99.2;1
196401;151.7;1
196402;21.9;1
196403;65;1
196404;49.1;1
196405;58.6;1
196406;172.3;1
196407;89.7;1
196408;44.5;1
196409;52;1
196410;35;1
196411;48.6;1
196412;49.7;1
196501;39.2;1
196502;82.3;1
196503;120.9;1
196504;96.8;1
196505;177.6;1
196506;305.9;1
196507;111.7;1
196508;86.7;1
196509;111.2;1
196510;288.6;1
196511;3.3;1
196512;39.3;1
196601;51.9;1
196602;87.9;1
196603;171.9;1
196604;67.4;1
196605;156.4;1
196606;411.5;1
196607;82.8;1
196608;54.5;1
196609;63.7;1
196610;52.9;1
196611;52;1
196612;215.3;1
196701;158;1
196702;143.9;1
196703;239.7;1
196704;124.7;1
196705;72.7;1
196706;66.4;1
196707;125.4;1
196708;19.7;1
196709;81.5;1
196710;24.3;1
196711;25.5;1
196712;38.9;1
196801;41;1
196802;42.5;1
196803;30;1
196804;48.2;1
196805;67.3;1
196806;107.6;1
196807;181.4;1
196808;147.9;1
196809;31.3;1
