# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98723003
# NOM_USUEL= HANAIAPA
# LATITUDE (°) = -9.723
# LONGITUDE(°)= -139.01
# ALTITUDE (m) = 15
# NUM_SERIE= MRR098723003
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196201 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;28.8;1
196202;28.6;1
196203;43.9;1
196204;30.8;1
196205;43.4;1
196206;112.9;1
196207;118.1;1
196208;70.7;1
196209;57.1;1
196210;28.5;1
196211;138.5;1
196212;126;1
196301;81.9;1
196302;299.8;1
196303;55.2;1
196304;341.7;1
196305;94.8;1
196306;190.6;1
196307;233.5;1
196308;158.2;1
196309;155;1
196310;74.2;1
196311;197.5;1
196312;165.2;1
196401;269;1
196402;44;1
196403;74;1
196404;65;1
196405;59;1
196406;199.4;1
196407;76.4;1
196408;49.9;1
196409;37.1;1
196410;33.9;1
196411;88.7;1
196412;127.2;1
196501;84.6;1
196502;91.6;1
196503;105.9;1
196504;107.1;1
196505;118.4;1
196506;175;1
196507;72.3;1
196508;85.7;1
196509;106.9;1
196510;315.8;1
196511;86.1;1
196512;55.5;1
196601;64;1
196602;107.6;1
196603;168.4;1
196604;24.7;1
196605;198.1;1
196606;472.5;1
196607;66.2;1
196608;60.1;1
196609;80.5;1
196610;74.8;1
196611;132.6;1
196612;399.5;1
196701;74.8;1
196702;179.6;1
196703;153.5;1
196704;92.6;1
196705;55.9;1
196706;52.1;1
196707;57.9;1
196708;13.7;1
196709;92.7;1
196710;83.7;1
196711;45.5;1
196712;206.1;1
196801;277.8;1
196802;106.9;1
196803;63.5;1
196804;197.6;1
196805;101.5;1
196806;92.4;1
196807;77.8;1
196808;145.2;1
196809;89.3;1
196810;40.6;1
196811;167;1
196812;66.4;1
196901;193.9;1
196902;53.8;1
196903;56.7;1
196904;27.7;1
196905;142.4;1
196906;33.8;1
196907;66.2;1
196908;78.5;1
196909;32.3;1
196910;128.9;1
196911;148.5;1
196912;112.7;1
197001;114.5;1
197002;28.5;1
197003;121.6;1
197004;196.1;1
197005;439.7;1
197006;332;1
197007;199.7;1
197008;215.6;1
197009;55.7;1
197010;61.4;1
197011;88.4;1
197012;51.6;1
197101;61.5;1
197102;131.8;1
197103;63.4;1
197104;100.8;1
197105;121.8;1
197106;93.9;1
197107;64.9;1
197108;74.7;1
197109;102.1;1
197110;76.7;1
197111;68.4;1
197112;159.5;1
197201;75.1;1
197202;25.6;1
197203;184.3;1
197204;186.1;1
197205;32.8;1
197206;18.4;1
197207;24.4;1
197208;44.6;1
197209;65.3;1
197210;183.3;1
197211;122.2;1
197212;70.1;1
197301;135.4;1
197302;160.5;1
197303;73.6;1
197304;145.7;1
197305;63.7;1
197306;181.4;1
197307;113.1;1
197308;167.9;1
197309;81.5;1
197310;76.8;1
197311;97.2;1
197312;55.4;1
197401;342.3;1
197402;99.2;1
197403;121.5;1
197404;66.4;1
197405;70.4;1
197406;88.2;1
197407;36.1;1
197408;55;1
197409;49.7;1
197410;82.7;1
197411;214.6;1
197412;87.4;1
197501;131.1;1
197502;44.1;1
197503;87.6;1
197504;99.2;1
197505;25;1
197506;64.6;1
197507;59.8;1
197508;75.6;1
197509;16.6;1
197510;98;1
197511;52.8;1
197512;122.1;1
197601;82.1;1
197602;46.9;1
197603;73.5;1
197604;15.3;1
197605;34.1;1
197606;31.5;1
197607;20.5;1
197608;28.2;1
197609;26.3;1
197610;64.8;1
197611;74.6;1
197612;165.7;1
197701;107.7;1
197702;90.4;1
197703;111.5;1
197704;20.5;1
197705;116.3;1
197706;527.7;1
197707;214.8;1
197708;148.5;1
197709;48.5;1
197710;48;1
197711;118.6;1
197712;59.3;1
197801;120.1;1
197802;190.8;1
197803;143.5;1
197804;99.1;1
197805;83.5;1
197806;170.5;1
197807;207;1
197808;116.5;1
197809;56;1
197810;39.4;1
197811;80.5;1
197812;66.8;1
197901;123;1
197902;164.2;1
197903;158.2;1
197904;10.2;1
197905;196;1
197906;250.3;1
197907;61.7;1
197908;155;1
197909;112.3;1
197910;184.1;1
197911;77.3;1
197912;210.1;1
198001;242.5;1
198002;130.7;1
198003;226.6;1
198004;248.3;1
198005;172;1
198006;52.4;1
198007;170.5;1
198008;134.9;1
198009;110;1
198010;152.3;1
198011;217.9;1
198012;477.5;1
198101;322.7;1
198102;446.3;1
198103;248.7;1
198104;42.3;1
198105;68.6;1
198106;64.5;1
198107;96;1
198108;146;1
198109;121.3;1
198110;133.2;1
198111;78.2;1
198112;239.6;1
198201;173.5;1
198202;113.4;1
198203;21.4;1
198204;105.5;1
198205;106.7;1
198206;45.6;1
198207;73.1;1
198208;22.1;1
198209;60.4;1
198210;119.3;1
198211;177.2;1
198212;321.1;1
198301;1180.2;1
198302;677;1
198303;802;1
198304;419.5;1
198305;296.2;1
198306;136.3;1
198307;206.7;1
198308;75.2;1
198309;70.7;1
198310;99.4;1
198311;219.1;1
198312;417.4;1
198401;201.7;1
198402;375;1
198403;213.9;1
198404;164.1;1
198405;184.6;1
198406;149.2;1
198407;302.6;1
198408;243.8;1
198409;157.2;1
198410;160.8;1
198411;83;1
198412;134.7;1
198501;195.8;1
198502;291;1
198503;245.2;1
198504;330.9;1
198505;192.3;1
198506;178;1
198507;92.9;1
198508;202.6;1
198509;67.2;1
198510;33.6;1
198511;147.6;1
198512;109;1
198601;84.3;1
198602;149.8;1
198603;119.2;1
198604;223.7;1
198605;152;1
198606;74;1
198607;209.5;1
198608;233.4;1
198609;73.9;1
198610;50.5;1
198611;291.1;1
198612;133.2;1
198701;162.8;1
198702;188;1
198703;100.9;1
198704;66.8;1
198705;37.7;1
198706;165.8;1
198707;50.8;1
198708;92.6;1
198709;77.9;1
198710;335.9;1
198711;150.4;1
198712;298.7;1
198801;282.1;1
198802;101.3;1
198803;163.9;1
198804;165.1;1
198805;311.1;1
198806;113.9;1
198807;142.9;1
198808;168.4;1
198809;68;1
198810;16.7;1
198811;175.3;1
198812;205.9;1
198901;80.2;1
198902;126.2;1
198903;540.2;1
198904;124.2;1
198905;108.1;1
198906;53.5;1
198907;85.4;1
198908;132.4;1
198909;36.1;1
198910;65;1
198911;109.8;1
198912;169.9;1
199001;147.8;1
199002;75.9;1
199003;273.1;1
