# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98723004
# NOM_USUEL= PUAMAU
# LATITUDE (°) = -9.757
# LONGITUDE(°)= -138.887
# ALTITUDE (m) = 40
# NUM_SERIE= MRR098723004
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196201 201412
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;44.4;1
196202;54.3;1
196203;66.2;1
196204;54.5;1
196205;48.4;1
196206;237.4;1
196207;99;1
196208;105.4;1
196209;34.4;1
196210;54.5;1
196211;69.1;1
196212;109;1
196301;58.1;1
196302;179.5;1
196303;49.5;1
196304;319;1
196305;115.2;1
196306;308.6;1
196307;336.4;1
196308;111;1
196309;84.1;1
196310;55.6;1
196311;240.3;1
196312;78.8;1
196401;245.2;1
196402;29.6;1
196403;100.4;1
196404;76.3;1
196405;91.9;1
196406;220.5;1
196407;86.7;1
196408;65.3;1
196409;56.8;1
196410;49.1;1
196411;60.1;1
196412;100.9;1
196501;114.5;1
196502;115.7;1
196503;107.7;1
196504;62;1
196505;91.8;1
196506;222.1;1
196507;92.2;1
196508;93;1
196509;98.7;1
196510;193.1;1
196511;48.9;1
196512;25.5;1
196601;33.5;1
196602;74.3;1
196603;245.2;1
196604;22.2;1
196605;171;1
196606;457;1
196607;94.2;1
196608;84.6;1
196609;82.2;1
196610;64;1
196611;55.7;1
196612;360.7;1
196701;118;1
196702;94.8;1
196703;129.3;1
196704;117.8;1
196705;73;1
196706;76.9;1
196707;65.8;1
196708;46.3;1
196709;105.3;1
196710;46.5;1
196711;55.7;1
196712;151.8;1
196801;105.7;1
196802;65.6;1
196803;36.1;1
196804;148.4;1
196805;179.8;1
196806;169.1;1
196807;131.8;1
196808;171.2;1
196809;105.6;1
196810;81.2;1
196811;136.3;1
196812;151.6;1
196901;134.9;1
196902;98.5;1
196903;36.4;1
196904;37;1
196905;145.5;1
196906;40.9;1
196907;24.4;1
196908;96.2;1
196909;27.1;1
196910;63.3;1
196911;167.8;1
196912;161.5;1
197001;78.6;1
197002;19.6;1
197003;143.1;1
197004;195;1
197005;418.8;1
197006;326.9;1
197007;163.2;1
197008;216.1;1
197009;43.1;1
197010;45;1
197011;64.3;1
197012;88.3;1
197101;22.9;1
197102;90.3;1
197103;58.2;1
197104;115.2;1
197105;142;1
197106;77.2;1
197107;76.5;1
197108;125.5;1
197109;124.3;1
197110;103.3;1
197111;71;1
197112;116.1;1
197201;34;1
197202;12;1
197203;137.5;1
197204;248.7;1
197205;62;1
197206;42.2;1
197207;55.2;1
197208;53.1;1
197209;89;1
197210;378.2;1
197211;83.6;1
197212;66.5;1
197301;113.5;1
197302;92.7;1
197303;71.8;1
197304;59.3;1
197305;105.5;1
197306;132.2;1
197307;156.1;1
197308;180.2;1
197309;73.8;1
197310;52.7;1
197311;70.3;1
197312;77.9;1
197401;258.8;1
197402;126.2;1
197403;77;1
197404;87.3;1
197405;55.3;1
197406;78.5;1
197407;58.6;1
197408;100.5;1
197409;30;1
197410;70.6;1
197411;204.8;1
197412;94.7;1
197501;181.8;1
197502;55.7;1
197503;55;1
197504;55.8;1
197505;30;1
197506;96.8;1
197507;56.7;1
197508;93.9;1
197509;31.2;1
197510;132.6;1
197511;135;1
197512;58.8;1
197601;57.7;1
197602;52;1
197603;76.3;1
197604;34.3;1
197605;64.2;1
197606;40;1
197607;63.7;1
197608;56.2;1
197609;26.2;1
197610;80.4;1
197611;34.3;1
197612;126.8;1
197701;89.7;1
197702;55.1;1
197703;102.1;1
197704;213.6;1
197705;83.2;1
197706;615.6;1
197707;225.5;1
197708;217.5;1
197709;83.1;1
197710;18;1
197711;74.9;1
197712;52;1
197801;115.3;1
197802;228.4;1
197803;116.7;1
197804;82.1;1
197805;54.4;1
197806;234.8;1
197807;305.3;1
197808;139.2;1
197809;61.8;1
197810;11.2;1
197811;72.3;1
197812;49.7;1
197901;59.8;1
197902;149.8;1
197903;196.6;1
197904;3.9;1
197905;217.2;1
197906;268.2;1
197907;69.7;1
197908;136;1
197909;102.1;1
197910;175.2;1
197911;40.8;1
197912;189.2;1
198001;169.3;1
198002;52.8;1
198003;214.6;1
198004;239.6;1
198005;214.9;1
198006;52.9;1
198007;128.2;1
198008;117.7;1
198009;164.1;1
198010;153.2;1
198011;228.8;1
198012;385;1
198101;402.6;1
198102;341.5;1
198103;206.6;1
198104;15.1;1
198105;47.9;1
198106;173.7;1
198107;134.5;1
198108;130;1
198109;169.1;1
198110;88.3;1
198111;52.5;1
198112;160.6;1
198201;140.8;1
198202;89.2;1
198203;12.3;1
198204;36.6;1
198205;90.8;1
198206;52.2;1
198207;122.3;1
198208;27.4;1
198209;14.1;1
198210;260.7;1
198211;169.2;1
198212;609.5;1
198301;1141.9;1
198302;718.6;1
198303;863.2;1
198304;365.7;1
198305;426.7;1
198306;226.1;1
198307;252.1;1
198308;143.5;1
198309;68;1
198310;159.3;1
198311;315.3;1
198312;204.6;1
198401;224.8;1
198402;172.9;1
198403;268.6;1
198404;255.7;1
198405;119.2;1
198406;182;1
198407;422.5;1
198408;287.8;1
198409;111.1;1
198410;216.2;1
198411;49.2;1
198412;69.8;1
198501;102.2;1
198502;213.1;1
198503;292.5;1
198504;334.1;1
198505;220.7;1
198506;134.3;1
198507;165.6;1
198508;270.6;1
198509;47.6;1
198510;25.5;1
198511;111.8;1
198512;69.1;1
198601;30.3;1
198602;51;1
198603;122.8;1
198604;277.7;1
198605;171.8;1
198606;96.6;1
198607;242.5;1
198608;172.3;1
198609;104.4;1
198610;30;1
198611;192.7;1
198612;138.5;1
198701;121.7;1
198702;120.7;1
198703;116.9;1
198704;121.2;1
198705;68.4;1
198706;144.5;1
198707;42.7;1
198708;127.5;1
198709;49.4;1
198710;190.8;1
198711;120;1
198712;266.2;1
198801;127.4;1
198802;81.7;1
198803;174.5;1
198804;69.1;1
198805;376.7;1
198806;87.6;1
198807;91.6;1
198808;132.5;1
198809;40.9;1
198810;10.1;1
198811;176;1
198812;223.6;1
198901;3;1
198902;115;1
198903;436.2;1
198904;140.9;1
198905;121;1
198906;51.5;1
198907;51;1
198908;69;1
198909;51;1
198910;53;1
198911;75.6;1
198912;172.6;1
199001;81.5;1
199002;71;1
199003;354.8;1
199004;23.5;1
199005;375.2;1
199006;176.2;1
199007;111.8;1
199008;116.1;1
199009;94.3;1
199010;125.5;1
199011;89.8;1
199012;180.4;1
199101;139;1
199102;140.8;1
199103;29.3;1
199104;41.2;1
199105;60.3;1
199106;223.2;1
199107;175;1
199108;98.4;1
199109;94.2;1
199110;172.4;1
199111;359.1;1
199112;242.4;1
199201;467.7;1
199202;438;1
199203;362.1;1
199204;182.1;1
199205;292.7;1
199206;306.9;1
199207;304.9;1
199208;189.9;1
199209;152.8;1
199210;157.4;1
199211;274.7;1
199212;137.3;1
199301;139;1
199302;114.8;1
199303;327.3;1
199304;425.5;1
199305;90.1;1
199306;157.9;1
199307;305;1
