# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98731002
# NOM_USUEL= HATIHEU
# LATITUDE (°) = -8.824
# LONGITUDE(°)= -140.076
# ALTITUDE (m) = 6
# NUM_SERIE= MRR098731002
# Amplitude minimale détectable de la série = 0.17
# Période homogénéisée : 196201 201412
# Date(s) de rupture(s) d'homogénéité : 196512 197712
#     Periode homogénéisée  196201 201412  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;20.4;1
196202;43;1
196203;37.8;1
196204;20.5;1
196205;44.9;1
196206;61.7;1
196207;24.7;1
196208;60.7;1
196209;73.5;1
196210;49.5;1
196211;28.8;1
196212;26.3;1
196301;38.2;1
196302;179;1
196303;81.3;1
196304;221.9;1
196305;68.6;1
196306;144.7;1
196307;136;1
196308;172.9;1
196309;123.2;1
196310;77.2;1
196311;327.5;1
196312;290.6;1
196401;168.8;1
196402;100.8;1
196403;134.2;1
196404;53;1
196405;106.3;1
196406;155;1
196407;118.5;1
196408;103.1;1
196409;86.2;1
196410;47.8;1
196411;43.9;1
196412;63.1;1
196501;67.7;1
196502;58.2;1
196503;134.4;1
196504;138.9;1
196505;92.7;1
196506;78.9;1
196507;51.4;1
196508;97.7;1
196509;117.4;1
196510;135.6;1
196511;55.2;1
196512;55.3;1
196601;105.7;1
196602;171.1;1
196603;229.7;1
196604;84.9;1
196605;163.6;1
196606;350.7;1
196607;91.9;1
196608;85.9;1
196609;120.7;1
196610;54.7;1
196611;85.9;1
196612;131.3;1
196701;116.9;1
196702;84.2;1
196703;221.8;1
196704;181.1;1
196705;44.8;1
196706;54;1
196707;103.7;1
196708;45;1
196709;54.2;1
196710;41.1;1
196711;30.4;1
196712;65.3;1
196801;182.5;1
196802;106.5;1
196803;120.3;1
196804;87.8;1
196805;95.2;1
196806;115.6;1
196807;95.6;1
196808;116.8;1
196809;92.1;1
196810;79.4;1
196811;92.9;1
196812;95.8;1
196901;103.9;1
196902;97.8;1
196903;75.3;1
196904;63.8;1
196905;62.8;1
196906;98.3;1
196907;126.1;1
196908;58.3;1
196909;50.2;1
196910;69.5;1
196911;134.4;1
196912;95.5;1
197001;111.4;1
197002;76.6;1
197003;91.5;1
197004;134.9;1
197005;158.3;1
197006;220;1
197007;83.2;1
197008;75.3;1
197009;66.4;1
197010;51;1
197011;63.5;1
197012;60.5;1
197101;129.7;1
197102;78;1
197103;111.1;1
197104;53.5;1
197105;152;1
197106;68.3;1
197107;137.7;1
197108;63.7;1
197109;99.8;1
197110;55.3;1
197111;56.8;1
197112;87.9;1
197201;96.6;1
197202;84;1
197203;123.5;1
197204;75.9;1
197205;98;1
197206;74.7;1
197207;75.6;1
197208;79.6;1
197209;107.1;1
197210;172.3;1
197211;89.9;1
197212;78.9;1
197301;66.6;1
197302;135.4;1
197303;81.2;1
197304;103.9;1
197305;76.9;1
197306;53.9;1
197307;67.1;1
197308;116.8;1
197309;62.3;1
197310;64.2;1
197311;48.5;1
197312;161.2;1
197401;265;1
197402;46;1
197403;85.7;1
197404;76.9;1
197405;105.6;1
197406;102.2;1
197407;85.2;1
197408;107.8;1
197409;59;1
197410;80.9;1
197411;81.6;1
197412;81.9;1
197501;105.6;1
197502;77.1;1
197503;73.6;1
197504;98.1;1
197505;81.7;1
197506;40.7;1
197507;114.5;1
197508;86.9;1
197509;53.1;1
197510;95.2;1
197511;62;1
197512;109;1
197601;67.9;1
197602;76.8;1
197603;126.2;1
197604;65.6;1
197605;42;1
197606;13.9;1
197607;44.7;1
197608;76.4;1
197609;50.5;1
197610;35.4;1
197611;17.1;1
197612;97.5;1
197701;113.3;1
197702;55.8;1
197703;164.3;1
197704;164.6;1
197705;66.6;1
197706;355.3;1
197707;137.8;1
197708;112.8;1
197709;63.3;1
197710;57.6;1
197711;59.9;1
197712;104.8;1
197801;118.1;1
197802;163.7;1
197803;188.2;1
197804;182.5;1
197805;134.9;1
197806;143.8;1
197807;200.9;1
197808;134.9;1
197809;78;1
197810;57.7;1
197811;67.7;1
197812;81.3;1
197901;153.2;1
197902;108.8;1
197903;162.6;1
197904;102.1;1
197905;126.1;1
197906;232.4;1
197907;65;1
197908;174;1
197909;111.9;1
197910;158.1;1
197911;57.8;1
197912;218.5;1
198001;139.9;1
198002;271.1;1
198003;94.8;1
198004;356.5;1
198005;372.6;1
198006;65.4;1
198007;165.6;1
198008;63.7;1
198009;167.1;1
198010;98.9;1
198011;205.6;1
198012;225.1;1
198101;178.8;1
198102;275.4;1
198103;134.4;1
198104;147.4;1
198105;132.3;1
198106;43.5;1
198107;84.6;1
198108;205.3;1
198109;81.9;1
198110;18.3;1
198111;35.2;1
198112;106.9;1
198201;121.1;1
198202;103.2;1
198203;44.8;1
198204;75;1
198205;83;1
198206;170.4;1
198207;135.3;1
198208;35.8;1
198209;65.5;1
198210;204.6;1
198211;103.8;1
198212;181.1;1
198301;866.8;1
198302;575.9;1
198303;623;1
198304;293;1
198305;239.9;1
198306;147.9;1
198307;172.4;1
198308;113.1;1
198309;104.7;1
198310;34.4;1
198311;73.4;1
198312;142.3;1
198401;192.3;1
198402;229;1
198403;143.9;1
198404;162;1
198405;100.4;1
198406;316.4;1
198407;399.5;1
198408;201.3;1
198409;107.1;1
198410;88;1
198411;83.7;1
198412;56;1
198501;214.7;1
198502;119.8;1
198503;273.2;1
198504;246.3;1
198505;357.6;1
198506;105.6;1
198507;148.9;1
198508;167.6;1
198509;91.6;1
198510;56.4;1
198511;104.7;1
198512;64.5;1
198601;110.3;1
198602;72.6;1
198603;90.9;1
198604;131.3;1
198605;125.5;1
198606;83.9;1
198607;120.8;1
198608;248.8;1
198609;75.7;1
198610;54.5;1
198611;135.5;1
198612;144.5;1
198701;139.8;1
198702;163.2;1
198703;143.8;1
198704;165.5;1
198705;95;1
198706;92.5;1
198707;84.4;1
198708;143.4;1
198709;94;1
198710;202.5;1
198711;124.2;1
198712;135.2;1
198801;146.5;1
198802;128.6;1
198803;211;1
198804;179;1
198805;185.6;1
198806;95;1
198807;93.2;1
198808;113.5;1
198809;74.8;1
198810;33.5;1
198811;32;1
198812;51.1;1
198901;79.5;1
198902;27.2;1
198903;289.5;1
198904;74.2;1
198905;29;1
198906;89.1;1
198907;85;1
198908;63.8;1
198909;65.3;1
198910;57.5;1
198911;90.5;1
198912;106;1
199001;150;1
199002;96.9;1
199003;142.5;1
199004;36.6;1
199005;116.7;1
199006;99;1
199007;213;1
199008;186;1
199009;96.7;1
199010;108.2;1
199011;32;1
199012;176;1
199101;109;1
199102;206;1
199103;30;1
199104;113;1
199105;96;1
199106;324;1
199107;184;1
199108;42.9;1
199109;38.3;1
199110;154;1
199111;461;1
199112;224;1
199201;500.4;1
199202;501.5;1
199203;260;1
199204;251;1
199205;234;1
199206;98.7;1
199207;322.7;1
199208;276;1
199209;162.2;1
199210;153.1;1
199211;271.5;1
199212;129.8;1
199301;239.3;1
199302;56.3;1
199303;272;1
199304;267.8;1
199305;56.7;1
199306;160.9;1
199307;201.4;1
199308;145.6;1
199309;252.7;1
199310;217;1
199311;271.8;1
199312;140;1
199401;153.6;1
199402;126.7;1
199403;203.4;1
199404;154.8;1
199405;123;1
199406;164.6;1
199407;332.4;1
199408;218.6;1
199409;41.4;1
199410;55.2;1
199411;211.2;1
199412;163.6;1
199501;98.4;1
199502;238;1
199503;77.4;1
199504;119.3;1
199505;125.5;1
199506;174.3;1
199507;170.1;1
199508;203.9;1
199509;45.6;1
199510;120.4;1
199511;61.4;1
199512;37.6;1
199601;188.3;1
199602;53.4;1
199603;191;1
199604;173.8;1
199605;187.7;1
199606;149.9;1
199607;214.9;1
199608;204.1;1
199609;95.7;1
199610;147.3;1
199611;221.1;1
199612;105.8;1
199701;323.9;1
199702;74.2;1
199703;360.4;1
199704;84.5;1
199705;95.5;1
199706;172.7;1
199707;49.9;1
199708;37.7;1
199709;35.7;1
199710;34.6;1
199711;107;1
199712;105.5;1
199801;598.1;1
199802;361.6;1
199803;478.5;1
199804;309.6;1
199805;196;1
199806;268.6;1
199807;120.5;1
199808;123.7;1
199809;35.4;1
199810;124.1;1
199811;94.9;1
199812;89.6;1
199901;131.5;1
199902;120.2;1
199903;348.6;1
199904;135.2;1
199905;101.5;1
199906;108;1
199907;71.8;1
199908;0;1
199909;45.2;1
199910;43.3;1
199911;152.6;1
199912;43.8;1
200001;3.5;1
200002;192.7;1
200003;300.1;1
200004;303.7;1
200005;55;1
200006;132.2;1
200007;11.4;1
200008;59;1
200009;26.7;1
200010;34;1
200011;87.6;1
200012;38.5;1
200101;129;1
200102;57;1
200103;124.1;1
200104;140.6;1
200105;140.6;1
200106;221.2;1
200107;31.6;1
200108;20.8;1
200109;121;1
200110;48.2;1
200111;40.3;1
200112;45.5;1
200201;59.1;1
200202;74.7;1
200203;22.2;1
200204;118.3;1
200205;102.3;1
200206;120;1
200207;249.8;1
200208;213;1
200209;89.5;1
200210;131.2;1
200211;2.6;1
200212;2.1;1
200301;13.1;1
200302;22.3;1
200303;28.5;1
200304;116;1
200305;214;1
200306;225;1
200307;168.4;1
200308;260;1
200309;84.6;1
200310;11.9;1
200311;87.3;1
200312;118.1;1
200401;291.6;1
200402;200.2;1
200403;129;1
200404;175;1
200405;126.6;1
200406;155;1
200407;304;1
200408;232;1
200409;226.3;1
200410;99;1
200411;65.2;1
200412;293;1
200501;564;1
200502;250;1
200503;58;1
200504;15;1
200505;374;1
200506;19;1
200507;106;1
200508;33.8;1
200509;97;1
200510;181.1;1
200511;334.9;1
200512;264.6;1
200601;203.9;1
200602;239.7;1
200603;313.5;1
200604;199.3;1
200605;177;1
200606;134;1
200607;87;1
200608;96;1
200609;73.5;1
200610;138.6;1
200611;17.5;1
200612;39;1
200701;108;1
200702;12.5;1
200703;334;1
200704;89.9;1
200705;110;1
200706;113.4;1
200707;64;1
200708;57;1
200709;44;1
200710;63.1;1
200711;44.8;1
200712;11.6;1
200801;43.9;1
200802;39;1
200803;75;1
200804;16.3;1
200805;6.3;1
200806;2.4;1
200807;37.1;1
200808;43.7;1
200809;106.5;1
200810;122.5;1
200811;106.2;1
200812;78.9;1
200901;29.9;1
200902;130.2;1
200903;110.9;1
200904;292.9;1
200905;43.5;1
200906;89;1
200907;138.5;1
200908;106.3;1
200909;33.3;1
200910;190.4;1
200911;187;1
200912;14.3;1
201001;30.9;1
201002;110.6;1
201003;31.5;1
201004;25.4;1
201005;38.3;1
201006;28;1
201007;85.2;1
201008;117.2;1
201009;56.3;1
201010;37.8;1
201011;52.9;1
201012;49.7;1
201101;122.1;1
201102;49.1;1
201103;133;1
201104;140.4;1
201105;133.4;1
201106;105.7;1
201107;130.3;1
201108;90.6;1
201109;49.4;1
201110;109.8;1
201111;202.8;1
201112;64.1;1
201201;35.3;1
201202;84;1
201203;107.2;1
201204;106.6;1
201205;197.2;1
201206;118.2;1
201207;190.7;1
201208;80.4;1
201209;147.5;1
201210;148;1
201211;197.3;1
201212;91.6;1
201301;74.6;1
201302;31.7;1
201303;115.4;1
201304;185.8;1
201305;263.3;1
201306;66.5;1
201307;273.8;1
201308;139.1;1
201309;160.3;1
201310;63.9;1
201311;74.2;1
201312;121.8;1
201401;106.5;1
201402;326.6;1
201403;76.9;1
201404;60.7;1
201405;106.8;1
201406;50.3;1
201407;56.1;1
201408;106.7;1
201409;110;1
201410;89.8;1
201411;104.1;1
201412;305.4;1
201501;21;0
201502;255.4;0
201503;99.1;0
201504;113.6;0
201505;44.7;0
201506;94.7;0
201507;22.4;0
201508;66.1;0
201509;31.1;0
201510;106.7;0
201511;379.2;0
201512;120.2;0
201601;103.2;0
201602;76;0
201603;147.5;0
201604;280.8;0
201605;156.7;0
201606;259.6;0
201607;339.8;0
201608;63.2;0
201609;65;0
201610;99.6;0
201611;405.9;0
201612;112;0
201701;183;0
201702;353.8;0
201703;496.4;0
201704;451.9;0
201705;190.2;0
201706;344.4;0
201707;56.8;0
201708;78.2;0
201709;44.6;0
201710;90.4;0
201711;35.4;0
201712;53.2;0
201801;49.5;0
201802;46.4;0
201803;136.8;0
201804;31.9;0
201805;88.3;0
201806;237.1;0
201807;70.1;0
201808;49.4;0
201809;55.7;0
