# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98738010
# NOM_USUEL= VAIRAA P1
# LATITUDE (°) = -17.659
# LONGITUDE(°)= -149.595
# ALTITUDE (m) = 4
# NUM_SERIE= MRR098738010
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;174.5;1
196002;465.1;1
196003;65.8;1
196004;21.1;1
196005;113.7;1
196006;6.3;1
196007;57.2;1
196008;18.3;1
196009;96.4;1
196010;89.8;1
196011;96.5;1
196012;169.4;1
196101;405.8;1
196102;63;1
196103;679.1;1
196104;28.2;1
196105;61.9;1
196106;57.9;1
196107;30.4;1
196108;126.7;1
196109;111.7;1
196110;247.2;1
196111;116.8;1
196112;132.9;1
196201;98.2;1
196202;518.1;1
196203;224.2;1
196204;169.1;1
196205;61;1
196206;106.4;1
196207;109.3;1
196208;55.1;1
196209;49.7;1
196210;55;1
196211;300.8;1
196212;419.6;1
196301;156.3;1
196302;239;1
196303;80.7;1
196304;419.5;1
196305;25;1
196306;49.6;1
196307;9.7;1
196308;16.4;1
196309;1.7;1
196310;36.5;1
196311;193.6;1
196312;278;1
196401;121.7;1
196402;110;1
196403;172.3;1
196404;108.9;1
196405;109.4;1
196406;71.4;1
196407;127.2;1
196408;47.4;1
196409;28.3;1
196410;92.9;1
196411;170.6;1
196412;263.5;1
196501;556.7;1
196502;185.8;1
196503;232.9;1
196504;158.2;1
196505;37.4;1
196506;139.7;1
196507;79.9;1
196508;43.4;1
196509;101.5;1
196510;10.2;1
196511;334.1;1
196512;219.3;1
196601;325.4;1
196602;73.2;1
196603;118.9;1
196604;142.5;1
196605;64.7;1
196606;14.6;1
196607;74.5;1
196608;62.6;1
196609;24.6;1
196610;154.7;1
196611;78.8;1
196612;408.2;1
196701;97.2;1
196702;151.5;1
196703;30.6;1
196704;79.1;1
196705;365.6;1
196706;12.7;1
196707;42.4;1
196708;50.9;1
196709;63.6;1
196710;143;1
196711;312.4;1
196712;210.1;1
196801;261;1
196802;195.3;1
196803;308.8;1
196804;296.7;1
196805;55;1
196806;26.6;1
196807;56.7;1
196808;112.6;1
196809;22.3;1
196810;50.2;1
196811;84.3;1
196812;140.1;1
196901;183.8;1
196902;264.6;1
196903;147.2;1
196904;37.7;1
196905;345.3;1
196906;101.2;1
196907;35.3;1
196908;55.3;1
196909;43;1
196910;49.6;1
196911;122.1;1
196912;119.4;1
197001;563.5;1
197002;286.8;1
197003;246.8;1
197004;27.6;1
197005;77.4;1
197006;25.4;1
197007;102.4;1
197008;164.7;1
197009;86.9;1
197010;171;1
197011;365.1;1
197012;32.9;1
197101;432.2;1
197102;120.4;1
197103;76.8;1
197104;73.2;1
197105;288.9;1
197106;60.2;1
197107;86.2;1
197108;173.4;1
197109;30.6;1
197110;88.6;1
197111;173.6;1
197112;419.3;1
197201;177.9;1
197202;176.1;1
197203;181.6;1
197204;17.2;1
197205;13.5;1
197206;62.3;1
197207;46.7;1
197208;22.5;1
197209;105.6;1
197210;133.6;1
197211;7.5;1
197212;83.5;1
197301;41.3;1
197302;365.5;1
197303;40.3;1
197304;14;1
197305;78.1;1
197306;183.1;1
197307;27.7;1
197308;45.2;1
197309;41.2;1
197310;75.4;1
197311;69.3;1
197312;188;1
197401;78;1
197402;77.5;1
197403;57.5;1
197404;3.1;1
197405;56.5;1
197406;65;1
197407;3.7;1
197408;33.2;1
197409;15.9;1
197410;228.3;1
197411;217.2;1
197412;434;1
197501;268.4;1
197502;167.6;1
197503;82.8;1
197504;60.5;1
197505;32;1
197506;22.1;1
197507;1.9;1
197508;12.7;1
197509;6.1;1
197510;64.7;1
197511;168.9;1
197512;152;1
197601;167;1
197602;198.6;1
197603;59.3;1
197604;178.7;1
197605;4.3;1
197606;0;1
197607;10.5;1
197608;39.3;1
197609;39.1;1
197610;32.3;1
197611;71;1
197612;462.1;1
197701;203.8;1
197702;40.9;1
197703;80.4;1
197704;124.9;1
197705;48.5;1
197706;143;1
197707;29.8;1
197708;54.3;1
197709;11.8;1
197710;166.4;1
197711;259.7;1
197712;15.8;1
197801;91.8;1
197802;618.8;1
197803;27.6;1
197804;172.9;1
197805;18.4;1
197806;138.8;1
197807;101.5;1
197808;47.8;1
197809;28.7;1
197810;39.5;1
197811;47;1
197812;169.4;1
197901;608.4;1
197902;18.8;1
197903;115.2;1
197904;29.9;1
197905;40;1
197906;37.1;1
197907;121.5;1
197908;51.2;1
197909;0;1
197910;56;1
197911;288.5;1
197912;381.8;1
198001;198.7;1
198002;151.4;1
198003;304.5;1
198004;304.9;1
198005;285;1
198006;15.8;1
198007;26.4;1
198008;79.9;1
198009;39;1
198010;189;1
198011;64.6;1
198012;67.8;1
198101;322.4;1
198102;54.8;1
198103;915.8;1
198104;47.5;1
198105;21.6;1
198106;104.4;1
198107;41.9;1
198108;7.8;1
198109;8.8;1
198110;105.9;1
198111;89.5;1
198112;150.2;1
198201;104.7;1
198202;353.9;1
198203;72.6;1
198204;250;1
198205;95.8;1
198206;109.3;1
198207;96.5;1
198208;66.8;1
198209;395.7;1
198210;85;1
198211;170.2;1
198212;417;1
198301;53.5;1
198302;247.5;1
198303;249.8;1
198304;327;1
198305;41.5;1
198306;8.8;1
198307;55.7;1
198308;15.2;1
198309;17.5;1
198310;65.8;1
198311;262.6;1
198312;406.2;1
198401;154.5;1
198402;85.6;1
198403;123.9;1
198404;24.2;1
198405;197.5;1
198406;254.5;1
198407;73.2;1
198408;49.3;1
198409;104.7;1
198410;273;1
198411;285.2;1
198412;677.2;1
198501;403.2;1
198502;52.3;1
198503;62.7;1
198504;404.4;1
198505;154.3;1
198506;158.5;1
198507;142.6;1
198508;33.4;1
198509;39.6;1
198510;97;1
198511;124.7;1
198512;281.2;1
198601;375.1;1
198602;431.3;1
198603;73.7;1
198604;33;1
198605;335.2;1
198606;17.7;1
198607;37.3;1
198608;186;1
198609;38.6;1
198610;107.5;1
198611;152.5;1
198612;93.7;1
198701;197.3;1
198702;177;1
198703;106.7;1
198704;297.3;1
198705;223.4;1
198706;29.2;1
198707;53.1;1
198708;82.7;1
198709;50.5;1
198710;97.4;1
198711;64.3;1
198712;425.8;1
198801;221.7;1
198802;305.9;1
198803;515;1
198804;99;1
198805;68.5;1
198806;31.2;1
198807;247;1
198808;92.5;1
198809;0.7;1
198810;36;1
198811;28.7;1
198812;163.1;1
198901;103;1
198902;100;1
198903;61.8;1
198904;30.3;1
198905;58.5;1
198906;118.5;1
198907;100.3;1
198908;16.5;1
198909;62;1
198910;228.7;1
198911;268.1;1
198912;433;1
199001;118.5;1
199002;213.6;1
199003;132;1
199004;81.3;1
199005;52.6;1
199006;23.8;1
199007;47.1;1
199008;172.2;1
199009;51.3;1
199010;89.9;1
199011;238.5;1
199012;74.2;1
199101;121;1
199102;144.1;1
199103;294.8;1
199104;121.3;1
199105;80;1
199106;15.5;1
199107;34.5;1
199108;132.5;1
199109;33.9;1
199110;135;1
199111;38;1
199112;510.3;1
199201;123.5;1
199202;49.2;1
199203;204.3;1
199204;103.8;1
199205;26.4;1
199206;164.9;1
199207;3.4;1
199208;41.4;1
199209;114.5;1
199210;27.5;1
199211;197.6;1
199212;65.6;1
199301;488.9;1
199302;284.2;1
199303;9.8;1
199304;119.5;1
199305;93.8;1
199306;145.1;1
199307;2.3;1
199308;18.2;1
199309;99;1
199310;35;1
199311;157;1
199312;339.5;1
199401;57.5;1
199402;71.7;1
199403;18.4;1
199404;48.1;1
199405;228;1
199406;157.5;1
199407;104;1
199408;171;1
199409;14;1
199410;23;1
199411;449.6;1
199412;511.3;1
199501;409.4;1
199502;334.2;1
199503;24.8;1
199504;14.8;1
199505;177.2;1
199506;7.7;1
199507;2.5;1
199508;4;1
199509;145;1
199510;161.6;1
199511;30.1;1
199512;457;1
199601;223.4;1
199602;293.3;1
199603;73.1;1
199604;50.6;1
199605;77.6;1
199606;34.4;1
199607;16.6;1
199608;99.3;1
199609;63.6;1
199610;29.4;1
199611;183.3;1
199612;250.3;1
199701;314.5;1
199702;140.6;1
199703;222.3;1
199704;73.4;1
199705;301.8;1
199706;31.9;1
199707;2.7;1
199708;19.9;1
199709;24.1;1
199710;8.9;1
199711;173.5;1
199712;226;1
199801;173.5;1
199802;137.5;1
199803;73;1
199804;222.2;1
199805;82.2;1
199806;181.7;1
199807;24.9;1
199808;25.2;1
199809;66.9;1
199810;103.7;1
199811;91.3;1
199812;541.8;1
199901;185.9;1
199902;358.6;1
199903;79.5;1
199904;41.7;1
199905;54.8;1
199906;201.8;1
199907;21.8;1
199908;29.2;1
199909;70.3;1
199910;35.1;1
199911;190;1
199912;98.1;1
200001;340.4;1
200002;109.1;1
200003;191.8;1
200004;46.3;1
200005;85;1
200006;62.3;1
200007;61.5;1
200008;22.4;1
200009;25.5;1
200010;52.8;1
200011;39.7;1
200012;501.4;1
200101;264.7;1
200102;91.7;1
200103;78.5;1
200104;227.8;1
200105;267.2;1
200106;77.1;1
200107;153.7;1
200108;55.8;1
200109;35.6;1
200110;90.7;1
200111;36.7;1
200112;311.4;1
200201;78.5;1
200202;222.5;1
200203;347.5;1
200204;159.5;1
200205;115.5;1
200206;64;1
200207;11;1
200208;69;1
200209;24.5;1
200210;8.5;1
200211;103;1
200212;266;1
200301;214;1
200302;155;1
