# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98822001
# NOM_USUEL= POINDIMIE
# LATITUDE (°) = -20.933
# LONGITUDE(°)= 165.328
# ALTITUDE (m) = 14
# NUM_SERIE= MRR098822001
# Amplitude minimale détectable de la série = 0.13
# Période homogénéisée : 196501 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196501 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;247.6;1
196502;1150.5;1
196503;349.4;1
196504;202.8;1
196505;62.6;1
196506;277.9;1
196507;83.9;1
196508;31.7;1
196509;113.6;1
196510;31.1;1
196511;99.1;1
196512;307.4;1
196601;43.4;1
196602;469.1;1
196603;170.2;1
196604;80.9;1
196605;56.6;1
196606;287.4;1
196607;350.8;1
196608;36.4;1
196609;2.4;1
196610;114.4;1
196611;187.4;1
196612;40.7;1
196701;748;1
196702;584.1;1
196703;748.4;1
196704;482.7;1
196705;230.8;1
196706;207.5;1
196707;386.5;1
196708;157.7;1
196709;232.3;1
196710;120.1;1
196711;118;1
196712;264.7;1
196801;441.3;1
196802;177.1;1
196803;98.1;1
196804;101.1;1
196805;113.7;1
196806;76;1
196807;35.3;1
196808;35.5;1
196809;49.8;1
196810;47.7;1
196811;18.3;1
196812;233.2;1
196901;194.5;1
196902;448.6;1
196903;571.3;1
196904;77;1
196905;165;1
196906;185.9;1
196907;266.6;1
196908;150.2;1
196909;31.9;1
196910;58.4;1
196911;275.7;1
196912;110.4;1
197001;331.3;1
197002;350.1;1
197003;511.8;1
197004;161.3;1
197005;85.8;1
197006;275.5;1
197007;165.9;1
197008;230.9;1
197009;128.4;1
197010;154.8;1
197011;200.6;1
197012;131.3;1
197101;736.2;1
197102;321.1;1
197103;311.8;1
197104;217.7;1
197105;114.2;1
197106;247.1;1
197107;142.3;1
197108;39.2;1
197109;106.8;1
197110;18.3;1
197111;125.8;1
197112;123.2;1
197201;446.3;1
197202;373.1;1
197203;451.2;1
197204;75.9;1
197205;88.7;1
197206;228.5;1
197207;11;1
197208;12.4;1
197209;90.8;1
197210;93.4;1
197211;139.9;1
197212;73.9;1
197301;228.5;1
197302;256.4;1
197303;207.1;1
197304;42.3;1
197305;195.8;1
197306;46.4;1
197307;393.3;1
197308;70.8;1
197309;100.5;1
197310;152.1;1
197311;183.3;1
197312;185.8;1
197401;446.9;1
197402;367.3;1
197403;473.3;1
197404;157.3;1
197405;205.2;1
197406;498.3;1
197407;57.6;1
197408;4.3;1
197409;38.3;1
197410;226.6;1
197411;127.1;1
197412;170.2;1
197501;309.1;1
197502;193.2;1
197503;760.3;1
197504;982.4;1
197505;474.3;1
197506;728.4;1
197507;62.1;1
197508;140.4;1
197509;58.8;1
197510;37.7;1
197511;349.7;1
197512;368.3;1
197601;650.9;1
197602;282.2;1
197603;612;1
197604;77.4;1
197605;261.4;1
197606;89;1
197607;129.2;1
197608;146.4;1
197609;268.7;1
197610;269.5;1
197611;54.4;1
197612;137.2;1
197701;202.2;1
197702;221.3;1
197703;115.2;1
197704;91.4;1
197705;131.8;1
197706;153.7;1
197707;77;1
197708;129.9;1
197709;160.4;1
197710;18.3;1
197711;259.6;1
197712;198.2;1
197801;308.7;1
197802;146;1
197803;565.6;1
197804;378.8;1
197805;99.6;1
197806;148.6;1
197807;173.6;1
197808;238.3;1
197809;40.6;1
197810;46.8;1
197811;205.7;1
197812;208.5;1
197901;440.2;1
197902;222.1;1
197903;213.9;1
197904;228;1
197905;82.3;1
197906;188.5;1
197907;117.5;1
197908;7.9;1
197909;12.5;1
197910;233.8;1
197911;176.6;1
197912;100.7;1
198001;380.5;1
198002;422.1;1
198003;209.6;1
198004;271.6;1
198005;164.9;1
198006;108.4;1
198007;109.6;1
198008;41.7;1
198009;158.2;1
198010;37.7;1
198011;94.4;1
198012;148;1
198101;231;1
198102;409.1;1
198103;289.1;1
198104;143.7;1
198105;112.5;1
198106;32.9;1
198107;39.3;1
198108;103.7;1
198109;77.4;1
198110;79.7;1
198111;134.8;1
198112;480.3;1
198201;537;1
198202;408.2;1
198203;487.6;1
198204;142.4;1
198205;142.1;1
198206;65.3;1
198207;60;1
198208;84.6;1
198209;62.9;1
198210;159.3;1
198211;252.4;1
198212;202;1
198301;198.1;1
198302;235.5;1
198303;384.3;1
198304;119.9;1
198305;95.8;1
198306;101.7;1
198307;60.9;1
198308;180.8;1
198309;64.9;1
198310;348.8;1
198311;352.7;1
198312;377.3;1
198401;193.7;1
198402;366.5;1
198403;142.9;1
198404;278.1;1
198405;371.5;1
198406;194.8;1
198407;101;1
198408;30.6;1
198409;48.3;1
198410;644.2;1
198411;492.3;1
198412;124.7;1
198501;301.8;1
198502;250.9;1
198503;575;1
198504;200.8;1
198505;231.5;1
198506;190.8;1
198507;354.4;1
198508;73.4;1
198509;198.4;1
198510;58.9;1
198511;268.2;1
198512;310.4;1
198601;220.1;1
198602;618.6;1
198603;682.3;1
198604;190.1;1
198605;421.7;1
198606;134.2;1
198607;25;1
198608;60.2;1
198609;46.4;1
198610;17.3;1
198611;122.7;1
198612;277.7;1
198701;140;1
198702;270.6;1
198703;186;1
198704;52.5;1
198705;130.3;1
198706;96.7;1
198707;180.4;1
198708;245.8;1
198709;67.7;1
198710;124.6;1
198711;208.9;1
198712;83.8;1
198801;608.8;1
198802;485.1;1
198803;475.2;1
198804;148.2;1
198805;461.6;1
198806;435.2;1
198807;182.7;1
198808;101.3;1
198809;128.6;1
198810;19.9;1
198811;438.7;1
198812;905.1;1
198901;1245.1;1
198902;477.7;1
198903;288.3;1
198904;493.2;1
198905;254.4;1
198906;208.9;1
198907;54.6;1
198908;167.4;1
198909;93.2;1
198910;75.1;1
198911;41.7;1
198912;390.1;1
199001;554.9;1
199002;663.6;1
199003;474;1
199004;333.4;1
199005;88.6;1
199006;257.7;1
199007;71.1;1
199008;142;1
199009;41.2;1
199010;106.8;1
199011;319.4;1
199012;208.1;1
199101;181.8;1
199102;273.7;1
199103;320.2;1
199104;208.8;1
199105;75.4;1
199106;357.3;1
199107;27.7;1
199108;6.9;1
199109;25.4;1
199110;88.5;1
199111;27.1;1
199112;157.9;1
199201;173.8;1
199202;465.7;1
199203;577.4;1
199204;293.5;1
199205;107.1;1
199206;397;1
199207;43.7;1
199208;35.9;1
199209;37;1
199210;55.7;1
199211;110.3;1
199212;61.3;1
199301;207.6;1
199302;389.4;1
199303;430.6;1
199304;126;1
199305;55.2;1
199306;139;1
199307;123.6;1
199308;158;1
199309;41.8;1
199310;131;1
199311;82.4;1
199312;232;1
199401;238.4;1
199402;360.2;1
199403;153.4;1
199404;152;1
199405;63;1
199406;50.9;1
199407;64.4;1
199408;153.5;1
199409;33.6;1
199410;12.6;1
199411;73.8;1
199412;107.2;1
199501;163.2;1
199502;173.2;1
199503;527.6;1
199504;404.4;1
199505;92.2;1
199506;25.2;1
199507;67;1
199508;105.6;1
199509;97.2;1
199510;92;1
199511;32.6;1
199512;315.2;1
199601;402.2;1
199602;529.4;1
199603;796;1
199604;378.8;1
199605;218.6;1
199606;141.6;1
199607;143.8;1
199608;97;1
