# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98832002
# NOM_USUEL= YATE MRIE
# LATITUDE (°) = -22.157
# LONGITUDE(°)= 166.939
# ALTITUDE (m) = 25
# NUM_SERIE= MRR098832002
# Amplitude minimale détectable de la série = 0.18
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 198212 200312
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;280.2;1
195202;278.9;1
195203;547.8;1
195204;348.6;1
195205;12;1
195206;202.9;1
195207;594.4;1
195208;228.3;1
195209;170.4;1
195210;244.6;1
195211;87.3;1
195212;499.5;1
195301;228.3;1
195302;253.9;1
195303;256.2;1
195304;758.8;1
195305;180.8;1
195306;70.1;1
195307;150.5;1
195308;201.2;1
195309;268.4;1
195310;66.5;1
195311;96.7;1
195312;216.5;1
195401;608;1
195402;114.9;1
195403;166.8;1
195404;306.7;1
195405;737.7;1
195406;361;1
195407;95.5;1
195408;164.7;1
195409;144.7;1
195410;178.4;1
195411;152.4;1
195412;202.8;1
195501;164.7;1
195502;273.5;1
195503;689.1;1
195504;287.1;1
195505;143.3;1
195506;115.5;1
195507;98.3;1
195508;88.1;1
195509;364.9;1
195510;42.5;1
195511;91.5;1
195512;580.7;1
195601;512.9;1
195602;409.6;1
195603;164.7;1
195604;443.7;1
195605;116.2;1
195606;104.4;1
195607;128.7;1
195608;284.6;1
195609;383.4;1
195610;70.3;1
195611;70.8;1
195612;331.4;1
195701;1005.9;1
195702;230.8;1
195703;43.4;1
195704;294.1;1
195705;146.6;1
195706;28.8;1
195707;311.8;1
195708;356.1;1
195709;11.3;1
195710;9.4;1
195711;28.5;1
195712;174.4;1
195801;586.5;1
195802;249.6;1
195803;509.5;1
195804;194.1;1
195805;269.5;1
195806;682.5;1
195807;69.9;1
195808;67.9;1
195809;184.1;1
195810;50.8;1
195811;142.9;1
195812;72.1;1
195901;976.4;1
195902;384;1
195903;285.8;1
195904;141.7;1
195905;69.5;1
195906;371.3;1
195907;268;1
195908;29.1;1
195909;94.9;1
195910;66.3;1
195911;111;1
195912;334.8;1
196001;59.4;1
196002;122.2;1
196003;234.9;1
196004;499.6;1
196005;386.1;1
196006;116.9;1
196007;254.6;1
196008;143.6;1
196009;83.6;1
196010;141.6;1
196011;135.8;1
196012;39.9;1
196101;146.1;1
196102;331.3;1
196103;211.3;1
196104;506.5;1
196105;55.5;1
196106;294.8;1
196107;232.6;1
196108;277.7;1
196109;142.5;1
196110;168.4;1
196111;261.6;1
196112;149.1;1
196201;328.7;1
196202;294.6;1
196203;346.3;1
196204;469.6;1
196205;381.4;1
196206;159.1;1
196207;320.2;1
196208;80.1;1
196209;37.2;1
196210;148;1
196211;291.2;1
196212;230.3;1
196301;418.4;1
196302;211.4;1
196303;330.6;1
196304;371;1
196305;319.3;1
196306;101.7;1
196307;68.1;1
196308;338.1;1
196309;57.2;1
196310;149.6;1
196311;79;1
196312;87.2;1
196401;231.4;1
196402;366.4;1
196403;175.4;1
196404;762.3;1
196405;92.4;1
196406;156;1
196407;25.1;1
196408;121.7;1
196409;83.5;1
196410;39.4;1
196411;340.2;1
196412;253;1
196501;189.7;1
196502;701.6;1
196503;330.6;1
196504;119.1;1
196505;132.9;1
196506;337.8;1
196507;120.2;1
196508;98.1;1
196509;228.3;1
196510;52.5;1
196511;61.9;1
196512;375.5;1
196601;29.2;1
196602;300.5;1
196603;121;1
196604;81.2;1
196605;98.5;1
196606;585.6;1
196607;271.1;1
196608;41.7;1
196609;90.3;1
196610;206.7;1
196611;129.6;1
196612;80.1;1
196701;794.8;1
196702;335.8;1
196703;857.2;1
196704;685.5;1
196705;416.3;1
196706;343.7;1
196707;238.5;1
196708;186;1
196709;345.4;1
196710;80.1;1
196711;95;1
196712;343.1;1
196801;461.7;1
196802;300.1;1
196803;96.4;1
196804;127.5;1
196805;76.4;1
196806;158.3;1
196807;55.7;1
196808;264.2;1
196809;108.7;1
196810;53.9;1
196811;109.4;1
196812;83;1
196901;48.9;1
196902;333.6;1
196903;526.3;1
196904;72.5;1
196905;175.5;1
196906;167.5;1
196907;165.9;1
196908;137.6;1
196909;35.7;1
196910;36.5;1
196911;247.1;1
196912;82.4;1
197001;234.8;1
197002;151.6;1
197003;216.4;1
197004;220.4;1
197005;104.5;1
197006;142.6;1
197007;174.9;1
197008;223;1
197009;262.9;1
197010;109.5;1
197011;253.5;1
197012;69.9;1
197101;405.4;1
197102;749.3;1
197103;410;1
197104;158.4;1
197105;110.5;1
197106;413;1
197107;157.6;1
197108;34;1
197109;140.3;1
197110;55.6;1
197111;248.7;1
197112;79.3;1
197201;206.7;1
197202;389;1
197203;420.3;1
197204;145.4;1
197205;128.5;1
197206;435.1;1
197207;43.3;1
197208;173.9;1
197209;162.2;1
197210;65.4;1
197211;73.1;1
197212;22;1
197301;195.9;1
197302;252.1;1
197303;399.8;1
197304;176.7;1
197305;229.1;1
197306;92.5;1
197307;415;1
197308;58.8;1
197309;136.4;1
197310;86.6;1
197311;165.6;1
197312;216.4;1
197401;310.3;1
197402;256.1;1
197403;167.6;1
197404;207.9;1
197405;217;1
197406;139.7;1
197407;138.5;1
197408;4.5;1
197409;37.4;1
197410;143.9;1
197411;218.9;1
197412;94.9;1
197501;326.6;1
197502;648.2;1
197503;678.4;1
197504;563.6;1
197505;209.8;1
197506;194.5;1
197507;67.8;1
197508;159.2;1
197509;42;1
197510;60.2;1
197511;421.7;1
197512;277.2;1
197601;247.3;1
197602;143.7;1
197603;399.8;1
197604;338.2;1
197605;406.1;1
197606;376.6;1
197607;272.8;1
197608;109.8;1
197609;97.2;1
197610;399.4;1
197611;23.7;1
197612;123.6;1
197701;397;1
197702;120.3;1
197703;99.5;1
197704;89.1;1
197705;84.2;1
197706;201.4;1
197707;156;1
197708;92.4;1
197709;125.5;1
197710;1.9;1
197711;168.7;1
197712;137.9;1
197801;274;1
197802;63.3;1
197803;456.5;1
197804;193.4;1
197805;214.9;1
197806;144.9;1
197807;231.4;1
197808;218.4;1
197809;66.3;1
197810;54.5;1
197811;269.9;1
197812;223.8;1
197901;325.6;1
197902;167.6;1
197903;256;1
197904;419.1;1
197905;221.1;1
197906;269.5;1
197907;172.1;1
197908;26.9;1
197909;43.8;1
197910;219.1;1
197911;140.1;1
197912;133.3;1
198001;477.2;1
198002;299.5;1
198003;317.7;1
198004;246.3;1
198005;194.5;1
198006;327.6;1
198007;96.3;1
198008;105.7;1
198009;27.4;1
198010;151.9;1
198011;45.7;1
198012;357.8;1
198101;279.4;1
198102;460.9;1
198103;343;1
198104;171.7;1
198105;58.4;1
198106;46.1;1
198107;55.4;1
198108;117.4;1
198109;33.8;1
198110;117.4;1
198111;111.9;1
198112;999.9;1
198201;44.4;1
198202;245;1
198203;435.8;1
198204;292.4;1
198205;81.6;1
198206;197.6;1
198207;47.3;1
198208;223.5;1
198209;78.1;1
198210;215.1;1
198211;121.2;1
198212;444;1
198301;218.9;1
198302;261.5;1
198303;357.3;1
198304;104.9;1
198305;102.8;1
198306;126.2;1
198307;97.2;1
198308;164.6;1
198309;73.7;1
198310;129.8;1
198311;267;1
198312;387.2;1
198401;135.6;1
198402;512.9;1
198403;108.4;1
198404;152.9;1
198405;415.8;1
198406;509.2;1
198407;171.8;1
198408;83.5;1
198409;40;1
198410;988.2;1
198411;320.3;1
198412;125.5;1
198501;194.1;1
198502;325.7;1
198503;725.9;1
198504;253.5;1
198505;233.9;1
198506;107;1
198507;283;1
198508;91.9;1
198509;235.9;1
198510;135.9;1
198511;220.3;1
198512;196.4;1
198601;240.7;1
198602;264.2;1
198603;665.7;1
198604;162.4;1
198605;597.6;1
198606;107.7;1
198607;30.2;1
198608;90;1
198609;78.1;1
198610;79.4;1
198611;70.9;1
198612;576.3;1
198701;59.6;1
198702;158.6;1
198703;109.8;1
198704;135.8;1
198705;133.1;1
198706;234;1
198707;127.9;1
198708;341.1;1
198709;33.4;1
198710;275.3;1
198711;138.8;1
198712;172.9;1
198801;594.7;1
198802;476.6;1
198803;301.3;1
198804;123.2;1
198805;193.4;1
198806;294.3;1
198807;167.4;1
198808;222.1;1
198809;118.8;1
198810;2.5;1
198811;461.8;1
198812;345.7;1
198901;551.9;1
198902;427.6;1
198903;593.1;1
198904;401.1;1
198905;379;1
198906;323.7;1
198907;49.4;1
198908;205.2;1
198909;47.5;1
198910;47;1
198911;67.4;1
198912;293.1;1
199001;607.3;1
199002;851.2;1
199003;568.5;1
199004;138.5;1
199005;83.2;1
199006;452.7;1
199007;178.1;1
199008;105.1;1
199009;28.5;1
199010;227.6;1
199011;537.7;1
199012;38.8;1
199101;187.7;1
199102;178;1
199103;461.1;1
199104;322.9;1
199105;116;1
199106;412.9;1
199107;30.7;1
199108;38.9;1
199109;4.3;1
199110;66.3;1
199111;43.7;1
199112;101;1
199201;88.9;1
199202;312.3;1
199203;427.5;1
199204;395.6;1
199205;150.3;1
199206;165.5;1
199207;61.8;1
199208;57.4;1
199209;21.5;1
199210;20.6;1
199211;69.1;1
199212;50.4;1
199301;131.9;1
199302;310.9;1
199303;699.4;1
199304;213.7;1
199305;75.4;1
199306;123.2;1
199307;95.8;1
199308;159.8;1
199309;48.2;1
199310;111.1;1
199311;151.5;1
199312;157.4;1
199401;586.1;1
199402;354.6;1
199403;164;1
199404;144.9;1
199405;81.1;1
199406;58.2;1
199407;80.9;1
199408;118.7;1
199409;10.8;1
199410;22.4;1
199411;81.2;1
199412;47.5;1
199501;171.5;1
199502;150;1
199503;447;1
199504;305.4;1
199505;94;1
199506;60.3;1
199507;50.9;1
199508;161.8;1
199509;75.1;1
199510;102.1;1
199511;13.6;1
199512;254.2;1
199601;321.2;1
199602;172.4;1
199603;647.2;1
199604;276.4;1
199605;420.6;1
199606;143.7;1
199607;221.3;1
199608;134.2;1
199609;239.7;1
199610;67.4;1
199611;254;1
199612;380.1;1
199701;204.4;1
199702;116.7;1
199703;232.4;1
199704;118.8;1
199705;258.2;1
199706;353.8;1
199707;533.2;1
199708;77;1
199709;15.5;1
199710;107.2;1
199711;104.4;1
199712;93;1
199801;108.5;1
199802;281.2;1
199803;292.8;1
199804;241.1;1
199805;318.8;1
199806;149.6;1
199807;78.4;1
199808;179.7;1
199809;373.1;1
199810;166.4;1
199811;129.5;1
199812;214.2;1
199901;306.9;1
199902;314.6;1
199903;321.5;1
199904;247.1;1
199905;392.2;1
199906;76.1;1
199907;229.4;1
199908;279.9;1
199909;278.7;1
199910;74;1
199911;216.8;1
199912;464.1;1
200001;135.3;1
200002;802.5;1
200003;416.7;1
200004;155.4;1
200005;247;1
200006;141.5;1
200007;84.2;1
200008;240.4;1
200009;26.9;1
200010;425.7;1
200011;126.8;1
200012;23.9;1
200101;387.5;1
200102;627.4;1
200103;312.2;1
200104;279.1;1
200105;40.2;1
200106;178.4;1
200107;157.7;1
200108;121.9;1
200109;215;1
200110;93.3;1
200111;108;1
200112;35;1
200201;580.2;1
200202;242.2;1
200203;382.6;1
200204;553.8;1
200205;117.2;1
200206;132.9;1
200207;95.6;1
200208;195;1
200209;156.6;1
200210;44.2;1
200211;24.9;1
200212;332.4;1
200301;272.6;1
200302;126.8;1
200303;440.3;1
200304;309.6;1
200305;185.2;1
200306;84.4;1
200307;353;1
200308;77.2;1
200309;12.2;1
200310;143.2;1
200311;120.1;1
200312;237.3;1
200401;61.2;1
200402;118.8;1
200403;654.8;1
200404;120.4;1
200405;322.2;1
200406;324;1
200407;86.4;1
200408;120.2;1
200409;321.8;1
200410;183;1
200411;14.8;1
200412;412.2;1
200501;447.4;1
200502;204;1
200503;198.2;1
200504;504.8;1
200505;104.4;1
200506;141.2;1
200507;157.2;1
200508;180;1
200509;45.6;1
200510;65.2;1
200511;89.6;1
200512;80.8;1
200601;276.8;1
200602;323.2;1
200603;308.6;1
200604;364.6;1
200605;214.6;1
200606;79.2;1
200607;78.6;1
200608;192;1
200609;164.2;1
200610;48.2;1
200611;150.8;1
200612;135.2;1
200701;320.6;1
200702;100.2;1
200703;530.6;1
200704;155.8;1
200705;138.2;1
200706;260.6;1
200707;81.4;1
200708;117.8;1
200709;320.6;1
200710;90.4;1
200711;118.6;1
200712;281.2;1
200801;329.6;1
200802;512.8;1
200803;887.3;1
200804;1030.8;1
200805;293;1
200806;48.2;1
200807;86.8;1
200808;63.6;1
200809;258.2;1
200810;366;1
200811;215;1
200812;88.4;1
200901;198;1
200902;411.4;1
200903;417;1
200904;250.4;1
200905;254.8;1
200906;186.8;1
200907;287.8;1
200908;43.4;1
200909;97.6;1
200910;89.2;1
200911;90;1
200912;90;1
201001;130;1
201002;229.8;1
201003;287.8;1
201004;222.4;1
201005;287.4;1
201006;133.4;1
201007;63.6;1
201008;209.1;1
201009;26.8;1
201010;236.4;1
201011;263.6;1
201012;102.8;1
201101;599.8;1
201102;270;1
201103;350;1
201104;383.8;1
201105;277.2;1
201106;63;1
201107;104.8;1
201108;204.6;1
201109;48.1;1
201110;44.2;1
201111;36.9;1
201112;560;1
201201;253.7;1
201202;191.7;1
201203;814.6;1
201204;173.8;1
201205;83.1;1
201206;219.3;1
201207;65;1
201208;64.5;1
201209;208.5;1
201210;42.7;1
201211;137;1
201212;383.6;1
201301;257.1;1
201302;226.4;1
201303;173.6;1
201304;393.3;1
201305;114.6;1
201306;153.8;1
201307;916.6;1
201308;124.8;1
201309;128.4;1
201310;87.2;1
201311;137.7;1
201312;302.7;1
201401;600;1
201402;350;1
201403;200;1
201404;130;1
201405;250;1
201406;120;1
201407;100;1
201408;140;1
201409;250;1
201410;120;1
201411;85;1
201412;400;1
201501;422.2;1
201502;350.4;1
201503;159.6;1
201504;252;1
201505;216.9;1
201506;234.7;1
201507;141.4;1
201508;73.8;1
201509;26.8;1
201510;121.3;1
201511;51.3;1
201512;144;1
201601;118.6;1
201602;210;1
201603;392.7;1
201604;154.6;1
201605;72.3;1
201606;327.5;1
201607;70.4;1
201608;248.6;1
201609;31.2;1
201610;55.7;1
201611;330;1
201612;71.8;1
201701;202.7;1
201702;784.7;1
201703;662.5;1
201704;327.1;1
201705;249.2;1
201706;57.4;1
201707;15.9;1
201708;83;1
201709;102.8;1
201710;15.1;1
201711;76.1;1
201712;130.7;1
201801;198.9;0
201802;200.5;0
201803;615.2;0
201804;182.3;0
201805;217.5;0
201806;78.5;0
201807;123.7;0
201808;156.4;0
201809;58.2;0
201810;270;0
201811;54.1;0
201812;215;0
201901;88.5;0
201902;184.6;0
201903;198.7;0
201904;483.9;0
201905;132.5;0
201906;116.2;0
201907;54.1;0
201908;67.7;0
201909;105.5;0
201910;52.8;0
201911;9;0
201912;52.6;0
202001;154.5;0
202002;533.2;0
202003;342.4;0
202004;238;0
202005;136.7;0
202006;91.4;0
202007;129.3;0
202008;101.3;0
202009;116.7;0
202010;96.7;0
202011;177.5;0
202012;270.2;0
202101;788.2;0
202102;527.7;0
202103;134.1;0
202104;735;0
202105;553.5;0
202106;66.1;0
202107;149;0
202108;69.7;0
202109;59.9;0
202110;429.5;0
202111;146.4;0
202112;502;0
202201;647.4;0
202202;844.8;0
202203;250.5;0
202204;261.4;0
202205;247.3;0
202206;177.8;0
202207;339.9;0
202208;411.7;0
202209;370.6;0
202210;138.2;0
202211;65.2;0
202212;637.1;0
