# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98832006
# NOM_USUEL= RIVIERE BLANCHE
# LATITUDE (°) = -22.133
# LONGITUDE(°)= 166.726
# ALTITUDE (m) = 171
# NUM_SERIE= MRR098832006
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 196001 201712
# Date(s) de rupture(s) d'homogénéité : 197512
#     Periode homogénéisée  196001 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;79.8;1
196002;132.5;1
196003;222.7;1
196004;596;1
196005;356;1
196006;165.7;1
196007;183.9;1
196008;131.2;1
196009;80.7;1
196010;47;1
196011;193.9;1
196012;43.7;1
196101;162.6;1
196102;605.2;1
196103;329.8;1
196104;621.2;1
196105;76.1;1
196106;216.2;1
196107;149.3;1
196108;420.3;1
196109;113.1;1
196110;177.1;1
196111;262.4;1
196112;151.8;1
196201;286.4;1
196202;326.1;1
196203;393.7;1
196204;433.4;1
196205;308.5;1
196206;154;1
196207;221.6;1
196208;87.3;1
196209;18.1;1
196210;116.4;1
196211;199.9;1
196212;192.8;1
196301;319.7;1
196302;246.2;1
196303;286.2;1
196304;657;1
196305;303.1;1
196306;134.1;1
196307;80.8;1
196308;345.5;1
196309;55.2;1
196310;113.7;1
196311;71.3;1
196312;52.4;1
196401;210.2;1
196402;344.6;1
196403;220.5;1
196404;467.3;1
196405;119.6;1
196406;282.2;1
196407;56.3;1
196408;165;1
196409;39.7;1
196410;29.2;1
196411;404.9;1
196412;96;1
196501;241;1
196502;563.2;1
196503;268.5;1
196504;148.7;1
196505;56.6;1
196506;315.3;1
196507;59.5;1
196508;66.5;1
196509;166.4;1
196510;36.1;1
196511;33.1;1
196512;324.8;1
196601;94.7;1
196602;625.9;1
196603;181.9;1
196604;122;1
196605;111.4;1
196606;281.8;1
196607;201.1;1
196608;19.2;1
196609;39;1
196610;139.4;1
196611;55.7;1
196612;321.6;1
196701;718;1
196702;267.8;1
196703;838.5;1
196704;834.1;1
196705;433.4;1
196706;242.8;1
196707;380;1
196708;123.2;1
196709;344.4;1
196710;71;1
196711;169.7;1
196712;275.1;1
196801;544.5;1
196802;320.6;1
196803;82.8;1
196804;125.7;1
196805;127.3;1
196806;183.9;1
196807;73.1;1
196808;171.4;1
196809;82.6;1
196810;58.4;1
196811;106;1
196812;119.4;1
196901;56.7;1
196902;401.3;1
196903;385.7;1
196904;54.5;1
196905;157.7;1
196906;113.3;1
196907;83.3;1
196908;108.4;1
196909;57.6;1
196910;38.2;1
196911;301.2;1
196912;27.2;1
197001;145;1
197002;127.1;1
197003;186.7;1
197004;200.6;1
197005;74.4;1
197006;184.9;1
197007;178.1;1
197008;356.9;1
197009;180.4;1
197010;110.8;1
197011;471.4;1
197012;129.2;1
197101;384.4;1
197102;430.5;1
197103;446.7;1
197104;98.9;1
197105;82.2;1
197106;261.4;1
197107;96.8;1
197108;13.1;1
197109;163.2;1
197110;41.8;1
197111;262.2;1
197112;45.4;1
197201;311.5;1
197202;457.6;1
197203;352;1
197204;152.9;1
197205;107.9;1
197206;522.5;1
197207;16;1
197208;103;1
197209;174.5;1
197210;48;1
197211;129.1;1
197212;30.9;1
197301;152.3;1
197302;321.8;1
197303;373.2;1
197304;182.7;1
197305;178.7;1
197306;88.4;1
197307;437.9;1
197308;34;1
197309;93.7;1
197310;146.6;1
197311;82.2;1
197312;207.1;1
197401;340.2;1
197402;704.5;1
197403;365.9;1
197404;136.2;1
197405;276.5;1
197406;195.8;1
197407;98.4;1
197408;22.1;1
197409;26.6;1
197410;221.7;1
197411;384.1;1
197412;42.8;1
197501;353.7;1
197502;469.2;1
197503;710.2;1
197504;872;1
197505;263.8;1
197506;296.9;1
197507;54.1;1
197508;173.1;1
197509;56.9;1
197510;91.9;1
197511;283.9;1
197512;321.1;1
197601;485.4;1
197602;224.4;1
197603;388;1
197604;177.1;1
197605;297.1;1
197606;274.6;1
197607;100;1
197608;53.1;1
197609;117.8;1
197610;302.1;1
197611;35.1;1
197612;85.7;1
197701;467.2;1
197702;87.5;1
197703;81.3;1
197704;116.5;1
197705;50.1;1
197706;182.2;1
197707;170.6;1
197708;109.3;1
197709;88.9;1
197710;19.1;1
197711;73.9;1
197712;146.1;1
197801;394.5;1
197802;31.3;1
197803;348.8;1
197804;124.4;1
197805;120.7;1
197806;96.7;1
197807;256.3;1
197808;265.8;1
197809;41.9;1
197810;22.6;1
197811;153.7;1
197812;256.8;1
197901;367.8;1
197902;308.8;1
197903;240.8;1
197904;151.9;1
197905;199.2;1
197906;151.1;1
197907;327.6;1
197908;29.8;1
197909;69.4;1
197910;129.2;1
197911;123.6;1
197912;98.7;1
198001;358.4;1
198002;675;1
198003;321.5;1
198004;243.4;1
198005;166.8;1
198006;182;1
198007;91.1;1
198008;72.1;1
198009;26.8;1
198010;68.6;1
198011;23.7;1
198012;217.9;1
198101;329.9;1
198102;538.3;1
198103;263.2;1
198104;124.2;1
198105;66.3;1
198106;55.4;1
198107;43.5;1
198108;52;1
198109;20.7;1
198110;69.9;1
198111;97.3;1
198112;1050.5;1
198201;38.3;1
198202;247.1;1
198203;534.4;1
198204;230.2;1
198205;83.1;1
198206;124;1
198207;57.8;1
198208;205.2;1
198209;53.7;1
198210;125.3;1
198211;122.5;1
198212;466.1;1
198301;187.8;1
198302;403.6;1
198303;242.7;1
198304;111.7;1
198305;173.2;1
198306;159.5;1
198307;69.9;1
198308;155.8;1
198309;49.9;1
198310;187.1;1
198311;194.8;1
198312;160.9;1
198401;136.9;1
198402;445.2;1
198403;64.5;1
198404;119.6;1
198405;451.5;1
198406;581.7;1
198407;169.8;1
198408;64.5;1
198409;46.4;1
198410;967.9;1
198411;489.9;1
198412;145.5;1
198501;264.9;1
198502;467.4;1
198503;588.8;1
198504;170.1;1
198505;204.3;1
198506;89.9;1
198507;254.4;1
198508;74.9;1
198509;148.9;1
198510;184.6;1
198511;284.1;1
198512;191.9;1
198601;198.2;1
198602;245.8;1
198603;575.8;1
198604;196.3;1
198605;590.8;1
198606;107.1;1
198607;46.7;1
198608;72.3;1
198609;43.3;1
198610;21.1;1
198611;76.7;1
198612;417.5;1
198701;33.3;1
198702;234.9;1
198703;109.1;1
198704;104.2;1
198705;144.7;1
198706;94.3;1
198707;122;1
198708;209.2;1
198709;49.7;1
198710;70.1;1
198711;216.2;1
198712;263;1
198801;844.1;1
198802;590.6;1
198803;313.3;1
198804;209.1;1
198805;365.3;1
198806;285.1;1
198807;133.1;1
198808;134.7;1
198809;118.2;1
198810;30.5;1
198811;548.5;1
198812;478.4;1
198901;885;1
198902;408.6;1
198903;480.8;1
198904;395.9;1
198905;399.6;1
198906;257.7;1
198907;39.9;1
198908;173.6;1
198909;58.7;1
198910;93.2;1
198911;122.4;1
198912;322.6;1
199001;841.8;1
199002;874.6;1
199003;562.7;1
199004;140.7;1
199005;48.3;1
199006;390.7;1
199007;98.1;1
199008;95.2;1
199009;34.8;1
199010;133.4;1
199011;474.7;1
199012;69.9;1
199101;245.9;1
199102;205.8;1
199103;605.1;1
199104;180.3;1
199105;140;1
199106;218.9;1
199107;31.8;1
199108;41.2;1
199109;21.6;1
199110;66.7;1
199111;19.7;1
199112;131.1;1
199201;127.1;1
199202;352.6;1
199203;480.6;1
199204;433.7;1
199205;59.7;1
199206;268.1;1
199207;33.4;1
199208;41.2;1
199209;29.2;1
199210;34.6;1
199211;108.7;1
199212;42.1;1
199301;192.7;1
199302;323.8;1
199303;740.6;1
199304;119.9;1
199305;100.8;1
199306;128.4;1
199307;100.4;1
199308;85.7;1
199309;40.1;1
199310;38.2;1
199311;115.5;1
199312;102.6;1
199401;608.1;1
199402;340.9;1
199403;192.1;1
199404;114.7;1
199405;58.7;1
199406;38;1
199407;44.6;1
199408;150.9;1
199409;15.3;1
199410;16.2;1
199411;124.5;1
199412;54.9;1
199501;109.2;1
199502;125.2;1
199503;642.4;1
199504;338;1
199505;106;1
199506;46;1
199507;23.8;1
199508;169.8;1
199509;71.3;1
199510;70.3;1
199511;71.5;1
199512;214.4;1
199601;347.7;1
199602;188.9;1
199603;745.1;1
199604;177.9;1
199605;350.1;1
199606;69.9;1
199607;197.3;1
199608;173.5;1
199609;151.8;1
199610;98.3;1
199611;158.3;1
199612;355.2;1
199701;321.8;1
199702;243.7;1
199703;148.4;1
199704;92.9;1
199705;276.1;1
199706;361.1;1
199707;503.5;1
199708;71.1;1
199709;19.1;1
199710;81;1
199711;65.1;1
199712;123.5;1
199801;93.9;1
199802;187;1
199803;253.1;1
199804;274;1
199805;292.9;1
199806;101.3;1
199807;86.8;1
199808;195.5;1
199809;340.5;1
199810;54.7;1
199811;228.8;1
199812;264;1
199901;380.1;1
199902;422.1;1
199903;199;1
199904;230.3;1
199905;344.7;1
199906;76.9;1
199907;224;1
199908;187.5;1
199909;252.5;1
199910;56.6;1
199911;121;1
199912;428.1;1
200001;212.8;1
200002;658.3;1
200003;201.7;1
200004;217;1
200005;270.8;1
200006;153.5;1
200007;63.9;1
200008;87.8;1
200009;24.1;1
200010;166;1
200011;113.6;1
200012;67.2;1
200101;538.6;1
200102;485.1;1
200103;351.8;1
200104;291.2;1
200105;20.3;1
200106;120.8;1
200107;116.4;1
200108;127;1
200109;130.8;1
200110;167;1
200111;145.4;1
200112;75.2;1
200201;494.4;1
200202;472.2;1
200203;393;1
200204;294;1
200205;130.2;1
200206;175.4;1
200207;105.6;1
200208;138;1
200209;58.6;1
200210;30.6;1
200211;21.4;1
200212;286;1
200301;251.2;1
200302;149.4;1
200303;370.6;1
200304;229;1
200305;165.6;1
200306;84.4;1
200307;295.8;1
200308;64.4;1
200309;36.8;1
200310;117.8;1
200311;179;1
200312;203.4;1
200401;56.2;1
200402;141;1
200403;562.2;1
200404;78.4;1
200405;305.8;1
200406;407.2;1
200407;76.2;1
200408;67.6;1
200409;99.8;1
200410;61;1
200411;28.6;1
200412;494.2;1
200501;445;1
200502;126.6;1
200503;117.6;1
200504;539.2;1
200505;85.4;1
200506;119.6;1
200507;129.6;1
200508;149.6;1
200509;59.8;1
200510;48.2;1
200511;146;1
200512;22.2;1
200601;216.8;1
200602;387.2;1
200603;253;1
200604;333;1
200605;187.2;1
200606;47.4;1
200607;64;1
200608;131.8;1
200609;119;1
200610;53.6;1
200611;203.6;1
200612;87.4;1
200701;234.4;1
200702;118.6;1
200703;562.2;1
200704;205;1
200705;124.8;1
200706;256.2;1
200707;120.4;1
200708;315.8;1
200709;451.6;1
200710;145.4;1
200711;105;1
200712;223.8;1
200801;259;1
200802;610.2;1
200803;761.2;1
200804;460.6;1
200805;281;1
200806;92.4;1
200807;85;1
200808;72;1
200809;232.4;1
200810;163.2;1
200811;227.8;1
200812;132;1
200901;292;1
200902;537.8;1
200903;564.4;1
200904;291.8;1
200905;199.6;1
200906;157.4;1
200907;242.2;1
200908;54;1
200909;71.1;1
200910;88.4;1
200911;89;1
200912;90.2;1
201001;137.6;1
201002;351.2;1
201003;274.4;1
201004;128.5;1
201005;337.6;1
201006;87.6;1
201007;48;1
201008;198.6;1
201009;16.4;1
201010;206.8;1
201011;162.8;1
201012;150;1
201101;600;1
201102;280;1
201103;312;1
201104;227.4;1
201105;163.8;1
201106;26.8;1
201107;71.8;1
201108;180.6;1
201109;37.6;1
201110;23.6;1
201111;62.2;1
201112;524.6;1
201201;211.2;1
201202;245.2;1
201203;876.2;1
201204;287.6;1
201205;88.8;1
201206;222.4;1
201207;42.8;1
201208;58.6;1
201209;128;1
201210;59.6;1
201211;118.8;1
201212;348.8;1
201301;315.7;1
201302;240.3;1
201303;373.1;1
201304;279.1;1
201305;161;1
201306;120.2;1
201307;855.8;1
201308;86.3;1
201309;89.8;1
201310;173.4;1
201311;134.8;1
201312;144.7;1
201401;445.9;1
201402;321.3;1
201403;154.6;1
201404;78.3;1
201405;131.5;1
201406;54.4;1
201407;58.9;1
201408;124.4;1
201409;65;1
201410;130.9;1
201411;76.5;1
201412;360.3;1
201501;264.7;1
201502;422.2;1
201503;241.2;1
201504;232;1
201505;236.8;1
201506;124.6;1
201507;103.8;1
201508;48.8;1
201509;30.5;1
201510;105.6;1
201511;42.2;1
201512;216.4;1
201601;130;1
201602;215.5;1
201603;409.2;1
201604;94.8;1
201605;58;1
201606;200;1
201607;22;1
201608;141.2;1
201609;21.4;1
201610;42.5;1
201611;317.3;1
201612;74.2;1
201701;169.6;1
201702;718.1;1
201703;308.1;1
201704;311.3;1
201705;252.4;1
201706;47.2;1
201707;25.2;1
201708;24.6;1
201709;11.6;1
201710;17.2;1
201711;89.7;1
201712;204;1
201801;267.8;0
201802;168;0
201803;597.4;0
201804;200.3;0
201805;140.4;0
201806;35.6;0
201807;81.6;0
201808;125.1;0
201809;63.3;0
201810;260.3;0
201811;45.4;0
201812;280.1;0
201901;59.8;0
201902;322;0
201903;229.8;0
201904;404.5;0
201905;86.6;0
201906;77.4;0
201907;19;0
201908;60;0
201909;79.8;0
201910;21.8;0
201911;11.8;0
201912;94.7;0
202001;198.6;0
202002;434.7;0
202003;213;0
202004;264.5;0
202005;110.3;0
202006;60;0
202007;74.1;0
202008;58.7;0
202009;125.6;0
202010;154.2;0
202011;128.3;0
202012;294.4;0
202101;635.2;0
202102;455.5;0
202103;167.2;0
202104;506.3;0
202105;419.7;0
202106;36.4;0
202107;67.4;0
202108;27.6;0
202109;30.2;0
202110;347.3;0
202111;164.3;0
202112;516.9;0
202201;632.9;0
202202;639.7;0
202203;189.2;0
202204;264.8;0
202205;324;0
202206;180;0
202207;340;0
202208;432.5;0
202209;240.3;0
202210;134;0
202211;84;0
202212;572.6;0
