# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97101015
# NOM_USUEL= LE RAIZET AERO
# LATITUDE (°) = 16.264
# LONGITUDE(°)= -61.516
# ALTITUDE (m) = 11
# NUM_SERIE= MRR197101015
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196501 202012
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  196501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;103.2;1
196502;38.8;1
196503;40.2;1
196504;130.3;1
196505;199.2;1
196506;92.2;1
196507;170.8;1
196508;115.1;1
196509;257.1;1
196510;193.6;1
196511;166.5;1
196512;86.8;1
196601;15;1
196602;108.8;1
196603;64.1;1
196604;150.1;1
196605;162.5;1
196606;93;1
196607;395.6;1
196608;157;1
196609;386.7;1
196610;147.2;1
196611;284.2;1
196612;119.9;1
196701;68.5;1
196702;27;1
196703;190.8;1
196704;100.7;1
196705;139.4;1
196706;64;1
196707;116.9;1
196708;141;1
196709;89.8;1
196710;180.8;1
196711;81.6;1
196712;58;1
196801;60.8;1
196802;18.4;1
196803;34.7;1
196804;207.2;1
196805;125.6;1
196806;271.1;1
196807;133.5;1
196808;104.7;1
196809;132.6;1
196810;120.6;1
196811;125.1;1
196812;210.3;1
196901;64.2;1
196902;40.7;1
196903;20.1;1
196904;109.7;1
196905;179.5;1
196906;174.1;1
196907;135.6;1
196908;173.4;1
196909;271.6;1
196910;238.3;1
196911;141.4;1
196912;165;1
197001;50.5;1
197002;32.9;1
197003;50.2;1
197004;62.1;1
197005;281.1;1
197006;272;1
197007;264.2;1
197008;150.1;1
197009;178.1;1
197010;388.9;1
197011;161.9;1
197012;365.4;1
197101;133.8;1
197102;84.6;1
197103;46.7;1
197104;33.9;1
197105;134.7;1
197106;41.2;1
197107;69.4;1
197108;147.6;1
197109;72.8;1
197110;169.5;1
197111;45.7;1
197112;90.1;1
197201;139.1;1
197202;67;1
197203;95.2;1
197204;137.1;1
197205;103.3;1
197206;60.3;1
197207;108.1;1
197208;218.3;1
197209;198.1;1
197210;233.8;1
197211;319;1
197212;92.8;1
197301;52.4;1
197302;56.4;1
197303;53.3;1
197304;43.5;1
197305;24.6;1
197306;67.6;1
197307;58.9;1
197308;93.7;1
197309;190.3;1
197310;90;1
197311;82.9;1
197312;81.8;1
197401;195;1
197402;121.3;1
197403;84.6;1
197404;79.6;1
197405;67.2;1
197406;51.8;1
197407;93.8;1
197408;166.6;1
197409;249.8;1
197410;219.8;1
197411;196.8;1
197412;98.3;1
197501;144.8;1
197502;58.7;1
197503;43.7;1
197504;24;1
197505;66.8;1
197506;84.7;1
197507;49.8;1
197508;136.9;1
197509;235.4;1
197510;223.4;1
197511;145.8;1
197512;237.6;1
197601;78.1;1
197602;82.1;1
197603;75.1;1
197604;56.1;1
197605;52.9;1
197606;109.4;1
197607;78.3;1
197608;79.1;1
197609;185.4;1
197610;346.9;1
197611;153.2;1
197612;183.8;1
197701;26.2;1
197702;27.3;1
197703;59.3;1
197704;73.4;1
197705;42.2;1
197706;15;1
197707;55.1;1
197708;366.6;1
197709;203;1
197710;278.1;1
197711;188.3;1
197712;55.1;1
197801;61.6;1
197802;29.3;1
197803;63.5;1
197804;141.9;1
197805;210.4;1
197806;111.7;1
197807;110.1;1
197808;171.6;1
197809;223;1
197810;246.5;1
197811;115;1
197812;67.2;1
197901;47.4;1
197902;39.1;1
197903;49.8;1
197904;81.6;1
197905;182.5;1
197906;221.6;1
197907;207.9;1
197908;289.7;1
197909;212.1;1
197910;177.4;1
197911;321.7;1
197912;180.2;1
198001;34;1
198002;95.9;1
198003;47;1
198004;37.1;1
198005;92.5;1
198006;71.2;1
198007;118.7;1
198008;294.9;1
198009;151.3;1
198010;215.2;1
198011;113.7;1
198012;131.4;1
198101;31.6;1
198102;114.6;1
198103;23.2;1
198104;334.9;1
198105;178.6;1
198106;181.4;1
198107;168.7;1
198108;204.5;1
198109;306.8;1
198110;164.2;1
198111;226.4;1
198112;301.6;1
198201;62.2;1
198202;79.1;1
198203;74.6;1
198204;179.4;1
198205;104.4;1
198206;48.8;1
198207;112;1
198208;107.1;1
198209;209.6;1
198210;87.7;1
198211;246.6;1
198212;183.4;1
198301;40.6;1
198302;6.3;1
198303;87.9;1
198304;61;1
198305;218;1
198306;38.7;1
198307;136.4;1
198308;95.3;1
198309;141.5;1
