# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97110001
# NOM_USUEL= LA DESIRADE GENDARMERIE
# LATITUDE (°) = 16.298
# LONGITUDE(°)= -61.096
# ALTITUDE (m) = 7
# NUM_SERIE= MRR197110001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196501 202012
# Date(s) de rupture(s) d'homogénéité : 197812 200801
#     Periode homogénéisée  196501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;150.4;1
196502;29.6;1
196503;8.6;1
196504;43.1;1
196505;7.9;1
196506;43.2;1
196507;126.3;1
196508;113.5;1
196509;108.4;1
196510;55.8;1
196511;26.8;1
196512;97.4;1
196601;17.4;1
196602;100.1;1
196603;50.7;1
196604;81.3;1
196605;94.9;1
196606;43.2;1
196607;317;1
196608;101.4;1
196609;292.2;1
196610;76.3;1
196611;248.9;1
196612;85.1;1
196701;58.7;1
196702;8.8;1
196703;70.4;1
196704;91.8;1
196705;119.9;1
196706;71.3;1
196707;75.2;1
196708;73.5;1
196709;120.2;1
196710;218.9;1
196711;64.5;1
196712;94.7;1
196801;86.8;1
196802;21;1
196803;41.5;1
196804;141.2;1
196805;86.7;1
196806;267.6;1
196807;47.1;1
196808;147.7;1
196809;86.8;1
196810;50.2;1
196811;69.3;1
196812;125.5;1
196901;56.2;1
196902;32.8;1
196903;38.4;1
196904;36.7;1
196905;253.1;1
196906;68.2;1
196907;116.5;1
196908;78.9;1
196909;152.8;1
196910;149.9;1
196911;104.4;1
196912;85.2;1
197001;66;1
197002;48;1
197003;35.5;1
197004;149.6;1
197005;306;1
197006;136.9;1
197007;244.2;1
197008;205.4;1
197009;72;1
197010;401.9;1
197011;116.5;1
197012;238.4;1
197101;99.1;1
197102;66.4;1
197103;26.5;1
197104;21;1
197105;115.5;1
197106;34.9;1
197107;52.9;1
197108;53.7;1
197109;31.4;1
197110;67.6;1
197111;26.4;1
197112;92.1;1
197201;73.5;1
197202;74.1;1
197203;74.9;1
197204;36.9;1
197205;109.2;1
197206;43.9;1
197207;38.5;1
197208;310.9;1
197209;156.7;1
197210;87.1;1
197211;152.4;1
197212;138.9;1
197301;26.4;1
197302;79.3;1
197303;22.9;1
197304;114.7;1
197305;15.9;1
197306;264;1
197307;32.4;1
197308;146.8;1
197309;134.9;1
197310;63.6;1
197311;60.7;1
197312;146.5;1
197401;127.2;1
197402;120.8;1
197403;52;1
197404;84.7;1
197405;23.4;1
197406;19.7;1
197407;47.9;1
197408;129.8;1
197409;240.3;1
197410;176.6;1
197411;214.5;1
197412;132.2;1
197501;70.9;1
197502;49.8;1
197503;31.3;1
197504;12.2;1
197505;49.4;1
197506;87.8;1
197507;60.7;1
197508;116.4;1
197509;100.1;1
197510;287.5;1
197511;149.1;1
197512;317.6;1
197601;142.4;1
197602;134.1;1
197603;38.9;1
197604;40.1;1
197605;26.8;1
197606;37.3;1
197607;54.3;1
197608;26.2;1
197609;112.7;1
197610;345.2;1
197611;70.4;1
197612;123.2;1
197701;26.4;1
197702;26.9;1
197703;61.5;1
197704;51.1;1
197705;34.8;1
197706;6.7;1
197707;15.3;1
197708;225.1;1
197709;100.5;1
197710;212.7;1
197711;279.8;1
197712;68.4;1
197801;58.9;1
197802;14.7;1
197803;47.5;1
197804;83;1
197805;111.7;1
197806;92.2;1
197807;122.4;1
197808;116.4;1
197809;118.4;1
197810;76.1;1
197811;96.5;1
197812;63.3;1
197901;38.2;1
197902;59.4;1
197903;60.3;1
197904;99.5;1
197905;181.1;1
197906;262;1
197907;155.1;1
197908;237.9;1
197909;147.9;1
197910;252.7;1
197911;218.7;1
197912;248;1
198001;25.4;1
198002;33.8;1
198003;12.3;1
198004;11;1
198005;33.7;1
198006;63.9;1
198007;132.1;1
198008;176.5;1
198009;153.8;1
198010;106.2;1
198011;176.9;1
198012;72.7;1
198101;78.3;1
198102;63;1
198103;36.7;1
198104;312.9;1
198105;212.1;1
198106;77.1;1
198107;262.7;1
198108;128;1
198109;121.1;1
198110;81.4;1
198111;172.2;1
198112;284.8;1
198201;41.7;1
198202;76.8;1
198203;57.8;1
198204;70.4;1
198205;94.2;1
198206;27.2;1
198207;101.1;1
198208;99.6;1
198209;60.6;1
198210;63;1
198211;77.9;1
198212;231.6;1
198301;42.5;1
198302;1.2;1
198303;19.9;1
198304;16;1
198305;214.8;1
198306;45.2;1
198307;42.5;1
198308;84.1;1
198309;81.1;1
198310;92.7;1
198311;34.7;1
198312;40.9;1
198401;64.6;1
198402;30.1;1
198403;48.3;1
198404;37.8;1
198405;47.7;1
198406;67.8;1
198407;112.6;1
198408;52.5;1
198409;276.9;1
198410;148.7;1
198411;433.9;1
198412;66;1
198501;16.9;1
198502;64.9;1
198503;68;1
198504;82.1;1
198505;26.6;1
198506;15.1;1
198507;225;1
198508;81.1;1
198509;170.5;1
198510;167.7;1
198511;177.1;1
198512;74.4;1
198601;68.8;1
198602;31.6;1
198603;57;1
198604;99.7;1
198605;155.8;1
198606;36.7;1
198607;44.1;1
198608;187.9;1
198609;92.7;1
198610;46.3;1
198611;430.5;1
198612;26.2;1
198701;103.7;1
198702;22.4;1
198703;165.7;1
198704;111.1;1
198705;248.1;1
198706;148.6;1
198707;56.2;1
198708;143.2;1
198709;110.5;1
198710;162.8;1
198711;198.2;1
198712;112.2;1
198801;63.4;1
198802;48.5;1
198803;155.4;1
198804;5.3;1
198805;65.6;1
198806;65.8;1
198807;176.7;1
198808;363.4;1
198809;323.5;1
198810;119.9;1
198811;85.6;1
198812;98.1;1
198901;71.8;1
198902;26.1;1
198903;144.8;1
198904;111.9;1
198905;30.7;1
198906;35.6;1
198907;63.4;1
198908;177.8;1
198909;347.5;1
198910;115.8;1
198911;139;1
198912;69.5;1
199001;34.9;1
199002;35.1;1
199003;40.7;1
199004;160.2;1
199005;46.8;1
199006;88.8;1
199007;89.4;1
199008;73.8;1
199009;113.3;1
199010;282.7;1
199011;103;1
199012;81.1;1
199101;100.8;1
199102;38.9;1
199103;44.2;1
199104;126.6;1
199105;32.7;1
199106;63.4;1
199107;158.8;1
199108;70.8;1
199109;109.9;1
199110;80.6;1
199111;169.9;1
199112;85.5;1
199201;74.9;1
199202;34.1;1
199203;41.3;1
199204;85.1;1
199205;275.3;1
199206;80.7;1
199207;75.5;1
199208;157.7;1
199209;131.5;1
199210;65.8;1
199211;222.7;1
199212;132.1;1
199301;100;1
199302;45.7;1
199303;36.6;1
199304;55.5;1
199305;260.5;1
199306;128.2;1
199307;120.2;1
199308;86.3;1
199309;154.6;1
199310;67.6;1
199311;76.8;1
199312;83.3;1
199401;55.1;1
199402;18.4;1
199403;17.6;1
199404;19.6;1
199405;143;1
199406;63.7;1
199407;50;1
199408;89.1;1
199409;292;1
199410;112.7;1
199411;57.1;1
199412;135.2;1
199501;30.7;1
199502;40.7;1
199503;65.8;1
199504;44.8;1
199505;108.8;1
199506;47.8;1
199507;104.8;1
199508;245;1
199509;324.2;1
199510;51.3;1
199511;118.4;1
199512;309.5;1
199601;76.2;1
199602;58.4;1
199603;47.7;1
199604;73.8;1
199605;95.8;1
199606;70.8;1
199607;103.9;1
199608;101.7;1
199609;313.3;1
199610;161.5;1
199611;231.8;1
199612;264.2;1
199701;89.9;1
199702;39.8;1
199703;51.5;1
199704;5.6;1
199705;91.5;1
199706;56.6;1
199707;134.2;1
199708;103.9;1
199709;136.3;1
199710;131.6;1
199711;74.6;1
199712;36.7;1
199801;158.7;1
199802;11.7;1
199803;76.6;1
199804;91.6;1
199805;83.7;1
199806;152.6;1
199807;95.1;1
199808;200;1
199809;152.9;1
199810;355;1
199811;361.2;1
199812;198.2;1
199901;126;1
199902;33.8;1
199903;83.7;1
199904;59.1;1
199905;55;1
199906;94.6;1
199907;110.6;1
199908;76.4;1
199909;88.7;1
199910;273.4;1
199911;256.5;1
199912;65.8;1
200001;155.7;1
200002;64.3;1
200003;73.5;1
200004;67.9;1
200005;18.1;1
200006;30.8;1
200007;70.6;1
200008;127.1;1
200009;114.7;1
200010;74.6;1
200011;227.4;1
200012;88.4;1
200101;28.7;1
200102;38.9;1
200103;8.5;1
200104;38.7;1
200105;5.9;1
200106;48.5;1
200107;163.4;1
200108;97.3;1
200109;83;1
200110;173.4;1
200111;27.4;1
200112;379.9;1
200201;67.5;1
200202;88.5;1
200203;38.3;1
200204;119.2;1
200205;43.5;1
200206;66.8;1
200207;84.4;1
200208;68.7;1
200209;131.6;1
200210;160.8;1
200211;78.6;1
200212;96.2;1
200301;71.9;1
200302;55.7;1
200303;26.2;1
200304;21.4;1
200305;58.1;1
200306;136.7;1
200307;136.9;1
200308;59.6;1
200309;90.3;1
200310;107.7;1
200311;339.1;1
200312;86.9;1
200401;130.9;1
200402;115.2;1
200403;79.9;1
200404;36.5;1
200405;242.3;1
200406;60.1;1
200407;129.6;1
200408;105.2;1
200409;265.7;1
200410;167.9;1
200411;381.7;1
200412;91.8;1
200501;140.3;1
200502;187.5;1
200503;11.5;1
200504;145.9;1
200505;169;1
200506;312.4;1
200507;145;1
200508;69.5;1
200509;113.3;1
200510;235.1;1
200511;171.3;1
200512;70.4;1
200601;58.4;1
200602;59;1
200603;50.1;1
200604;6.9;1
200605;65.3;1
200606;195.4;1
200607;83.6;1
200608;64.5;1
200609;137.9;1
200610;196;1
200611;113.5;1
200612;145.5;1
200701;27.6;1
200702;16.8;1
200703;27.6;1
200704;21.2;1
