# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97128004
# NOM_USUEL= STE-ANNE MARLY
# LATITUDE (°) = 16.285
# LONGITUDE(°)= -61.335
# ALTITUDE (m) = 42
# NUM_SERIE= MRR197128004
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196501 202012
# Date(s) de rupture(s) d'homogénéité : 197712
#     Periode homogénéisée  196501 202012  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196501;184;1
196502;31.3;1
196503;31.3;1
196504;59.8;1
196505;34.1;1
196506;43;1
196507;132.6;1
196508;112.1;1
196509;106.9;1
196510;150.4;1
196511;198.9;1
196512;81.2;1
196601;16.8;1
196602;127;1
196603;63;1
196604;69.6;1
196605;112.5;1
196606;54.6;1
196607;611.7;1
196608;110.7;1
196609;232.5;1
196610;127.5;1
196611;261;1
196612;100.4;1
196701;75.6;1
196702;20.1;1
196703;157.8;1
196704;77.5;1
196705;157.4;1
196706;95.3;1
196707;138.7;1
196708;133.5;1
196709;68.6;1
196710;206.4;1
196711;48.6;1
196712;77;1
196801;83.1;1
196802;29.4;1
196803;23.3;1
196804;104.1;1
196805;114.9;1
196806;202.7;1
196807;98.1;1
196808;86.4;1
196809;85.9;1
196810;48.1;1
196811;155.5;1
196812;172.3;1
196901;70.5;1
196902;25.2;1
196903;32.2;1
196904;42;1
196905;210.1;1
196906;136.8;1
196907;178.8;1
196908;155;1
196909;195.2;1
196910;138.7;1
196911;185.8;1
196912;73.8;1
197001;57.9;1
197002;35.5;1
197003;20.5;1
197004;84;1
197005;160.2;1
197006;191;1
197007;265.2;1
197008;199.4;1
197009;152.2;1
197010;322.2;1
197011;219;1
197012;361.4;1
197101;109.7;1
197102;48.6;1
197103;44.8;1
197104;85;1
197105;92.9;1
197106;42.5;1
197107;53.7;1
197108;89.7;1
197109;48.6;1
197110;149.4;1
197111;77.5;1
197112;76.1;1
197201;119.1;1
197202;69.1;1
197203;80.3;1
197204;112.1;1
197205;89.7;1
197206;42.5;1
197207;86.4;1
197208;191.9;1
197209;216.7;1
197210;187.7;1
197211;225.1;1
197212;76.6;1
197301;43.4;1
197302;88.3;1
197303;39.7;1
197304;59.8;1
197305;16.8;1
197306;108.8;1
197307;46.2;1
197308;148.5;1
197309;189.6;1
197310;76.6;1
197311;73.3;1
197312;81.7;1
197401;145.7;1
197402;67.2;1
197403;71;1
197404;113.9;1
197405;116.7;1
197406;23.3;1
197407;49.5;1
197408;137.3;1
197409;226.5;1
197410;173;1
197411;155.3;1
197412;98;1
197501;107.7;1
197502;52.8;1
197503;35.8;1
197504;15.2;1
197505;26;1
197506;43.2;1
197507;32.2;1
197508;83.4;1
197509;151.8;1
197510;173;1
197511;154.5;1
197512;233.9;1
197601;100.5;1
197602;62.5;1
197603;26.5;1
197604;53.1;1
197605;47.5;1
197606;83.7;1
197607;58.4;1
197608;46.7;1
197609;146.8;1
197610;305.7;1
197611;127.3;1
197612;137.7;1
197701;45;1
197702;34.5;1
197703;34.5;1
197704;69.9;1
197705;29;1
197706;16.3;1
197707;17.8;1
197708;310;1
197709;196.1;1
197710;237;1
197711;233.3;1
197712;55.9;1
197801;83.4;1
197802;12.9;1
197803;43;1
197804;136;1
197805;175.9;1
197806;53.4;1
197807;116.5;1
197808;113.8;1
197809;129.9;1
197810;240.8;1
197811;71.2;1
197812;43.7;1
197901;51.6;1
197902;56.1;1
197903;86.2;1
197904;80.7;1
197905;160.9;1
197906;186.3;1
197907;184.9;1
197908;154.2;1
197909;77.3;1
197910;243.6;1
197911;162.8;1
197912;188;1
198001;34.2;1
198002;42.3;1
198003;28.2;1
198004;40.1;1
198005;32.7;1
198006;44.9;1
198007;101.7;1
198008;159;1
198009;105.8;1
198010;129;1
198011;134;1
198012;105.5;1
