# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97208001
# NOM_USUEL= FOND-DENIS-CADET
# LATITUDE (°) = 14.735
# LONGITUDE(°)= -61.145
# ALTITUDE (m) = 493
# NUM_SERIE= MRR197208001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195001 201312
# Date(s) de rupture(s) d'homogénéité : 197112 197712 200012
#     Periode homogénéisée  195001 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;440.3;1
195002;196.8;1
195003;204.1;1
195004;213.6;1
195005;195.5;1
195006;451.1;1
195007;354.5;1
195008;303.6;1
195009;208.7;1
195010;255.8;1
195011;192.5;1
195012;228.9;1
195101;142.7;1
195102;233.3;1
195103;87.7;1
195104;242.2;1
195105;278;1
195106;279.4;1
195107;248.9;1
195108;356.2;1
195109;395;1
195110;310.3;1
195111;238.5;1
195112;276.7;1
195201;91.3;1
195202;93.2;1
195203;180.6;1
195204;155.7;1
195205;160.4;1
195206;285.3;1
195207;431.2;1
195208;260.9;1
195209;314.7;1
195210;285.5;1
195211;325.4;1
195212;187.2;1
195301;175.7;1
195302;192.7;1
195303;216.1;1
195304;111;1
195305;286.9;1
195306;169.7;1
195307;534.2;1
195308;350.7;1
195309;236.3;1
195310;199.9;1
195311;376.7;1
195312;246.1;1
195401;160.3;1
195402;91;1
195403;136;1
195404;254.1;1
195405;138.9;1
195406;238.6;1
195407;308.5;1
195408;334;1
195409;355.4;1
195410;310.7;1
195411;199.4;1
195412;113;1
195501;59.2;1
195502;200.8;1
195503;100.8;1
195504;48.2;1
195505;91.1;1
195506;224.6;1
195507;437.2;1
195508;344.7;1
195509;231.7;1
195510;353.5;1
195511;343.4;1
195512;134;1
195601;266.6;1
195602;335.1;1
195603;234.4;1
195604;238.1;1
195605;155.7;1
195606;345.3;1
195607;306.8;1
195608;402.7;1
195609;165.4;1
195610;442.4;1
195611;348;1
195612;365.8;1
195701;285;1
195702;112.2;1
195703;30.3;1
195704;107.2;1
195705;79.8;1
195706;202.9;1
195707;416.8;1
195708;366.8;1
195709;242.6;1
195710;328.9;1
195711;350;1
195712;174.3;1
195801;92.2;1
195802;31.9;1
195803;12.8;1
195804;196.8;1
195805;348.1;1
195806;331.5;1
195807;513.9;1
195808;337.9;1
195809;330.4;1
195810;305.5;1
195811;237.5;1
195812;255.8;1
195901;173.4;1
195902;197.4;1
195903;128.3;1
195904;123.4;1
195905;133.1;1
195906;138.5;1
195907;242.5;1
195908;97.5;1
195909;166.2;1
195910;215.9;1
195911;147.6;1
195912;103.7;1
196001;141.7;1
196002;78.4;1
196003;134;1
196004;99;1
196005;98.4;1
196006;176.4;1
196007;609.7;1
196008;291.1;1
196009;179.1;1
196010;277.3;1
196011;122.4;1
196012;172.4;1
196101;245.2;1
196102;182.9;1
196103;121.3;1
196104;45.6;1
196105;121.9;1
196106;208.5;1
196107;420.4;1
196108;308.1;1
196109;166.6;1
196110;289.9;1
196111;116.8;1
196112;300.5;1
196201;349.5;1
196202;151.5;1
196203;53.5;1
196204;133.2;1
196205;74.3;1
196206;262.5;1
196207;385.2;1
196208;341.4;1
196209;297.7;1
196210;157.3;1
196211;144;1
196212;155.6;1
196301;223.4;1
196302;170.2;1
196303;178.5;1
196304;124.6;1
196305;209.3;1
196306;190.3;1
196307;556.2;1
196308;215.8;1
196309;570.5;1
196310;155.6;1
196311;223.8;1
196312;155.7;1
196401;138.9;1
196402;112.4;1
196403;216.2;1
196404;266.3;1
196405;74.3;1
196406;385;1
196407;397.8;1
196408;391.4;1
196409;232.1;1
196410;218.3;1
196411;134;1
196412;179.2;1
196501;232.8;1
196502;122.3;1
196503;130.6;1
196504;109.8;1
196505;51.8;1
196506;170.6;1
196507;395.3;1
196508;245;1
196509;283.7;1
196510;245.6;1
196511;104.7;1
196512;143.2;1
196601;34.8;1
196602;287.1;1
196603;169.5;1
196604;185.5;1
196605;397.8;1
196606;329.1;1
196607;581.6;1
196608;383.2;1
196609;291.3;1
196610;240.9;1
196611;261;1
196612;149.1;1
196701;465.5;1
196702;213.4;1
196703;261.1;1
196704;71.4;1
196705;132.8;1
196706;147.9;1
196707;301;1
196708;401.4;1
196709;565.5;1
196710;244.7;1
196711;255.3;1
196712;193;1
196801;168.2;1
196802;28.6;1
196803;169.5;1
196804;170.2;1
196805;175.3;1
196806;280.7;1
196807;210.3;1
196808;286.6;1
196809;212.9;1
196810;193.1;1
196811;164.3;1
196812;194.8;1
196901;140.2;1
196902;49.4;1
196903;33.9;1
196904;151.9;1
196905;142.7;1
196906;385.1;1
196907;460.7;1
196908;430.9;1
196909;336.6;1
196910;240.1;1
196911;396.5;1
196912;227.3;1
197001;138.4;1
197002;91.4;1
197003;92.7;1
197004;52;1
197005;157.2;1
197006;417.5;1
197007;559.2;1
197008;479.1;1
197009;175;1
197010;295.6;1
197011;179.6;1
197012;407;1
197101;278.1;1
197102;174.9;1
197103;78.2;1
197104;93;1
197105;135.5;1
197106;66.7;1
197107;169.2;1
197108;299.7;1
197109;243.6;1
197110;232.9;1
197111;55.7;1
197112;345.7;1
197201;444.4;1
197202;279.6;1
197203;112.5;1
197204;201.9;1
197205;162;1
197206;220.4;1
197207;324.3;1
197208;298.2;1
197209;299.2;1
197210;263.1;1
197211;297.8;1
197212;186.3;1
197301;69.7;1
197302;69.9;1
197303;37.7;1
197304;50.6;1
197305;53.1;1
197306;152.8;1
197307;89.5;1
197308;153.3;1
197309;201;1
197310;182.1;1
197311;115;1
197312;198.4;1
197401;510.8;1
197402;164.9;1
197403;285.2;1
197404;150.5;1
197405;117.6;1
197406;148.1;1
197407;107.8;1
197408;209.9;1
197409;362.9;1
197410;223;1
197411;127.7;1
197412;151.8;1
197501;400.5;1
197502;261.8;1
197503;114;1
197504;96.4;1
197505;86.3;1
197506;83.3;1
197507;191.6;1
197508;346.4;1
197509;165;1
197510;577.6;1
197511;226.4;1
197512;442.9;1
197601;247.7;1
197602;247.5;1
197603;203.4;1
197604;50.2;1
197605;152.8;1
197606;166;1
197607;173.7;1
197608;322.7;1
197609;289.8;1
197610;349.3;1
197611;373.9;1
197612;292.5;1
197701;76.7;1
197702;65.8;1
197703;44.6;1
197704;157;1
197705;59.9;1
197706;136.6;1
197707;152.4;1
197708;358.8;1
197709;265.8;1
197710;302.2;1
197711;147.5;1
197712;157.3;1
197801;194.5;1
197802;56.6;1
197803;141.4;1
197804;128.2;1
197805;158.7;1
197806;235.9;1
197807;256.9;1
197808;316.1;1
197809;210.1;1
197810;281.2;1
197811;336.9;1
197812;179.2;1
197901;99.4;1
197902;63;1
197903;150.5;1
197904;74.4;1
197905;160.6;1
197906;430.1;1
197907;442.5;1
197908;343.7;1
197909;267;1
197910;245;1
197911;310;1
197912;194.5;1
198001;132.8;1
198002;144.4;1
198003;146.8;1
198004;84.5;1
198005;40.9;1
198006;244.8;1
198007;388;1
198008;590.5;1
198009;343.5;1
198010;206.6;1
198011;240.1;1
198012;224.5;1
198101;142.1;1
198102;239.4;1
198103;51.6;1
198104;455.5;1
198105;206.4;1
198106;280.7;1
198107;277.9;1
198108;300.5;1
198109;190.2;1
198110;127.3;1
198111;185.6;1
198112;238;1
198201;255.6;1
198202;284.8;1
198203;199;1
198204;120.7;1
198205;112.8;1
198206;130.6;1
198207;286.5;1
198208;404.7;1
198209;351.5;1
198210;298;1
198211;312;1
198212;270.7;1
198301;136.6;1
198302;77.5;1
198303;98.1;1
198304;20.1;1
198305;228.8;1
198306;170;1
198307;427.3;1
198308;440;1
198309;316.1;1
198310;177.2;1
198311;115;1
198312;155.3;1
198401;298.5;1
198402;86.2;1
198403;140.4;1
198404;95.5;1
198405;157.4;1
198406;265;1
198407;465;1
198408;339.6;1
198409;305.9;1
198410;252.3;1
198411;533.2;1
198412;183.5;1
198501;167.8;1
198502;155.2;1
198503;149.2;1
198504;70.4;1
