# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97209004
# NOM_USUEL= FORT-DE-FRANCE DESAIX
# LATITUDE (°) = 14.618
# LONGITUDE(°)= -61.064
# ALTITUDE (m) = 143
# NUM_SERIE= MRR197209004
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201312
# Date(s) de rupture(s) d'homogénéité : 199112 200112 200512
#     Periode homogénéisée  195001 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;177.9;1
195002;74.5;1
195003;101.4;1
195004;106.3;1
195005;89.8;1
195006;282;1
195007;101.2;1
195008;227.2;1
195009;186.4;1
195010;247.7;1
195011;150;1
195012;202.8;1
195101;84.6;1
195102;98.7;1
195103;52.1;1
195104;143;1
195105;233.7;1
195106;192.6;1
195107;191.4;1
195108;355.1;1
195109;355.6;1
195110;109.9;1
195111;221.3;1
195112;235.7;1
195201;40.4;1
195202;50.8;1
195203;83.1;1
195204;66.8;1
195205;70;1
195206;176.6;1
195207;284.2;1
195208;359.2;1
195209;465.5;1
195210;191.2;1
195211;321.9;1
195212;138.6;1
195301;131.5;1
195302;68;1
195303;91.3;1
195304;76.9;1
195305;167.6;1
195306;128.7;1
195307;280.4;1
195308;220.4;1
195309;221.7;1
195310;126.4;1
195311;203.2;1
195312;161.4;1
195401;78.9;1
195402;53.8;1
195403;67.4;1
195404;177.2;1
195405;137.8;1
195406;148.6;1
195407;209;1
195408;290.9;1
195409;334.6;1
195410;311.3;1
195411;189.6;1
195412;101.3;1
195501;86.1;1
195502;86.7;1
195503;26.9;1
195504;37.7;1
195505;148.9;1
195506;169.6;1
195507;248.6;1
195508;226.8;1
195509;341.3;1
195510;245.8;1
195511;472.8;1
195512;97.4;1
195601;136.5;1
195602;152.4;1
195603;109.3;1
195604;193.4;1
195605;88;1
195606;201.8;1
195607;150.6;1
195608;287.3;1
195609;90.3;1
195610;314.4;1
195611;295.4;1
195612;249.7;1
195701;167.8;1
195702;64.6;1
195703;20.1;1
195704;66.8;1
195705;71.3;1
195706;222.2;1
195707;272.8;1
195708;318.5;1
195709;179.6;1
195710;303.8;1
195711;211.2;1
195712;214.6;1
195801;55.6;1
195802;19.7;1
195803;2.6;1
195804;125.9;1
195805;381.8;1
195806;286.6;1
195807;272.6;1
195808;169;1
195809;387.3;1
195810;296.3;1
195811;158.9;1
195812;180.8;1
195901;118.2;1
195902;115.7;1
195903;134.6;1
195904;131.2;1
195905;163;1
195906;149.9;1
195907;198.5;1
195908;67.9;1
195909;255.9;1
195910;164.5;1
195911;176;1
195912;68.5;1
196001;97;1
196002;98;1
196003;99.9;1
196004;71.7;1
196005;106.8;1
196006;115.8;1
196007;386.8;1
196008;182.5;1
196009;238;1
196010;323.4;1
196011;150.8;1
196012;185.1;1
196101;151.6;1
