# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97213004
# NOM_USUEL= LAMENTIN-AERO
# LATITUDE (°) = 14.595
# LONGITUDE(°)= -60.996
# ALTITUDE (m) = 3
# NUM_SERIE= MRR197213004
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 195001 201312
# Date(s) de rupture(s) d'homogénéité : 196112
#     Periode homogénéisée  195001 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195001;223.5;1
195002;40.5;1
195003;85;1
195004;42.2;1
195005;73.2;1
195006;310;1
195007;103.5;1
195008;302.2;1
195009;264.9;1
195010;277.2;1
195011;171.8;1
195012;182;1
195101;51;1
195102;73.5;1
195103;26.3;1
195104;53.4;1
195105;223.2;1
195106;247.2;1
195107;211.4;1
195108;345;1
195109;547.2;1
195110;108.6;1
195111;235;1
195112;236.8;1
195201;49.5;1
195202;44.6;1
195203;136.9;1
195204;80.5;1
195205;106.7;1
195206;197.7;1
195207;316.2;1
195208;275;1
195209;426.9;1
195210;183.8;1
195211;264.8;1
195212;150.9;1
195301;105.6;1
195302;79.4;1
195303;72.8;1
195304;156;1
195305;177.9;1
195306;176.5;1
195307;290.3;1
195308;269.1;1
195309;313.1;1
195310;176.1;1
195311;264.4;1
195312;198.7;1
195401;81.3;1
195402;38.3;1
195403;59.3;1
195404;146.6;1
195405;175.2;1
195406;131.6;1
195407;171.9;1
195408;204.3;1
195409;374;1
195410;299.3;1
195411;222.4;1
195412;101.1;1
195501;79.8;1
195502;91.9;1
195503;48.7;1
195504;49.7;1
195505;105.1;1
195506;180;1
195507;320.7;1
195508;245.5;1
195509;369.3;1
195510;267.8;1
195511;429.4;1
195512;106.6;1
195601;164.6;1
195602;187.2;1
195603;116.9;1
195604;187.5;1
195605;74;1
195606;221;1
195607;144.2;1
195608;254.2;1
195609;91.4;1
195610;376.8;1
195611;199.5;1
195612;203.7;1
195701;177.6;1
195702;62.6;1
195703;30.8;1
195704;63.4;1
195705;63.8;1
195706;255.9;1
195707;289.6;1
195708;355.7;1
