# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97222005
# NOM_USUEL= ROBERT-DUCHESNE
# LATITUDE (°) = 14.655
# LONGITUDE(°)= -60.951
# ALTITUDE (m) = 230
# NUM_SERIE= MRR197222005
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196201 201312
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196201 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196201;145.5;1
196202;89.6;1
196203;42.5;1
196204;114;1
196205;28.3;1
196206;177.7;1
196207;225.2;1
196208;231;1
196209;308.7;1
196210;163.1;1
196211;121.1;1
196212;138.8;1
196301;174;1
196302;73.7;1
196303;55.9;1
196304;122.6;1
196305;164.4;1
196306;97.5;1
196307;260.3;1
196308;157.9;1
196309;621.2;1
196310;137.9;1
196311;140;1
196312;80.1;1
196401;90.5;1
196402;59.9;1
196403;82.4;1
196404;134.4;1
196405;173.4;1
196406;243.8;1
196407;248.3;1
196408;308.3;1
196409;204.4;1
196410;271;1
196411;75.4;1
196412;112.1;1
196501;249.7;1
196502;32.2;1
196503;30.4;1
196504;90.9;1
196505;38.9;1
196506;113.3;1
196507;136.7;1
196508;174.9;1
196509;176.3;1
196510;287.2;1
196511;133.5;1
196512;123;1
196601;8.6;1
196602;342;1
196603;146;1
196604;207.5;1
196605;424.6;1
196606;320.3;1
196607;97.8;1
196608;152.4;1
196609;247.8;1
196610;259.8;1
196611;491.9;1
196612;171.1;1
196701;151.3;1
196702;130.6;1
196703;170.8;1
196704;126.7;1
196705;86;1
196706;54.3;1
196707;147.4;1
196708;181.4;1
196709;604;1
196710;245.1;1
196711;167.6;1
196712;115.8;1
196801;131.6;1
196802;22.2;1
196803;85.2;1
196804;198;1
196805;188.3;1
196806;271.8;1
196807;138.7;1
196808;224.7;1
196809;216.7;1
196810;186;1
196811;174.6;1
196812;215.8;1
196901;143.5;1
196902;34.3;1
196903;20.7;1
196904;41.7;1
196905;141;1
196906;269.6;1
196907;357;1
196908;199.9;1
196909;195.8;1
196910;282.1;1
196911;302;1
196912;231;1
197001;21.7;1
197002;22.6;1
197003;86.1;1
197004;93.3;1
197005;178.3;1
197006;301.5;1
197007;457.8;1
197008;284.2;1
197009;117;1
197010;361;1
197011;217;1
197012;243.2;1
