# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97228001
# NOM_USUEL= STE-MARIE GEND
# LATITUDE (°) = 14.774
# LONGITUDE(°)= -60.987
# ALTITUDE (m) = 6
# NUM_SERIE= MRR197228001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195301 201312
# Date(s) de rupture(s) d'homogénéité : 197212
#     Periode homogénéisée  195301 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195301;101.2;1
195302;35.6;1
195303;107.2;1
195304;157.4;1
195305;141.3;1
195306;110.2;1
195307;294.3;1
195308;375.7;1
195309;228;1
195310;184.7;1
195311;381;1
195312;218.8;1
195401;54.5;1
195402;84.9;1
195403;74;1
195404;125.7;1
195405;151.5;1
195406;89.1;1
195407;154.9;1
195408;374.6;1
195409;317.6;1
195410;438.8;1
195411;102.5;1
195412;171.1;1
195501;24.2;1
195502;42.4;1
195503;27.6;1
195504;47.8;1
195505;23.4;1
195506;148.5;1
195507;136.3;1
195508;105.6;1
195509;196.4;1
195510;362.6;1
195511;330.9;1
195512;149.2;1
195601;205.9;1
195602;78.8;1
195603;57.7;1
195604;96.6;1
195605;213.3;1
195606;193.3;1
195607;169.6;1
195608;255.9;1
195609;169.3;1
195610;307.4;1
195611;248.8;1
195612;202.7;1
195701;74.6;1
195702;50.9;1
195703;23.2;1
195704;41.6;1
195705;29.5;1
195706;146.3;1
195707;223.3;1
195708;326;1
195709;162.9;1
195710;323.1;1
195711;198.8;1
195712;73.3;1
195801;50.7;1
195802;0;1
195803;0;1
195804;136.9;1
195805;430.9;1
195806;354.8;1
195807;153.8;1
195808;209.6;1
195809;287.2;1
195810;510.4;1
195811;115.9;1
195812;137.9;1
195901;130.8;1
195902;84;1
195903;70.7;1
195904;133.1;1
195905;206.5;1
195906;101;1
195907;171.7;1
195908;75.7;1
195909;177.8;1
195910;124.9;1
195911;167.9;1
195912;178.3;1
196001;93.9;1
196002;60.5;1
196003;41.3;1
196004;149.4;1
196005;56;1
196006;102.2;1
196007;491.7;1
196008;197.5;1
196009;296.1;1
196010;347.2;1
196011;98.9;1
196012;186.5;1
196101;147.3;1
196102;129.7;1
196103;88.2;1
196104;88.8;1
196105;93.4;1
196106;88.2;1
196107;273;1
196108;226.8;1
196109;123.2;1
196110;340.8;1
196111;288.8;1
196112;237.6;1
196201;89.7;1
196202;55;1
196203;27.3;1
196204;52.2;1
196205;129.9;1
196206;285.5;1
196207;231.4;1
196208;342.9;1
196209;282.5;1
196210;157.4;1
196211;163.9;1
196212;124.9;1
196301;116.2;1
196302;34.9;1
196303;58.8;1
196304;97.4;1
196305;163.2;1
196306;131.7;1
196307;295.3;1
196308;48;1
196309;423.3;1
196310;155.8;1
196311;182.1;1
196312;45.2;1
196401;96.1;1
196402;45.5;1
196403;39.5;1
196404;88.3;1
196405;216.9;1
196406;248.6;1
196407;330.3;1
196408;378.6;1
196409;129.7;1
196410;163.6;1
196411;107.4;1
196412;174.6;1
196501;140;1
196502;10.7;1
196503;35.2;1
196504;184;1
196505;134.8;1
196506;205.1;1
196507;213.9;1
196508;199.2;1
196509;169.3;1
196510;335.8;1
196511;215;1
196512;296.4;1
196601;32.1;1
196602;178.3;1
196603;57.6;1
196604;169.3;1
196605;219.8;1
196606;88.7;1
196607;543.5;1
196608;233.4;1
196609;302.8;1
196610;184.3;1
196611;728;1
196612;158;1
196701;135;1
196702;152.2;1
196703;200;1
196704;175.4;1
196705;96.9;1
196706;61;1
196707;77.4;1
196708;182.4;1
196709;454.7;1
196710;312.8;1
196711;162.9;1
196712;73.4;1
196801;150.6;1
196802;11.7;1
196803;102.2;1
196804;177.8;1
196805;98.5;1
196806;279.5;1
196807;95.1;1
196808;211;1
196809;286.2;1
196810;272.5;1
196811;99.9;1
196812;328.6;1
196901;104.9;1
196902;32.8;1
196903;34.1;1
196904;103.8;1
196905;96.5;1
196906;400.3;1
196907;327.8;1
196908;206.6;1
196909;244.2;1
196910;266.6;1
196911;409.3;1
196912;202.7;1
197001;40.3;1
