# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97231002
# NOM_USUEL= TROIS-ILETS GOLF
# LATITUDE (°) = 14.54
# LONGITUDE(°)= -61.046
# ALTITUDE (m) = 6
# NUM_SERIE= MRR197231002
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195401 201312
# Date(s) de rupture(s) d'homogénéité : 196412 198312
#     Periode homogénéisée  195401 201312  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;77.5;1
195402;41;1
195403;78.7;1
195404;94;1
195405;90.1;1
195406;192.5;1
195407;159.1;1
195408;278.3;1
195409;262.3;1
195410;250.4;1
195411;194.1;1
195412;102;1
195501;83.6;1
195502;55.6;1
195503;34.4;1
195504;22.8;1
195505;54.8;1
195506;207.1;1
195507;149.1;1
195508;136.8;1
195509;167.6;1
195510;318.8;1
195511;354.8;1
195512;62.5;1
195601;172.6;1
195602;158.8;1
195603;80.7;1
195604;158.5;1
195605;63.6;1
195606;240.4;1
195607;133.7;1
195608;255.1;1
195609;59.1;1
195610;299;1
195611;211.7;1
195612;186;1
195701;151.5;1
195702;41.6;1
195703;37.9;1
195704;60.8;1
195705;43.5;1
195706;217.6;1
195707;256.4;1
195708;338.5;1
195709;174.9;1
195710;374.5;1
195711;178;1
195712;175.6;1
195801;31.6;1
195802;12.9;1
195803;4.5;1
195804;114.4;1
195805;328.9;1
195806;245.7;1
195807;336.1;1
195808;238.9;1
195809;392.5;1
195810;424.5;1
195811;120.2;1
195812;115;1
195901;186.8;1
195902;102.4;1
195903;82.7;1
195904;91.4;1
195905;142.6;1
195906;99.1;1
195907;131.4;1
195908;65.3;1
195909;124.2;1
195910;135;1
195911;95.2;1
195912;87.7;1
196001;85;1
196002;97.8;1
196003;78.6;1
196004;65.3;1
196005;76.3;1
196006;70.9;1
196007;322.4;1
196008;150.4;1
196009;156.4;1
196010;206.7;1
196011;61.4;1
