# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97303001
# NOM_USUEL= IRACOUBO
# LATITUDE (°) = 5.48
# LONGITUDE(°)= -53.212
# ALTITUDE (m) = 2
# NUM_SERIE= MRR197303001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;140.1;1
195502;209.3;1
195503;637.5;1
195504;345.1;1
195505;897.9;1
195506;249.9;1
195507;214.5;1
195508;98.3;1
195509;12;1
195510;27.5;1
195511;115.2;1
195512;376.3;1
195601;215.5;1
195602;271.7;1
195603;556.3;1
195604;364.5;1
195605;547.7;1
195606;459.4;1
195607;267.7;1
195608;242.9;1
195609;54;1
195610;9.9;1
195611;108.5;1
195612;371.8;1
195701;200.2;1
195702;122.7;1
195703;143.6;1
195704;121.3;1
195705;531.6;1
195706;355.9;1
195707;153.2;1
195708;31.5;1
195709;10.3;1
195710;10;1
195711;76;1
195712;301.9;1
195801;117.5;1
195802;305.8;1
195803;163.8;1
195804;543.4;1
195805;331.6;1
195806;275.6;1
195807;176.7;1
195808;68.9;1
195809;11.7;1
195810;62;1
195811;31.8;1
195812;116.1;1
195901;172;1
195902;297.8;1
195903;205.1;1
195904;510.5;1
195905;347.9;1
195906;731.6;1
195907;255.6;1
195908;109.4;1
195909;17.7;1
195910;38.8;1
195911;267.8;1
195912;85.8;1
196001;116.3;1
196002;503.4;1
196003;151.4;1
196004;256.1;1
196005;540.3;1
196006;333.5;1
196007;328;1
196008;107.3;1
196009;7.5;1
196010;39;1
196011;185.7;1
196012;194.3;1
196101;261.4;1
196102;10.3;1
196103;38.3;1
196104;23.8;1
196105;264.4;1
196106;512.5;1
196107;335.8;1
196108;157.5;1
196109;26;1
196110;68.8;1
196111;148.2;1
196112;422.5;1
196201;311;1
196202;95.5;1
196203;411.9;1
196204;239.6;1
196205;420.8;1
196206;219.3;1
196207;90.1;1
196208;173.5;1
196209;13.8;1
196210;18.9;1
196211;78.3;1
196212;220.7;1
196301;449.8;1
196302;427.2;1
196303;158.5;1
196304;246.2;1
196305;420.7;1
196306;365.5;1
196307;147;1
196308;105.9;1
196309;18.9;1
196310;15.2;1
196311;107.5;1
196312;155.2;1
196401;62.4;1
196402;74.5;1
196403;137.9;1
196404;79.2;1
196405;186.9;1
196406;355.3;1
196407;75.3;1
196408;83.2;1
196409;2;1
196410;79.3;1
196411;74;1
196412;386.5;1
196501;442.9;1
196502;193.1;1
196503;191.5;1
196504;215.7;1
196505;350;1
196506;348.4;1
196507;278.5;1
196508;77.5;1
196509;39.5;1
196510;0;1
196511;142.6;1
196512;330.9;1
196601;156.7;1
196602;74;1
196603;332.5;1
196604;337.5;1
196605;400;1
196606;283;1
196607;428;1
196608;188.4;1
196609;76.9;1
196610;12.3;1
196611;25.3;1
196612;319.2;1
196701;423.4;1
196702;129.3;1
196703;104.2;1
196704;237.3;1
196705;773.7;1
196706;459.4;1
196707;150;1
196708;35.3;1
196709;0;1
196710;109.1;1
196711;76.3;1
196712;234.4;1
196801;405.1;1
196802;244.8;1
196803;379.2;1
196804;304.5;1
196805;173.9;1
196806;323.2;1
196807;263.8;1
196808;49.5;1
196809;65.4;1
196810;71.1;1
196811;319.9;1
196812;286.4;1
196901;237.9;1
196902;223.4;1
196903;152.7;1
196904;292.9;1
196905;544.9;1
196906;175.9;1
196907;143.9;1
196908;117;1
196909;23;1
196910;24.5;1
196911;96.9;1
196912;96.2;1
197001;302.4;1
197002;228.5;1
197003;537;1
197004;522.7;1
197005;487.5;1
197006;329.5;1
197007;275.8;1
197008;87.2;1
197009;20.5;1
197010;141.2;1
197011;89.9;1
197012;286.1;1
197101;412.5;1
197102;755;1
197103;454.9;1
197104;302.9;1
197105;399.7;1
197106;422.3;1
197107;282.5;1
197108;82.5;1
197109;73.5;1
197110;120;1
197111;108.4;1
197112;344.5;1
197201;416.8;1
197202;335;1
197203;284;1
197204;495;1
197205;717.5;1
197206;421;1
197207;179.6;1
197208;81;1
197209;29.5;1
197210;19;1
197211;138;1
197212;171;1
197301;34;1
197302;113;1
197303;170.5;1
197304;192.2;1
197305;656;1
197306;515.8;1
197307;106.4;1
197308;36.4;1
197309;12.3;1
197310;173.5;1
197311;250.4;1
197312;327.2;1
197401;359.5;1
197402;196.7;1
197403;219.3;1
197404;234.8;1
197405;142.8;1
197406;257.3;1
197407;189.8;1
197408;177.9;1
197409;96.2;1
197410;42.9;1
197411;101.8;1
197412;253.9;1
197501;295.2;1
197502;243.3;1
197503;147.3;1
197504;79.4;1
197505;332.6;1
197506;381.8;1
197507;305.8;1
197508;160.2;1
197509;120.2;1
197510;44.2;1
197511;62;1
197512;206.6;1
197601;534.3;1
197602;316.8;1
197603;518.1;1
197604;509.4;1
197605;776.1;1
197606;628.7;1
197607;202.7;1
197608;58.3;1
197609;0;1
197610;0;1
197611;101.6;1
197612;540.3;1
197701;169.5;1
197702;180.4;1
197703;202.3;1
197704;484.2;1
197705;590.1;1
197706;328.3;1
197707;165.2;1
197708;214.6;1
197709;142.9;1
197710;101.2;1
197711;150;1
197712;373.8;1
197801;270.7;1
197802;144;1
197803;146.2;1
197804;324.6;1
197805;442.4;1
197806;202.6;1
197807;130.5;1
197808;240.3;1
197809;105;1
197810;197.8;1
197811;69;1
197812;468.2;1
197901;254.1;1
197902;114.6;1
197903;449.3;1
197904;682.8;1
197905;289.9;1
197906;336.6;1
197907;322.4;1
197908;101.2;1
197909;55.8;1
197910;60;1
197911;115.6;1
197912;223.7;1
198001;204.3;1
198002;47.5;1
198003;296.7;1
198004;295.6;1
198005;460.8;1
198006;393.3;1
198007;184.4;1
