# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97307001
# NOM_USUEL= CAYENNE-MATOURY
# LATITUDE (°) = 4.822
# LONGITUDE(°)= -52.365
# ALTITUDE (m) = 4
# NUM_SERIE= MRR197307001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;278.4;1
195502;241.8;1
195503;847.2;1
195504;264.5;1
195505;800.9;1
195506;539.7;1
195507;269.2;1
195508;104.9;1
195509;36;1
195510;21.2;1
195511;203.9;1
195512;628.7;1
195601;468.1;1
195602;552.7;1
195603;883;1
195604;665.2;1
195605;709.7;1
195606;493.9;1
195607;256.6;1
195608;195.4;1
195609;87.1;1
195610;77.4;1
195611;189.1;1
195612;342.5;1
195701;425.3;1
195702;455.5;1
195703;194.6;1
195704;344.4;1
195705;535.4;1
195706;414.8;1
195707;243.4;1
195708;58.6;1
195709;3.8;1
195710;29;1
195711;125.3;1
195712;406.4;1
195801;176.9;1
195802;201.6;1
195803;335.2;1
195804;822.7;1
195805;374.7;1
195806;243.5;1
195807;259.9;1
195808;151;1
195809;8.2;1
195810;68.2;1
195811;13.3;1
195812;202.9;1
195901;405.5;1
195902;403.8;1
195903;194.4;1
195904;706.8;1
195905;399.6;1
195906;652.7;1
195907;344.6;1
195908;76.5;1
195909;17.9;1
195910;50.1;1
195911;423;1
195912;199.6;1
196001;302.7;1
196002;443.3;1
196003;194.2;1
196004;581.4;1
196005;735.8;1
196006;379.5;1
196007;408.3;1
196008;200.6;1
196009;32.2;1
196010;97;1
196011;158.7;1
196012;325.4;1
196101;259.8;1
196102;88.5;1
196103;79;1
196104;112.8;1
196105;468.5;1
196106;598.1;1
196107;271.1;1
196108;215.6;1
196109;24.3;1
196110;31.4;1
196111;209.9;1
196112;531.1;1
196201;491.3;1
196202;358.8;1
196203;407.5;1
196204;306.7;1
196205;433.1;1
196206;350.2;1
196207;224.8;1
196208;182.7;1
196209;20.5;1
196210;15.2;1
196211;34.5;1
196212;424.1;1
196301;689.8;1
196302;521.9;1
196303;366.6;1
196304;451.5;1
196305;490.9;1
196306;421.5;1
196307;244.1;1
196308;128.9;1
196309;167.7;1
196310;3.5;1
196311;127.6;1
196312;197.8;1
196401;191.9;1
196402;97.5;1
196403;244.6;1
196404;143.4;1
196405;546.5;1
196406;432.5;1
196407;121.9;1
196408;166.6;1
196409;31.3;1
196410;99.2;1
196411;59.9;1
196412;266.4;1
196501;572.9;1
196502;207.4;1
196503;181;1
196504;131.8;1
196505;703;1
196506;457.2;1
196507;228;1
196508;168.6;1
196509;31.7;1
196510;54.3;1
196511;202.5;1
196512;222.7;1
196601;139.2;1
196602;229.1;1
196603;488.4;1
196604;136.8;1
196605;558.8;1
196606;287.1;1
196607;267;1
196608;122.9;1
196609;82.1;1
196610;13.3;1
196611;99.8;1
196612;296;1
196701;379.7;1
196702;195;1
196703;219.4;1
196704;358.2;1
196705;972.4;1
196706;336.1;1
196707;144.5;1
196708;174.1;1
196709;32.3;1
196710;37;1
196711;52.5;1
196712;410.9;1
196801;693;1
196802;370.4;1
196803;392.9;1
196804;262.8;1
196805;325;1
196806;498.7;1
196807;271.4;1
196808;95.9;1
196809;150.4;1
196810;102.5;1
196811;445;1
196812;479.7;1
196901;386.5;1
196902;364;1
196903;423.2;1
196904;530.2;1
196905;589.1;1
196906;280.4;1
196907;228.8;1
196908;134.8;1
196909;48.6;1
196910;67.8;1
196911;27.4;1
196912;103.9;1
197001;429.1;1
197002;426.3;1
197003;859.3;1
197004;744.2;1
197005;641;1
197006;430.9;1
197007;262.1;1
197008;148.7;1
197009;44.8;1
197010;36.6;1
197011;121.8;1
197012;323.3;1
197101;514.6;1
197102;580.5;1
197103;882.8;1
197104;442.9;1
197105;660.2;1
197106;762.1;1
197107;263.8;1
197108;178.3;1
197109;55.9;1
197110;152.2;1
197111;125.9;1
197112;311.5;1
197201;416.9;1
197202;558.9;1
197203;229.2;1
197204;511.8;1
197205;665.5;1
197206;583.6;1
197207;166.3;1
197208;159.1;1
197209;62;1
197210;42.3;1
197211;165.3;1
197212;335.3;1
197301;115;1
197302;197.3;1
197303;359.4;1
197304;328.4;1
197305;943.7;1
197306;659.8;1
197307;294.7;1
197308;230.1;1
197309;137.3;1
197310;299.5;1
197311;207.8;1
197312;286.9;1
197401;805.4;1
197402;363.8;1
197403;411.4;1
197404;284.9;1
197405;319.3;1
197406;488;1
197407;269.7;1
197408;153.8;1
197409;120.6;1
197410;161.5;1
197411;208.9;1
197412;423.4;1
197501;283.8;1
197502;397.6;1
197503;233.5;1
197504;297.8;1
197505;388.8;1
197506;800.1;1
197507;350.6;1
197508;237;1
197509;214.2;1
197510;44.2;1
197511;136.1;1
197512;192.1;1
197601;823.9;1
197602;614.7;1
197603;765.5;1
197604;762.7;1
197605;924.9;1
197606;579.2;1
197607;225.8;1
197608;95.4;1
197609;4.3;1
197610;2.4;1
197611;102.4;1
197612;527.8;1
197701;258.4;1
197702;289.9;1
197703;268.3;1
197704;498.6;1
197705;699.7;1
197706;338.2;1
197707;316.5;1
197708;182.5;1
197709;128.9;1
197710;87.9;1
197711;219.1;1
197712;436.4;1
197801;382.3;1
197802;223.4;1
197803;363.2;1
197804;268.3;1
197805;449.5;1
197806;396.2;1
197807;200;1
197808;275.5;1
197809;78.9;1
197810;108.1;1
197811;114;1
197812;641;1
197901;290.3;1
197902;166.4;1
197903;677.7;1
197904;583.1;1
197905;403.3;1
197906;303.3;1
197907;438.2;1
197908;121.9;1
197909;121;1
197910;35.8;1
197911;107.2;1
197912;366.5;1
198001;436.7;1
198002;23.5;1
198003;390.8;1
198004;649.4;1
198005;532.3;1
198006;397;1
198007;179.7;1
198008;165.9;1
198009;70.9;1
198010;113.3;1
198011;330.9;1
198012;327.6;1
198101;331.9;1
198102;558.5;1
198103;80.6;1
198104;455.5;1
198105;492.7;1
198106;379.9;1
198107;389.9;1
198108;215.4;1
198109;72;1
198110;118.5;1
198111;132.9;1
198112;392.3;1
198201;332.1;1
198202;275.1;1
198203;638.8;1
198204;514.9;1
198205;763.5;1
198206;301.1;1
198207;173.5;1
198208;128.5;1
198209;68.4;1
198210;18.2;1
198211;73;1
198212;195.9;1
198301;246.2;1
198302;292.4;1
198303;356.2;1
198304;766.8;1
198305;392.6;1
198306;293.7;1
198307;141.5;1
198308;71.8;1
198309;61.9;1
198310;27.2;1
198311;58.7;1
198312;501.1;1
198401;764.9;1
198402;109.4;1
198403;256.9;1
198404;305.9;1
198405;1019.8;1
198406;411.8;1
198407;335.2;1
198408;169.5;1
198409;130.8;1
198410;223;1
198411;202.2;1
198412;346.7;1
198501;215.7;1
198502;257.8;1
198503;340;1
198504;166.9;1
198505;578.3;1
198506;676.1;1
198507;259.5;1
198508;232.6;1
198509;87.2;1
198510;91.8;1
198511;162.9;1
198512;456;1
198601;596.2;1
198602;155.6;1
198603;232.4;1
198604;97.4;1
198605;585.1;1
198606;494.7;1
198607;186.6;1
198608;139.6;1
198609;9.5;1
198610;81.5;1
198611;288.3;1
198612;433.4;1
198701;224;1
198702;146.7;1
198703;41.4;1
198704;361.2;1
198705;423.4;1
198706;290.8;1
198707;312.8;1
198708;159.8;1
198709;17.6;1
198710;44;1
198711;79.9;1
198712;275.3;1
198801;386.1;1
198802;260.7;1
198803;274.6;1
198804;207;1
198805;503.2;1
198806;429.7;1
198807;176.3;1
198808;283.9;1
198809;86.7;1
198810;133.3;1
198811;155.2;1
198812;499.7;1
198901;743.1;1
198902;648.8;1
198903;845.9;1
198904;389.8;1
198905;617.6;1
198906;708;1
198907;226.6;1
198908;76.9;1
198909;30.6;1
198910;125.2;1
198911;191.2;1
198912;321.4;1
199001;775.7;1
199002;183.6;1
199003;506.3;1
199004;920.8;1
199005;884.4;1
199006;406.8;1
199007;163.6;1
199008;146.7;1
199009;18.1;1
199010;85.5;1
199011;128.5;1
199012;252.7;1
199101;361.1;1
199102;208.3;1
199103;162.2;1
199104;212.9;1
199105;579.3;1
199106;629.9;1
199107;300.4;1
199108;235;1
199109;82.1;1
199110;21.4;1
199111;23;1
199112;208.6;1
199201;218.6;1
199202;458.9;1
199203;313.9;1
199204;368.4;1
199205;424;1
199206;221;1
199207;176.8;1
199208;88;1
199209;4.1;1
199210;31.5;1
199211;118.4;1
199212;205.4;1
199301;463.3;1
199302;289.2;1
199303;336.5;1
199304;495.2;1
199305;574.7;1
199306;450.8;1
199307;209.5;1
199308;254.3;1
199309;23.8;1
199310;74.9;1
199311;97.7;1
199312;232.2;1
199401;441.8;1
199402;252.7;1
199403;500.8;1
199404;727.7;1
199405;688.6;1
199406;348.2;1
199407;281.5;1
199408;152.3;1
199409;43.8;1
199410;53.3;1
199411;393.9;1
199412;298.2;1
199501;172.8;1
199502;69.5;1
199503;347.3;1
199504;105;1
199505;433.7;1
199506;321;1
199507;252;1
199508;162.4;1
199509;58.7;1
199510;45.4;1
199511;130.3;1
199512;172.2;1
199601;608;1
199602;542.8;1
199603;490.6;1
199604;127.2;1
199605;525.4;1
199606;453.1;1
199607;317.8;1
199608;162.4;1
199609;41.6;1
199610;19.2;1
199611;318.2;1
199612;108;1
199701;906.3;1
199702;606.8;1
199703;259.7;1
199704;270.3;1
199705;631.4;1
199706;273.1;1
199707;180.5;1
199708;64;1
199709;5.2;1
199710;7.9;1
199711;46.6;1
199712;328.6;1
199801;178.2;1
199802;146.8;1
199803;113.8;1
199804;636.2;1
199805;417.4;1
199806;335.2;1
199807;184.1;1
199808;119.4;1
199809;52;1
199810;108.8;1
199811;150.2;1
199812;424.4;1
199901;405.2;1
199902;513.6;1
199903;316.4;1
199904;453.6;1
199905;565.8;1
199906;427;1
199907;236.2;1
199908;174.2;1
199909;78.6;1
199910;43;1
199911;27.4;1
199912;287;1
200001;868.4;1
200002;449.8;1
200003;270.2;1
200004;876.8;1
200005;564;1
200006;417.2;1
200007;190.8;1
200008;156.6;1
200009;88.4;1
200010;57.6;1
200011;145.2;1
200012;259.6;1
200101;336.6;1
200102;283.2;1
200103;128.4;1
200104;213.6;1
200105;668.8;1
200106;598.4;1
200107;282.2;1
200108;141.8;1
200109;155;1
200110;58.2;1
200111;64;1
200112;434;1
200201;512;1
200202;312.4;1
200203;680.6;1
200204;737.4;1
200205;617.4;1
200206;498;1
200207;173.6;1
200208;136;1
200209;43.2;1
200210;20.4;1
200211;166;1
200212;396.8;1
200301;127.6;1
200302;155.6;1
200303;146.2;1
200304;335;1
200305;581.6;1
200306;456.2;1
200307;270.4;1
200308;23.6;1
200309;71.6;1
200310;59.6;1
200311;113.2;1
200312;308.6;1
200401;189.8;1
200402;90.6;1
200403;350;1
200404;605.2;1
200405;395;1
200406;412.4;1
200407;245.4;1
200408;95.5;1
200409;111;1
200410;54.8;1
200411;136.6;1
200412;74.6;1
200501;540.6;1
200502;191.4;1
200503;226;1
200504;734.2;1
200505;422.8;1
200506;222.2;1
200507;150;1
200508;162.4;1
200509;46.2;1
200510;15.4;1
200511;111.8;1
200512;615.4;1
200601;869;1
200602;283;1
200603;331.4;1
200604;579;1
200605;674.8;1
200606;503.6;1
200607;260.6;1
200608;115.6;1
200609;61.2;1
200610;131.2;1
200611;152.4;1
200612;434.8;1
200701;271.4;1
200702;144.2;1
200703;525.4;1
200704;553.1;1
200705;647;1
200706;407;1
200707;250.4;1
200708;128.2;1
200709;27.4;1
200710;47;1
200711;87.4;1
200712;622;1
200801;258.2;1
200802;636.6;1
200803;318.8;1
200804;363.6;1
200805;676;1
200806;334;1
200807;444.2;1
200808;91.2;1
200809;14.2;1
200810;10;1
200811;19;1
200812;344.8;1
200901;869;1
200902;531;1
200903;386.6;1
200904;365.4;1
200905;238.8;1
200906;379.8;1
200907;282.2;1
200908;92;1
200909;36.4;1
200910;62.6;1
200911;98.2;1
200912;261.8;1
201001;323.2;1
201002;228.2;1
201003;251.7;1
201004;504.9;1
201005;793.7;1
201006;262.5;1
201007;316;1
201008;128.3;1
201009;44.9;1
201010;30;1
201011;129.9;1
201012;523.9;1
201101;213.5;1
201102;482.2;1
201103;467.1;1
201104;172.2;1
201105;787.3;1
201106;426.1;1
201107;268.2;1
201108;61.9;1
201109;106.6;1
201110;210.9;1
201111;216.3;1
201112;250.6;1
201201;512;1
201202;782.8;1
201203;354.2;1
201204;664.8;1
201205;594.8;1
201206;271.5;1
201207;238.4;1
201208;116.3;1
201209;17.5;1
201210;38.1;1
201211;75.8;1
201212;279.4;1
201301;128.5;1
201302;631;1
201303;180.4;1
201304;470.9;1
201305;702.4;1
201306;305.1;1
201307;277.6;1
201308;102.5;1
201309;118.7;1
201310;187.2;1
201311;139.1;1
201312;423.4;1
201401;614.8;1
201402;366.8;1
201403;102.4;1
201404;172.4;1
201405;469.4;1
201406;387.2;1
201407;281.2;1
201408;232.2;1
201409;137.2;1
201410;19.8;1
201411;202.8;1
201412;324.2;1
201501;405.5;1
201502;260.8;1
201503;595.3;1
201504;184.3;1
201505;566.7;1
201506;470.9;1
201507;253.2;1
201508;167.4;1
201509;46.8;1
201510;73.3;1
201511;54.7;1
201512;310.7;1
201601;78.2;1
201602;305.3;1
201603;363.7;1
201604;544;1
201605;591.3;1
201606;429.4;1
201607;176.7;1
201608;145.9;1
201609;69.6;1
201610;25.9;1
201611;19.6;1
201612;537;1
201701;534.6;1
201702;315.2;1
201703;360.6;1
201704;524.9;1
201705;816.5;1
201706;379.6;1
201707;328.6;1
201708;85;1
201709;56.2;1
201710;38;1
201711;155.5;1
201712;643.5;1
201801;242.5;1
201802;348.9;1
201803;315.5;1
201804;463.1;1
201805;649.4;1
201806;296.3;1
201807;419.9;1
201808;93.1;1
201809;34.4;1
201810;12.7;1
201811;218.8;1
201812;390.8;1
201901;178.3;0
201902;90.8;0
201903;35.4;0
201904;165.8;0
201905;657.1;0
