# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97310004
# NOM_USUEL= ROURA
# LATITUDE (°) = 4.727
# LONGITUDE(°)= -52.324
# ALTITUDE (m) = 21
# NUM_SERIE= MRR197310004
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195601 201812
# Date(s) de rupture(s) d'homogénéité : 199312
#     Periode homogénéisée  195601 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;726.5;1
195602;714.3;1
195603;906;1
195604;885.6;1
195605;726.7;1
195606;526.7;1
195607;226.8;1
195608;219.8;1
195609;188.6;1
195610;89.5;1
195611;179.7;1
195612;359;1
195701;437.5;1
195702;484.5;1
195703;303.6;1
195704;372.8;1
195705;574.1;1
195706;503.8;1
195707;278.3;1
195708;77.5;1
195709;6;1
195710;15.2;1
195711;130.9;1
195712;288.9;1
195801;158.9;1
195802;266.3;1
195803;478.3;1
195804;948.3;1
195805;349.5;1
195806;225;1
195807;160.8;1
195808;249.7;1
195809;30.9;1
195810;66.5;1
195811;22.1;1
195812;214;1
195901;487.1;1
195902;472.4;1
195903;226.6;1
195904;788.8;1
195905;556;1
195906;685.1;1
195907;257.6;1
195908;133.1;1
195909;23;1
195910;117.8;1
195911;324.3;1
195912;228.2;1
196001;329.4;1
196002;402.8;1
196003;340.6;1
196004;625.4;1
196005;782.4;1
196006;431.8;1
196007;414.2;1
196008;161.5;1
196009;45;1
196010;132.8;1
196011;192.2;1
196012;360.3;1
196101;285.1;1
196102;136.4;1
196103;117.6;1
196104;154.6;1
196105;513.7;1
196106;643.9;1
196107;372.9;1
196108;263.3;1
196109;32.1;1
196110;83.9;1
196111;176.8;1
196112;544.3;1
196201;497.5;1
196202;468.6;1
196203;320.1;1
196204;280;1
196205;589.4;1
196206;423;1
196207;254.7;1
196208;204.9;1
196209;80;1
196210;24.3;1
196211;71.3;1
196212;460;1
196301;831;1
196302;542.6;1
196303;320.7;1
196304;473.5;1
196305;397.1;1
196306;380.2;1
196307;349.6;1
196308;293.2;1
196309;30.7;1
196310;30.3;1
196311;135.8;1
196312;268.4;1
196401;226.5;1
196402;116.6;1
196403;213.6;1
196404;157.9;1
196405;494.7;1
196406;506.5;1
196407;202.8;1
196408;220.8;1
196409;25.6;1
196410;124.9;1
196411;127.8;1
