# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97312002
# NOM_USUEL= SINNAMARY
# LATITUDE (°) = 5.374
# LONGITUDE(°)= -52.952
# ALTITUDE (m) = 4
# NUM_SERIE= MRR197312002
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 195501 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195501 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195501;154.8;1
195502;174.8;1
195503;752.6;1
195504;244.2;1
195505;970;1
195506;248.5;1
195507;128.9;1
195508;26.4;1
195509;6.1;1
195510;52.5;1
195511;171.2;1
195512;694.9;1
195601;369.6;1
195602;349;1
195603;489.3;1
195604;394.5;1
195605;722.4;1
195606;491.8;1
195607;263.7;1
195608;74.8;1
195609;86;1
195610;30.7;1
195611;91;1
195612;547.2;1
195701;291.4;1
195702;130.6;1
195703;147.1;1
195704;289.5;1
195705;470.9;1
195706;424.6;1
195707;189.7;1
195708;14.9;1
195709;1.6;1
195710;20;1
195711;164.9;1
195712;236.4;1
195801;132.9;1
195802;243.5;1
195803;228.4;1
195804;709.5;1
195805;284.3;1
195806;255.9;1
195807;180;1
195808;53.2;1
195809;0;1
195810;36.8;1
195811;18.5;1
195812;161.3;1
195901;235.5;1
195902;327.1;1
195903;157.9;1
195904;470.4;1
195905;352.5;1
195906;669.3;1
195907;230.4;1
195908;75;1
195909;19;1
195910;53.7;1
195911;296.7;1
195912;115.3;1
196001;87.2;1
196002;482.1;1
196003;181.7;1
196004;315.3;1
196005;571.4;1
196006;276.7;1
196007;267.9;1
196008;35.2;1
196009;35.3;1
196010;94.4;1
196011;168.3;1
196012;235.2;1
196101;341.6;1
196102;10;1
196103;27.4;1
196104;20;1
196105;258.7;1
196106;588.4;1
196107;122;1
196108;24.6;1
196109;16.3;1
196110;70.2;1
196111;139.8;1
196112;419.7;1
196201;347.1;1
196202;137.6;1
196203;402.6;1
196204;262.7;1
196205;555.6;1
196206;238.6;1
196207;132.8;1
196208;117.6;1
196209;12.9;1
196210;29.6;1
196211;71.2;1
196212;200;1
196301;515.6;1
196302;271.5;1
196303;214.5;1
196304;205.4;1
196305;599.4;1
196306;347.4;1
196307;62.7;1
196308;18.6;1
196309;5.4;1
196310;41.4;1
196311;129.3;1
196312;155;1
196401;71.9;1
196402;39.7;1
196403;109.5;1
196404;113.2;1
196405;302.5;1
196406;371.6;1
196407;46.4;1
196408;22.5;1
196409;4.4;1
196410;27.9;1
196411;26;1
196412;241.6;1
196501;455.8;1
196502;152.9;1
196503;135.5;1
196504;130.5;1
196505;416.3;1
196506;286.6;1
196507;174.8;1
196508;93.4;1
196509;1.6;1
196510;46.2;1
196511;75.8;1
196512;187;1
196601;101.4;1
196602;96.9;1
196603;409.1;1
196604;295.3;1
196605;511.9;1
196606;318.4;1
196607;345.6;1
196608;115.9;1
196609;58.2;1
196610;16.1;1
196611;57.6;1
196612;325.7;1
196701;355.8;1
196702;134.3;1
196703;68.3;1
196704;330.7;1
196705;899.8;1
196706;489.3;1
196707;229.4;1
196708;55.1;1
196709;4;1
196710;8.4;1
196711;58.3;1
196712;258.9;1
196801;309.8;1
196802;298.9;1
196803;346.1;1
196804;358.7;1
196805;263.7;1
196806;525.2;1
196807;198.2;1
196808;33.1;1
196809;49;1
196810;122.9;1
196811;262.3;1
196812;329;1
196901;323.1;1
196902;194.5;1
196903;85.4;1
196904;380.5;1
196905;619.9;1
196906;246.7;1
196907;150.5;1
196908;102.4;1
196909;0.2;1
196910;105.5;1
196911;13;1
196912;187.5;1
197001;188.9;1
197002;302.2;1
197003;588.2;1
197004;400.7;1
197005;447.9;1
197006;372;1
197007;203.8;1
197008;54;1
197009;75.1;1
197010;51.9;1
197011;64.1;1
197012;278.3;1
197101;342.7;1
197102;497.2;1
197103;417.6;1
197104;426.3;1
197105;524.4;1
197106;432.8;1
197107;322.4;1
197108;83.5;1
197109;59.3;1
197110;111.9;1
197111;121.1;1
197112;352.7;1
197201;331;1
197202;310.8;1
197203;251.8;1
197204;372.8;1
197205;738.3;1
197206;536;1
197207;201.5;1
197208;185;1
197209;25;1
197210;30;1
197211;177.2;1
197212;189;1
197301;42;1
197302;139;1
197303;79.9;1
197304;153.8;1
197305;625.8;1
197306;587.4;1
197307;143.5;1
197308;106.5;1
197309;164.2;1
197310;104.2;1
197311;194.2;1
197312;273.8;1
197401;628.3;1
197402;173.3;1
197403;232.4;1
197404;273.3;1
197405;138.3;1
197406;293.9;1
197407;113.9;1
197408;146.1;1
197409;16.8;1
197410;80.7;1
197411;124.9;1
197412;220;1
197501;242.9;1
197502;209.1;1
197503;122.6;1
197504;137.6;1
197505;271.8;1
197506;539.7;1
197507;438.6;1
197508;70.7;1
197509;72.3;1
197510;40.2;1
197511;82.8;1
197512;206.7;1
197601;730.9;1
197602;463.6;1
197603;396.7;1
197604;486.5;1
197605;706;1
197606;527.6;1
197607;175.6;1
197608;11.8;1
197609;0;1
197610;0;1
197611;39.2;1
197612;445.6;1
197701;119.5;1
197702;163.7;1
197703;164;1
197704;378.7;1
197705;387.4;1
197706;272;1
197707;203.2;1
197708;155.3;1
197709;60.7;1
197710;61.5;1
197711;75;1
197712;354.5;1
197801;269.2;1
197802;192.1;1
197803;145;1
197804;219.2;1
197805;330.8;1
197806;199.3;1
197807;107.7;1
197808;160.2;1
197809;39.2;1
197810;144;1
197811;78.3;1
197812;424.1;1
197901;193;1
197902;75;1
197903;398.4;1
197904;516.8;1
197905;265.3;1
197906;202.7;1
197907;310.1;1
197908;138.3;1
197909;26.9;1
197910;26.9;1
197911;133;1
197912;209.5;1
198001;190.5;1
198002;12.6;1
198003;242.4;1
198004;442.3;1
198005;484;1
198006;446.1;1
198007;104.7;1
198008;79.3;1
198009;9.1;1
198010;143.5;1
198011;135.2;1
198012;210.8;1
198101;246.4;1
198102;370.4;1
198103;48.1;1
198104;326.1;1
198105;387;1
198106;253.9;1
198107;158.2;1
198108;53.8;1
198109;40.8;1
198110;45.4;1
198111;82.6;1
198112;448.8;1
198201;258.6;1
198202;315.8;1
198203;423.5;1
198204;433.5;1
198205;647.9;1
198206;255.9;1
198207;101.7;1
198208;48.5;1
198209;25.9;1
198210;28;1
198211;61.4;1
198212;117.3;1
198301;172.4;1
198302;101.8;1
198303;367.7;1
198304;780.1;1
198305;362.4;1
198306;246.9;1
198307;222.4;1
198308;17.5;1
198309;38.2;1
198310;16.7;1
198311;66.3;1
198312;271.4;1
198401;531.5;1
198402;31.3;1
198403;323.2;1
198404;244.2;1
198405;1066.1;1
198406;355.5;1
198407;207.8;1
198408;75.9;1
198409;131.6;1
198410;110.4;1
198411;270.6;1
198412;338.5;1
198501;84.4;1
198502;67.7;1
198503;150.3;1
198504;130.7;1
198505;341.7;1
198506;474;1
198507;94.8;1
198508;103.4;1
198509;18;1
198510;109.5;1
198511;77.9;1
198512;348.2;1
198601;278.8;1
198602;211.7;1
198603;129.3;1
198604;50.7;1
198605;388.7;1
198606;291.8;1
198607;185.7;1
198608;127;1
198609;19.5;1
198610;104.6;1
198611;242.4;1
198612;348;1
198701;180.6;1
198702;159.5;1
198703;33.6;1
198704;297.7;1
198705;431.5;1
198706;199.5;1
198707;137.5;1
198708;39.1;1
198709;18;1
198710;36.2;1
198711;30.4;1
198712;149.4;1
198801;184.7;1
198802;123.2;1
198803;148.6;1
198804;37.4;1
198805;472.9;1
198806;319.2;1
198807;151.2;1
198808;92.2;1
198809;92.9;1
198810;51.2;1
198811;120;1
198812;301.9;1
198901;484.4;1
198902;329.2;1
198903;407.4;1
198904;311.2;1
198905;399.9;1
198906;495.7;1
198907;128.4;1
198908;48.8;1
198909;22.4;1
198910;55.4;1
198911;184.5;1
198912;282.9;1
199001;406.9;1
199002;158.7;1
199003;289.4;1
199004;858.9;1
199005;530.1;1
199006;408.9;1
199007;155.3;1
199008;62.5;1
199009;0;1
199010;17;1
199011;125.5;1
199012;214.9;1
199101;155.7;1
199102;202;1
199103;214.7;1
199104;450;1
199105;439.1;1
199106;752.8;1
199107;201.9;1
199108;83.4;1
199109;81.1;1
199110;17.2;1
199111;35.8;1
199112;237.4;1
199201;148.4;1
199202;298.2;1
199203;275.8;1
199204;261.1;1
199205;302;1
199206;230.7;1
199207;43.1;1
199208;72.3;1
199209;1.9;1
199210;21.8;1
199211;94.2;1
199212;98.3;1
199301;397.4;1
199302;140.6;1
199303;165.1;1
199304;312.4;1
199305;425.7;1
199306;336;1
199307;77.7;1
199308;100.7;1
199309;36.7;1
199310;96.5;1
199311;136.8;1
199312;205.2;1
199401;195.9;1
199402;196.8;1
199403;347.5;1
199404;507.5;1
199405;577.3;1
199406;471.9;1
199407;248.7;1
199408;97.7;1
199409;17.7;1
199410;60.2;1
199411;221.7;1
199412;275.6;1
199501;110.6;1
199502;40.2;1
199503;84.1;1
199504;117.9;1
199505;294.1;1
199506;400.7;1
199507;126.5;1
199508;163.2;1
199509;47.6;1
199510;9.9;1
199511;113.4;1
199512;202.3;1
199601;443;1
199602;596.6;1
199603;223.4;1
199604;113.2;1
