# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97313001
# NOM_USUEL= MONTSINERY
# LATITUDE (°) = 4.891
# LONGITUDE(°)= -52.492
# ALTITUDE (m) = 3
# NUM_SERIE= MRR197313001
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 195901 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195901 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195901;340;1
195902;270;1
195903;180;1
195904;656.4;1
195905;519.4;1
195906;685.4;1
195907;276.5;1
195908;72.6;1
195909;21;1
195910;63.5;1
195911;320.9;1
195912;135.6;1
196001;347.2;1
196002;471.2;1
196003;200.2;1
196004;536.4;1
196005;707.2;1
196006;450;1
196007;270;1
196008;91.3;1
196009;23.2;1
196010;77.5;1
196011;120;1
196012;190;1
196101;201.6;1
196102;118.2;1
196103;101.3;1
196104;135.8;1
196105;362.6;1
196106;604.7;1
196107;270.1;1
196108;215.8;1
196109;15.8;1
196110;23.4;1
196111;150.5;1
196112;528.4;1
196201;407.4;1
196202;361.8;1
196203;301.6;1
196204;239.3;1
196205;416;1
196206;387.7;1
196207;198.7;1
196208;148.4;1
196209;13.2;1
196210;9.3;1
196211;38.7;1
196212;261;1
196301;609.6;1
196302;618.6;1
196303;402.1;1
196304;327.3;1
196305;429;1
196306;478.7;1
196307;125;1
196308;157;1
196309;72.8;1
196310;0.9;1
196311;127.4;1
196312;155.8;1
196401;135.8;1
196402;116;1
196403;195.8;1
196404;125.8;1
196405;491.8;1
196406;625.2;1
196407;173.5;1
196408;133.5;1
196409;40.8;1
196410;55.2;1
196411;33.5;1
196412;229.4;1
196501;519.3;1
196502;169.6;1
196503;147.7;1
196504;199.6;1
196505;661.3;1
196506;422.4;1
196507;409.4;1
196508;98.1;1
196509;51.6;1
196510;22;1
196511;152.5;1
196512;338.6;1
196601;229.6;1
196602;210.3;1
196603;440.8;1
196604;163;1
196605;444.6;1
196606;324.6;1
196607;323.7;1
196608;120.9;1
196609;90.6;1
196610;3.1;1
196611;50.5;1
196612;399.7;1
196701;485.8;1
196702;175.1;1
196703;191.7;1
196704;314.7;1
196705;974.7;1
196706;281.9;1
196707;115.8;1
196708;128.2;1
196709;45.4;1
196710;23.9;1
196711;65.1;1
196712;296.3;1
196801;446;1
196802;321.7;1
196803;253.7;1
196804;237.8;1
196805;212.6;1
196806;447.3;1
196807;196.7;1
196808;111.6;1
196809;122;1
196810;74;1
196811;386;1
196812;501.4;1
196901;372.3;1
196902;353.8;1
196903;481;1
196904;471.5;1
196905;684.8;1
196906;296.4;1
196907;241.3;1
196908;269.7;1
196909;20.6;1
196910;30.1;1
196911;39.3;1
196912;168.7;1
197001;558;1
197002;564.4;1
197003;748.4;1
197004;823.3;1
197005;507.1;1
197006;539.4;1
197007;278.6;1
197008;155.8;1
197009;21.3;1
197010;72.7;1
197011;84.8;1
197012;278.2;1
197101;738.4;1
197102;611.4;1
197103;778.3;1
197104;369.8;1
197105;512.6;1
197106;670.6;1
197107;314.7;1
197108;158.4;1
197109;46.2;1
197110;180;1
197111;118.8;1
197112;224.5;1
197201;475.6;1
197202;499.3;1
197203;294.7;1
197204;513.5;1
197205;579.2;1
197206;554.5;1
197207;143.1;1
197208;149.9;1
197209;102.2;1
197210;12.8;1
197211;215.8;1
197212;318.4;1
197301;188.3;1
197302;175;1
197303;318.9;1
197304;510.7;1
197305;843.1;1
197306;730.1;1
197307;338.2;1
197308;242.1;1
197309;177.8;1
197310;259.8;1
197311;181.7;1
197312;325.6;1
197401;695.2;1
197402;450.4;1
197403;392.9;1
197404;314.4;1
197405;344.4;1
197406;481.6;1
197407;236.8;1
197408;136.9;1
197409;67.4;1
197410;101;1
197411;211.2;1
197412;638.2;1
197501;277.6;1
197502;335;1
197503;242.3;1
197504;262.1;1
197505;518;1
197506;799.5;1
197507;287.1;1
197508;228.9;1
197509;20.4;1
197510;4.8;1
197511;80.6;1
197512;243.1;1
197601;734.2;1
197602;702.8;1
197603;729.7;1
197604;598.3;1
197605;843.1;1
197606;564.2;1
197607;212;1
197608;87.6;1
197609;2;1
197610;4.1;1
197611;130;1
197612;570.5;1
197701;211;1
197702;238.3;1
197703;233.9;1
197704;633.4;1
197705;634.8;1
197706;298.8;1
197707;286.6;1
197708;157.2;1
197709;136.3;1
197710;18.4;1
197711;159.9;1
197712;478.7;1
197801;387.4;1
197802;175.5;1
197803;299.8;1
197804;265.9;1
197805;411.9;1
197806;310.5;1
197807;186.3;1
197808;188.4;1
197809;45;1
197810;70.6;1
197811;85.4;1
197812;644.5;1
197901;212.5;1
197902;112.3;1
197903;663;1
197904;496.4;1
197905;411.8;1
197906;216.1;1
197907;321.1;1
197908;130.1;1
197909;70.4;1
197910;24.6;1
197911;93.4;1
197912;383.4;1
198001;408.5;1
198002;29.6;1
198003;368.6;1
198004;542.5;1
198005;565.6;1
198006;305.9;1
198007;173.8;1
198008;105.3;1
198009;78.4;1
198010;70.1;1
198011;277.2;1
198012;349.9;1
198101;309.9;1
198102;717.2;1
198103;86.3;1
198104;434.4;1
198105;442.4;1
198106;291.4;1
198107;297.5;1
198108;127.9;1
198109;11.4;1
198110;28.2;1
198111;85.7;1
198112;388.8;1
198201;373.3;1
198202;277.4;1
198203;645.8;1
198204;522;1
198205;720.6;1
198206;316.3;1
198207;196.1;1
198208;158;1
198209;32.3;1
198210;20.3;1
198211;91.2;1
198212;198.4;1
198301;280.6;1
198302;237.6;1
198303;386.2;1
198304;789.1;1
198305;338.1;1
198306;341.6;1
198307;201.8;1
198308;40.3;1
198309;97;1
198310;23.3;1
198311;74.2;1
198312;585.6;1
198401;631.4;1
198402;186.8;1
198403;314.2;1
198404;214.9;1
198405;1251.4;1
198406;276.6;1
198407;258.8;1
198408;116.2;1
198409;213.8;1
198410;210;1
198411;136.5;1
198412;476.8;1
198501;203.7;1
198502;277.3;1
198503;309.4;1
198504;171.1;1
198505;456.7;1
198506;601.5;1
198507;227.8;1
198508;199.7;1
198509;63.6;1
198510;107.9;1
198511;80.7;1
198512;312.6;1
198601;517.1;1
198602;251.7;1
198603;245.6;1
198604;104.8;1
198605;550.7;1
198606;512.6;1
198607;217.1;1
198608;127.3;1
198609;14.8;1
198610;170.6;1
198611;181.4;1
198612;487.5;1
198701;269.3;1
198702;185.1;1
198703;33.1;1
198704;290.5;1
198705;444.4;1
198706;321;1
198707;268.3;1
198708;92.8;1
198709;30.3;1
198710;59.1;1
198711;56.8;1
198712;322.1;1
198801;378.2;1
198802;294.4;1
198803;256.1;1
198804;189.4;1
198805;510;1
198806;344.9;1
198807;229.5;1
198808;253.2;1
198809;101.6;1
198810;88.3;1
198811;89.8;1
198812;445.8;1
198901;704.1;1
198902;667.5;1
198903;716.6;1
198904;456.3;1
198905;643.7;1
198906;757.4;1
198907;250.1;1
198908;154.9;1
198909;145.7;1
198910;137.5;1
198911;229.6;1
198912;335.7;1
199001;652.3;1
199002;161.6;1
199003;468.3;1
199004;773;1
199005;670.2;1
199006;432.7;1
199007;137.3;1
199008;139.8;1
199009;19;1
199010;55;1
199011;109.2;1
199012;214.9;1
199101;271.7;1
199102;202.3;1
199103;144.1;1
199104;192;1
199105;595.7;1
199106;659.6;1
199107;175.5;1
199108;135.3;1
199109;40.8;1
199110;3;1
199111;28.4;1
199112;183.4;1
199201;214.3;1
199202;500.3;1
199203;305.7;1
199204;380.1;1
199205;380.1;1
199206;217.1;1
199207;224;1
199208;109.3;1
199209;5.7;1
199210;33.3;1
199211;101.4;1
199212;220.2;1
199301;434.9;1
199302;338.7;1
199303;352.8;1
199304;516.1;1
199305;361.2;1
199306;385.2;1
199307;163.1;1
199308;111.8;1
199309;21.3;1
199310;72.3;1
199311;164.9;1
199312;236.5;1
199401;496.9;1
199402;218.7;1
199403;364.2;1
199404;513.1;1
199405;595.4;1
199406;376.1;1
199407;257;1
199408;92.6;1
199409;86;1
199410;24.1;1
199411;380.1;1
199412;356.1;1
199501;171.9;1
199502;83.6;1
199503;250.6;1
199504;114.8;1
199505;402.7;1
199506;329.6;1
199507;327.7;1
199508;72.6;1
199509;37.1;1
199510;16.7;1
199511;121.7;1
199512;211.2;1
199601;551.7;1
199602;593.8;1
199603;362.3;1
199604;117.4;1
199605;609.3;1
199606;407.2;1
199607;298.3;1
199608;277.5;1
199609;18.3;1
199610;35.9;1
199611;351.7;1
