# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97409210
# NOM_USUEL= BOIS-ROUGE
# LATITUDE (°) = -20.914
# LONGITUDE(°)= 55.639
# ALTITUDE (m) = 3
# NUM_SERIE= MRR197409210
# Amplitude minimale détectable de la série = 0.1
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;271.3;1
196102;72.2;1
196103;392.2;1
196104;163.5;1
196105;217.5;1
196106;262;1
196107;445.5;1
196108;214.5;1
196109;86.5;1
196110;65.5;1
196111;169;1
196112;750.8;1
196201;252.5;1
196202;385;1
196203;334;1
196204;377.5;1
196205;126;1
196206;38;1
196207;9;1
196208;129;1
196209;89.5;1
196210;239.5;1
196211;410.5;1
196212;289.5;1
196301;316.3;1
196302;274.5;1
196303;162.5;1
196304;203;1
196305;130;1
196306;267;1
196307;169.5;1
196308;9.5;1
196309;29;1
196310;87;1
196311;186;1
196312;97;1
196401;316.3;1
196402;598.5;1
196403;171.5;1
196404;76;1
196405;104.5;1
196406;70;1
196407;146;1
196408;49;1
196409;76.5;1
196410;159;1
196411;60.5;1
196412;97.5;1
196501;668.6;1
196502;58;1
196503;400;1
196504;800.5;1
196505;195.5;1
196506;122;1
196507;157;1
196508;150;1
196509;200;1
196510;94.5;1
196511;163.5;1
196512;167;1
196601;576.8;1
196602;266.5;1
196603;172.5;1
196604;80;1
196605;84;1
196606;211;1
196607;139;1
196608;79.5;1
196609;17.5;1
196610;48;1
196611;46;1
196612;190;1
196701;51.8;1
196702;154;1
196703;510;1
196704;154;1
196705;122;1
196706;136.5;1
196707;263;1
196708;125.5;1
196709;125;1
196710;100.5;1
196711;293;1
196712;110.5;1
196801;148.5;1
196802;326.5;1
196803;531;1
196804;199;1
196805;195.5;1
