# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97409240
# NOM_USUEL= MENCIOL
# LATITUDE (°) = -20.961
# LONGITUDE(°)= 55.626
# ALTITUDE (m) = 181
# NUM_SERIE= MRR197409240
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : 198912 200102
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;246.8;1
196102;40.8;1
196103;290.3;1
196104;148.1;1
196105;146.2;1
196106;275.7;1
196107;462;1
196108;264.9;1
196109;101.9;1
196110;48.3;1
196111;237.3;1
196112;914.9;1
196201;259.2;1
196202;544;1
196203;515.5;1
196204;368.8;1
196205;120.5;1
196206;37.9;1
196207;21.3;1
196208;234.5;1
196209;110.4;1
196210;394.9;1
196211;533.9;1
196212;194;1
196301;431;1
196302;255.3;1
196303;329.6;1
196304;268.6;1
196305;258.4;1
196306;349.4;1
196307;288;1
196308;18;1
196309;21.4;1
196310;129.4;1
196311;389.5;1
196312;150.5;1
196401;295.4;1
196402;684.4;1
196403;226.1;1
196404;77.3;1
196405;100;1
196406;111.1;1
196407;216.8;1
196408;78.4;1
196409;130.5;1
196410;243.6;1
196411;50.8;1
196412;86.7;1
196501;626.6;1
196502;54.7;1
196503;495.6;1
196504;859.8;1
196505;262.8;1
196506;188;1
196507;172.8;1
196508;219.1;1
196509;222.6;1
196510;210.3;1
196511;230.5;1
196512;179.9;1
196601;599.4;1
196602;312.1;1
196603;163.3;1
196604;122.7;1
196605;136.8;1
196606;234.5;1
196607;97.4;1
196608;107.2;1
196609;41;1
196610;82;1
196611;63.9;1
196612;238.7;1
196701;80.5;1
196702;114.8;1
196703;503.3;1
196704;213.1;1
196705;171.5;1
196706;185.9;1
196707;317;1
196708;230.9;1
196709;181.1;1
196710;213.4;1
196711;377.3;1
196712;189.6;1
196801;319.7;1
196802;576.9;1
196803;670.4;1
196804;339.1;1
196805;502.1;1
196806;36.9;1
196807;117.9;1
196808;259.2;1
196809;111;1
196810;37.2;1
196811;282.1;1
196812;352.3;1
196901;233.3;1
196902;220.5;1
196903;366.4;1
196904;567.9;1
196905;354.1;1
196906;111.9;1
196907;277.7;1
196908;70.9;1
196909;146.9;1
196910;18.5;1
196911;88;1
196912;494.3;1
197001;796.7;1
197002;253.6;1
197003;403;1
197004;107.5;1
197005;77.7;1
197006;244.2;1
197007;170;1
197008;179.8;1
197009;42.3;1
197010;43.5;1
197011;181;1
197012;141.2;1
197101;192.2;1
197102;99.7;1
197103;183.6;1
197104;403.3;1
197105;172.1;1
197106;108;1
197107;295.8;1
197108;73.5;1
197109;19.3;1
197110;239.4;1
197111;268.1;1
197112;69.4;1
197201;208.8;1
197202;582.3;1
197203;613.3;1
197204;457.5;1
197205;411.2;1
197206;61;1
197207;255;1
197208;658.4;1
197209;73.7;1
197210;228.9;1
197211;314.6;1
197212;172.3;1
197301;696.3;1
197302;485.2;1
197303;570.2;1
197304;163.7;1
197305;135.6;1
197306;282.9;1
197307;219.5;1
197308;386.2;1
197309;144;1
197310;60.9;1
197311;30.5;1
197312;221.1;1
197401;602.7;1
197402;686.7;1
197403;615.3;1
197404;255;1
197405;389.6;1
197406;290.6;1
197407;214.7;1
197408;114;1
