# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97410202
# NOM_USUEL= BEAUVALLON
# LATITUDE (°) = -21.008
# LONGITUDE(°)= 55.693
# ALTITUDE (m) = 16
# NUM_SERIE= MRR197410202
# Amplitude minimale détectable de la série = 0.08
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : 200412
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;311.2;1
196102;89.6;1
196103;309.3;1
196104;94.9;1
196105;208.3;1
196106;215;1
196107;388.2;1
196108;292.4;1
196109;117.3;1
196110;55.6;1
196111;232.5;1
196112;1099.6;1
196201;294.8;1
196202;487.4;1
196203;591.7;1
196204;483.5;1
196205;237.3;1
196206;42.3;1
196207;32;1
196208;208.5;1
196209;84.5;1
196210;339;1
196211;553.4;1
196212;150.9;1
196301;308.8;1
196302;237.7;1
196303;250.7;1
196304;314.2;1
196305;304.1;1
196306;283.3;1
196307;241.4;1
196308;5.5;1
196309;22.7;1
196310;170.9;1
196311;530.7;1
196312;147.2;1
196401;363.2;1
196402;674.4;1
196403;173.6;1
196404;153.2;1
196405;151.8;1
196406;177.9;1
196407;199.6;1
196408;66.5;1
196409;99.1;1
196410;163.9;1
196411;55;1
196412;97.2;1
196501;665.1;1
196502;48.6;1
196503;452.3;1
196504;835.3;1
196505;263.9;1
196506;128;1
196507;230.9;1
196508;223.8;1
196509;198.6;1
196510;147.8;1
196511;134;1
196512;214.5;1
196601;544.2;1
196602;354.6;1
196603;152.1;1
196604;272.2;1
196605;185.3;1
196606;268.1;1
196607;142.5;1
196608;105.4;1
196609;33.1;1
196610;84.6;1
196611;122.6;1
196612;272.8;1
196701;85.1;1
196702;176.1;1
196703;537.8;1
196704;201.9;1
196705;190.8;1
196706;130.8;1
196707;394.2;1
196708;150.7;1
196709;156.7;1
196710;133.1;1
196711;372.3;1
196712;163.8;1
196801;339.5;1
196802;446.9;1
196803;841.2;1
196804;277.7;1
196805;440.1;1
196806;54;1
196807;157.7;1
196808;182.3;1
196809;103.7;1
196810;54.2;1
196811;186.6;1
196812;278.5;1
196901;291.2;1
196902;192.3;1
196903;335.1;1
196904;640.7;1
196905;391.6;1
196906;96.1;1
196907;230.7;1
196908;102.3;1
196909;145.5;1
196910;15.4;1
196911;75.2;1
196912;546.8;1
197001;756.2;1
197002;355.1;1
197003;480.2;1
197004;88.8;1
197005;118.5;1
197006;200.3;1
197007;120;1
197008;168;1
197009;33;1
197010;35;1
197011;158.6;1
197012;145.2;1
197101;147.7;1
197102;141.7;1
197103;193.7;1
197104;588.4;1
197105;203.3;1
197106;48.7;1
197107;203.4;1
197108;63.9;1
197109;19.2;1
197110;166.9;1
197111;248.9;1
197112;95.9;1
197201;216.4;1
197202;478.8;1
197203;694.6;1
197204;432.8;1
197205;499.1;1
197206;84.8;1
197207;193;1
197208;387.3;1
197209;77.1;1
197210;177.2;1
197211;361.2;1
197212;173.2;1
197301;683.4;1
197302;431.4;1
197303;461.6;1
197304;153.3;1
197305;119.5;1
197306;219.9;1
197307;193.7;1
197308;350.9;1
197309;103.2;1
197310;44.6;1
197311;17;1
197312;168.6;1
197401;630.7;1
197402;683.4;1
197403;513.1;1
197404;137.7;1
197405;360.4;1
197406;213.9;1
197407;187.3;1
197408;108.5;1
197409;108.2;1
197410;66.9;1
197411;43.4;1
197412;348.3;1
197501;102.6;1
197502;219.9;1
197503;735.9;1
197504;324.6;1
197505;80.2;1
197506;196.9;1
197507;214.3;1
197508;100;1
197509;102;1
197510;15;1
197511;157.4;1
197512;322.8;1
197601;384.8;1
197602;740;1
197603;421.2;1
197604;697.8;1
197605;356.2;1
197606;357.6;1
197607;88.7;1
197608;183.9;1
197609;136.5;1
197610;139.3;1
197611;54.7;1
197612;105.4;1
197701;483;1
197702;519.2;1
197703;326.9;1
197704;378;1
197705;337.2;1
197706;79.4;1
197707;186.6;1
197708;104.1;1
197709;101.5;1
197710;49.5;1
197711;113.2;1
197712;420.8;1
197801;441.5;1
197802;154.5;1
197803;337.8;1
197804;713.2;1
197805;96.1;1
197806;230.6;1
197807;306.5;1
197808;62.1;1
197809;40.9;1
197810;5.9;1
197811;149.3;1
197812;158.1;1
197901;488.9;1
197902;479.8;1
197903;534.8;1
197904;245.7;1
197905;140;1
197906;130.3;1
197907;119.8;1
197908;411.5;1
197909;63.3;1
197910;43.6;1
197911;128.4;1
197912;585;1
198001;1528.5;1
198002;250.2;1
198003;924.5;1
198004;325.1;1
198005;434.7;1
198006;132.5;1
198007;147.5;1
198008;58.5;1
198009;79.9;1
198010;83.1;1
198011;54.8;1
198012;183;1
198101;274;1
198102;338.5;1
198103;410.7;1
198104;349.5;1
198105;60.7;1
198106;128.6;1
198107;404.8;1
198108;63.5;1
198109;108.8;1
198110;138.8;1
198111;140.6;1
198112;573.5;1
198201;297.7;1
198202;1012.6;1
198203;285.6;1
198204;490.4;1
198205;417.1;1
198206;389.2;1
198207;365.7;1
198208;112.4;1
198209;225.8;1
198210;154.9;1
198211;350.2;1
198212;124.5;1
198301;743.9;1
198302;278.6;1
198303;415.3;1
198304;139;1
198305;256.9;1
198306;158.8;1
198307;136.4;1
198308;55.8;1
198309;48.5;1
198310;129;1
198311;150.6;1
198312;280.1;1
198401;385.9;1
198402;364.6;1
198403;328.4;1
198404;522.8;1
198405;152.9;1
198406;161.1;1
198407;137.1;1
198408;210.8;1
198409;212.5;1
198410;120.1;1
198411;155.9;1
198412;79;1
198501;432.4;1
198502;945.9;1
198503;379.7;1
198504;259;1
198505;55.5;1
198506;192.5;1
198507;117.2;1
198508;179.1;1
198509;151.1;1
198510;237;1
198511;148.4;1
198512;424.9;1
198601;285.6;1
198602;501.7;1
198603;444.3;1
198604;457.9;1
198605;283.8;1
198606;42.7;1
198607;71.1;1
198608;85.3;1
198609;69.2;1
198610;252.6;1
198611;142.9;1
198612;485;1
198701;443;1
198702;1398.6;1
198703;256.8;1
198704;917.2;1
198705;431.5;1
198706;496.5;1
198707;240.7;1
198708;135.3;1
198709;110.5;1
198710;112.1;1
198711;111.6;1
198712;78;1
198801;491.6;1
198802;453.7;1
198803;228.4;1
198804;501.1;1
198805;111.9;1
198806;38;1
198807;149.3;1
198808;119.1;1
198809;10.2;1
198810;109.9;1
198811;211.6;1
198812;339.3;1
198901;470.9;1
198902;145.4;1
198903;697.3;1
198904;107.6;1
198905;122;1
198906;193.1;1
198907;301.1;1
198908;216.7;1
198909;233.3;1
198910;124.7;1
198911;99.4;1
198912;449.1;1
199001;367.2;1
199002;710.5;1
199003;115;1
199004;570.5;1
199005;136.2;1
199006;186.5;1
199007;90.7;1
199008;205.6;1
199009;99.9;1
199010;18.9;1
199011;162.5;1
199012;178;1
199101;229.8;1
199102;288.2;1
199103;450.8;1
199104;585.8;1
199105;161.2;1
199106;179.1;1
199107;81.9;1
199108;73.3;1
199109;35.8;1
199110;201.1;1
199111;287.5;1
199112;200.5;1
199201;224.4;1
199202;320.6;1
199203;251.2;1
199204;301.2;1
199205;114.8;1
199206;106;1
199207;59.5;1
199208;41.9;1
199209;73.7;1
199210;96.2;1
199211;78.1;1
199212;95.4;1
199301;350.9;1
199302;2057.6;1
199303;1354.1;1
199304;197.8;1
199305;180.1;1
199306;40.8;1
199307;159.6;1
199308;118.1;1
199309;173.2;1
199310;137.4;1
199311;63;1
199312;222;1
199401;240;1
199402;194.9;1
199403;582.1;1
199404;158.3;1
199405;128.4;1
199406;107.9;1
199407;130.6;1
199408;122.2;1
199409;44.6;1
199410;189.6;1
199411;27.1;1
199412;127;1
199501;369.4;1
199502;101.1;1
199503;274.8;1
199504;248.2;1
199505;506.9;1
199506;36.1;1
199507;73.6;1
199508;320.7;1
199509;150.9;1
199510;39;1
199511;45.7;1
199512;1176.8;1
199601;671.1;1
199602;243.5;1
199603;194.1;1
199604;267.5;1
199605;169.5;1
199606;76.1;1
199607;143.5;1
199608;86.8;1
199609;7.9;1
199610;103.3;1
199611;31.1;1
199612;400.8;1
199701;535.2;1
199702;373.2;1
199703;300;1
199704;166.4;1
199705;359;1
199706;432.4;1
199707;164.9;1
199708;158.6;1
199709;92.7;1
199710;122.6;1
199711;114.7;1
199712;66.4;1
199801;181.3;1
199802;1602.2;1
199803;124.5;1
199804;311.2;1
199805;150.5;1
199806;123.1;1
199807;349.7;1
199808;113.8;1
199809;116.1;1
199810;78.5;1
199811;145.8;1
199812;229;1
199901;246.6;1
199902;328.8;1
199903;749.6;1
199904;201.1;1
199905;42.7;1
199906;46.9;1
199907;164.4;1
199908;107.7;1
199909;200.2;1
199910;15.8;1
199911;35.8;1
199912;476.9;1
200001;456.5;1
200002;535.5;1
200003;312.1;1
200004;234.5;1
200005;117;1
200006;118;1
200007;172.8;1
200008;209;1
200009;40.4;1
200010;69.2;1
200011;209;1
200012;92;1
200101;422.1;1
200102;454.7;1
200103;418.4;1
200104;531.3;1
200105;96.1;1
200106;65;1
200107;142.6;1
200108;59.4;1
200109;42;1
200110;150.5;1
200111;48.3;1
200112;379.1;1
200201;416.1;1
200202;196.4;1
200203;309.5;1
200204;263.4;1
200205;408.9;1
200206;158.8;1
200207;286.3;1
200208;205.5;1
200209;77.5;1
200210;54.2;1
200211;222.5;1
200212;381.6;1
200301;331.4;1
200302;598.5;1
200303;314.7;1
200304;492.6;1
200305;605.4;1
200306;115;1
200307;63.2;1
200308;72.3;1
200309;200.4;1
200310;111.3;1
200311;179.3;1
200312;177.4;1
200401;306.1;1
200402;467.6;1
200403;301.9;1
200404;358;1
200405;468.7;1
200406;176.8;1
200407;123.7;1
200408;119.4;1
200409;253.6;1
200410;46.1;1
200411;133.6;1
200412;805.8;1
200501;607;1
200502;752.8;1
200503;431;1
200504;148.2;1
200505;116;1
200506;291.4;1
200507;60.6;1
200508;178.8;1
200509;317.2;1
200510;113.4;1
200511;469.8;1
200512;126.4;1
200601;372.6;1
200602;798.2;1
200603;776.1;1
200604;199.4;1
200605;97.4;1
200606;131.6;1
200607;321.6;1
200608;138.6;1
200609;85.2;1
200610;91.2;1
200611;139.8;1
200612;151.2;1
200701;782.6;1
200702;625.8;1
200703;100.8;1
200704;322.6;1
200705;171.6;1
200706;61.4;1
200707;254.2;1
200708;74.8;1
200709;141.2;1
200710;159.8;1
200711;25.2;1
200712;132.8;1
200801;591.4;1
200802;525.8;1
200803;580;1
200804;58.4;1
200805;203.6;1
200806;226.2;1
200807;160.6;1
200808;143.6;1
200809;285.8;1
200810;98.6;1
200811;126;1
200812;223.2;1
200901;294.8;1
200902;181.6;1
200903;478.6;1
200904;786.4;1
200905;321.2;1
200906;362.2;1
200907;114.8;1
200908;107.8;1
200909;112.6;1
200910;128.8;1
200911;211.6;1
200912;242.8;1
201001;505.2;1
201002;309.2;1
201003;762.8;1
201004;261;1
201005;357.8;1
201006;231.4;1
201007;196.8;1
201008;192.4;1
201009;172.8;1
201010;138.8;1
201011;103.2;1
201012;68.8;1
201101;903.6;1
201102;321.8;1
201103;344.2;1
201104;266.6;1
201105;150.4;1
201106;438.4;1
201107;202.6;1
201108;361;1
201109;145;1
201110;84.4;1
201111;139.2;1
201112;448;1
201201;185;1
201202;226;1
201203;1071.8;1
201204;399.2;1
201205;284.2;1
201206;97.4;1
201207;234.4;1
201208;54;1
201209;132.4;1
201210;77.4;1
201211;132.8;1
201212;146;1
201301;785.1;1
201302;423.2;1
201303;601.4;1
201304;203.4;1
201305;108;1
201306;70.8;1
201307;62.2;1
201308;99.4;1
201309;56.4;1
201310;161.4;1
201311;303.4;1
201312;137.2;1
201401;615.4;1
201402;165;1
201403;270.8;1
201404;169.8;1
201405;212.6;1
201406;41.8;1
201407;97.2;1
201408;98;1
201409;65.4;1
201410;82.4;1
