# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97411164
# NOM_USUEL= LE BRULE - VAL FLEURI_SAPC
# LATITUDE (°) = -20.942
# LONGITUDE(°)= 55.43
# ALTITUDE (m) = 1069
# NUM_SERIE= MRR197411164
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;120.8;1
196102;118.1;1
196103;367.8;1
196104;279.6;1
196105;107.2;1
196106;139.8;1
196107;207.7;1
196108;106.9;1
196109;104.1;1
196110;70.3;1
196111;151;1
196112;1012.7;1
196201;174.8;1
196202;500;1
196203;750.4;1
196204;179.8;1
196205;92.5;1
196206;20.1;1
196207;51.5;1
196208;32.2;1
196209;42.2;1
196210;475.4;1
196211;373.2;1
196212;237.2;1
196301;553.5;1
196302;316.4;1
196303;124;1
196304;57.7;1
196305;113.6;1
196306;321.5;1
196307;122.3;1
196308;0.7;1
196309;17.3;1
196310;180.5;1
196311;374.6;1
196312;91.8;1
196401;266.4;1
196402;1220.7;1
196403;174.4;1
196404;54;1
196405;13.1;1
196406;50.3;1
196407;90.3;1
196408;25.7;1
196409;37.5;1
196410;173.2;1
196411;36.6;1
196412;161.1;1
196501;394.6;1
196502;119.2;1
196503;281.3;1
196504;700;1
196505;440.2;1
196506;71.4;1
196507;105.8;1
196508;84.2;1
196509;92.2;1
196510;133.4;1
196511;248.4;1
196512;134.5;1
196601;1299.8;1
196602;175;1
196603;291.2;1
196604;128.9;1
196605;98.4;1
196606;44.1;1
196607;94;1
196608;28.9;1
196609;19.6;1
196610;117.3;1
196611;34.6;1
196612;684.4;1
196701;106.4;1
196702;219.5;1
196703;559.4;1
196704;223.4;1
196705;33.7;1
196706;52.2;1
196707;148;1
196708;30.8;1
196709;77.3;1
196710;49.7;1
196711;318;1
196712;125.9;1
196801;296.7;1
196802;470.3;1
196803;814.1;1
196804;280.7;1
196805;82.2;1
196806;53.1;1
196807;82.8;1
196808;121.5;1
196809;90.7;1
196810;55.9;1
196811;167.2;1
196812;174.9;1
196901;377.4;1
196902;495;1
196903;273.2;1
196904;444.3;1
196905;303.3;1
196906;86.3;1
196907;121.5;1
196908;43.9;1
196909;289;1
196910;26.3;1
196911;56.1;1
196912;543.1;1
197001;1472.2;1
197002;601.6;1
197003;287.1;1
197004;43.6;1
197005;20.3;1
197006;45.3;1
197007;50.4;1
197008;188.2;1
197009;58.7;1
197010;33.4;1
197011;121.4;1
197012;157.7;1
197101;761.8;1
197102;192.2;1
197103;93;1
197104;184.2;1
197105;130.2;1
197106;16.7;1
197107;87.8;1
197108;41.5;1
197109;16;1
197110;72.5;1
197111;256.9;1
197112;267.8;1
197201;325.4;1
197202;717;1
197203;575.6;1
197204;515.4;1
197205;150.7;1
197206;94;1
197207;93.5;1
197208;439.6;1
197209;32.4;1
197210;81.6;1
197211;148.5;1
197212;229.1;1
197301;1020.8;1
197302;321.5;1
197303;761.7;1
197304;86.1;1
197305;68.5;1
197306;99.1;1
197307;65.8;1
197308;340.9;1
197309;40.1;1
197310;102.3;1
197311;35.3;1
