# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97420110
# NOM_USUEL= GRAND-HAZIER - CIRAD
# LATITUDE (°) = -20.903
# LONGITUDE(°)= 55.586
# ALTITUDE (m) = 69
# NUM_SERIE= MRR197420110
# Amplitude minimale détectable de la série = 0.07
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : 199212
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;197.1;1
196102;31.1;1
196103;259.5;1
196104;119.7;1
196105;101.8;1
196106;174.2;1
196107;278.3;1
196108;135.3;1
196109;66.3;1
196110;34.5;1
196111;204.4;1
196112;646.2;1
196201;165.7;1
196202;383;1
196203;345.6;1
196204;257.8;1
196205;121.4;1
196206;20.3;1
196207;16.7;1
196208;115;1
196209;72.3;1
196210;225.3;1
196211;454.9;1
196212;169;1
196301;319.1;1
196302;179.3;1
196303;142.3;1
196304;137;1
196305;120.4;1
196306;295.2;1
196307;176.6;1
196308;15.7;1
196309;21.5;1
196310;59.2;1
196311;151.4;1
196312;87.9;1
196401;227.6;1
196402;503.6;1
196403;128.4;1
196404;59.4;1
196405;57.5;1
196406;52.4;1
196407;123.5;1
196408;44.4;1
196409;108.5;1
196410;165.4;1
196411;36.7;1
196412;53.9;1
196501;542.6;1
196502;37.9;1
196503;321;1
196504;775;1
196505;165.9;1
196506;96.7;1
196507;125.2;1
196508;116.6;1
196509;145.6;1
196510;104.4;1
196511;185.5;1
196512;114.5;1
196601;450.9;1
196602;203.7;1
196603;148.1;1
196604;47;1
196605;123;1
196606;138.8;1
196607;84.4;1
196608;84.3;1
196609;21.5;1
196610;53.5;1
196611;42.6;1
196612;145.2;1
196701;46.2;1
196702;93.4;1
196703;388.5;1
196704;115.9;1
196705;104;1
196706;103.6;1
196707;190.4;1
196708;144.7;1
196709;117.9;1
