# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 97420150
# NOM_USUEL= BAGATELLE_SAPC
# LATITUDE (°) = -20.931
# LONGITUDE(°)= 55.577
# ALTITUDE (m) = 262
# NUM_SERIE= MRR197420150
# Amplitude minimale détectable de la série = 0.06
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;178.2;1
196102;54;1
196103;360.7;1
196104;173.7;1
196105;183.4;1
196106;247.6;1
196107;517.8;1
196108;232.8;1
196109;101.1;1
196110;34.4;1
196111;187.2;1
196112;998.1;1
196201;264.9;1
196202;494.6;1
196203;409.7;1
196204;390.6;1
196205;145.4;1
196206;50.2;1
196207;38.5;1
196208;251.4;1
196209;130.7;1
196210;482.5;1
196211;630.6;1
196212;170.3;1
196301;426.3;1
196302;264;1
196303;353.8;1
196304;236.3;1
196305;154.2;1
196306;338.4;1
196307;341.2;1
196308;10.7;1
196309;30;1
196310;102.1;1
196311;227.1;1
196312;195.4;1
196401;366;1
196402;788.6;1
196403;110.2;1
196404;79.8;1
196405;98.8;1
196406;74.8;1
196407;245.5;1
196408;72.6;1
196409;188.6;1
196410;248;1
196411;38.1;1
196412;35.4;1
196501;615.9;1
196502;47.5;1
196503;474.6;1
196504;1036.1;1
196505;292;1
196506;166;1
196507;202.7;1
196508;227;1
196509;127.2;1
196510;245.5;1
196511;268.7;1
196512;167.7;1
196601;609.3;1
196602;366.2;1
196603;179.1;1
196604;56.1;1
196605;149;1
196606;197.2;1
196607;170.7;1
196608;115;1
196609;33.1;1
196610;91.4;1
196611;66.8;1
196612;285.5;1
196701;66.6;1
196702;103.5;1
196703;526.7;1
196704;202.1;1
196705;80;1
196706;159.2;1
196707;261.9;1
196708;271.1;1
196709;239.1;1
196710;263.6;1
196711;302;1
196712;133;1
196801;353.4;1
196802;615.4;1
196803;681;1
196804;211.6;1
196805;316.2;1
196806;26.8;1
