# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98715002
# NOM_USUEL= FAAA
# LATITUDE (°) = -17.555
# LONGITUDE(°)= -149.614
# ALTITUDE (m) = 2
# NUM_SERIE= MRR198715002
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 200712
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;118.1;1
196002;466.5;1
196003;182.4;1
196004;22.5;1
196005;235.2;1
196006;6.9;1
196007;92.7;1
196008;12.3;1
196009;136.8;1
196010;66.7;1
196011;68.3;1
196012;162.1;1
196101;571.9;1
196102;68.3;1
196103;703.4;1
196104;68.3;1
196105;36.8;1
196106;92.3;1
196107;67.9;1
196108;60.7;1
196109;55.6;1
196110;185.3;1
196111;153.8;1
196112;249.4;1
196201;200.7;1
196202;450.2;1
196203;195.4;1
196204;244;1
196205;57.8;1
196206;99;1
196207;94.4;1
196208;84.6;1
196209;26.5;1
196210;57.9;1
196211;249.7;1
196212;339.2;1
196301;75.2;1
196302;253.7;1
196303;85.2;1
196304;378.5;1
196305;38.4;1
196306;28.2;1
196307;1.5;1
196308;52.6;1
196309;1;1
196310;118;1
196311;164.7;1
196312;349.2;1
196401;180.9;1
196402;141.6;1
196403;100.8;1
196404;18.8;1
196405;104;1
196406;151.1;1
196407;111.8;1
196408;5.1;1
196409;59;1
196410;105;1
196411;226;1
196412;272.5;1
196501;892.9;1
196502;281;1
196503;98;1
196504;131.8;1
196505;44.6;1
196506;125;1
196507;65.5;1
196508;31.7;1
196509;134.3;1
196510;11.6;1
196511;340.9;1
196512;166.5;1
196601;299.1;1
196602;44.1;1
196603;144.7;1
196604;100.5;1
196605;27.9;1
196606;0;1
196607;69.4;1
196608;54.2;1
196609;18.5;1
196610;117.5;1
196611;60.3;1
196612;393;1
196701;57.6;1
196702;169.8;1
196703;52.9;1
196704;71.1;1
196705;242.8;1
196706;30.7;1
196707;35.6;1
196708;31.5;1
196709;8.3;1
196710;71.5;1
196711;280.8;1
196712;271.7;1
196801;385.5;1
196802;179.4;1
196803;450.2;1
196804;274.5;1
196805;159;1
196806;4.5;1
196807;33.1;1
196808;80.9;1
196809;31.4;1
196810;92.7;1
196811;30.5;1
196812;84.2;1
196901;157.8;1
196902;294.6;1
196903;168.8;1
196904;64.3;1
196905;154.1;1
196906;88.6;1
196907;25.8;1
196908;40;1
196909;73.9;1
196910;46.4;1
196911;180.3;1
196912;55.9;1
197001;728.8;1
197002;330.4;1
197003;177.5;1
197004;22.3;1
197005;61.4;1
197006;7;1
197007;45.3;1
197008;72.2;1
197009;96.3;1
197010;165.4;1
197011;221;1
197012;18.4;1
197101;570.2;1
197102;123.5;1
197103;35.3;1
197104;19.1;1
197105;180;1
197106;36.7;1
197107;31;1
197108;34.5;1
197109;53.3;1
197110;30.1;1
197111;120.3;1
197112;621.5;1
197201;76.8;1
197202;125.5;1
197203;248.7;1
197204;58.4;1
197205;9.9;1
197206;57.9;1
197207;75.3;1
197208;23.8;1
197209;9;1
197210;68.5;1
197211;4.6;1
197212;119.2;1
197301;60.1;1
197302;479.7;1
197303;45.7;1
197304;5.7;1
197305;35;1
197306;107.6;1
197307;26.1;1
197308;50.9;1
197309;33.3;1
197310;99.6;1
197311;61;1
197312;227.5;1
197401;75.7;1
197402;124.1;1
197403;133.9;1
197404;7.1;1
197405;65.9;1
197406;25.9;1
197407;18.9;1
197408;30.9;1
197409;14.6;1
197410;159.6;1
197411;291;1
197412;709;1
197501;291.8;1
197502;176.1;1
197503;103.7;1
197504;62.1;1
197505;70.6;1
197506;61.4;1
197507;4.5;1
197508;0.2;1
197509;9.1;1
197510;66.9;1
197511;60.9;1
197512;279.6;1
197601;159.3;1
197602;131.1;1
197603;49.7;1
197604;216;1
197605;27.4;1
197606;14.5;1
197607;16.9;1
197608;17.1;1
197609;24.3;1
197610;23.5;1
197611;27;1
197612;378.5;1
197701;222.7;1
197702;46.5;1
197703;63.1;1
197704;123.4;1
197705;23.7;1
197706;56;1
197707;33.4;1
197708;30.4;1
197709;24.7;1
197710;183.4;1
197711;205.6;1
197712;23.1;1
197801;140.8;1
197802;708.9;1
197803;18.5;1
197804;246.6;1
197805;2.8;1
197806;140.9;1
197807;73.9;1
197808;6.4;1
197809;40.1;1
197810;36.3;1
197811;44;1
197812;117.5;1
197901;811.2;1
197902;19.2;1
197903;84.4;1
197904;46.4;1
197905;46.9;1
197906;52.2;1
197907;91.7;1
197908;35.2;1
197909;4.9;1
197910;71;1
197911;124.3;1
197912;528.8;1
198001;349.2;1
198002;189.7;1
198003;200.6;1
198004;286.4;1
198005;241.4;1
198006;9.7;1
198007;6;1
198008;44.2;1
198009;38.3;1
198010;97;1
198011;45.9;1
198012;103.2;1
198101;551.3;1
198102;78.9;1
198103;878.9;1
198104;51.1;1
198105;24.8;1
198106;48.8;1
198107;44.2;1
198108;3.8;1
198109;6.3;1
198110;75;1
198111;178;1
198112;158.3;1
198201;175.2;1
198202;400.7;1
198203;5;1
198204;231.4;1
198205;86.6;1
198206;58.6;1
198207;75.5;1
198208;38.7;1
198209;175.8;1
198210;36.5;1
198211;129.3;1
198212;529.4;1
198301;125.6;1
198302;160.3;1
198303;118.8;1
198304;131.8;1
198305;13.6;1
198306;23.6;1
198307;114.8;1
198308;54.3;1
198309;2.7;1
198310;45.1;1
198311;256.9;1
198312;480.5;1
198401;289.8;1
198402;22.9;1
198403;173.1;1
198404;17.6;1
198405;143.2;1
198406;23.2;1
198407;122.5;1
198408;24.3;1
198409;161;1
198410;121.6;1
198411;283.4;1
198412;491.5;1
198501;407.4;1
198502;52.4;1
198503;122.5;1
198504;379.5;1
198505;220.3;1
198506;102.2;1
198507;72;1
198508;21.3;1
198509;35.6;1
198510;49.3;1
198511;164.2;1
198512;415.3;1
198601;335.4;1
198602;436.7;1
198603;151.6;1
198604;11.8;1
198605;192.1;1
198606;40.2;1
198607;31.4;1
198608;116.5;1
198609;7.5;1
198610;58.5;1
198611;58.6;1
198612;233.8;1
198701;165.4;1
198702;213.5;1
198703;64.4;1
198704;558.2;1
198705;163.6;1
198706;52.8;1
198707;29.3;1
198708;57.8;1
198709;37.2;1
198710;26;1
198711;101;1
198712;373.2;1
198801;203.1;1
198802;249.1;1
198803;522.4;1
198804;49.3;1
198805;21;1
198806;38.8;1
198807;161.7;1
198808;69.4;1
198809;3.8;1
198810;74.6;1
198811;46.1;1
198812;285.4;1
198901;142.4;1
198902;169.2;1
198903;89.2;1
198904;22.2;1
198905;57.2;1
198906;65.9;1
198907;79.4;1
198908;21.4;1
198909;63.5;1
198910;180.6;1
198911;215.2;1
198912;553.7;1
199001;125.8;1
199002;406;1
199003;184.6;1
199004;45.7;1
199005;24.2;1
199006;41.9;1
199007;34.8;1
199008;151.2;1
199009;46.7;1
199010;67.4;1
199011;215.3;1
199012;51.2;1
199101;188.9;1
199102;71.8;1
199103;163.7;1
199104;129;1
199105;88;1
199106;15.2;1
199107;11;1
199108;132;1
199109;74.4;1
199110;91.5;1
199111;27;1
199112;456.9;1
199201;229.2;1
199202;61.6;1
199203;251.8;1
199204;36.3;1
199205;29.1;1
199206;59.7;1
199207;0;1
199208;20.5;1
199209;114.4;1
199210;273.4;1
199211;243;1
199212;181.2;1
199301;484.5;1
199302;288;1
199303;23.8;1
199304;12.2;1
199305;132.3;1
199306;200.5;1
199307;30.6;1
199308;43.7;1
199309;36;1
199310;76;1
199311;43.4;1
199312;201.9;1
199401;123.2;1
199402;104.4;1
199403;299.5;1
199404;40.1;1
199405;145.4;1
199406;114.1;1
199407;79.9;1
199408;157.4;1
199409;78;1
199410;64.2;1
199411;179.4;1
199412;306.9;1
199501;435.1;1
199502;375.3;1
199503;21.9;1
199504;105;1
199505;168.9;1
199506;0.7;1
199507;6.4;1
199508;24.2;1
199509;156.3;1
199510;262.5;1
199511;71.4;1
199512;512.2;1
199601;83.7;1
199602;225;1
199603;107.7;1
199604;16.8;1
199605;147.9;1
199606;22.7;1
199607;70.4;1
199608;83.6;1
199609;95.8;1
199610;262;1
199611;78.8;1
199612;146;1
199701;277.9;1
199702;106.8;1
199703;343.8;1
199704;127.7;1
199705;211.6;1
199706;27.8;1
199707;1.7;1
199708;35.1;1
199709;13.3;1
199710;49.9;1
199711;109.4;1
199712;167.7;1
199801;101.2;1
199802;99.9;1
199803;155.4;1
199804;127.7;1
199805;79.9;1
199806;77.5;1
199807;80.9;1
199808;8.4;1
199809;54.3;1
199810;91.3;1
199811;63.9;1
199812;733.1;1
199901;232.3;1
199902;329.4;1
199903;198.3;1
199904;35.7;1
199905;139.7;1
199906;159.5;1
199907;13.6;1
199908;12.3;1
199909;13.3;1
199910;53.2;1
199911;139.7;1
199912;87.8;1
200001;265.7;1
200002;75.6;1
200003;144.9;1
200004;19.2;1
200005;88.9;1
200006;54.7;1
200007;80.3;1
200008;33.1;1
200009;8.2;1
200010;59.6;1
200011;32.7;1
200012;494.1;1
200101;120.8;1
200102;130;1
200103;68;1
200104;140.8;1
200105;217.2;1
200106;60.9;1
200107;125.3;1
200108;18.9;1
200109;37.5;1
200110;90.6;1
200111;48.7;1
200112;508.7;1
200201;43.3;1
200202;143.8;1
200203;178.1;1
200204;41.8;1
200205;50.4;1
200206;55.5;1
200207;23.9;1
200208;45.4;1
200209;9.9;1
200210;12;1
200211;47.1;1
200212;339.5;1
200301;170.9;1
200302;177.8;1
200303;121;1
200304;138;1
200305;28.4;1
200306;252.8;1
200307;15.7;1
200308;7.3;1
200309;25.4;1
200310;66.9;1
200311;125.3;1
200312;93.2;1
200401;237.9;1
200402;91.1;1
200403;201.3;1
200404;220.8;1
200405;54.9;1
200406;110.4;1
200407;57.1;1
200408;16.2;1
200409;11;1
200410;63.9;1
200411;134.4;1
200412;196.6;1
200501;54.1;1
200502;681;1
200503;104.9;1
200504;36.4;1
200505;119.9;1
200506;10.8;1
200507;73.8;1
200508;59;1
200509;61.8;1
200510;36.6;1
200511;42.4;1
200512;261.8;1
200601;246.3;1
200602;213.4;1
200603;55.5;1
200604;214;1
200605;403.5;1
200606;91.3;1
200607;150.1;1
200608;85.7;1
200609;16.6;1
200610;126.4;1
200611;34.9;1
200612;257.9;1
200701;621.3;1
200702;163.8;1
200703;180.9;1
200704;49.5;1
200705;89.4;1
200706;19.2;1
200707;28;1
200708;21.3;1
200709;35.5;1
200710;206.9;1
200711;95.2;1
200712;410.6;1
200801;137.4;1
200802;55.6;1
200803;56.4;1
200804;81.8;1
200805;44.7;1
200806;123.4;1
200807;70.4;1
200808;15.2;1
200809;13.6;1
200810;28.2;1
200811;27.2;1
200812;106.2;1
200901;261.4;1
200902;130.2;1
200903;125.4;1
200904;30.8;1
200905;33.6;1
200906;66.4;1
200907;42;1
200908;56;1
200909;199.6;1
200910;112.8;1
200911;252.8;1
200912;85.4;1
201001;386.8;1
201002;191.2;1
201003;392.1;1
201004;27.5;1
201005;78.2;1
201006;32.8;1
201007;45.7;1
201008;31.1;1
201009;72.4;1
201010;97.3;1
201011;97.9;1
201012;75.2;1
201101;57.6;1
201102;77.8;1
201103;55.8;1
201104;6.4;1
201105;121.2;1
201106;9.6;1
201107;16.3;1
201108;17.3;1
201109;0;1
201110;83.2;1
201111;305.6;1
201112;171.5;1
201201;414.6;1
201202;133.9;1
201203;143.3;1
201204;142.1;1
201205;70.4;1
201206;40.2;1
201207;9.8;1
201208;7.2;1
201209;36.1;1
201210;43.6;1
201211;75.1;1
201212;617.9;1
201301;374.7;1
201302;103.6;1
201303;41.3;1
201304;221.5;1
201305;26.2;1
201306;0;1
201307;31.4;1
201308;21.2;1
201309;45.9;1
201310;260.2;1
201311;20.7;1
201312;93.4;1
201401;199;1
201402;660.4;1
201403;373.8;1
201404;25.4;1
201405;22.4;1
201406;159.5;1
201407;7.1;1
201408;39.9;1
201409;79.1;1
201410;118.5;1
201411;111.4;1
201412;281.8;1
201501;325.2;1
201502;129.3;1
201503;196.5;1
201504;32.7;1
201505;101.7;1
201506;46.4;1
201507;27.8;1
201508;42.6;1
201509;54;1
201510;78.4;1
201511;79.2;1
201512;197;1
201601;62.7;1
201602;611.5;1
201603;237.3;1
201604;415.9;1
201605;22.6;1
201606;162.9;1
201607;39.8;1
201608;62.6;1
201609;5;1
201610;70.5;1
201611;63.5;1
201612;184;1
201701;637.9;1
201702;355.3;1
201703;228.4;1
201704;98.4;1
201705;38.9;1
201706;43.5;1
201707;10.2;1
201708;8.5;1
201709;41.9;1
201710;21.1;1
201711;172.4;1
201712;269.4;1
201801;358.2;1
201802;559.4;1
201803;70.7;1
201804;197.9;1
201805;61.3;1
201806;28;1
201807;43.1;1
201808;35;1
201809;25.4;1
201810;3.8;1
201811;41.2;1
201812;118.7;1
201901;451.5;0
201902;278.1;0
201903;154.4;0
201904;88.9;0
201905;86.6;0
201906;34.8;0
201907;19.4;0
201908;12.1;0
201909;16.2;0
201910;8;0
201911;56.2;0
201912;245.2;0
202001;166.5;0
202002;471.8;0
202003;113.9;0
202004;9.6;0
202005;62.4;0
202006;59.8;0
202007;50.5;0
202008;28.6;0
202009;10.9;0
202010;134.9;0
202011;226.2;0
202012;191.7;0
202101;27.9;0
202102;155.4;0
202103;44.3;0
202104;44.5;0
202105;35.3;0
202106;69.1;0
202107;35.9;0
202108;36.8;0
202109;26.4;0
202110;350.3;0
202111;75.3;0
202112;85.6;0
202201;498.2;0
202202;13.2;0
202203;55.6;0
202204;141.6;0
202205;77.8;0
202206;20.1;0
202207;101.3;0
202208;111.4;0
202209;14.2;0
202210;75.2;0
202211;294.9;0
202212;148.4;0
