# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98736001
# NOM_USUEL= PIRAE 1
# LATITUDE (°) = -17.54
# LONGITUDE(°)= -149.536
# ALTITUDE (m) = 34
# NUM_SERIE= MRR198736001
# Amplitude minimale détectable de la série = 0.11
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 198503 199004
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;272.1;1
196002;538.8;1
196003;274.3;1
196004;50.8;1
196005;244.8;1
196006;12.9;1
196007;173.5;1
196008;10.1;1
196009;321.4;1
196010;25.7;1
196011;112.3;1
196012;204.4;1
196101;804.7;1
196102;89.5;1
196103;889.9;1
196104;55.1;1
196105;30.2;1
196106;38.4;1
196107;130.1;1
196108;175.6;1
196109;76.9;1
196110;278.4;1
196111;130.6;1
196112;298.6;1
196201;493.2;1
196202;672.9;1
196203;175.6;1
196204;130.4;1
196205;149.7;1
196206;110.4;1
196207;165.8;1
196208;136.6;1
196209;61.9;1
196210;97.3;1
196211;436.4;1
196212;354.3;1
196301;65.4;1
196302;418.8;1
196303;98.9;1
196304;420.2;1
196305;119.9;1
196306;25.9;1
196307;0;1
196308;33.2;1
196309;2.5;1
196310;75.7;1
196311;221.3;1
196312;531.4;1
196401;382.6;1
196402;259.1;1
196403;240.8;1
196404;8.2;1
196405;162.2;1
196406;198.7;1
196407;157.4;1
196408;11.4;1
196409;84.2;1
196410;136.6;1
196411;248.4;1
196412;250.9;1
196501;929.4;1
196502;223.9;1
196503;81.9;1
196504;77.7;1
196505;71.9;1
196506;129.2;1
196507;115.6;1
196508;74.3;1
196509;165.2;1
196510;21.6;1
196511;375.7;1
196512;292.7;1
196601;428.4;1
196602;103.5;1
196603;234.5;1
196604;144.2;1
196605;40.3;1
196606;0;1
196607;55.1;1
196608;52.4;1
196609;29;1
196610;147.7;1
196611;77.7;1
196612;395.5;1
196701;75.7;1
196702;354.2;1
196703;157.5;1
196704;120.1;1
196705;393.1;1
196706;102.5;1
196707;47.9;1
196708;37.9;1
196709;50.5;1
196710;81.4;1
196711;586.1;1
196712;404.5;1
196801;713.5;1
196802;404;1
196803;618.5;1
196804;449.7;1
196805;157;1
196806;1.7;1
196807;40.6;1
196808;94.5;1
196809;29.4;1
196810;98.9;1
196811;81.8;1
196812;70.6;1
196901;218.2;1
196902;355.1;1
196903;247.6;1
196904;44.8;1
196905;166.5;1
196906;131.7;1
196907;51.7;1
196908;41.3;1
196909;70.3;1
196910;43.2;1
196911;209;1
196912;91.5;1
197001;825.9;1
197002;596.5;1
197003;256.7;1
197004;32.3;1
197005;82.9;1
197006;10.9;1
197007;72.7;1
197008;77.4;1
197009;130.7;1
197010;366;1
197011;277.5;1
197012;121.1;1
197101;816.8;1
197102;254.5;1
197103;47.3;1
197104;12.3;1
197105;241.4;1
197106;68;1
197107;80.1;1
197108;27.4;1
197109;59.7;1
197110;42;1
197111;186.6;1
197112;915.1;1
197201;64.3;1
197202;204.2;1
197203;290.9;1
197204;108.3;1
197205;12.8;1
197206;57.6;1
197207;42.3;1
197208;38.1;1
197209;22.2;1
197210;68.9;1
197211;5.5;1
197212;144.8;1
197301;70.7;1
197302;583.3;1
197303;57.5;1
197304;17.5;1
197305;69.7;1
197306;119;1
197307;44.1;1
197308;139.1;1
197309;55.9;1
197310;141.2;1
197311;93.6;1
197312;398.8;1
197401;187.7;1
197402;222.7;1
197403;253.1;1
197404;5.5;1
197405;63.1;1
197406;72.7;1
197407;17.3;1
197408;37.6;1
197409;9.3;1
197410;167.2;1
197411;284.5;1
197412;872.5;1
197501;394.8;1
197502;204.9;1
197503;145.9;1
197504;51.1;1
197505;109.4;1
197506;61.4;1
197507;62.7;1
197508;57.7;1
197509;13.4;1
197510;79.5;1
197511;79.7;1
197512;352.1;1
197601;226.7;1
197602;436.1;1
197603;89.8;1
197604;283.4;1
197605;19.9;1
197606;4.1;1
197607;8.6;1
197608;24.7;1
197609;16.7;1
197610;48.3;1
197611;73;1
197612;493.1;1
197701;450.3;1
197702;82.5;1
197703;97;1
197704;165.9;1
197705;18;1
197706;61.1;1
197707;85.8;1
197708;2.5;1
197709;20.9;1
197710;255.7;1
197711;251.6;1
197712;29.6;1
197801;273.9;1
197802;910.3;1
197803;47.5;1
197804;272.8;1
197805;35.7;1
197806;176;1
197807;83;1
197808;11;1
197809;36.7;1
197810;125.1;1
197811;71.7;1
197812;149.2;1
197901;989;1
197902;36.9;1
197903;90.9;1
197904;67.5;1
197905;98.8;1
197906;40.2;1
197907;112.1;1
197908;26.2;1
197909;18.2;1
197910;122.7;1
197911;164.4;1
197912;680.3;1
198001;340.5;1
198002;256.7;1
198003;287.9;1
198004;336.3;1
198005;227.4;1
198006;29.9;1
198007;8.7;1
198008;58.4;1
198009;47.8;1
198010;214.4;1
198011;61.9;1
198012;98.9;1
198101;751.4;1
198102;140.4;1
198103;1235.9;1
198104;28.2;1
198105;21;1
198106;88.8;1
198107;69.6;1
198108;4.3;1
198109;8.3;1
198110;42.9;1
198111;192.8;1
198112;174.3;1
198201;225.3;1
198202;768.5;1
198203;21.8;1
