# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98747007
# NOM_USUEL= AFAAHITI 4
# LATITUDE (°) = -17.757
# LONGITUDE(°)= -149.272
# ALTITUDE (m) = 232
# NUM_SERIE= MRR198747007
# Amplitude minimale détectable de la série = 0.09
# Période homogénéisée : 196101 201812
# Date(s) de rupture(s) d'homogénéité : 197903 200406
#     Periode homogénéisée  196101 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;371.9;1
196102;326.9;1
196103;746.5;1
196104;178.6;1
196105;61.7;1
196106;150.6;1
196107;124.9;1
196108;110.4;1
196109;188.6;1
196110;353.5;1
196111;430.6;1
196112;400.6;1
196201;378.7;1
196202;284.3;1
196203;299.4;1
196204;437.3;1
196205;213.5;1
196206;203;1
196207;371.1;1
196208;376.9;1
196209;94;1
196210;170.3;1
196211;501.4;1
196212;514.7;1
196301;255.2;1
196302;509.6;1
196303;128.2;1
196304;440.7;1
196305;148.2;1
196306;99.6;1
196307;53.3;1
196308;152.7;1
196309;41.8;1
196310;210.9;1
196311;640.6;1
196312;579.3;1
196401;269.3;1
196402;255.7;1
196403;441.4;1
196404;116.3;1
196405;194.8;1
196406;124.2;1
196407;318.4;1
196408;73.9;1
196409;198.5;1
196410;151.4;1
196411;335.7;1
196412;382.2;1
196501;704.1;1
196502;285.5;1
196503;197.7;1
196504;193.9;1
196505;137.5;1
196506;261.3;1
196507;53;1
196508;79.7;1
196509;317.4;1
196510;127;1
196511;465.8;1
196512;929.9;1
196601;461.1;1
196602;183.4;1
196603;645.3;1
196604;300.3;1
196605;57.5;1
196606;35.3;1
196607;168.9;1
196608;95.6;1
196609;99.3;1
196610;315.4;1
196611;150.7;1
196612;542.8;1
196701;164.8;1
196702;346.5;1
196703;299.9;1
196704;321.4;1
196705;323.9;1
196706;179.4;1
196707;141.1;1
196708;147.9;1
196709;54.6;1
196710;544.6;1
196711;462.7;1
196712;735.9;1
196801;370;1
196802;423.2;1
196803;420.8;1
196804;497.8;1
196805;230.4;1
196806;49.6;1
196807;109.9;1
196808;289.6;1
196809;120.4;1
196810;107.8;1
196811;136.6;1
196812;145.1;1
196901;125.3;1
196902;386.2;1
196903;250.5;1
196904;136.4;1
196905;315.5;1
196906;517.8;1
196907;74.1;1
196908;164.4;1
196909;484.6;1
196910;410.7;1
196911;308.4;1
196912;350;1
197001;559.3;1
197002;481.1;1
197003;271.8;1
197004;339.9;1
197005;122.1;1
197006;211.6;1
197007;119.1;1
197008;247;1
197009;379.4;1
197010;378;1
197011;573.3;1
197012;314.1;1
197101;322.2;1
197102;415.9;1
197103;278.1;1
197104;143.5;1
197105;192.3;1
197106;160.1;1
197107;76.6;1
197108;195.8;1
197109;121.2;1
197110;246.3;1
197111;241.4;1
197112;537.9;1
197201;212.4;1
197202;254.3;1
197203;352;1
197204;122.2;1
197205;116.8;1
197206;73.1;1
197207;115.8;1
197208;39;1
197209;93.4;1
197210;77.1;1
197211;102.3;1
197212;310.2;1
197301;134.2;1
197302;417.7;1
197303;154.9;1
197304;29.8;1
197305;237.2;1
197306;214.7;1
197307;299.7;1
197308;285.4;1
197309;241.4;1
197310;276.7;1
197311;196.5;1
197312;358.8;1
197401;379.7;1
