# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98748002
# NOM_USUEL= TEAHUPOO 1
# LATITUDE (°) = -17.847
# LONGITUDE(°)= -149.267
# ALTITUDE (m) = 3
# NUM_SERIE= MRR198748002
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;277.7;1
196002;273.8;1
196003;150.6;1
196004;50.7;1
196005;623.8;1
196006;142.8;1
196007;207.9;1
196008;143.9;1
196009;486.6;1
196010;302.3;1
196011;68.1;1
196012;253.5;1
196101;399.4;1
196102;302.3;1
196103;562.3;1
196104;131.5;1
196105;122.1;1
196106;393.5;1
196107;123.3;1
196108;277.9;1
196109;504.9;1
196110;308;1
196111;381.1;1
196112;156.4;1
196201;312.3;1
196202;196.4;1
196203;190.9;1
196204;400.5;1
196205;120.4;1
196206;264.6;1
196207;425.9;1
196208;285.4;1
196209;99.4;1
196210;194;1
196211;283.3;1
196212;522.9;1
196301;269;1
196302;338.7;1
196303;100.2;1
196304;527.9;1
196305;119.4;1
196306;282.4;1
196307;116.6;1
196308;137.9;1
196309;112.8;1
196310;336.7;1
196311;535.1;1
196312;449.6;1
196401;150;1
196402;150.7;1
196403;523.2;1
196404;163.6;1
196405;241.6;1
196406;220.6;1
196407;293.2;1
196408;275.3;1
196409;128.4;1
196410;229.4;1
196411;232.3;1
196412;227.7;1
196501;433.7;1
196502;236.6;1
196503;168.1;1
196504;195.9;1
196505;163.9;1
196506;469.8;1
196507;93.4;1
196508;230.5;1
196509;642.5;1
196510;86.4;1
196511;399.5;1
196512;985.3;1
196601;588.6;1
196602;360.9;1
196603;408.6;1
196604;575;1
196605;96.8;1
196606;248.6;1
196607;155.6;1
196608;430.9;1
196609;256.1;1
196610;257.8;1
196611;162.4;1
196612;303.6;1
196701;112.1;1
196702;308;1
196703;155.7;1
196704;101.6;1
