# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98752001
# NOM_USUEL= PAPEARI 1
# LATITUDE (°) = -17.759
# LONGITUDE(°)= -149.377
# ALTITUDE (m) = 2
# NUM_SERIE= MRR198752001
# Amplitude minimale détectable de la série = 0.12
# Période homogénéisée : 196001 201812
# Date(s) de rupture(s) d'homogénéité : 196912 197812 200012
#     Periode homogénéisée  196001 201812  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196001;313.7;1
196002;315.8;1
196003;59.6;1
196004;130;1
196005;425.9;1
196006;150.4;1
196007;316.1;1
196008;135.1;1
196009;284.9;1
196010;185.5;1
196011;43.8;1
196012;372.3;1
196101;435.7;1
196102;85.9;1
196103;811.8;1
196104;157.2;1
196105;64.6;1
196106;106.3;1
196107;80.1;1
196108;133.8;1
196109;266;1
196110;375.2;1
196111;416.4;1
196112;226.4;1
196201;436.4;1
196202;259.9;1
196203;107.1;1
196204;307;1
196205;157.5;1
196206;222.3;1
196207;406;1
196208;362.7;1
196209;97.6;1
196210;74;1
196211;120.9;1
196212;588.5;1
196301;189.1;1
196302;452.2;1
196303;322.4;1
196304;363.8;1
196305;81.5;1
196306;121;1
196307;88.1;1
196308;133;1
196309;35.4;1
196310;173.1;1
196311;848.5;1
196312;505;1
196401;273.2;1
196402;139.6;1
196403;332.8;1
196404;180.3;1
196405;179.5;1
196406;43;1
196407;378.1;1
196408;73.4;1
196409;174.3;1
196410;146.1;1
196411;277.4;1
196412;316.6;1
196501;604.9;1
196502;291.3;1
196503;217.2;1
196504;132.3;1
196505;132.5;1
196506;334.4;1
196507;40.4;1
196508;182.3;1
196509;338.9;1
196510;188.8;1
196511;358.6;1
196512;879.5;1
196601;460.2;1
196602;133.9;1
196603;485.2;1
196604;394.7;1
196605;73;1
196606;47.1;1
