# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98802001
# NOM_USUEL= BOULOUPARIS
# LATITUDE (°) = -21.874
# LONGITUDE(°)= 166.052
# ALTITUDE (m) = 8
# NUM_SERIE= MRR198802001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195601 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195601 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195601;242.4;1
195602;243.4;1
195603;72.4;1
195604;201;1
195605;144;1
195606;152.9;1
195607;53.5;1
195608;111.6;1
195609;136.4;1
195610;44.6;1
195611;79.6;1
195612;97.4;1
195701;254.4;1
195702;48.9;1
195703;55.2;1
195704;10.5;1
195705;20.5;1
195706;24.2;1
195707;11.4;1
195708;60.3;1
195709;4.5;1
195710;0;1
195711;15;1
195712;16.2;1
195801;330.4;1
195802;49.6;1
195803;139;1
195804;25.6;1
195805;2;1
195806;97.8;1
195807;112.9;1
195808;25.5;1
195809;64.5;1
195810;36.9;1
195811;16.2;1
195812;7;1
195901;268.6;1
195902;100.1;1
195903;124.2;1
195904;14.1;1
195905;48.9;1
195906;56.6;1
195907;49.4;1
195908;2.4;1
195909;0;1
195910;40.5;1
195911;50.4;1
195912;159.2;1
196001;22.2;1
196002;47.5;1
196003;115.7;1
196004;57.6;1
196005;235.9;1
196006;87.2;1
196007;65.2;1
196008;55.7;1
196009;54.6;1
196010;0;1
196011;40.5;1
196012;15;1
196101;44;1
196102;218.5;1
196103;188.2;1
196104;96;1
196105;47.7;1
196106;97.2;1
196107;94.3;1
196108;231.6;1
196109;14.1;1
196110;8.5;1
196111;69;1
196112;92.9;1
196201;58.8;1
196202;116.7;1
196203;175.3;1
196204;247.6;1
196205;305.8;1
196206;38;1
196207;146.5;1
196208;103.8;1
196209;0;1
196210;3.7;1
196211;60.3;1
196212;10.7;1
196301;118.1;1
196302;162.4;1
196303;94.2;1
196304;154.5;1
196305;54.6;1
196306;42.5;1
196307;40.1;1
196308;107.1;1
196309;21.8;1
196310;20.2;1
196311;0;1
196312;27.5;1
196401;57;1
196402;98.3;1
196403;56.6;1
196404;122.6;1
196405;53.5;1
196406;294.4;1
196407;18.8;1
196408;61.5;1
196409;0;1
196410;52.8;1
196411;64.2;1
196412;26.9;1
196501;40.9;1
196502;101.2;1
196503;78.9;1
196504;23.1;1
196505;1.3;1
196506;98.5;1
196507;34.1;1
196508;27.9;1
196509;34.6;1
196510;0;1
196511;0.5;1
196512;106.8;1
196601;34.7;1
196602;176.2;1
196603;89.2;1
196604;35.5;1
196605;23.7;1
196606;110.7;1
196607;131.1;1
196608;0;1
196609;9.5;1
196610;67.8;1
196611;50.5;1
196612;21.3;1
196701;248.8;1
196702;81;1
196703;371;1
196704;179;1
196705;138.3;1
196706;142.9;1
196707;158.1;1
196708;60.9;1
196709;144.7;1
196710;8.8;1
196711;157.2;1
196712;257.6;1
196801;187.1;1
196802;21.6;1
196803;72.8;1
196804;64.2;1
196805;26.1;1
196806;53.9;1
196807;18.3;1
196808;57;1
196809;6.7;1
196810;0.7;1
196811;0;1
196812;83.7;1
196901;2.3;1
196902;230.6;1
196903;104.4;1
196904;10.8;1
196905;80.3;1
196906;77.3;1
196907;2;1
196908;25.7;1
196909;35.5;1
196910;0;1
196911;45.8;1
196912;18.5;1
197001;152.1;1
197002;68.3;1
197003;79.4;1
197004;108.5;1
197005;32.9;1
197006;135.9;1
197007;76.3;1
197008;89.3;1
197009;51.5;1
197010;55;1
197011;120.4;1
197012;30;1
197101;130;1
197102;42.6;1
197103;263.9;1
197104;57.1;1
197105;78.3;1
197106;134.7;1
197107;79.6;1
197108;9.4;1
197109;59.4;1
197110;40;1
197111;145.4;1
197112;11.4;1
197201;241.3;1
197202;276.8;1
197203;175.6;1
197204;45.7;1
197205;40;1
197206;212.3;1
197207;32.2;1
197208;25.3;1
197209;23.3;1
197210;2.5;1
197211;4.7;1
197212;1.8;1
197301;46;1
197302;42.6;1
197303;75.3;1
197304;0;1
197305;10.3;1
197306;6.9;1
197307;176.6;1
197308;39.3;1
197309;58.9;1
197310;1.2;1
197311;14.6;1
197312;134.2;1
197401;172.8;1
197402;302.8;1
197403;36;1
197404;37.2;1
197405;11.2;1
197406;80;1
197407;102.1;1
197408;14.3;1
197409;32.6;1
197410;204.7;1
197411;145.1;1
197412;40.3;1
197501;167.3;1
197502;279.1;1
197503;279.3;1
197504;147;1
197505;56.3;1
197506;213.6;1
197507;29.1;1
197508;62.4;1
197509;59;1
197510;77.2;1
197511;32.9;1
197512;124.4;1
197601;147.3;1
197602;20.4;1
197603;143.6;1
197604;70;1
197605;2.1;1
197606;48.3;1
197607;78.8;1
197608;83.3;1
197609;66.3;1
197610;165.5;1
197611;45.4;1
197612;19;1
197701;98.6;1
197702;17.5;1
197703;16.6;1
197704;2.8;1
197705;18.7;1
197706;68.6;1
197707;48.7;1
197708;40.5;1
197709;65.8;1
197710;0;1
197711;22.5;1
197712;79.7;1
197801;88.9;1
197802;25.9;1
197803;56.7;1
197804;105;1
197805;48.6;1
197806;130.2;1
197807;136.5;1
197808;60;1
197809;2.6;1
197810;0;1
197811;33.7;1
197812;99.4;1
197901;62.6;1
197902;109.9;1
197903;95.9;1
197904;54.7;1
197905;63.4;1
197906;101.5;1
197907;139.3;1
197908;2.5;1
197909;18.2;1
197910;29.3;1
197911;30.8;1
197912;36.7;1
198001;207.7;1
198002;104.5;1
198003;84.4;1
198004;145.6;1
198005;6.5;1
198006;13.1;1
198007;73.2;1
198008;21.2;1
198009;21.8;1
198010;19.3;1
198011;0;1
198012;98.3;1
198101;212.1;1
198102;250.4;1
198103;152.8;1
198104;9.2;1
198105;27.8;1
198106;30;1
198107;45.9;1
198108;29.1;1
198109;0.8;1
198110;12;1
198111;55.3;1
198112;245.8;1
198201;35.4;1
198202;160.3;1
198203;143.5;1
198204;59.3;1
198205;5.2;1
198206;57.3;1
198207;39.6;1
198208;27.3;1
198209;2.5;1
198210;33.4;1
198211;21.3;1
198212;149.9;1
198301;100.2;1
198302;81;1
198303;74.3;1
198304;61.3;1
198305;9.6;1
198306;68.7;1
198307;24.3;1
198308;62.3;1
198309;5;1
198310;96.3;1
