# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98803001
# NOM_USUEL= BOURAIL
# LATITUDE (°) = -21.555
# LONGITUDE(°)= 165.494
# ALTITUDE (m) = 25
# NUM_SERIE= MRR198803001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 196606 197510
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;264.5;1
195202;110;1
195203;111.4;1
195204;44.9;1
195205;39.3;1
195206;43.9;1
195207;94.9;1
195208;86.7;1
195209;27.3;1
195210;102.6;1
195211;20.6;1
195212;96.4;1
195301;136.1;1
195302;260;1
195303;70.8;1
195304;64.7;1
195305;71.8;1
195306;30.4;1
195307;62.9;1
195308;68.7;1
195309;85.4;1
195310;28.8;1
195311;33.1;1
195312;21.9;1
195401;185;1
195402;62.1;1
195403;155.4;1
195404;144.1;1
195405;137.2;1
195406;160.5;1
195407;51;1
195408;7.1;1
195409;69;1
195410;35.8;1
195411;119.2;1
195412;141.8;1
195501;78.9;1
195502;217.5;1
195503;522.2;1
195504;64.1;1
195505;90;1
195506;35.7;1
195507;63.3;1
195508;77.3;1
195509;134.7;1
195510;76.8;1
195511;35.1;1
195512;405.5;1
195601;318.8;1
195602;247.7;1
195603;119.4;1
195604;208.9;1
195605;114.2;1
195606;54.3;1
195607;55.2;1
195608;107.2;1
195609;139.2;1
195610;28.5;1
195611;52.6;1
195612;82.4;1
195701;312.3;1
195702;108.7;1
195703;95.2;1
195704;82.7;1
195705;31.9;1
195706;49.5;1
195707;23.2;1
195708;99.5;1
195709;5.5;1
195710;2.3;1
195711;39.7;1
195712;100.4;1
195801;210.2;1
195802;84.3;1
195803;205.1;1
195804;115.9;1
195805;23.7;1
195806;116.9;1
195807;98.1;1
195808;24.3;1
195809;122.6;1
195810;86.7;1
195811;86.5;1
195812;31;1
195901;384.5;1
195902;79.2;1
195903;141.3;1
195904;30.9;1
195905;70.1;1
195906;58.4;1
195907;86.6;1
195908;19;1
195909;33.6;1
195910;7.9;1
195911;99.7;1
195912;218;1
196001;30.8;1
196002;102.8;1
196003;142.4;1
196004;177.3;1
196005;276.6;1
196006;78.9;1
196007;102.4;1
196008;79.9;1
196009;60.3;1
196010;32.5;1
196011;36.3;1
196012;25.9;1
196101;172.9;1
196102;215.5;1
196103;208.6;1
196104;200.5;1
196105;52.5;1
196106;71.1;1
196107;118.3;1
196108;273;1
196109;57.8;1
196110;37.9;1
196111;27.5;1
196112;164.9;1
196201;189.9;1
196202;80.8;1
196203;91.2;1
196204;366.5;1
196205;176.5;1
196206;39.7;1
196207;138.8;1
196208;98.3;1
196209;25.6;1
196210;16.2;1
196211;125.7;1
196212;57.6;1
196301;76.2;1
196302;196.7;1
196303;68.6;1
196304;136.1;1
196305;83.5;1
196306;81.7;1
196307;93.2;1
196308;88.3;1
196309;31.2;1
196310;31.8;1
196311;6.5;1
196312;49.7;1
196401;100;1
196402;235.1;1
196403;127.5;1
196404;166.2;1
196405;59.4;1
196406;253.2;1
196407;32.9;1
196408;91.6;1
196409;0.5;1
196410;62.1;1
