# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98804001
# NOM_USUEL= CANALA
# LATITUDE (°) = -21.526
# LONGITUDE(°)= 165.969
# ALTITUDE (m) = 35
# NUM_SERIE= MRR198804001
# Amplitude minimale détectable de la série = 0.19
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;244;1
195202;241.6;1
195203;305.3;1
195204;83.7;1
195205;56.1;1
195206;226.4;1
195207;230;1
195208;219.2;1
195209;36.8;1
195210;272.6;1
195211;199;1
195212;361.5;1
195301;53.9;1
195302;82.3;1
195303;79.6;1
195304;46;1
195305;104;1
195306;19.9;1
195307;40.5;1
195308;134.8;1
195309;61.7;1
195310;40.5;1
195311;53.2;1
195312;135.6;1
195401;304.5;1
195402;152.7;1
195403;213.4;1
195404;101.9;1
195405;309.2;1
195406;131.8;1
195407;49.5;1
195408;3;1
195409;73.9;1
195410;168.2;1
195411;239.9;1
195412;256.5;1
195501;12.2;1
195502;194.5;1
195503;602.3;1
195504;254;1
195505;165;1
195506;9.3;1
195507;32;1
195508;93.6;1
195509;167.4;1
195510;14.8;1
195511;118.4;1
195512;564.3;1
195601;503.1;1
195602;227.7;1
195603;104.5;1
195604;275.2;1
195605;127.2;1
195606;168.2;1
195607;77.3;1
195608;129.4;1
195609;275.4;1
195610;49.4;1
195611;57.2;1
195612;256.7;1
195701;664;1
195702;171.8;1
195703;5.2;1
195704;99.8;1
195705;13.8;1
195706;3.1;1
195707;71.9;1
195708;131;1
195709;5.2;1
195710;0;1
195711;26.3;1
195712;85.4;1
195801;542;1
195802;150.9;1
195803;137.2;1
195804;86.5;1
195805;26.9;1
195806;288.2;1
195807;46.1;1
195808;74;1
195809;156.1;1
195810;76.8;1
195811;45.1;1
195812;41.3;1
195901;753.3;1
195902;193.9;1
195903;197.3;1
195904;32.7;1
195905;62.4;1
195906;81.3;1
195907;125.6;1
195908;1.7;1
195909;20;1
195910;49;1
195911;121.5;1
195912;199.6;1
196001;74.1;1
196002;94.9;1
196003;151.8;1
196004;175.1;1
196005;244.9;1
196006;96.2;1
196007;200.5;1
196008;53.6;1
196009;47.3;1
196010;37.1;1
196011;68.3;1
196012;38.8;1
196101;94.8;1
196102;257.8;1
196103;394.4;1
196104;115.4;1
196105;71.6;1
196106;195.3;1
196107;179.4;1
196108;246.3;1
196109;17.2;1
196110;72.7;1
196111;120.9;1
196112;205.5;1
196201;278.2;1
196202;176.5;1
196203;69.1;1
196204;478.4;1
196205;340.4;1
196206;67.3;1
196207;163.3;1
196208;115.4;1
196209;7.7;1
196210;91.6;1
196211;89.2;1
196212;70.6;1
196301;477.3;1
196302;157;1
196303;380.3;1
196304;165.7;1
196305;259.4;1
196306;90.9;1
196307;60.1;1
196308;113.4;1
196309;18.3;1
196310;17;1
196311;12.4;1
196312;31.4;1
196401;94.2;1
196402;111.5;1
196403;154.1;1
196404;250.1;1
196405;22.9;1
196406;104.1;1
196407;95.6;1
196408;142.6;1
196409;4.7;1
196410;23.7;1
196411;191.5;1
196412;149.3;1
196501;73.2;1
196502;364;1
196503;405.1;1
196504;245.2;1
196505;11.9;1
196506;224.2;1
196507;60.8;1
196508;45.1;1
196509;53.4;1
196510;29.2;1
196511;37.9;1
196512;206.6;1
196601;40;1
196602;404;1
196603;225.7;1
196604;114.1;1
196605;52.7;1
196606;205.8;1
196607;238.5;1
196608;29.5;1
196609;11.8;1
196610;100.8;1
196611;142.2;1
196612;202.6;1
196701;588.1;1
196702;203.1;1
196703;501.8;1
196704;318.5;1
196705;168;1
196706;328.8;1
196707;330.2;1
196708;67.6;1
196709;281;1
196710;132.5;1
196711;164;1
196712;242;1
196801;359.4;1
196802;143;1
196803;111.3;1
196804;150.6;1
196805;37;1
196806;68.2;1
196807;67;1
196808;38.5;1
196809;25.9;1
196810;21.1;1
196811;56.1;1
196812;69.1;1
196901;46.6;1
196902;475.5;1
196903;212.2;1
196904;23.1;1
196905;93.6;1
196906;128.2;1
196907;64.3;1
196908;47.1;1
196909;26.1;1
196910;0.7;1
196911;100.2;1
196912;101.5;1
197001;221.3;1
197002;36.1;1
197003;389;1
197004;97.8;1
197005;49.1;1
197006;153.6;1
197007;140.8;1
197008;388.1;1
197009;162.1;1
197010;125.8;1
197011;260.7;1
197012;93.6;1
197101;363.4;1
197102;438.7;1
197103;313.5;1
197104;140.1;1
197105;86.7;1
197106;261.6;1
197107;84.6;1
197108;0;1
197109;77.4;1
197110;88.6;1
197111;166;1
197112;32.1;1
197201;328.6;1
197202;517.5;1
197203;565.3;1
197204;55.1;1
197205;41;1
197206;278.9;1
197207;0.5;1
197208;62.3;1
197209;53.8;1
197210;36.2;1
197211;76;1
197212;35.2;1
197301;117.1;1
197302;63.4;1
197303;84.9;1
197304;20.5;1
197305;91.6;1
197306;9.3;1
197307;308.7;1
197308;48.2;1
197309;28.7;1
197310;59.9;1
197311;114.5;1
197312;52;1
197401;394.9;1
197402;616.4;1
197403;188.6;1
197404;23.7;1
197405;69.4;1
197406;324.5;1
197407;98.7;1
197408;0;1
197409;88.8;1
197410;140;1
197411;166.3;1
197412;28.4;1
197501;163.4;1
197502;515.6;1
197503;567.3;1
197504;714.6;1
197505;109.3;1
197506;228.6;1
197507;27.1;1
197508;95.4;1
197509;48.6;1
197510;46.9;1
197511;94.2;1
197512;199.4;1
197601;673.8;1
197602;134.7;1
197603;466.3;1
197604;46;1
197605;44;1
197606;112.4;1
197607;85.1;1
197608;92.3;1
197609;67.4;1
197610;310.4;1
197611;8.8;1
197612;82.9;1
197701;182.1;1
197702;15.7;1
197703;25.1;1
197704;13.8;1
197705;30.5;1
197706;62.1;1
197707;68.7;1
197708;72.5;1
197709;56;1
197710;6.4;1
197711;64.7;1
197712;67.6;1
197801;159.6;1
197802;82;1
197803;479;1
197804;182;1
197805;66.8;1
197806;124.2;1
197807;179.8;1
197808;142.5;1
197809;47.6;1
197810;16.3;1
197811;74.9;1
197812;97.6;1
197901;158.2;1
197902;96.5;1
197903;283;1
197904;72.9;1
197905;71.6;1
197906;194.9;1
197907;182.5;1
197908;3.2;1
197909;6.3;1
197910;59.8;1
197911;58.2;1
197912;51.5;1
198001;147.4;1
198002;109.6;1
198003;75.7;1
198004;289.9;1
198005;86.3;1
198006;49;1
198007;61.7;1
198008;18.8;1
