# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98807001
# NOM_USUEL= HIENGHENE GEND.
# LATITUDE (°) = -20.688
# LONGITUDE(°)= 164.95
# ALTITUDE (m) = 22
# NUM_SERIE= MRR198807001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;170.6;1
195202;495.3;1
195203;553.4;1
195204;308.8;1
195205;68.6;1
195206;291.5;1
195207;334;1
195208;146.8;1
195209;27.1;1
195210;169.1;1
195211;203.7;1
195212;764;1
195301;137.1;1
195302;140.4;1
195303;42.7;1
195304;80;1
195305;67.3;1
195306;22.8;1
195307;48.7;1
195308;154.3;1
195309;90.2;1
195310;11.5;1
195311;32.7;1
195312;119.8;1
195401;505.5;1
195402;586.5;1
195403;387.5;1
195404;187;1
195405;343.8;1
195406;135.8;1
195407;73.5;1
195408;0;1
195409;90.4;1
195410;46;1
195411;328.2;1
195412;386.8;1
195501;81.7;1
195502;319.9;1
195503;296.7;1
195504;173.9;1
195505;144;1
195506;6;1
195507;40.2;1
195508;40.2;1
195509;236.4;1
195510;3.3;1
195511;84.3;1
195512;362.4;1
195601;688.1;1
195602;250.8;1
195603;477;1
195604;259;1
195605;120;1
195606;103.7;1
195607;28.6;1
195608;344.2;1
195609;263.4;1
195610;105.4;1
195611;67.4;1
195612;309.5;1
195701;536.2;1
195702;438.5;1
195703;60.9;1
195704;82.6;1
195705;21.3;1
195706;0;1
195707;6.2;1
195708;129.5;1
195709;11.6;1
195710;1.2;1
195711;64.6;1
195712;126.7;1
195801;691.7;1
195802;296.1;1
195803;474.5;1
195804;332.1;1
195805;14.8;1
195806;200;1
195807;64.7;1
195808;56.2;1
195809;293.4;1
195810;73.9;1
195811;42.7;1
195812;73;1
195901;628.4;1
195902;173.9;1
195903;313;1
195904;43.2;1
195905;101.1;1
195906;74.1;1
195907;113.6;1
195908;19.8;1
195909;18.9;1
195910;36;1
195911;303.3;1
195912;171.1;1
196001;221.6;1
196002;215.7;1
196003;429.9;1
196004;185.8;1
196005;467.1;1
196006;66.2;1
196007;161.1;1
196008;89.3;1
196009;39.4;1
196010;64.5;1
196011;72.3;1
196012;34.9;1
196101;269.7;1
196102;294.1;1
196103;287.3;1
196104;114.3;1
196105;173.4;1
196106;159.2;1
196107;157.4;1
196108;254.8;1
196109;39;1
196110;88.8;1
196111;147.3;1
196112;480.1;1
196201;231.2;1
196202;251.4;1
196203;106.6;1
196204;520.9;1
196205;375.1;1
196206;119.7;1
196207;145.7;1
196208;73.7;1
196209;15.8;1
196210;83.5;1
196211;180;1
196212;262.1;1
196301;502.7;1
196302;344;1
196303;250.2;1
196304;130.1;1
196305;331.9;1
196306;216;1
196307;122;1
196308;127.2;1
196309;31.5;1
196310;79.5;1
196311;58;1
196312;83.8;1
196401;423.8;1
196402;164.7;1
196403;343;1
196404;419.6;1
196405;247.6;1
196406;282;1
196407;7.6;1
196408;129.9;1
196409;12.8;1
196410;9.9;1
196411;198.1;1
196412;11.5;1
196501;132.7;1
196502;1107.6;1
196503;277.1;1
196504;80;1
196505;33.6;1
196506;296.9;1
196507;64.7;1
196508;17.5;1
196509;216.6;1
196510;62.1;1
196511;115.4;1
196512;367.8;1
196601;22.2;1
196602;471.4;1
196603;272.3;1
196604;95.4;1
196605;58.4;1
196606;226.7;1
196607;240.9;1
196608;14.9;1
196609;13;1
196610;98.7;1
196611;279.1;1
196612;135.9;1
196701;887.5;1
196702;378.3;1
196703;732.2;1
196704;315.6;1
196705;99.1;1
196706;92.8;1
196707;398.6;1
196708;104.5;1
196709;240.1;1
196710;112.7;1
196711;111;1
196712;210;1
196801;369;1
196802;160.3;1
196803;80.2;1
196804;117.3;1
196805;70.3;1
196806;88.1;1
196807;41.7;1
196808;33.9;1
196809;20.5;1
196810;12.9;1
196811;10.3;1
196812;153.6;1
196901;137.9;1
196902;426.2;1
196903;369.1;1
196904;33;1
196905;221.8;1
196906;255.9;1
196907;69;1
196908;121;1
196909;43.2;1
196910;6.6;1
196911;243.8;1
196912;154.7;1
197001;388.6;1
197002;107.3;1
197003;353.3;1
197004;101.7;1
197005;129;1
197006;173;1
197007;110;1
197008;237;1
197009;243.2;1
197010;284;1
197011;209.5;1
197012;223.6;1
197101;526.2;1
197102;444.6;1
197103;353.6;1
197104;238.6;1
197105;132.3;1
197106;200.1;1
197107;200.1;1
197108;19.8;1
197109;99.3;1
197110;5.1;1
197111;117.5;1
197112;60.8;1
197201;327.9;1
197202;343.9;1
197203;747.5;1
197204;52.2;1
197205;81.7;1
197206;217.9;1
197207;1.6;1
197208;9.4;1
197209;26.4;1
197210;39.4;1
197211;113.1;1
197212;40.9;1
197301;222.5;1
197302;205;1
197303;153;1
197304;27.8;1
197305;142.1;1
197306;15.6;1
197307;473.6;1
197308;58.2;1
197309;40.4;1
197310;129.4;1
197311;113.3;1
197312;120.6;1
197401;611.5;1
197402;490.3;1
197403;599.2;1
197404;78.9;1
197405;183.3;1
197406;259.4;1
197407;65.8;1
197408;4.6;1
197409;32.3;1
197410;246.1;1
197411;199.4;1
197412;59.1;1
197501;161.5;1
197502;177.4;1
197503;842.2;1
197504;624;1
197505;449;1
197506;517.8;1
197507;24.5;1
197508;161.7;1
197509;39;1
197510;43.3;1
197511;175;1
197512;371.7;1
197601;718.7;1
197602;282.5;1
197603;730.7;1
197604;71.2;1
197605;56.8;1
197606;176.8;1
197607;78.3;1
197608;114;1
197609;170.7;1
197610;246.1;1
197611;76.5;1
197612;362.6;1
197701;99;1
197702;175.3;1
197703;157.9;1
197704;43.1;1
197705;69.9;1
197706;52.8;1
197707;30.3;1
197708;148.5;1
197709;145;1
197710;8.1;1
197711;224.6;1
197712;151.4;1
197801;223.2;1
197802;271.6;1
197803;261.2;1
197804;429.5;1
197805;105.2;1
197806;114.4;1
197807;172.2;1
197808;239.8;1
197809;65.2;1
197810;42.9;1
197811;80.7;1
197812;289.1;1
197901;266.6;1
197902;147.2;1
197903;225.5;1
197904;129.5;1
197905;51.2;1
197906;118.5;1
197907;124.6;1
197908;3.4;1
197909;12;1
197910;256.5;1
197911;45.6;1
197912;54.4;1
198001;212.4;1
198002;600.9;1
198003;128.8;1
198004;133.4;1
198005;323.2;1
198006;50.4;1
198007;96.5;1
198008;9.2;1
198009;99.8;1
198010;20.7;1
198011;15.3;1
198012;117;1
198101;195.2;1
198102;202.7;1
198103;360.2;1
198104;88.4;1
