# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98808001
# NOM_USUEL= HOUAILOU P
# LATITUDE (°) = -21.278
# LONGITUDE(°)= 165.628
# ALTITUDE (m) = 11
# NUM_SERIE= MRR198808001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;178;1
195202;118.7;1
195203;379;1
195204;133.4;1
195205;53.5;1
195206;195.4;1
195207;262.2;1
195208;144.6;1
195209;49.1;1
195210;202.1;1
195211;258.5;1
195212;384.9;1
195301;182.5;1
195302;148;1
195303;72.7;1
195304;42.8;1
195305;76.4;1
195306;0;1
195307;42;1
195308;164.1;1
195309;69;1
195310;31;1
195311;14.4;1
195312;217.7;1
195401;446.5;1
195402;192.5;1
195403;234.1;1
195404;223.5;1
195405;339.3;1
195406;81.8;1
195407;71.8;1
195408;36.4;1
195409;98.1;1
195410;165.4;1
195411;235.3;1
195412;241.1;1
195501;51.7;1
195502;237.9;1
195503;516.5;1
195504;211.2;1
195505;154.7;1
195506;6.6;1
195507;38.2;1
195508;78.5;1
195509;168.2;1
195510;0;1
195511;26.4;1
195512;464.1;1
195601;374.8;1
195602;198.6;1
195603;184.6;1
195604;291.8;1
195605;87.1;1
195606;137.1;1
195607;40;1
195608;95.6;1
195609;302.4;1
195610;3;1
195611;37;1
195612;87.6;1
195701;584.6;1
195702;448.1;1
195703;32.4;1
195704;43.9;1
195705;19.1;1
195706;5.4;1
195707;53.6;1
195708;96.1;1
195709;6.7;1
195710;0;1
195711;72.8;1
195712;186.6;1
195801;427.1;1
195802;222.3;1
195803;295.5;1
195804;173.3;1
195805;41;1
195806;352;1
195807;43;1
195808;19;1
195809;96;1
195810;71.2;1
195811;52;1
195812;84;1
195901;727.5;1
195902;109.5;1
195903;214.5;1
195904;26;1
195905;85;1
195906;189.4;1
195907;92.5;1
195908;2;1
195909;21;1
195910;98;1
195911;148.5;1
195912;291.7;1
196001;111.7;1
196002;198.3;1
196003;177.2;1
196004;181.8;1
196005;326.3;1
196006;90.6;1
196007;160.3;1
196008;135.5;1
196009;96.7;1
196010;44.8;1
196011;146.9;1
196012;26.8;1
196101;129.1;1
196102;217.1;1
196103;325.5;1
196104;166.2;1
196105;100.2;1
196106;137.3;1
196107;165.1;1
196108;212.9;1
196109;45.2;1
196110;40;1
196111;54.1;1
196112;328.3;1
196201;218.4;1
196202;121.4;1
196203;63;1
196204;380.7;1
196205;279.2;1
196206;110.5;1
196207;159.9;1
196208;87;1
196209;14.8;1
196210;33.1;1
196211;133.6;1
196212;199;1
196301;649.8;1
196302;167.5;1
196303;318.5;1
196304;152.2;1
196305;242.6;1
196306;103.7;1
196307;57.9;1
196308;116.4;1
196309;29.9;1
196310;72.3;1
196311;21.9;1
196312;94.7;1
196401;153.8;1
196402;240.1;1
196403;255.2;1
196404;295.2;1
196405;246.8;1
196406;146.2;1
196407;12.9;1
196408;69.6;1
196409;1.1;1
196410;29.2;1
196411;248;1
196412;70.6;1
196501;166.7;1
196502;467.6;1
196503;346;1
196504;177.6;1
196505;25.9;1
196506;197.1;1
196507;63.7;1
196508;17;1
196509;149.3;1
196510;40.5;1
196511;27.8;1
196512;593.2;1
196601;21.7;1
196602;328.4;1
196603;199.2;1
196604;90.8;1
196605;22.3;1
196606;273;1
196607;309;1
196608;17.7;1
196609;4.3;1
196610;74.8;1
196611;157.1;1
196612;105;1
196701;688.6;1
196702;352.8;1
196703;774.1;1
196704;687.8;1
