# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98810001
# NOM_USUEL= GOMEN
# LATITUDE (°) = -20.667
# LONGITUDE(°)= 164.396
# ALTITUDE (m) = 15
# NUM_SERIE= MRR198810001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 197612
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;102.9;1
195202;116;1
195203;218.2;1
195204;74.1;1
195205;35.1;1
195206;33.9;1
195207;133.2;1
195208;71;1
195209;13.2;1
195210;45.5;1
195211;45.4;1
195212;134.2;1
195301;19.3;1
195302;162.9;1
195303;20.9;1
195304;22.5;1
195305;53.5;1
195306;30.2;1
195307;30.2;1
195308;30.5;1
195309;41.2;1
195310;7.4;1
195311;19.4;1
195312;70.6;1
195401;303;1
195402;231;1
195403;141;1
195404;32.2;1
195405;130.2;1
195406;46.8;1
195407;21.9;1
195408;7;1
195409;76.6;1
195410;52.4;1
195411;251.5;1
195412;162.6;1
195501;45.9;1
195502;90.8;1
195503;194;1
195504;140.2;1
195505;110.4;1
195506;13.6;1
195507;27;1
195508;49.5;1
195509;51.9;1
195510;14.4;1
195511;35.3;1
195512;292.5;1
195601;187.3;1
195602;181.8;1
195603;88.9;1
195604;156.7;1
195605;236.9;1
195606;60.4;1
195607;51.2;1
195608;56.8;1
195609;209.4;1
195610;21.3;1
195611;48.5;1
195612;186;1
195701;268.1;1
195702;221.4;1
195703;51.8;1
195704;31.5;1
195705;6.8;1
195706;40.4;1
195707;2.1;1
195708;97.7;1
195709;4.6;1
195710;1.4;1
195711;47.4;1
195712;113.2;1
195801;350.6;1
195802;158.4;1
195803;50.2;1
195804;22.3;1
195805;9.5;1
195806;57.8;1
195807;51;1
195808;1.2;1
195809;107.2;1
195810;42.4;1
195811;99.7;1
195812;11;1
195901;254.6;1
195902;48.8;1
195903;207;1
195904;16.2;1
195905;90.5;1
195906;17.6;1
195907;97.2;1
195908;28.8;1
195909;9.7;1
195910;5.5;1
195911;41.4;1
195912;207.6;1
196001;19.9;1
196002;64.5;1
196003;275.7;1
196004;111.9;1
196005;381.6;1
196006;44.8;1
196007;57.5;1
196008;111;1
196009;16.7;1
196010;7.6;1
196011;14.2;1
196012;19.6;1
196101;160.9;1
196102;306.8;1
196103;124;1
196104;41.1;1
196105;88.2;1
196106;91.6;1
196107;103.6;1
196108;202.6;1
196109;11.6;1
196110;104.2;1
196111;24.1;1
196112;199.2;1
196201;106.8;1
196202;161.6;1
196203;105.6;1
196204;215.1;1
196205;163.4;1
196206;33;1
196207;64.3;1
196208;68.7;1
196209;7.9;1
196210;44.5;1
196211;81;1
196212;115.7;1
196301;214.4;1
196302;239.3;1
196303;35.2;1
196304;76.3;1
196305;93.7;1
196306;97.8;1
196307;99;1
196308;46.7;1
196309;7.2;1
196310;9.7;1
196311;8.8;1
196312;21.6;1
196401;117.1;1
196402;197;1
196403;196.6;1
196404;140.4;1
