# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98810002
# NOM_USUEL= OUACO
# LATITUDE (°) = -20.837
# LONGITUDE(°)= 164.469
# ALTITUDE (m) = 11
# NUM_SERIE= MRR198810002
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : 199812
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;29.3;1
195202;80.8;1
195203;110.7;1
195204;88;1
195205;40.3;1
195206;124.3;1
195207;156.6;1
195208;103.9;1
195209;5;1
195210;69.8;1
195211;14.2;1
195212;108.3;1
195301;5.9;1
195302;111.8;1
195303;7.7;1
195304;37.4;1
195305;96.9;1
195306;53.3;1
195307;38;1
195308;66.5;1
195309;23.3;1
195310;0;1
195311;19;1
195312;8.1;1
195401;172.8;1
195402;248.3;1
195403;188.7;1
195404;34.3;1
195405;139.7;1
195406;61.3;1
195407;44.4;1
195408;11.3;1
195409;63;1
195410;55.1;1
195411;125.2;1
195412;194.7;1
195501;31.4;1
195502;142;1
195503;197.2;1
195504;201;1
195505;5.5;1
195506;25.7;1
195507;13.6;1
195508;28.4;1
195509;22.3;1
195510;34.3;1
195511;33.1;1
195512;306.3;1
195601;232.1;1
195602;351.7;1
195603;56.9;1
195604;232;1
195605;199.7;1
195606;42.9;1
195607;18.4;1
195608;132.3;1
195609;284.3;1
195610;6.1;1
195611;40.4;1
195612;244.6;1
195701;258.7;1
195702;162.2;1
195703;9.6;1
195704;0;1
195705;13.5;1
195706;31.9;1
195707;1.3;1
195708;108.3;1
195709;0;1
195710;0;1
195711;8.6;1
195712;0;1
195801;227.2;1
195802;61.1;1
195803;81.7;1
195804;30.6;1
195805;12.9;1
195806;112.2;1
195807;74.1;1
195808;0;1
195809;146.4;1
195810;77.2;1
195811;15.9;1
195812;0;1
195901;154;1
195902;57;1
195903;195.6;1
195904;18.4;1
195905;125;1
195906;0;1
195907;100.5;1
195908;22.3;1
195909;0.6;1
195910;2.8;1
195911;8.6;1
195912;222.4;1
196001;0;1
196002;40.4;1
196003;197.9;1
196004;63;1
196005;422.1;1
196006;58.2;1
196007;50.9;1
196008;49;1
196009;3.9;1
196010;0;1
196011;10.4;1
196012;7.4;1
196101;160.5;1
196102;140.9;1
196103;50.9;1
196104;22.7;1
196105;98.6;1
196106;54.5;1
196107;114.6;1
196108;259.2;1
196109;0;1
196110;90.3;1
196111;4.5;1
196112;170.8;1
196201;29;1
196202;135.7;1
196203;109.4;1
196204;204.4;1
196205;257.2;1
196206;20.2;1
196207;80.3;1
196208;93.1;1
196209;0;1
196210;39.8;1
196211;106.1;1
196212;92.8;1
196301;122.8;1
196302;29.4;1
196303;78.4;1
196304;66.4;1
196305;183.8;1
196306;80.9;1
196307;87;1
196308;22.4;1
196309;45;1
196310;14.9;1
196311;0;1
196312;12.9;1
196401;76;1
196402;121.8;1
196403;148.6;1
196404;116.2;1
196405;0;1
196406;140.2;1
196407;22.3;1
196408;116.3;1
196409;0;1
196410;53.3;1
196411;42.6;1
196412;61.1;1
196501;48.6;1
196502;410.9;1
196503;68.6;1
196504;0;1
196505;0;1
196506;66.2;1
196507;46.3;1
196508;0;1
196509;9.3;1
196510;3.3;1
196511;8.8;1
196512;129.6;1
196601;35.3;1
196602;144.6;1
196603;89.2;1
196604;0;1
196605;24;1
196606;86;1
196607;87;1
196608;6.2;1
196609;3.2;1
196610;74.3;1
196611;93;1
196612;5.9;1
196701;276.1;1
196702;76.2;1
196703;235.2;1
196704;95.1;1
196705;132.5;1
196706;132.3;1
196707;137.2;1
196708;34.6;1
196709;195.8;1
196710;34.3;1
196711;161.1;1
196712;113.6;1
196801;220.9;1
196802;15.9;1
196803;89.6;1
196804;102.6;1
196805;52.1;1
196806;67.6;1
196807;9.8;1
196808;62.5;1
196809;3.1;1
196810;0;1
196811;3.1;1
196812;149.3;1
196901;19.9;1
196902;352.9;1
196903;77.2;1
196904;6.5;1
196905;22.9;1
196906;293.6;1
196907;12.7;1
196908;0;1
196909;15.2;1
196910;0;1
196911;77.6;1
196912;29.4;1
197001;149.5;1
197002;8.2;1
197003;253.9;1
197004;57.5;1
197005;107.8;1
197006;123.4;1
197007;118.5;1
197008;24.3;1
197009;11.5;1
197010;117;1
197011;78.4;1
197012;7;1
197101;166;1
197102;168.2;1
197103;198.1;1
197104;92.8;1
197105;80.3;1
197106;99.7;1
197107;53.5;1
197108;0;1
197109;50.2;1
197110;8;1
197111;97.2;1
197112;57.5;1
197201;162.1;1
197202;247.8;1
197203;142.4;1
197204;10.4;1
197205;36.5;1
197206;182.6;1
197207;13.7;1
197208;16.4;1
197209;13;1
197210;8.9;1
197211;15.1;1
197212;1.3;1
197301;47.7;1
197302;29;1
197303;49;1
197304;0;1
197305;47.2;1
197306;45.3;1
197307;144.8;1
197308;53.5;1
197309;66;1
197310;33.2;1
197311;37.1;1
197312;31.2;1
197401;236.9;1
197402;357.2;1
197403;157;1
197404;50.4;1
197405;30.6;1
197406;79.8;1
197407;132.6;1
197408;8.6;1
197409;31.9;1
197410;122;1
197411;54.9;1
197412;3.3;1
197501;185.6;1
197502;143.2;1
197503;249.5;1
197504;172.2;1
197505;63.2;1
197506;131.2;1
197507;24.8;1
197508;52.7;1
197509;51.2;1
197510;32.4;1
197511;26.5;1
197512;169.7;1
197601;350;1
197602;53.2;1
197603;267.1;1
197604;46.8;1
197605;27.7;1
197606;49.3;1
197607;58.1;1
197608;34.4;1
197609;163.7;1
197610;181.6;1
197611;30.9;1
197612;67.4;1
197701;29.8;1
197702;104.6;1
197703;3.9;1
197704;29;1
197705;26.1;1
197706;67.9;1
197707;65.2;1
197708;55;1
197709;88.1;1
197710;9.4;1
197711;32.8;1
197712;89.7;1
197801;17;1
197802;129.3;1
197803;54.3;1
197804;23.5;1
197805;98.6;1
197806;97.8;1
197807;97.8;1
197808;38.4;1
197809;11.9;1
197810;13.7;1
197811;77.9;1
197812;86.8;1
197901;52.9;1
197902;67.2;1
197903;88.1;1
197904;69.1;1
197905;63.6;1
197906;81.6;1
197907;46;1
197908;0;1
197909;9.2;1
197910;5.9;1
197911;27;1
197912;24.8;1
198001;209.8;1
198002;273.1;1
198003;72.8;1
198004;56.6;1
198005;62.1;1
198006;8.2;1
198007;79.5;1
198008;13.7;1
198009;38.7;1
198010;4.9;1
198011;0;1
198012;27.9;1
198101;134.2;1
198102;146.2;1
198103;144.8;1
198104;127.4;1
198105;53.7;1
198106;46;1
198107;6.9;1
198108;39.3;1
198109;57;1
198110;28.6;1
198111;105.9;1
198112;534.6;1
198201;27.3;1
198202;250.6;1
198203;179;1
198204;36.9;1
198205;21.1;1
198206;139.8;1
198207;51.7;1
198208;12.7;1
198209;1.8;1
198210;4.8;1
198211;43.5;1
198212;118.2;1
198301;72.5;1
198302;93.4;1
198303;178.8;1
198304;126.9;1
198305;0;1
198306;60.5;1
198307;12.9;1
198308;44.8;1
198309;0;1
198310;48.4;1
198311;18.1;1
198312;73.3;1
198401;27.9;1
198402;74.5;1
198403;15.3;1
198404;49;1
198405;227.6;1
198406;75.2;1
198407;12.3;1
198408;19.6;1
198409;22.7;1
198410;123.2;1
198411;205.4;1
198412;5.5;1
198501;36.8;1
198502;138.5;1
198503;131.9;1
198504;109.1;1
198505;50.9;1
198506;75.4;1
198507;79.7;1
198508;68.6;1
198509;176.7;1
198510;17.2;1
198511;45.6;1
198512;31.2;1
198601;139.2;1
198602;100.9;1
198603;160.8;1
198604;34.7;1
198605;208.1;1
198606;74.8;1
198607;21.3;1
198608;24.5;1
198609;7.4;1
198610;0;1
198611;63.7;1
198612;100.9;1
198701;9.8;1
198702;24.5;1
198703;52.7;1
198704;49.9;1
198705;12.3;1
198706;12.5;1
198707;68.4;1
198708;49.5;1
198709;7.7;1
198710;26.7;1
198711;65.4;1
198712;21.2;1
198801;246.3;1
198802;164.2;1
198803;40.6;1
198804;64.5;1
198805;218.2;1
198806;88.8;1
198807;73.3;1
198808;17.3;1
198809;101.3;1
198810;5.1;1
198811;414.4;1
198812;195.1;1
198901;498.7;1
198902;169.3;1
198903;15.7;1
198904;107.6;1
198905;100.7;1
198906;122.3;1
198907;83.7;1
198908;153.5;1
198909;62;1
198910;6.2;1
198911;12;1
198912;91.5;1
199001;364.4;1
199002;170.3;1
199003;181.1;1
199004;141.4;1
199005;9.2;1
199006;114.5;1
199007;53.3;1
199008;105.8;1
199009;12.5;1
199010;39.8;1
199011;43;1
199012;75.1;1
199101;25;1
199102;92.4;1
199103;248.5;1
199104;16.8;1
199105;51.8;1
199106;123.2;1
199107;33;1
199108;3.8;1
199109;15.8;1
199110;5;1
199111;8.1;1
199112;46.6;1
199201;65.6;1
199202;257.3;1
199203;401.1;1
199204;69.1;1
199205;2.5;1
199206;245.9;1
199207;10.5;1
199208;32.7;1
199209;20.6;1
199210;9.1;1
199211;39.7;1
199212;6;1
199301;10.3;1
199302;46.2;1
199303;115.9;1
199304;3.9;1
199305;11;1
199306;9.7;1
199307;18.1;1
199308;5.9;1
199309;0.1;1
199310;3.9;1
199311;49.8;1
199312;51.7;1
199401;166.2;1
199402;88.6;1
199403;35.3;1
199404;37.5;1
199405;2.3;1
199406;38;1
199407;36.6;1
199408;47.7;1
199409;3.2;1
199410;0;1
199411;7;1
199412;17.9;1
199501;114.8;1
199502;19.6;1
199503;343.4;1
199504;61.4;1
199505;58.2;1
199506;47.4;1
199507;11.5;1
199508;106.4;1
199509;2.3;1
199510;16.1;1
199511;5.3;1
199512;282.9;1
199601;114.2;1
199602;59.9;1
199603;400;1
199604;41.4;1
199605;56.5;1
199606;54.8;1
199607;105;1
199608;95.1;1
199609;82.2;1
199610;17.6;1
199611;36.3;1
199612;20.3;1
199701;232;1
199702;67.3;1
199703;28.1;1
199704;9.1;1
199705;151.6;1
199706;94.2;1
199707;217.5;1
199708;19.1;1
199709;4.5;1
199710;0;1
199711;44.8;1
199712;44.7;1
199801;12.1;1
199802;63.2;1
199803;52.7;1
199804;89.5;1
199805;164.8;1
199806;53.8;1
199807;47.5;1
199808;58.5;1
199809;21.9;1
199810;43.7;1
199811;168.6;1
199812;86.3;1
199901;333.1;1
199902;422.2;1
199903;87.7;1
199904;137.5;1
199905;184;1
199906;27.4;1
199907;191.4;1
199908;95;1
199909;71.5;1
199910;14.3;1
199911;41.4;1
199912;53.7;1
200001;211;1
200002;67;1
200003;58.6;1
200004;84.5;1
200005;76.9;1
200006;155.5;1
200007;11.7;1
200008;28;1
200009;2.2;1
200010;33.3;1
200011;30.4;1
200012;74.5;1
200101;65.3;1
200102;227.7;1
200103;162.8;1
200104;35.9;1
200105;30.9;1
200106;78.4;1
200107;35.9;1
200108;70.4;1
200109;8.2;1
200110;71;1
200111;28.8;1
200112;38.8;1
200201;98.6;1
200202;123.2;1
200203;179.8;1
200204;247.3;1
200205;21.9;1
200206;44.3;1
200207;75.2;1
200208;55.1;1
200209;3.3;1
200210;5.8;1
200211;0.1;1
200212;31.7;1
200301;37;1
200302;35.1;1
200303;226.4;1
200304;64.4;1
200305;74.5;1
200306;92.1;1
200307;76.6;1
200308;5.5;1
200309;29.8;1
200310;47.9;1
200311;7;1
200312;145.4;1
200401;14.2;1
200402;24.1;1
200403;235.7;1
200404;18.4;1
200405;71.2;1
200406;178.9;1
200407;11;1
200408;7.3;1
200409;11.5;1
200410;1.3;1
200411;10.3;1
200412;42.1;1
200501;196.4;1
200502;63.3;1
200503;144.8;1
200504;45.3;1
200505;219.6;1
200506;13.8;1
200507;54.1;1
200508;124;1
200509;3.1;1
200510;1.1;1
200511;13;1
200512;0.3;1
200601;235;1
200602;100.1;1
200603;205.5;1
200604;158.2;1
200605;156.4;1
200606;14.2;1
200607;7.8;1
200608;45.1;1
200609;17;1
200610;3.5;1
200611;75.9;1
200612;10.3;1
200701;28.3;1
200702;125.5;1
200703;107.7;1
200704;59.4;1
200705;49.8;1
200706;239;1
200707;15.3;1
200708;16.2;1
200709;72.9;1
200710;28.1;1
200711;2.5;1
200712;248.8;1
200801;141.9;1
200802;225.4;1
200803;369;1
200804;219.1;1
200805;47.1;1
200806;3.8;1
200807;56;1
200808;96.1;1
200809;50.8;1
200810;36.8;1
200811;91.4;1
200812;44.6;1
200901;94.1;1
200902;281;1
200903;377.2;1
200904;38.6;1
200905;169;1
200906;91.6;1
200907;134.1;1
200908;10.2;1
200909;33.6;1
200910;4.5;1
200911;26.7;1
200912;40.5;1
201001;226.2;1
201002;33.3;1
201003;17.5;1
201004;49.3;1
201005;137.6;1
201006;63.6;1
201007;11.6;1
201008;132.5;1
201009;3.9;1
201010;140.2;1
201011;35;1
201012;115.6;1
201101;209.9;1
201102;38;1
201103;83.8;1
201104;138;1
201105;118;1
201106;14.3;1
201107;41.7;1
201108;112.9;1
201109;19.6;1
201110;24.1;1
201111;0.8;1
201112;191.1;1
201201;57.7;1
201202;136.2;1
201203;180.8;1
201204;9.9;1
201205;10.7;1
201206;146.3;1
201207;28.2;1
201208;109.4;1
201209;124.9;1
201210;23.9;1
201211;75;1
201212;111.7;1
201301;188.9;1
201302;11.7;1
201303;67.1;1
201304;82.1;1
201305;25.7;1
201306;62.6;1
201307;36.3;1
201308;19;1
201309;41.7;1
201310;24.1;1
201311;87.1;1
201312;5.8;1
201401;267;1
201402;161;1
201403;22.7;1
201404;7.1;1
201405;56.3;1
201406;16.3;1
201407;25.8;1
201408;53.3;1
201409;27.9;1
201410;59.5;1
201411;27.3;1
201412;122.2;1
201501;168.4;1
201502;204.4;1
201503;52.6;1
201504;183;1
201505;79.6;1
201506;41.3;1
201507;99.9;1
201508;12.8;1
201509;6.1;1
201510;7.4;1
201511;55.7;1
201512;51.6;1
201601;2.3;1
201602;72.5;1
201603;77.9;1
201604;14.8;1
201605;3.5;1
201606;83.4;1
201607;28.1;1
201608;57.5;1
201609;0.3;1
201610;9.4;1
201611;230.9;1
201612;18.1;1
201701;283.6;1
201702;61.4;1
201703;29.2;1
201704;99.3;1
201705;22.6;1
201706;12.1;1
201707;5.1;1
201708;20;1
201709;0.5;1
201710;4.2;1
201711;9.4;1
201712;36.5;1
201801;306;0
201802;119.9;0
201803;74.8;0
201804;56.7;0
201805;40.7;0
201806;55.5;0
201807;40.9;0
201808;89.8;0
201809;2.1;0
201810;37.7;0
201811;32.2;0
201812;37.1;0
201901;38.5;0
201902;145.6;0
201903;60;0
201904;51.4;0
201905;8.1;0
201906;73;0
201907;8.3;0
201908;51;0
201909;35.2;0
201910;1.7;0
201911;0.6;0
201912;21.3;0
202001;17.9;0
202002;212.7;0
202003;170.7;0
202004;101.1;0
202005;129.8;0
202006;2.2;0
202007;20.8;0
202008;37.2;0
202009;11.2;0
202010;33.8;0
202011;37.9;0
202012;161;0
202101;549.4;0
202102;130.3;0
202103;41.6;0
202104;170;0
202105;54;0
202106;6;0
202107;17;0
202108;4.3;0
202109;20.2;0
202110;124.7;0
202111;6.4;0
202112;240.9;0
202201;104.3;0
202202;218.9;0
202203;135.6;0
202204;279.7;0
202205;19.8;0
202206;108;0
202207;216.6;0
202208;148.1;0
202209;68.4;0
202210;34;0
202211;43.2;0
202212;320;0
