# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98811001
# NOM_USUEL= KONE
# LATITUDE (°) = -21.051
# LONGITUDE(°)= 164.834
# ALTITUDE (m) = 9
# NUM_SERIE= MRR198811001
# Amplitude minimale détectable de la série = 0.16
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;84;1
195202;168.7;1
195203;152.4;1
195204;70;1
195205;70;1
195206;104.3;1
195207;151.9;1
195208;121.4;1
195209;8.8;1
195210;92;1
195211;83.4;1
195212;104.1;1
195301;40;1
195302;140.7;1
195303;26.3;1
195304;21.4;1
195305;112.1;1
195306;27.1;1
195307;57.2;1
195308;65.6;1
195309;72.9;1
195310;3.1;1
195311;65.5;1
195312;121.6;1
195401;141.3;1
195402;218.1;1
195403;81.3;1
195404;32.5;1
195405;157.7;1
195406;110.7;1
195407;35;1
195408;16.1;1
195409;48.9;1
195410;45.6;1
195411;214.1;1
195412;193.6;1
195501;83.5;1
195502;198.4;1
195503;322.9;1
195504;88.4;1
195505;107.4;1
195506;38.6;1
195507;52.3;1
195508;65.7;1
195509;77.3;1
195510;71.5;1
195511;83.9;1
195512;314.6;1
195601;265.9;1
195602;313.9;1
195603;108.9;1
195604;289.1;1
195605;173.7;1
195606;51.3;1
195607;49.9;1
195608;74.7;1
195609;231.2;1
195610;56.1;1
195611;42;1
195612;232.2;1
195701;236;1
195702;146.7;1
195703;63;1
195704;23.1;1
195705;13.2;1
195706;34.9;1
195707;15.8;1
195708;96.6;1
195709;3.9;1
195710;1.3;1
195711;30.8;1
195712;106.7;1
195801;324.5;1
195802;41.7;1
195803;50.5;1
195804;81.8;1
195805;6.6;1
195806;96.2;1
195807;74.7;1
195808;18.6;1
195809;132.5;1
195810;43.5;1
195811;55.1;1
195812;21.3;1
195901;276.8;1
195902;93.6;1
195903;136.2;1
195904;21.5;1
195905;86.9;1
195906;32.6;1
195907;112;1
