# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98812001
# NOM_USUEL= KOUMAC
# LATITUDE (°) = -20.559
# LONGITUDE(°)= 164.284
# ALTITUDE (m) = 25
# NUM_SERIE= MRR198812001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195401 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195401 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195401;244.6;1
195402;294.6;1
195403;130.1;1
195404;45.4;1
195405;167;1
195406;61.8;1
195407;19.8;1
195408;5.3;1
195409;80.5;1
195410;45.6;1
195411;148.4;1
195412;173.7;1
195501;3.9;1
195502;81.9;1
195503;111.1;1
195504;180.4;1
195505;108.9;1
195506;12.1;1
195507;18.4;1
195508;39.7;1
195509;44.4;1
195510;31.8;1
195511;54.1;1
195512;299.3;1
195601;253.4;1
195602;208.8;1
195603;104.7;1
195604;133.8;1
195605;208.1;1
195606;40.8;1
195607;20.3;1
195608;91.9;1
195609;236.9;1
195610;14.7;1
195611;86.9;1
195612;129.8;1
195701;186.7;1
195702;103.4;1
195703;34.8;1
195704;16.2;1
195705;22.1;1
195706;25.4;1
195707;0.5;1
195708;110;1
195709;3.3;1
195710;1.3;1
195711;16.2;1
195712;60.7;1
195801;312.7;1
195802;144;1
195803;244.6;1
195804;83.2;1
195805;10;1
195806;65.9;1
195807;53;1
195808;0;1
195809;93.8;1
195810;20.9;1
195811;33.8;1
195812;15.1;1
195901;230.1;1
195902;18.9;1
195903;230;1
195904;20.3;1
195905;97.9;1
195906;15.2;1
195907;91.9;1
195908;19.9;1
195909;23.1;1
195910;5.3;1
195911;35;1
195912;192.6;1
196001;45.4;1
196002;52;1
196003;208.1;1
196004;110.6;1
196005;485.2;1
196006;50.6;1
196007;62;1
196008;33.5;1
196009;15.5;1
196010;9.6;1
196011;20.7;1
196012;15.9;1
196101;192.6;1
196102;227.7;1
196103;174.3;1
196104;89.3;1
196105;81.2;1
196106;65.9;1
196107;93.2;1
196108;193.6;1
196109;10.8;1
196110;124;1
196111;66.1;1
196112;187.3;1
196201;157.8;1
196202;206;1
196203;97.7;1
196204;146;1
196205;160.5;1
196206;42.4;1
196207;75.3;1
196208;78;1
196209;23.7;1
196210;39.9;1
196211;80.2;1
196212;144.1;1
196301;216.2;1
196302;158.1;1
196303;81.7;1
196304;72.4;1
196305;130.3;1
196306;119.3;1
196307;114.6;1
196308;59.2;1
196309;20.6;1
196310;31.6;1
196311;0.6;1
196312;27.5;1
196401;97.6;1
196402;49.7;1
196403;121.9;1
196404;117.4;1
196405;18.8;1
196406;143.6;1
196407;5.2;1
196408;150.6;1
196409;0.2;1
196410;54.1;1
196411;170.1;1
196412;37.8;1
196501;33.2;1
196502;472.7;1
196503;81;1
196504;9.1;1
196505;9;1
196506;58.4;1
196507;42;1
196508;7.2;1
196509;41.9;1
196510;0;1
196511;6.8;1
196512;138.6;1
196601;80.6;1
196602;289.9;1
196603;96.7;1
196604;20.8;1
196605;18;1
196606;83;1
196607;66;1
196608;5.1;1
196609;0.8;1
196610;72.3;1
196611;52.9;1
196612;23.2;1
196701;377;1
196702;169.6;1
196703;180.3;1
196704;159.1;1
196705;74.8;1
196706;99.5;1
196707;161.3;1
196708;29.7;1
196709;152.9;1
196710;30.6;1
196711;95.7;1
196712;128.4;1
196801;218.9;1
196802;49.4;1
196803;78.4;1
196804;173;1
196805;34.3;1
196806;77.5;1
196807;4.3;1
196808;41;1
196809;4.8;1
196810;0;1
196811;3.1;1
196812;58.6;1
196901;71.7;1
196902;449.6;1
196903;81.5;1
196904;10.8;1
196905;14.8;1
196906;83.6;1
196907;5;1
196908;76.2;1
196909;20.3;1
196910;0;1
196911;56.8;1
196912;18.9;1
197001;150.5;1
197002;41.4;1
197003;196.1;1
197004;45.6;1
197005;88.9;1
197006;145.6;1
197007;71.7;1
197008;27.1;1
197009;17.4;1
197010;94.9;1
197011;101.3;1
197012;20.6;1
197101;121.4;1
197102;241.3;1
197103;154.3;1
197104;113.1;1
197105;91.4;1
197106;82.3;1
197107;68.2;1
197108;6.5;1
197109;87.9;1
197110;10;1
197111;82.7;1
197112;35.2;1
197201;446.4;1
197202;460.6;1
197203;218.1;1
197204;17.2;1
197205;16.2;1
197206;103.2;1
197207;7.3;1
197208;7.4;1
197209;16.3;1
197210;9.6;1
197211;24.1;1
197212;16.5;1
197301;78.1;1
197302;76.4;1
197303;102.2;1
197304;1.4;1
197305;30.4;1
197306;7.9;1
197307;101.3;1
197308;32.3;1
197309;13.7;1
197310;23.5;1
197311;25;1
197312;93.9;1
197401;248.3;1
197402;428.9;1
197403;205.3;1
197404;23.3;1
197405;51.7;1
197406;41.7;1
197407;112;1
197408;18.2;1
197409;43.7;1
197410;124.4;1
197411;88.1;1
197412;8.1;1
197501;77.5;1
197502;106.5;1
197503;265;1
197504;166.4;1
197505;53.5;1
197506;90.3;1
197507;19.5;1
197508;53;1
197509;11;1
197510;26.8;1
197511;48.8;1
197512;204.7;1
197601;577.7;1
197602;99.7;1
197603;312.2;1
197604;54.6;1
197605;23;1
197606;51.1;1
197607;57.2;1
197608;28.8;1
197609;184.5;1
197610;176.7;1
197611;82.2;1
197612;232.8;1
197701;46.7;1
197702;79.4;1
197703;28.7;1
197704;17.9;1
197705;26.3;1
197706;53.2;1
197707;17.7;1
197708;57.9;1
197709;92.4;1
197710;0;1
197711;49.4;1
197712;77.9;1
197801;18.7;1
197802;129.5;1
197803;54;1
197804;109;1
197805;55.5;1
197806;82.3;1
197807;121.1;1
197808;63.6;1
197809;12.9;1
197810;9.4;1
197811;34.1;1
197812;68.2;1
197901;94;1
197902;124;1
197903;82.3;1
197904;50.1;1
197905;71.8;1
197906;40.7;1
197907;30;1
197908;2.9;1
197909;1.6;1
197910;6;1
197911;16.8;1
197912;62.1;1
198001;66;1
198002;243.6;1
198003;94.5;1
198004;73;1
198005;45.2;1
198006;6.3;1
198007;72.3;1
198008;6;1
198009;66.6;1
198010;11.7;1
198011;2.5;1
198012;32.1;1
198101;87.6;1
198102;121.6;1
198103;161.1;1
198104;22.2;1
198105;71;1
198106;39.4;1
198107;20.7;1
198108;16.3;1
198109;22;1
198110;15.5;1
198111;94.9;1
198112;489.1;1
198201;89.2;1
198202;169.2;1
198203;148.6;1
198204;87.3;1
198205;15.3;1
198206;76.1;1
198207;49.8;1
198208;3.4;1
198209;1;1
198210;3;1
198211;47.8;1
198212;104;1
198301;212.1;1
198302;75.1;1
198303;89.9;1
198304;54.2;1
198305;18;1
198306;48.1;1
198307;10;1
198308;37;1
198309;2.9;1
198310;54;1
198311;43;1
198312;36.3;1
198401;82.9;1
198402;75.8;1
198403;11.3;1
198404;52;1
198405;138.8;1
198406;60.3;1
198407;9.5;1
198408;4.9;1
198409;29.1;1
198410;95.4;1
198411;106.6;1
198412;56.8;1
198501;69.5;1
198502;143.1;1
198503;167.5;1
198504;118.8;1
198505;56.3;1
198506;75.4;1
198507;59.5;1
198508;49.3;1
198509;130.6;1
198510;11.6;1
198511;32.9;1
198512;50.8;1
198601;199.6;1
198602;123.3;1
198603;139.3;1
198604;14.4;1
198605;176.3;1
198606;81.6;1
198607;16.1;1
198608;18.3;1
198609;4.4;1
198610;1;1
198611;100.9;1
198612;82.1;1
198701;19.6;1
198702;66.2;1
198703;52.7;1
198704;14.1;1
198705;9;1
198706;5;1
198707;28.4;1
198708;43.6;1
198709;13;1
198710;96.1;1
198711;136.3;1
198712;9.7;1
198801;138;1
198802;117.5;1
198803;78.3;1
198804;41.9;1
198805;181.1;1
198806;90.6;1
198807;69.6;1
198808;17.2;1
198809;79.7;1
198810;5.9;1
198811;176.7;1
198812;101.4;1
