# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98813001
# NOM_USUEL= LA FOA
# LATITUDE (°) = -21.701
# LONGITUDE(°)= 165.815
# ALTITUDE (m) = 12
# NUM_SERIE= MRR198813001
# Amplitude minimale détectable de la série = 0.15
# Période homogénéisée : 195201 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  195201 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
195201;173.9;1
195202;159.1;1
195203;174.7;1
195204;51.7;1
195205;39.4;1
195206;104.5;1
195207;107.2;1
195208;99.2;1
195209;41.3;1
195210;114.8;1
195211;29.9;1
195212;76.6;1
195301;48.7;1
195302;174.7;1
195303;57.4;1
195304;58;1
195305;56.9;1
195306;18;1
195307;59.9;1
195308;56.3;1
195309;86.5;1
195310;20;1
195311;35.1;1
195312;77.6;1
195401;212.8;1
195402;60.2;1
195403;98.3;1
195404;71.6;1
195405;108.3;1
195406;132.3;1
195407;37.2;1
195408;14.4;1
195409;49.3;1
195410;102;1
195411;70.2;1
195412;174.6;1
195501;89.1;1
195502;101.6;1
195503;462.1;1
195504;21.2;1
195505;78.7;1
195506;25.9;1
195507;52.8;1
195508;66.2;1
195509;234.7;1
195510;87;1
195511;51.1;1
195512;444.3;1
195601;270.2;1
195602;276.3;1
195603;80;1
195604;191.6;1
195605;140.5;1
195606;156.8;1
195607;46.2;1
195608;94.5;1
195609;166.8;1
195610;42.7;1
195611;65;1
195612;142.1;1
195701;415.7;1
195702;69.1;1
195703;77.7;1
195704;45.2;1
195705;35.2;1
195706;30.7;1
195707;29.6;1
195708;89.7;1
195709;8.7;1
195710;2;1
195711;52.1;1
195712;43.7;1
195801;353.7;1
195802;48.4;1
195803;141.4;1
195804;66.6;1
195805;6;1
195806;82.2;1
195807;116.8;1
195808;19.8;1
195809;100.4;1
195810;42.3;1
195811;38.9;1
195812;45.6;1
195901;334;1
195902;118.2;1
195903;204.3;1
195904;29.9;1
195905;58.2;1
195906;55.1;1
195907;53.9;1
195908;20.2;1
195909;28.9;1
195910;38.2;1
195911;95.9;1
195912;152.5;1
196001;36.3;1
196002;110.8;1
196003;223.8;1
196004;131.1;1
196005;259.6;1
196006;90.7;1
196007;94;1
196008;87.6;1
196009;52.8;1
196010;9.3;1
196011;66.7;1
196012;32.8;1
196101;66.4;1
196102;205.4;1
196103;307.7;1
196104;102;1
196105;50.6;1
196106;94;1
196107;112.5;1
196108;292.5;1
196109;55.8;1
196110;37.2;1
196111;60.9;1
196112;128.8;1
196201;165.4;1
196202;122.3;1
196203;77.3;1
196204;264;1
196205;212.3;1
196206;38.2;1
196207;180.1;1
196208;119.2;1
196209;9.6;1
196210;12.2;1
196211;87.2;1
196212;54.8;1
196301;142.4;1
196302;95;1
196303;90.8;1
196304;199.6;1
196305;70.8;1
196306;58.5;1
196307;45.3;1
196308;38.5;1
196309;23.6;1
196310;17.2;1
196311;0.8;1
196312;11.8;1
196401;73.2;1
196402;298.5;1
196403;73.1;1
196404;146.8;1
196405;49.5;1
196406;396.5;1
196407;24.1;1
196408;61.5;1
196409;5.2;1
196410;26.3;1
196411;134.7;1
196412;53.4;1
196501;197.9;1
196502;155.8;1
196503;82.7;1
196504;10.5;1
196505;1;1
196506;83.8;1
196507;35.5;1
196508;31.7;1
196509;37.9;1
196510;0.7;1
196511;3.7;1
196512;118.4;1
196601;33.8;1
196602;212.2;1
196603;98.5;1
196604;51;1
196605;38.8;1
196606;142.9;1
196607;148.1;1
196608;4.8;1
196609;17.9;1
196610;93.7;1
196611;69.9;1
196612;116.3;1
196701;340.2;1
196702;142;1
196703;346.8;1
196704;166.2;1
196705;180.6;1
196706;123.3;1
196707;185.4;1
196708;110.3;1
196709;202.1;1
196710;73.6;1
196711;249;1
196712;172.9;1
196801;244.8;1
196802;56;1
196803;125.8;1
196804;99;1
196805;46.4;1
196806;78.6;1
196807;23.7;1
196808;48.7;1
196809;9.3;1
196810;8;1
196811;12.5;1
196812;97.5;1
196901;4.2;1
196902;359.4;1
196903;159.2;1
196904;8.5;1
196905;93;1
196906;76.9;1
196907;14.7;1
196908;42.1;1
196909;42.9;1
196910;7.9;1
196911;41.7;1
196912;22.7;1
197001;102.9;1
197002;28.4;1
197003;105.4;1
197004;151.5;1
197005;54.7;1
197006;99.5;1
197007;70.7;1
197008;87.1;1
197009;37.3;1
197010;71.7;1
197011;152.8;1
197012;7.5;1
197101;275.6;1
197102;218.8;1
197103;301.4;1
197104;67.4;1
197105;95.8;1
197106;122.8;1
197107;71.4;1
197108;4.1;1
197109;37.8;1
197110;18.1;1
197111;119.1;1
197112;19.2;1
197201;308.9;1
197202;305.1;1
197203;208.8;1
197204;28.8;1
197205;23.4;1
197206;214;1
197207;26.5;1
197208;41.9;1
197209;23.2;1
197210;50.5;1
197211;17.1;1
197212;31.5;1
197301;61.3;1
197302;40.1;1
197303;68.4;1
197304;3.8;1
197305;21.4;1
197306;38.9;1
197307;165.6;1
197308;41.7;1
197309;33.3;1
197310;22;1
197311;31.4;1
197312;102;1
197401;245;1
197402;459.6;1
197403;73.9;1
197404;118.2;1
197405;19.5;1
197406;94.1;1
197407;113.7;1
197408;12.3;1
197409;56.4;1
197410;321.8;1
197411;162.1;1
197412;32.8;1
197501;308.7;1
197502;331.7;1
197503;345.8;1
197504;196.1;1
197505;73.2;1
197506;123.3;1
197507;36.2;1
197508;46.4;1
197509;24.9;1
197510;48.7;1
197511;30.5;1
197512;154.7;1
197601;369.4;1
197602;34.8;1
197603;132.5;1
197604;62.9;1
197605;48.3;1
197606;44.8;1
197607;50.7;1
197608;70.5;1
197609;100.8;1
197610;158.5;1
197611;20;1
197612;55.2;1
197701;93.4;1
197702;115.9;1
197703;38.8;1
197704;12.2;1
197705;33.4;1
197706;70.5;1
197707;72.8;1
197708;50.9;1
197709;59.6;1
197710;7.6;1
197711;61.2;1
197712;104.7;1
197801;93.7;1
197802;33.1;1
197803;81;1
197804;80.6;1
197805;27.5;1
197806;79.4;1
197807;166.7;1
197808;55.9;1
197809;12;1
197810;13.1;1
197811;121.5;1
197812;116.8;1
197901;118.8;1
197902;154.4;1
197903;47;1
197904;73.6;1
197905;100.2;1
197906;105.5;1
197907;75.1;1
197908;11;1
197909;15.3;1
197910;33.9;1
197911;91.3;1
197912;86.2;1
198001;80;1
198002;183.1;1
198003;92.9;1
198004;238.5;1
198005;25.6;1
198006;28.5;1
198007;71.9;1
198008;34.4;1
198009;25.6;1
198010;63.7;1
198011;1.3;1
198012;133.4;1
198101;110.7;1
198102;378.6;1
198103;244.4;1
198104;31.4;1
198105;32.5;1
198106;37;1
198107;20.3;1
198108;32.5;1
198109;4;1
198110;6.7;1
198111;132.7;1
198112;382.5;1
198201;74.9;1
198202;179.2;1
198203;155.9;1
198204;111.6;1
198205;28.6;1
198206;83.8;1
198207;33.9;1
198208;49.5;1
198209;21.7;1
198210;39.8;1
198211;59.1;1
198212;235.9;1
198301;26.9;1
198302;93;1
198303;87.2;1
198304;157.1;1
198305;1.7;1
198306;79.5;1
198307;46.5;1
198308;36.5;1
198309;13.2;1
198310;70;1
198311;75.4;1
198312;67.4;1
198401;44.6;1
198402;154.4;1
198403;33.1;1
198404;47.1;1
198405;157.6;1
198406;145.4;1
198407;68;1
198408;45.9;1
198409;18.5;1
198410;277;1
198411;119.6;1
198412;59.5;1
198501;92.8;1
198502;215.5;1
198503;179.2;1
198504;25;1
198505;74.5;1
198506;79;1
198507;153.1;1
198508;59.8;1
198509;200.3;1
198510;63.3;1
198511;35;1
198512;53.5;1
198601;256;1
198602;186.1;1
198603;445.1;1
198604;24.9;1
198605;327;1
198606;94.6;1
198607;21.4;1
198608;55.6;1
198609;4.7;1
198610;4;1
198611;83.5;1
198612;130.6;1
198701;27;1
198702;43.4;1
198703;9;1
198704;22.1;1
198705;18.3;1
198706;24.6;1
198707;66.6;1
198708;74;1
198709;31.8;1
198710;119.1;1
198711;100.7;1
198712;24.1;1
198801;330.4;1
198802;124.4;1
198803;131.1;1
198804;131.7;1
198805;127.3;1
198806;85;1
198807;97.8;1
198808;52.4;1
198809;91;1
198810;0.2;1
198811;278.6;1
198812;90.7;1
198901;542.8;1
198902;186.4;1
198903;121.3;1
198904;193.1;1
198905;71.4;1
198906;159.9;1
198907;38.3;1
198908;86.3;1
198909;73.7;1
198910;15.4;1
198911;103.9;1
198912;162.3;1
199001;808;1
199002;219.4;1
199003;212.8;1
199004;45.3;1
199005;12.4;1
199006;138.5;1
199007;44.4;1
199008;77.3;1
199009;18.9;1
199010;90.3;1
199011;71.9;1
199012;10.1;1
199101;43.1;1
199102;92.2;1
199103;116.5;1
199104;137.1;1
199105;68.1;1
199106;106.3;1
199107;16.1;1
199108;4.1;1
199109;16.2;1
199110;25.3;1
199111;2.7;1
199112;149.7;1
199201;138.4;1
199202;239.7;1
199203;258;1
199204;312.1;1
199205;20.1;1
199206;162.9;1
199207;15.8;1
199208;23.5;1
199209;38.2;1
199210;12.3;1
199211;28;1
199212;14.7;1
199301;29.7;1
199302;99.8;1
199303;161.9;1
199304;40.3;1
199305;21.6;1
199306;29.1;1
199307;35.2;1
199308;27.3;1
199309;1.6;1
199310;44.5;1
199311;80.4;1
199312;45;1
199401;122.3;1
199402;189.1;1
199403;79.6;1
199404;59.2;1
199405;2.7;1
199406;56.6;1
199407;21.8;1
