# DONNEES MENSUELLES HOMOGENEISEES de RR : Cumul mensuel des hauteurs de précipitation (en mm et 1/10) 
# NUM_POSTE= 98814001
# NOM_USUEL= OUANAHAM
# LATITUDE (°) = -20.778
# LONGITUDE(°)= 167.241
# ALTITUDE (m) = 30
# NUM_SERIE= MRR198814001
# Amplitude minimale détectable de la série = 0.14
# Période homogénéisée : 196101 201712
# Date(s) de rupture(s) d'homogénéité : Aucune rupture d'homogénéité
#     Periode homogénéisée  196101 201712  : Q_HOM=1
#     Données prolongées si nécessaire jusqu'en 202212 par des donnees mensuelles non homogénéisées : Q_HOM=0
YYYYMM;VALEUR;Q_HOM
196101;65.2;1
196102;100.8;1
196103;247.5;1
196104;252.2;1
196105;210.2;1
196106;230.2;1
196107;206.4;1
196108;205.7;1
196109;113.3;1
196110;56.1;1
196111;73.9;1
196112;88.9;1
196201;213.4;1
196202;196;1
196203;279.7;1
196204;238.1;1
196205;191.9;1
196206;104.4;1
196207;113.7;1
196208;166.3;1
196209;41.1;1
196210;55;1
196211;179.5;1
196212;59.9;1
196301;180.1;1
196302;254.4;1
196303;134;1
196304;187;1
196305;233;1
196306;214.9;1
196307;177.1;1
196308;71.3;1
196309;56.9;1
196310;66.3;1
196311;93;1
196312;29.9;1
196401;62;1
196402;269.2;1
196403;251;1
196404;231.5;1
196405;37.4;1
196406;217.6;1
196407;31.8;1
196408;51.6;1
196409;22.2;1
196410;41.3;1
196411;170.4;1
196412;33.2;1
196501;164;1
196502;544;1
196503;128.3;1
196504;87.1;1
196505;29.8;1
196506;126.7;1
196507;30.9;1
196508;63.4;1
196509;131.4;1
196510;31.2;1
196511;28.9;1
196512;137;1
196601;33.3;1
196602;498.9;1
196603;199.8;1
196604;61.8;1
196605;79.6;1
196606;369.1;1
196607;133.6;1
196608;27;1
196609;17.8;1
196610;5.4;1
196611;69.5;1
196612;86.3;1
196701;226.8;1
196702;133.4;1
196703;466.4;1
196704;858.7;1
196705;130.8;1
196706;139.1;1
196707;289.8;1
196708;66.1;1
196709;47.6;1
196710;87;1
196711;96.6;1
196712;198.9;1
196801;98.3;1
196802;135.5;1
196803;47.7;1
196804;69;1
196805;34.4;1
196806;294.4;1
196807;15.8;1
196808;99.3;1
196809;18.4;1
196810;21.5;1
196811;28.9;1
196812;53.4;1
196901;146.9;1
196902;443.3;1
196903;468.1;1
196904;18.1;1
196905;97.7;1
196906;66.6;1
196907;77.3;1
196908;188.6;1
196909;57.8;1
196910;18.8;1
196911;140.2;1
196912;59.3;1
197001;114.2;1
197002;37.9;1
197003;76.1;1
197004;126.9;1
197005;181.4;1
197006;77.9;1
197007;113.5;1
197008;131;1
197009;44.5;1
197010;63.1;1
197011;356.5;1
197012;44.4;1
197101;371;1
197102;138.4;1
197103;280.7;1
197104;96.5;1
197105;182.6;1
197106;382.9;1
197107;98.2;1
197108;17.1;1
197109;174.9;1
197110;30;1
197111;235.4;1
197112;71.6;1
197201;195.5;1
197202;94.5;1
197203;327;1
197204;79.5;1
197205;217.7;1
197206;178.4;1
197207;42.7;1
197208;67.4;1
197209;121.7;1
197210;107.1;1
197211;16.6;1
197212;18.8;1
197301;41.6;1
197302;47.9;1
197303;259.3;1
197304;34.9;1
197305;106.1;1
197306;44.3;1
197307;232.4;1
197308;109.6;1
197309;73.7;1
197310;51.4;1
197311;342.5;1
197312;120;1
197401;323.4;1
197402;140.6;1
197403;175.1;1
197404;64.3;1
197405;72.6;1
197406;165.6;1
197407;74.7;1
197408;6.3;1
197409;18.7;1
197410;385.5;1
197411;25.5;1
197412;92;1
197501;257.4;1
197502;443.5;1
197503;550.7;1
197504;290.1;1
197505;257.6;1
197506;142.8;1
197507;55.5;1
197508;202.7;1
197509;53.6;1
197510;80.7;1
197511;265.1;1
197512;613.3;1
197601;251.9;1
197602;165.8;1
197603;254.6;1
197604;146.4;1
197605;66.5;1
197606;66.2;1
197607;136.5;1
197608;111.8;1
197609;150.9;1
197610;122.1;1
197611;61.3;1
197612;45.2;1
197701;485.3;1
197702;109.7;1
197703;102.9;1
197704;80.9;1
197705;37.4;1
197706;99.2;1
197707;110.4;1
197708;141.5;1
197709;129.7;1
197710;14.7;1
197711;159.2;1
197712;383.1;1
197801;68.3;1
197802;80.2;1
197803;250.9;1
197804;112.7;1
197805;83.9;1
197806;145.2;1
197807;229.5;1
197808;110;1
197809;39;1
197810;22.5;1
197811;159.7;1
197812;309.1;1
197901;371.9;1
197902;311.5;1
197903;303;1
197904;137.8;1
197905;147.8;1
197906;123.8;1
197907;51.6;1
197908;2.5;1
197909;19;1
197910;41.5;1
197911;35.9;1
197912;17.7;1
198001;140.6;1
198002;336.2;1
198003;168.7;1
198004;116;1
198005;80.8;1
198006;118.7;1
198007;131.7;1
198008;46.5;1
198009;101.6;1
198010;89.8;1
198011;51.8;1
198012;86.4;1
198101;161.2;1
198102;315.3;1
198103;116.2;1
198104;52.5;1
198105;51.2;1
198106;73.5;1
198107;19.8;1
198108;24.2;1
198109;10.2;1
198110;90.8;1
198111;114.1;1
198112;254.6;1
198201;99.9;1
198202;151.5;1
198203;435.4;1
198204;76.5;1
198205;43.8;1
198206;158.4;1
198207;150.1;1
198208;150.1;1
198209;13.7;1
198210;117.3;1
198211;53.9;1
198212;185.8;1
198301;56.5;1
198302;102.9;1
198303;218.3;1
198304;140.9;1
198305;48.5;1
198306;112.9;1
198307;21.6;1
198308;47.5;1
198309;7.3;1
